,subject,env,target,block,Hoffset_mean,Hsimple_mean,Hmedian_mean,Hoffset_std,Hsimple_std,Hmedian_std,Voffset_mean,Vsimple_mean,Vmedian_mean,Voffset_std,Vsimple_std,Vmedian_std,0.1offset_ETE,0.1simple_ETE,0.1median_ETE,0.1offset_dwelltime,0.1simple_dwelltime,0.1median_dwelltime,0.2offset_ETE,0.2simple_ETE,0.2median_ETE,0.2offset_dwelltime,0.2simple_dwelltime,0.2median_dwelltime,0.3offset_ETE,0.3simple_ETE,0.3median_ETE,0.3offset_dwelltime,0.3simple_dwelltime,0.3median_dwelltime,0.4offset_ETE,0.4simple_ETE,0.4median_ETE,0.4offset_dwelltime,0.4simple_dwelltime,0.4median_dwelltime,0.5offset_ETE,0.5simple_ETE,0.5median_ETE,0.5offset_dwelltime,0.5simple_dwelltime,0.5median_dwelltime,0.6offset_ETE,0.6simple_ETE,0.6median_ETE,0.6offset_dwelltime,0.6simple_dwelltime,0.6median_dwelltime,0.7offset_ETE,0.7simple_ETE,0.7median_ETE,0.7offset_dwelltime,0.7simple_dwelltime,0.7median_dwelltime,0.8offset_ETE,0.8simple_ETE,0.8median_ETE,0.8offset_dwelltime,0.8simple_dwelltime,0.8median_dwelltime,0.9offset_ETE,0.9simple_ETE,0.9median_ETE,0.9offset_dwelltime,0.9simple_dwelltime,0.9median_dwelltime,1.0offset_ETE,1.0simple_ETE,1.0median_ETE,1.0offset_dwelltime,1.0simple_dwelltime,1.0median_dwelltime
0,1,U,0,1,0.060971445130210335,-0.12644187236456145,0.06543821272043984,0.511237559208107,0.3191696196607027,0.324139379718487,0.8486155234267055,0.29924148880333823,0.7866503975761452,0.6365231812101777,0.4630374328366172,0.5721165855522802,13,12,11,0.8650000000000001,1.3499999999999999,1.7699999999999998,15,10,10,1.7249999999999999,2.645,2.6800000000000006,14,10,9,2.57,3.650000000000001,3.525,12,5,9,3.41,4.35,4.115,11,7,6,4.095000000000001,4.765000000000001,4.895,8,5,5,4.45,5.18,5.3500000000000005,8,4,3,4.684999999999999,5.48,5.585000000000001,7,2,2,5.015000000000001,5.665,5.715,6,1,1,5.26,5.74,5.75,3,1,1,5.445,5.75,5.75
1,1,U,0,2,0.028938668897906566,-0.4903923519227585,0.00854678289396784,0.4360028330336273,0.2654748036782181,0.21353208306042704,0.6914014484531197,0.04808746644115932,0.6348321612028043,0.6081864399348975,0.40498837285750167,0.3998461760363915,16,5,16,0.6900000000000001,0.265,1.855,17,5,13,1.9450000000000003,1.1199999999999999,3.3700000000000006,13,6,6,3.3050000000000006,1.65,4.79,10,5,2,3.9450000000000003,2.2,5.76,8,4,1,4.33,3.305,5.93,7,4,1,4.81,3.6500000000000004,5.93,6,3,1,5.175000000000001,4.17,5.93,6,4,1,5.44,5.04,5.93,4,2,1,5.6899999999999995,5.8149999999999995,5.93,3,1,1,5.825,5.93,5.93
2,1,U,0,3,0.19389363267591891,-0.6453521853581529,0.23622087098085742,0.4453319061129293,0.25541431215967697,0.3100166952930931,0.5860014013647804,-0.44378460302455175,0.5679404694019389,0.498325419708324,0.33596770862847664,0.3500373530781599,11,0,5,0.7,0.0,0.395,12,2,6,1.635,0.11,1.3699999999999997,10,5,6,2.245,0.62,2.3649999999999998,11,4,8,2.925,1.175,3.455,14,4,7,3.8049999999999997,2.295,4.625,11,2,5,4.600000000000001,2.67,5.465000000000001,7,4,2,5.050000000000001,3.125,5.72,6,6,2,5.365,3.6550000000000002,5.785,4,6,1,5.555,4.545,5.85,3,3,1,5.645,5.54,5.85
3,1,U,0,4,0.020541770829246297,-1.331663386456446,-0.02768295585508968,0.4488474341308108,0.3019576539997774,0.2924838907663633,0.5790086410447398,0.0025468157947047807,0.6033052989165705,0.5076539695609147,0.3405804287850739,0.3662153263643824,15,0,11,0.6900000000000003,0.0,1.2950000000000002,13,0,9,1.6150000000000002,0.0,2.33,14,0,9,2.88,0.0,3.675,11,0,5,3.99,0.0,5.2,7,0,3,4.605,0.0,5.675000000000001,6,0,1,5.045,0.0,6.0,5,0,1,5.4750000000000005,0.0,6.03,4,1,1,5.67,0.02,6.05,3,1,1,5.785,0.04,6.065,3,3,1,5.84,0.455,6.065
4,1,U,1,2,0.14395141683752943,-1.4495023148842368,-0.03376490160837606,0.5447904839648148,0.4786743421475449,0.4559955620420566,0.662169443999832,-0.9018919254790886,0.6032122499094509,0.6709938745740119,1.0008031320886879,0.5555502021904543,16,0,9,1.0250000000000001,0.0,0.8650000000000001,13,0,7,1.8250000000000002,0.0,1.6749999999999998,11,0,7,2.2849999999999997,0.0,2.34,11,0,9,2.7199999999999998,0.0,3.2399999999999998,12,1,7,3.1649999999999996,0.01,4.215000000000001,12,1,5,3.7600000000000002,0.02,4.824999999999999,12,2,4,4.39,0.265,5.12,9,3,1,4.964999999999999,0.45999999999999996,5.655,7,4,1,5.32,1.205,5.7,5,4,2,5.6,1.5350000000000001,5.775
5,1,U,2,1,0.0692804424707662,0.4115412993098967,0.0973497847091867,0.5001010830756132,0.35942916356420096,0.24956559020150892,0.21179138298201408,-0.4625552595165013,0.17385483898523246,0.484522560800981,1.2239119483165053,0.4839170104612624,15,10,18,0.7250000000000001,0.5800000000000001,2.01,17,7,9,1.625,1.4249999999999998,4.010000000000001,15,7,7,2.6550000000000002,2.1100000000000003,4.61,12,4,7,3.4499999999999997,2.5199999999999996,5.1499999999999995,9,6,4,4.0,3.165,5.485,9,6,4,4.48,3.745,5.675,9,6,3,4.95,4.470000000000001,5.874999999999999,7,5,1,5.33,5.08,6.0,3,4,1,5.645,5.735,6.0,3,2,1,5.74,5.984999999999999,6.0
6,1,U,2,2,0.0720535894065789,0.240311833266386,-0.07035121386483215,0.5229044225201033,0.359268560928348,0.39838418566743855,0.586737909268805,0.4233859666679564,0.6500622544953226,0.5386601533100961,0.45761355993064273,0.3920297501381803,16,5,6,1.0900000000000003,0.53,0.22500000000000003,13,8,7,2.0250000000000004,1.325,1.0200000000000002,13,7,12,2.915,2.12,1.94,11,9,10,3.4999999999999996,2.935,3.74,9,6,4,4.02,4.154999999999999,4.755,8,3,2,4.335,4.925000000000001,5.085,8,2,2,4.555,5.385,5.335000000000001,8,2,2,4.815,5.555,5.585,6,1,1,5.145,5.655,5.73,4,1,1,5.404999999999999,5.73,5.73
7,1,U,2,4,0.11604891309255594,0.8338735122511496,0.05433810303030315,0.6031300719976602,0.5149314833885814,0.18969311090114271,0.2701328804880499,0.5128013575606687,0.3513212325387211,0.45033011275762447,0.3438705818092158,0.38146423179112865,14,2,14,1.045,0.215,2.025,14,2,11,1.52,0.38,4.135,16,2,5,2.2800000000000002,0.665,5.279999999999999,15,2,3,2.9150000000000005,0.895,5.715,14,3,1,3.42,1.24,6.03,12,4,1,4.2299999999999995,1.535,6.03,10,4,1,4.74,2.4349999999999996,6.03,7,3,1,5.08,2.8049999999999997,6.03,6,2,1,5.289999999999999,3.0100000000000002,6.03,5,4,1,5.53,3.29,6.03
8,1,U,3,3,0.0811683256600758,1.1105934512751712,0.06852869577490857,0.6118500446531195,0.36360348025973244,0.39458574441105976,0.3988479172094054,0.24432032578654228,0.32084920093149577,0.6086689608003625,0.428319453006093,0.341305240953142,12,0,5,0.7450000000000001,0.0,0.29500000000000004,11,0,7,1.445,0.0,1.3950000000000002,12,0,10,2.2,0.0,2.3449999999999998,10,1,11,2.8899999999999997,0.07,3.605,7,1,6,3.3699999999999997,0.68,4.575,7,1,3,3.965,0.82,5.1,5,3,2,4.325,1.07,5.319999999999999,6,2,2,4.685,1.335,5.3500000000000005,4,2,2,5.045,1.495,5.39,3,3,2,5.155,1.72,5.4399999999999995
9,1,U,3,4,0.05496324656592089,0.16830593499461402,0.03173230505412701,0.7531066381942522,0.48831833145421655,0.4428631924417772,0.1543444459037629,0.21867028128479418,0.25142478344325897,0.4442683631905228,0.36340783211591443,0.3499375976119248,11,5,8,0.26499999999999996,0.88,1.11,13,6,7,0.7650000000000001,1.575,2.215,14,6,7,1.3249999999999997,2.2250000000000005,2.97,14,3,6,2.11,2.875,3.765,14,4,6,2.66,3.1800000000000006,4.375,12,6,5,3.1350000000000002,3.6949999999999994,4.9350000000000005,12,4,3,3.5799999999999996,5.295,5.34,11,3,3,4.0249999999999995,5.430000000000001,5.46,9,3,3,4.405,5.58,5.585000000000001,8,2,2,4.739999999999999,5.74,5.739999999999999
10,1,U,4,3,0.050364950483358206,1.1434114171334435,0.019626421017533528,0.42378902380759836,0.23503989227570968,0.24224478711462252,0.2954657778124722,0.9209734569284185,0.4140561020145812,0.4793950772183525,0.49067182350635286,0.4097926930250974,15,0,10,1.165,0.0,1.7650000000000001,12,0,6,2.29,0.0,3.17,11,0,8,3.0,0.0,4.245,10,0,3,3.57,0.0,5.01,9,0,2,4.26,0.0,5.47,7,0,1,4.699999999999999,0.0,5.63,3,0,1,5.24,0.0,5.63,3,3,1,5.3149999999999995,0.51,5.63,3,4,1,5.3950000000000005,1.015,5.63,2,4,1,5.475,1.64,5.63
11,1,U,4,4,-0.04719611156357779,0.357818822163779,-0.09363346047345922,0.5968796812163663,0.3096973470020173,0.21631569861971217,0.04673993034510241,0.7693849139577971,0.09950139179954026,0.5471745420057524,0.3521773334878369,0.3831913513205374,13,5,11,0.6650000000000001,0.535,2.0500000000000003,12,5,9,1.295,1.78,3.1449999999999996,12,4,7,1.84,2.235,4.325,10,5,5,2.405,2.6550000000000002,5.06,11,5,3,2.955,3.275,5.459999999999999,10,6,1,3.49,4.22,5.615,9,5,1,4.185,4.98,5.615,7,3,1,4.58,5.325,5.615,4,2,1,4.965,5.54,5.615,4,1,1,5.115,5.615,5.615
12,1,U,5,2,0.12172767657696099,0.25958153653966454,0.0766830971450494,0.45479271493750056,0.22789732962029513,0.24966527558619905,0.2337579120191096,-0.9376479486253236,0.13264483948772257,0.5590306515641574,0.4936911521485836,0.4773917289641334,17,5,11,1.09,1.785,2.21,14,8,10,2.1100000000000003,2.6750000000000003,3.5100000000000002,14,8,5,2.785,3.54,4.5,13,5,5,3.515,4.15,5.16,10,6,2,4.225,4.75,5.615,10,3,2,4.62,5.5,5.68,8,2,2,4.94,5.78,5.8100000000000005,7,2,1,5.215,5.885,5.93,5,1,1,5.535,5.93,5.93,3,1,1,5.824999999999999,5.93,5.93
13,1,U,5,4,-0.040181225597213696,0.5196573719830596,-0.06465676214294123,0.555467897188051,0.6845874040504485,0.2965574157748291,0.07032726645123813,0.27059745963742043,0.15633139120405518,0.7246500419580422,0.40311613022263665,0.4794523245319222,17,2,11,0.7800000000000001,0.16,1.7000000000000002,15,3,9,1.5550000000000002,0.455,2.8350000000000004,15,4,7,2.24,0.7899999999999999,4.24,14,4,5,3.115,1.29,5.109999999999999,11,6,2,3.9,1.9800000000000002,5.475,9,5,1,4.37,2.8200000000000003,5.685,8,4,1,4.665,3.385,5.75,7,1,1,4.945,3.79,5.92,5,2,1,5.255,3.855,5.95,5,3,1,5.455,4.125,5.985
14,1,U,6,1,0.09399202442679687,0.39638653698663934,0.16909079807513475,0.4283591313023781,0.23315585439619924,0.15906423654376015,0.06006747973482227,-0.3278199150677364,0.13914474957080175,0.46714375573429706,0.3951191817043145,0.37514343772699194,14,4,9,1.155,0.42,1.88,17,6,10,2.2350000000000003,1.21,3.3600000000000003,15,9,7,3.1700000000000004,2.6100000000000003,4.7,13,7,4,3.8299999999999996,3.5700000000000003,5.51,11,3,3,4.245,4.0600000000000005,5.84,11,3,1,4.705,4.345,5.95,7,5,1,5.23,4.92,5.95,5,6,1,5.515,5.775,5.95,4,1,1,5.734999999999999,5.95,5.95,2,1,1,5.859999999999999,5.95,5.95
15,1,U,6,2,0.04941796803689197,-11.428426590790643,0.0554932371244326,0.5287927501077906,0.4553397443330133,0.2001158671033571,0.29915230427466843,-1.841143218132432,0.3237969388865452,0.48462869859857827,0.4235068873014694,0.4841913474662763,18,0,15,1.1800000000000002,0.0,2.205,17,0,12,1.9250000000000003,0.0,4.18,15,0,6,2.515,0.0,5.035,15,0,4,3.1000000000000005,0.0,5.5,11,0,1,3.765,0.0,5.98,10,0,1,4.1850000000000005,0.0,5.98,8,0,1,4.6499999999999995,0.0,5.98,7,0,1,4.960000000000001,0.0,5.98,6,0,1,5.295,0.0,5.98,2,0,1,5.825,0.0,5.98
16,1,U,6,3,0.3419485898072682,0.39650711909495484,0.2507534809536949,0.4939902049343531,0.40068635632637767,0.26704457335655235,0.3866684932391688,-0.44964606589908435,0.4559902935694047,0.36759511677913603,0.5494722300078235,0.37300465223169316,12,4,7,0.845,0.385,0.9649999999999999,12,9,8,1.6300000000000001,1.655,1.825,11,3,9,2.3049999999999997,2.7600000000000002,3.0050000000000003,11,1,8,2.93,3.045,4.15,9,4,6,3.4499999999999997,3.435,4.87,7,5,4,3.835,4.13,5.414999999999999,6,3,3,4.115,4.49,5.895,7,5,1,4.54,4.7749999999999995,6.015,6,2,1,5.22,5.155,6.015,4,3,1,5.529999999999999,5.640000000000001,6.015
17,1,U,6,4,0.2910997171732121,0.4319076663177302,0.2993547298369711,0.48698752821656793,0.19464096368400852,0.14493852489408673,0.15947569872499995,0.1355200947885113,0.2262500832447492,0.6185886917444621,0.36633623825548267,0.3755511653327035,17,2,4,0.685,0.505,0.55,17,3,9,1.745,0.69,1.4649999999999999,12,5,12,2.5949999999999998,1.3499999999999999,2.8899999999999997,12,7,6,3.105,2.3550000000000004,4.5600000000000005,10,8,5,3.8350000000000004,3.5849999999999995,5.4,9,8,3,4.38,4.604999999999999,5.81,8,2,1,4.83,5.805,5.95,5,2,1,5.275,5.855,5.95,4,2,1,5.4,5.915,5.95,3,1,1,5.49,5.95,5.95
