UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1566352491031.0,1768871.0,0.0,0.01129,0.04138,-0.72162,0.69098,0.0329,-2392.25,105.73552,2.5355083965117924,-4.213873582485967,2.5800873295628293
-1566352491026.0,1768871.0,5.0,0.01129,0.04138,-0.72162,0.69098,0.03296,-2392.25,105.73552,2.5355083965117924,-4.213873582485967,2.5800873295628293
-1566352491018.0,1768884.0,13.0,0.01123,0.04144,-0.72162,0.69098,0.03296,-2392.3918,106.14844,2.5452558977780178,-4.21366234636083,2.5806483466203076
-1566352491013.0,1768892.0,18.0,0.01117,0.04144,-0.72162,0.69092,0.03296,-2392.3296,106.35738,2.5500849448698553,-4.208401730472614,2.580859492886887
-1566352491009.0,1768892.0,22.0,0.01111,0.0415,-0.72162,0.69092,0.03296,-2392.4712,106.77038,2.5598320734337343,-4.208190082188021,2.5814213209837646
-1566352491002.0,1768898.0,29.0,0.01111,0.0415,-0.72162,0.69092,0.03302,-2392.4712,106.77038,2.5598320734337343,-4.208190082188021,2.5814213209837646
-1566352490996.0,1768907.0,35.0,0.01105,0.0415,-0.72168,0.69092,0.03302,-2382.9204,106.545685,2.5648695412892972,-4.203291371169077,2.591133594118517
-1566352490991.0,1768907.0,40.0,0.01105,0.0415,-0.72168,0.69092,0.03302,-2382.9204,106.545685,2.5648695412892972,-4.203291371169077,2.591133594118517
-1566352490986.0,1768915.0,45.0,0.01105,0.04144,-0.72168,0.69092,0.03302,-2382.9175,106.338936,2.5598736803389963,-4.198528157912523,2.590558966131283
-1566352490979.0,1768922.0,52.0,0.01105,0.04144,-0.72168,0.69086,0.03302,-2382.7107,106.3421,2.5599497829462146,-4.19824247083053,2.5907838517159405
-1566352490973.0,1768922.0,58.0,0.01099,0.04144,-0.72168,0.69086,0.03308,-2382.8547,106.54698,2.5647009973339028,-4.1932672305124905,2.590770937376263
