UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565680702557.0,2194196.0,0.0,0.04041,-0.00916,-0.79034,0.61127,0.01721,-382.30765,-25.295685,-3.66775473773618,-3.019556595910928,14.464944901549174
-1565680702552.0,2194196.0,5.0,0.04047,-0.00922,-0.79034,0.61127,0.01727,-382.2907,-25.361317,-3.677428859611631,-3.020789502990545,14.46498208315414
-1565680702547.0,2194204.0,10.0,0.04047,-0.00928,-0.79028,0.61133,0.01721,-382.58453,-25.419441,-3.6830816429977364,-3.0162383498482703,14.454190187265127
-1565680702541.0,2194212.0,16.0,0.04047,-0.00934,-0.79028,0.61133,0.01721,-382.58264,-25.457018,-3.688519722254639,-3.0120293315995808,14.454244779585792
-1565680702535.0,2194212.0,22.0,0.04053,-0.0094,-0.79022,0.61139,0.01721,-382.86148,-25.543343,-3.698407897081369,-3.012917635307781,14.443438945050474
-1565680702530.0,2194219.0,27.0,0.04053,-0.00946,-0.79022,0.61145,0.01727,-382.8972,-25.582872,-3.7041240603973673,-3.0086430848509447,14.442138143446584
-1565680702524.0,2194219.0,33.0,0.04053,-0.00952,-0.79016,0.61145,0.01721,-383.15448,-25.639317,-3.7094963593191603,-3.0041542224764455,14.432707514266227
-1565680702518.0,2194235.0,39.0,0.04053,-0.00964,-0.7901,0.61157,0.01721,-383.4854,-25.737347,-3.7208616667559427,-2.9953228571768715,14.42062513294458
-1565680702512.0,2194235.0,45.0,0.04053,-0.00964,-0.7901,0.61157,0.01721,-383.4854,-25.737347,-3.7208616667559427,-2.9953228571768715,14.42062513294458
-1565680702507.0,2194247.0,50.0,0.04053,-0.0097,-0.79004,0.61163,0.01721,-383.78088,-25.79589,-3.7265103911003585,-2.990766440053123,14.409842175849931
-1565680702501.0,2194247.0,56.0,0.04053,-0.00977,-0.78998,0.61169,0.01727,-384.0766,-25.860807,-3.7330643156823804,-2.985507317690677,14.39907070927724
-1565680702495.0,2194256.0,62.0,0.04053,-0.00983,-0.78998,0.61169,0.01721,-384.07468,-25.89851,-3.7385004254734064,-2.981295939171855,14.39913202439557
-1565680702491.0,2194256.0,66.0,0.04053,-0.00983,-0.78992,0.61176,0.01727,-384.37943,-25.919851,-3.7387577473030653,-2.9809379404976117,14.388065348610908
-1565680702485.0,2194265.0,72.0,0.04053,-0.00989,-0.78992,0.61182,0.01721,-384.4152,-25.959517,-3.7444718991192727,-2.976658007031849,14.386776196303344
-1565680702479.0,2194271.0,78.0,0.04053,-0.00995,-0.78986,0.61188,0.01721,-384.71185,-26.018324,-3.7501177009035023,-2.9720982248965946,14.375999532801714
-1565680702474.0,2194271.0,83.0,0.04053,-0.00995,-0.78986,0.61188,0.01721,-384.71185,-26.018324,-3.7501177009035023,-2.9720982248965946,14.375999532801714
-1565680702468.0,2194283.0,89.0,0.04053,-0.01001,-0.78979,0.61194,0.01721,-385.0529,-26.080448,-3.755751225110373,-2.967491129113187,14.363642557245129
-1565680702462.0,2194290.0,95.0,0.04053,-0.01001,-0.78979,0.612,0.01721,-385.0907,-26.082382,-3.7560296636883725,-2.967422213013229,14.362293744503049
-1565680702456.0,2194290.0,101.0,0.04053,-0.01007,-0.78973,0.612,0.01721,-385.3505,-26.13943,-3.7613953260212227,-2.9629297324977784,14.35286850091829
-1565680702450.0,2194303.0,107.0,0.04053,-0.01013,-0.78973,0.61206,0.01721,-385.3864,-26.179184,-3.7671082020471074,-2.958646564176994,14.351586315454895
-1565680702445.0,2194303.0,112.0,0.04053,-0.01013,-0.78967,0.61212,0.01721,-385.68674,-26.200464,-3.76731704374185,-2.958297786825608,14.340749112965511
-1565680702440.0,2194313.0,117.0,0.04053,-0.01019,-0.78967,0.61212,0.01721,-385.6848,-26.2383,-3.7727510827560917,-2.9540835516658417,14.340815534830242
-1565680702435.0,2194313.0,122.0,0.04053,-0.01025,-0.78961,0.61218,0.01721,-385.98312,-26.297466,-3.778393147870086,-2.9495197317537367,14.330046107069705
-1565680702429.0,2194320.0,128.0,0.04053,-0.01025,-0.78955,0.61224,0.01721,-386.2844,-26.318867,-3.7786011608073955,-2.9491701311157827,14.319209892477375
-1565680702423.0,2194320.0,134.0,0.04053,-0.01031,-0.78955,0.61224,0.01721,-386.28247,-26.356756,-3.78403439754915,-2.94495510442167,14.31927803279875
-1565680702418.0,2194334.0,139.0,0.04053,-0.01031,-0.78955,0.6123,0.01721,-386.3203,-26.358698,-3.784312821420146,-2.944884124345949,14.31793372523282
-1565680702411.0,2194340.0,146.0,0.04053,-0.01038,-0.78949,0.6123,0.01721,-386.58167,-26.422432,-3.790580305900632,-2.939687100784676,14.308522890353615
-1565680702406.0,2194340.0,151.0,0.04047,-0.01044,-0.78949,0.61237,0.01721,-386.6396,-26.434244,-3.7920944507545684,-2.92995259164452,14.307043490808852
-1565680702401.0,2194348.0,156.0,0.04047,-0.01044,-0.78943,0.61243,0.01721,-386.94125,-26.455729,-3.7923007393679216,-2.9296021021534973,14.29620956295399
-1565680702395.0,2194356.0,162.0,0.04047,-0.0105,-0.78943,0.61243,0.01721,-386.93933,-26.493673,-3.7977331768222715,-2.9253858412734095,14.29628045807614
-1565680702390.0,2194363.0,167.0,0.04041,-0.01056,-0.78937,0.61255,0.01721,-387.29333,-26.526722,-3.799404399044009,-2.915311229131525,14.284195884099745
-1565680702383.0,2194363.0,174.0,0.04034,-0.01062,-0.78931,0.61261,0.01721,-387.61258,-26.553123,-3.8000885619677907,-2.904403346462628,14.273457743009544
-1565680702378.0,2194372.0,179.0,0.04034,-0.01068,-0.78925,0.61261,0.01721,-387.8757,-26.61081,-3.8054468256668135,-2.89990822775199,14.26403874657673
-1565680702373.0,2194380.0,184.0,0.04034,-0.01074,-0.78925,0.61267,0.01721,-387.91174,-26.650778,-3.8111551524555156,-2.895616901670977,14.262774527377175
-1565680702367.0,2194380.0,190.0,0.04034,-0.0108,-0.78918,0.61273,0.01721,-388.25793,-26.713842,-3.8167769386949604,-2.8910007696931945,14.250436839760056
-1565680702361.0,2194388.0,196.0,0.04028,-0.01086,-0.78912,0.61279,0.01721,-388.57565,-26.745153,-3.8181640259476937,-2.880997646731575,14.239700999791637
-1565680702357.0,2194396.0,200.0,0.04028,-0.01093,-0.78912,0.61285,0.01721,-388.61145,-26.791523,-3.824776127223209,-2.8760007535654566,14.238454846758259
