UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565766881476.0,690327.0,0.0,0.02081,-0.02289,-0.83282,0.55267,0.01727,-236.98235,-15.752999,-3.5047509544498334,-0.5363384873028575,22.845556863709973
-1565766881470.0,690327.0,6.0,0.02081,-0.02283,-0.83282,0.55267,0.01727,-236.983,-15.727244,-3.499016143706168,-0.5401385339909686,22.845322710977044
-1565766881464.0,690336.0,12.0,0.02081,-0.02277,-0.83282,0.55267,0.01727,-236.98363,-15.70149,-3.4932813760885804,-0.5439385830551043,22.845089316558926
-1565766881459.0,690343.0,17.0,0.02075,-0.02277,-0.83282,0.55273,0.01727,-237.01308,-15.685238,-3.4896133865464902,-0.5380557172924006,22.842927061851782
-1565766881452.0,690343.0,24.0,0.02075,-0.02271,-0.83276,0.55273,0.01727,-237.11879,-15.666852,-3.483722804992329,-0.5417135047307621,22.83361489624923
-1565766881446.0,690353.0,30.0,0.02075,-0.02271,-0.83276,0.55273,0.01727,-237.11879,-15.666852,-3.483722804992329,-0.5417135047307621,22.83361489624923
-1565766881442.0,690359.0,34.0,0.02075,-0.02264,-0.83276,0.5528,0.01727,-237.1496,-15.637542,-3.477198976309192,-0.5459657650488179,22.830751990922806
-1565766881436.0,690359.0,40.0,0.02075,-0.02258,-0.83276,0.5528,0.01727,-237.15022,-15.611775,-3.4714647602423656,-0.5497667116442827,22.830520790360907
-1565766881431.0,690371.0,45.0,0.02075,-0.02252,-0.8327,0.55286,0.01727,-237.28178,-15.593988,-3.4657184388427584,-0.5532701441752983,22.818989055647577
-1565766881425.0,690371.0,51.0,0.02075,-0.02246,-0.8327,0.55286,0.01727,-237.28242,-15.568212,-3.459984719561238,-0.5570715079843592,22.818759311615096
-1565766881420.0,690379.0,56.0,0.02075,-0.02246,-0.8327,0.55286,0.01727,-237.28242,-15.568212,-3.459984719561238,-0.5570715079843592,22.818759311615096
-1565766881414.0,690387.0,62.0,0.02081,-0.02234,-0.8327,0.55292,0.01727,-237.30579,-15.534218,-3.452471913809649,-0.5702461411964255,22.81602225278324
-1565766881409.0,690387.0,67.0,0.02081,-0.02228,-0.8327,0.55292,0.01727,-237.30643,-15.508441,-3.446738318976936,-0.5740479286363355,22.815794955905517
-1565766881403.0,690394.0,73.0,0.02087,-0.02222,-0.83264,0.55292,0.01727,-237.40866,-15.506889,-3.444664402461023,-0.583431737161545,22.806427903672002
-1565766881397.0,690403.0,79.0,0.02087,-0.02216,-0.83264,0.55298,0.01727,-237.4351,-15.481749,-3.43907453960434,-0.5870811645016417,22.80398308070471
-1565766881392.0,690403.0,84.0,0.02094,-0.02209,-0.83264,0.55298,0.01727,-237.43138,-15.471405,-3.436834015930462,-0.5981963840322853,22.80365206768043
-1565766881386.0,690411.0,90.0,0.021,-0.02209,-0.83264,0.55298,0.01727,-237.42763,-15.48833,-3.440646686700634,-0.6039215099984315,22.803593200179705
-1565766881382.0,690411.0,94.0,0.021,-0.02203,-0.83258,0.55304,0.01727,-237.55954,-15.470494,-3.434906597588994,-0.607427863839906,22.79206898779286
-1565766881376.0,690422.0,100.0,0.02106,-0.02203,-0.83258,0.55304,0.01727,-237.55574,-15.487429,-3.43871973435224,-0.6131525870042239,22.792010305573527
-1565766881370.0,690428.0,106.0,0.02112,-0.02197,-0.83258,0.5531,0.01727,-237.57837,-15.479218,-3.4369453131611056,-0.6225288989196548,22.78951140768737
-1565766881365.0,690428.0,111.0,0.02118,-0.02191,-0.83252,0.5531,0.01727,-237.68066,-15.477657,-3.434876057933222,-0.6319110720323724,22.78014814255495
-1565766881360.0,690443.0,116.0,0.02124,-0.02185,-0.83252,0.55316,0.01727,-237.70334,-15.46945,-3.43310346891547,-0.6412882426651848,22.77765250861782
-1565766881354.0,690443.0,122.0,0.0213,-0.02185,-0.83252,0.55316,0.01727,-237.69951,-15.486393,-3.4369176495674765,-0.6470125903109639,22.77759434318085
-1565766881348.0,690443.0,128.0,0.02136,-0.02179,-0.83252,0.55316,0.01727,-237.69635,-15.477529,-3.4349998364935166,-0.6565404406832683,22.777316375855833
-1565766881343.0,690456.0,133.0,0.02142,-0.02173,-0.83252,0.55316,0.01727,-237.6932,-15.468663,-3.4330821149854467,-0.6660683092118128,22.777039487635193
-1565766881337.0,690465.0,139.0,0.02142,-0.02173,-0.83252,0.55316,0.01727,-237.6932,-15.468663,-3.4330821149854467,-0.6660683092118128,22.777039487635193
-1565766881332.0,690465.0,144.0,0.02148,-0.02167,-0.83252,0.55316,0.01727,-237.69003,-15.459798,-3.431164484882684,-0.6755961961601784,22.77676367851896
