UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565833948790.0,1189908.0,0.0,-0.01514,-0.11279,-0.8009,0.58789,0.01721,-333.55588,-57.480648,-9.491849029495288,9.025119957104614,18.191089663860268
-1565833948788.0,1189920.0,2.0,-0.01508,-0.11279,-0.8009,0.58789,0.01721,-333.55542,-57.506294,-9.49585094370558,9.019544389455193,18.190844537222205
-1565833948786.0,1189920.0,4.0,-0.01508,-0.11279,-0.80096,0.58783,0.01721,-333.32022,-57.472702,-9.4967289202149,9.018864174705218,18.201901271459704
-1565833948784.0,1189920.0,6.0,-0.01508,-0.11273,-0.80096,0.58777,0.01721,-333.28564,-57.439438,-9.491073984730853,9.013987216586013,18.20211881343552
-1565833948770.0,1189938.0,20.0,-0.01508,-0.11273,-0.80103,0.58777,0.01721,-333.0514,-57.399635,-9.491977011326616,9.014109692012818,18.21298665113669
-1565833948768.0,1189938.0,22.0,-0.01501,-0.11267,-0.80109,0.58765,0.01721,-332.78156,-57.36274,-9.491866027559333,9.002048208187876,18.22397851278903
-1565833948766.0,1189938.0,24.0,-0.01495,-0.11261,-0.80115,0.58759,0.01721,-332.54617,-57.321022,-9.490983401342962,8.991701173685405,18.233269666358794
-1565833948758.0,1189946.0,32.0,-0.01495,-0.11261,-0.80121,0.58752,0.01721,-332.30673,-57.28776,-9.491876301332965,8.990890712561281,18.24461946640683
-1565833948755.0,1189953.0,35.0,-0.01495,-0.11255,-0.80121,0.58746,0.01721,-332.27225,-57.254578,-9.486219660872777,8.986017542508678,18.244844442759828
-1565833948743.0,1189963.0,47.0,-0.01489,-0.11249,-0.80127,0.5874,0.01721,-332.0374,-57.21294,-9.48533428415009,8.975671870826432,18.254139286398427
-1565833948740.0,1189963.0,50.0,-0.01489,-0.11243,-0.80133,0.58734,0.01721,-331.8036,-57.145916,-9.480449293502138,8.970904219783348,18.263680715381213
