UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565928882775.0,601605.0,0.0,0.02264,-0.01599,-0.72723,0.68585,0.27826,-1696.651,-92.44289,-3.113574532295061,-0.6300079460746646,3.338822705723942
-1565928882768.0,601612.0,7.0,0.02277,-0.01593,-0.72717,0.68591,0.27826,-1701.3689,-92.856445,-3.118855922695197,-0.6452918427929142,3.3285991458564013
-1565928882764.0,601612.0,11.0,0.02283,-0.01587,-0.72711,0.68597,0.27826,-1706.302,-93.11809,-3.11862558981502,-0.6547419917635696,3.3183846722044024
-1565928882758.0,601619.0,17.0,0.02283,-0.01581,-0.72711,0.68597,0.27826,-1706.3066,-92.968735,-3.1136215721403073,-0.6594586842547054,3.3181762972422746
-1565928882753.0,601627.0,22.0,0.02289,-0.01575,-0.72705,0.68597,0.27826,-1711.1182,-93.22678,-3.113236264482515,-0.6690175689867408,3.308252743204477
-1565928882746.0,601627.0,29.0,0.02295,-0.01569,-0.72705,0.68604,0.27826,-1711.1299,-93.21488,-3.1131434262205846,-0.6786075861312715,3.307703220878892
-1565928882741.0,601638.0,34.0,0.02295,-0.01563,-0.72705,0.68604,0.27826,-1711.1345,-93.06512,-3.108139925377263,-0.6833247828832867,3.3074973340131066
-1565928882736.0,601638.0,39.0,0.02301,-0.01556,-0.72705,0.68604,0.27826,-1710.9757,-93.02295,-3.1070299507142245,-0.6938273764359278,3.3072520000453807
-1565928882730.0,601648.0,45.0,0.02301,-0.01556,-0.72705,0.68604,0.27826,-1710.9757,-93.02295,-3.1070299507142245,-0.6938273764359278,3.3072520000453807
-1565928882725.0,601656.0,50.0,0.02307,-0.01544,-0.72705,0.68604,0.27826,-1710.8212,-92.85602,-3.1017505858276384,-0.7082610116351513,3.306838537518061
-1565928882717.0,601656.0,58.0,0.02313,-0.01544,-0.72705,0.68604,0.27826,-1710.6536,-92.988365,-3.1064780931258915,-0.7132602238676587,3.3068324137022955
-1565928882713.0,601665.0,62.0,0.02313,-0.01538,-0.72705,0.68604,0.27826,-1710.6582,-92.838646,-3.101474735057367,-0.7179774553921607,3.3066300264448927
-1565928882707.0,601671.0,68.0,0.02319,-0.01538,-0.72705,0.68604,0.27826,-1710.4939,-92.97117,-3.106202296741992,-0.7229766782140034,3.3066239268035815
-1565928882699.0,601671.0,76.0,0.02325,-0.01538,-0.72705,0.68604,0.27826,-1710.3263,-93.10348,-3.11092991350598,-0.727975906540215,3.306617827184766
-1565928882696.0,601683.0,79.0,0.02325,-0.01538,-0.72705,0.68597,0.27826,-1710.1519,-93.097885,-3.1107436755222624,-0.7280992857728745,3.306954261871141
-1565928882691.0,601688.0,84.0,0.02332,-0.01544,-0.72705,0.68597,0.27826,-1709.951,-93.401855,-3.1212620991651323,-0.7292149591973924,3.307149474557832
-1565928882684.0,601688.0,91.0,0.02338,-0.01544,-0.72711,0.68597,0.27826,-1704.8209,-93.25807,-3.1260953647065,-0.7343749566867435,3.3168531874803193
-1565928882680.0,601702.0,95.0,0.02344,-0.01544,-0.72711,0.68597,0.27826,-1704.6545,-93.3899,-3.1308226770526915,-0.7393746102692947,3.3168470451407046
-1565928882672.0,601705.0,103.0,0.02356,-0.0155,-0.72711,0.68591,0.27826,-1704.1641,-93.797646,-3.145119521571347,-0.7447637303208215,3.3173270667523127
-1565928882669.0,601705.0,106.0,0.02368,-0.0155,-0.72717,0.68591,0.27826,-1698.9034,-93.78447,-3.1546801334850536,-0.7549258924960625,3.327024308935478
-1565928882663.0,601719.0,112.0,0.02374,-0.0155,-0.72717,0.68585,0.27826,-1698.5896,-93.910934,-3.159244323940759,-0.7600325615561575,3.3273083124174576
-1565928882657.0,601719.0,118.0,0.0238,-0.01556,-0.72717,0.68585,0.27826,-1698.4158,-94.19071,-3.1689754089440103,-0.7603166819554853,3.327505845106529
-1565928882650.0,601719.0,125.0,0.02386,-0.01556,-0.72723,0.68579,0.27826,-1693.2003,-94.04024,-3.173645307819751,-0.765587833875909,3.3375000822675673
-1565928882646.0,601735.0,129.0,0.02399,-0.01556,-0.72723,0.68579,0.27826,-1692.8336,-94.323074,-3.1838861901987348,-0.7764222893571054,3.337486586315876
-1565928882641.0,601739.0,134.0,0.02405,-0.01556,-0.72729,0.68573,0.27826,-1687.6587,-94.17302,-3.188554553411721,-0.7816951802507499,3.3474815138358167
-1565928882635.0,601739.0,140.0,0.02417,-0.01556,-0.72729,0.68567,0.27826,-1687.1742,-94.42829,-3.1978412660729387,-0.7918040713426248,3.3477610549616514
-1565928882630.0,601749.0,145.0,0.02423,-0.01556,-0.72736,0.68567,0.27826,-1681.3687,-94.23693,-3.2026918961850117,-0.7969994071432487,3.3590828509534845
-1565928882623.0,601755.0,152.0,0.02435,-0.01556,-0.72742,0.68555,0.27826,-1675.942,-94.21189,-3.211916549300751,-0.8073837265242075,3.369366852178331
-1565928882618.0,601755.0,157.0,0.02441,-0.01556,-0.72748,0.68549,0.27826,-1670.8593,-94.062965,-3.216581140309818,-0.8126604388354194,3.3793647838342764
-1565928882612.0,601764.0,163.0,0.02448,-0.01556,-0.72754,0.68549,0.27826,-1665.9261,-93.94123,-3.222200465294903,-0.818664774055232,3.3890666422296505
-1565928882607.0,601771.0,168.0,0.02454,-0.01556,-0.7276,0.68542,0.27826,-1660.8828,-93.793335,-3.226835798856565,-0.8239610524993902,3.399114573323203
-1565928882602.0,601780.0,173.0,0.02454,-0.01556,-0.7276,0.68536,0.27832,-1660.7373,-93.78843,-3.226667324321023,-0.8240680462437439,3.3994112246211046
-1565928882596.0,601780.0,179.0,0.0246,-0.0155,-0.72772,0.6853,0.27832,-1651.0903,-93.22916,-3.2264282688468837,-0.8342287519553476,3.4189173334874425
-1565928882590.0,601789.0,185.0,0.0246,-0.0155,-0.72778,0.68518,0.27832,-1646.1776,-92.95371,-3.2261969074332284,-0.8346110699388137,3.429223934005492
-1565928882586.0,601795.0,189.0,0.02466,-0.0155,-0.72784,0.68512,0.27832,-1641.2697,-92.81083,-3.230857073577557,-0.8398916002265581,3.439226482738434
-1565928882580.0,601795.0,195.0,0.02472,-0.0155,-0.72791,0.68506,0.27832,-1635.6321,-92.625046,-3.235534210163837,-0.8452012929134819,3.4508478998626657
-1565928882574.0,601804.0,201.0,0.02472,-0.0155,-0.72803,0.68488,0.27832,-1626.1403,-92.08809,-3.2352379045708735,-0.8458609995973527,3.471172590173609
-1565928882570.0,601804.0,205.0,0.02478,-0.0155,-0.72815,0.68481,0.27832,-1616.8623,-91.69089,-3.2399733643135695,-0.8513322465392156,3.490938472825647
-1565928882563.0,601816.0,212.0,0.02478,-0.0155,-0.72821,0.68469,0.27832,-1612.1439,-91.425186,-3.239739533464136,-0.8517158039274983,3.5012578717385168
-1565928882556.0,601825.0,219.0,0.02484,-0.0155,-0.72833,0.68463,0.27832,-1603.0427,-91.03556,-3.2445016898824375,-0.8571713583783892,3.5209750388301586
-1565928882551.0,601825.0,224.0,0.02484,-0.0155,-0.72839,0.68451,0.27832,-1598.4,-90.773766,-3.2442670359027477,-0.8575553289254669,3.531299402982924
-1565928882547.0,601832.0,228.0,0.02484,-0.01544,-0.72852,0.68445,0.27832,-1588.8966,-90.08789,-3.2393135475136505,-0.8627384537487307,3.5524411358437646
-1565928882541.0,601839.0,234.0,0.0249,-0.01544,-0.72858,0.68433,0.27832,-1584.175,-89.95273,-3.2437959346359966,-0.8681315185420178,3.5627640217964824
-1565928882534.0,601839.0,241.0,0.0249,-0.01544,-0.7287,0.68427,0.27832,-1575.539,-89.4566,-3.2438369889234857,-0.8685801272611127,3.5824913368711435
-1565928882529.0,601848.0,246.0,0.0249,-0.01538,-0.72888,0.68402,0.27832,-1562.3937,-88.57252,-3.238426761384723,-0.8742396796920353,3.612722696256384
-1565928882523.0,601855.0,252.0,0.0249,-0.01538,-0.72894,0.68396,0.27832,-1558.1097,-88.32835,-3.238361403599086,-0.8745166568240522,3.6227465173672897
-1565928882516.0,601864.0,259.0,0.02496,-0.01532,-0.72906,0.68384,0.27832,-1549.4723,-87.82756,-3.2379276798766083,-0.8847861417029695,3.6425899596303424
-1565928882511.0,601864.0,264.0,0.02496,-0.01532,-0.72913,0.68372,0.27832,-1544.4445,-87.54358,-3.2377076687023902,-0.8851970702155892,3.654553482563202
-1565928882506.0,601872.0,269.0,0.0249,-0.01526,-0.72925,0.68365,0.27832,-1536.3542,-86.81799,-3.22798682766517,-0.8853496785514271,3.6741498415144918
-1565928882501.0,601880.0,274.0,0.0249,-0.0152,-0.72931,0.68359,0.27832,-1532.2184,-86.44814,-3.222901836503228,-0.8903264144902774,3.6839804153388087
-1565928882496.0,601880.0,279.0,0.0249,-0.0152,-0.72937,0.68347,0.27832,-1527.9606,-86.20959,-3.222664291965272,-0.8907066752115408,3.6943329366759343
-1565928882490.0,601888.0,285.0,0.0249,-0.01514,-0.72949,0.68335,0.27832,-1519.7872,-85.61204,-3.217511089010749,-0.89595709647613,3.7141986714616735
-1565928882484.0,601888.0,291.0,0.0249,-0.01514,-0.72955,0.68329,0.27832,-1515.7296,-85.38216,-3.2174440817739938,-0.8962324249099936,3.7242312643621744
-1565928882479.0,601900.0,296.0,0.0249,-0.01514,-0.72961,0.68323,0.27832,-1511.6906,-85.153336,-3.217377074528428,-0.8965077533645542,3.734264617226927
-1565928882473.0,601908.0,302.0,0.02496,-0.01508,-0.72968,0.68317,0.27832,-1506.899,-84.87289,-3.2170156556303424,-0.9065268626908568,3.7457135741303063
-1565928882467.0,601908.0,308.0,0.02496,-0.01508,-0.72974,0.68311,0.27832,-1502.9097,-84.64687,-3.2169478243079883,-0.9068021919238466,3.7557484378572923
-1565928882462.0,601915.0,313.0,0.02496,-0.01508,-0.7298,0.68304,0.27832,-1498.9193,-84.42131,-3.2168514324133257,-0.9070948037506927,3.7658389933985603
-1565928882456.0,601924.0,319.0,0.02496,-0.01508,-0.7298,0.68304,0.27832,-1498.9193,-84.42131,-3.2168514324133257,-0.9070948037506927,3.7658389933985603
-1565928882450.0,601924.0,325.0,0.02496,-0.01501,-0.72986,0.68298,0.27832,-1494.9745,-84.0442,-3.2109240324095647,-0.9128492862582364,3.775647842827567
-1565928882444.0,601933.0,331.0,0.02496,-0.01501,-0.72986,0.68298,0.27832,-1494.9745,-84.0442,-3.2109240324095647,-0.9128492862582364,3.775647842827567
-1565928882438.0,601941.0,337.0,0.02502,-0.01501,-0.72986,0.68298,0.27832,-1494.8353,-84.15951,-3.215632336867812,-0.917868074443416,3.7756410462418017
-1565928882433.0,601947.0,342.0,0.02502,-0.01501,-0.72986,0.68298,0.27832,-1494.8353,-84.15951,-3.215632336867812,-0.917868074443416,3.7756410462418017
-1565928882428.0,601947.0,347.0,0.02502,-0.01495,-0.72986,0.68298,0.27832,-1494.8398,-84.02808,-3.2106098844535373,-0.9225645047314844,3.775446807556307
-1565928882422.0,601956.0,353.0,0.02502,-0.01495,-0.72986,0.68298,0.27832,-1494.8398,-84.02808,-3.2106098844535373,-0.9225645047314844,3.775446807556307
-1565928882417.0,601964.0,358.0,0.02502,-0.01495,-0.7298,0.68298,0.27832,-1498.6576,-84.24691,-3.210507243846546,-0.9223924575845911,3.7657398138058227
-1565928882412.0,601964.0,363.0,0.02502,-0.01495,-0.7298,0.68304,0.27832,-1498.7893,-84.251434,-3.2106790209577905,-0.9222896556362806,3.7654102204727877
-1565928882406.0,601972.0,369.0,0.02496,-0.01489,-0.72974,0.68311,0.27832,-1502.9241,-84.22855,-3.201045997585973,-0.921677027141886,3.755132840812408
-1565928882399.0,601972.0,376.0,0.02496,-0.01489,-0.72974,0.68311,0.27832,-1502.9241,-84.22855,-3.201045997585973,-0.921677027141886,3.755132840812408
-1565928882395.0,601985.0,380.0,0.02502,-0.01489,-0.72968,0.68317,0.27838,-1506.7722,-84.5697,-3.205824741240647,-0.9264205657428031,3.745091183164604
-1565928882390.0,601992.0,385.0,0.02496,-0.01483,-0.72955,0.68329,0.27838,-1515.613,-84.81103,-3.19621611541963,-0.9255249157455954,3.7232195451939845
-1565928882383.0,601992.0,392.0,0.0249,-0.01483,-0.72949,0.68335,0.27838,-1519.8109,-84.92207,-3.1915748832779944,-0.920235049872454,3.713193402020508
-1565928882377.0,602001.0,398.0,0.0249,-0.01489,-0.72943,0.68347,0.27838,-1524.0168,-85.2897,-3.1968344059500122,-0.9151600784214337,3.7030303235128628
-1565928882372.0,602007.0,403.0,0.02484,-0.01489,-0.72937,0.68353,0.27838,-1528.2609,-85.40261,-3.192191173171188,-0.9098710530399905,3.693006607824799
-1565928882367.0,602007.0,408.0,0.02478,-0.01495,-0.72925,0.68359,0.27838,-1536.531,-85.879005,-3.1924631693526146,-0.8997118634192836,3.6734699184617767
-1565928882360.0,602016.0,415.0,0.02478,-0.01495,-0.72919,0.68372,0.27838,-1540.8584,-86.11876,-3.1927291453635434,-0.8993187315468767,3.663067219176938
-1565928882355.0,602025.0,420.0,0.02478,-0.01495,-0.72906,0.68384,0.27838,-1549.9403,-86.6298,-3.1928470174107257,-0.8987439382834727,3.6413958215375004
