UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565680702557.0,1201843.0,0.0,0.03857,-0.00464,-0.79077,0.61084,0.01733,-380.78598,-21.473373,-3.1265840398236766,-3.171875733161531,14.541265690714923
-1565680702551.0,1201843.0,6.0,0.03857,-0.0047,-0.79083,0.61078,0.01733,-380.49072,-21.493093,-3.1317918158817504,-3.167967429317115,14.55211485919692
-1565680702546.0,1201843.0,11.0,0.03851,-0.0047,-0.79089,0.61072,0.01733,-380.21222,-21.44737,-3.1273308118366345,-3.162819318351783,14.562977020438865
-1565680702541.0,1201866.0,16.0,0.03845,-0.00476,-0.79095,0.6106,0.01733,-379.8946,-21.437233,-3.1280482329547223,-3.153498218961338,14.575206620684526
-1565680702534.0,1201872.0,23.0,0.03845,-0.00482,-0.79102,0.61053,0.01733,-379.55225,-21.454037,-3.1332203516659067,-3.149641295734105,14.587869032442683
-1565680702529.0,1201879.0,28.0,0.03839,-0.005,-0.79114,0.61041,0.01733,-378.97766,-21.502693,-3.1448616262756217,-3.1321799825318406,14.609586777649056
-1565680702523.0,1201879.0,34.0,0.03833,-0.00507,-0.79114,0.61035,0.01733,-378.95218,-21.516386,-3.146722691863081,-3.121863654512844,14.610970251921032
-1565680702517.0,1201887.0,40.0,0.03827,-0.00513,-0.7912,0.61029,0.01733,-378.67365,-21.508097,-3.1477127280078356,-3.1125122792068645,14.621838553689841
-1565680702512.0,1201894.0,45.0,0.03827,-0.00513,-0.79126,0.61023,0.01733,-378.38324,-21.490526,-3.1474848817176646,-3.112811116502678,14.63269698087818
-1565680702507.0,1201902.0,50.0,0.03821,-0.00519,-0.79132,0.61023,0.01733,-378.1424,-21.484056,-3.1487401695294386,-3.1034240853197024,14.642189632847519
-1565680702501.0,1201902.0,56.0,0.03815,-0.00525,-0.79132,0.61017,0.01733,-378.1172,-21.491549,-3.1496979696656537,-3.093809777322015,14.643579175551636
-1565680702495.0,1201910.0,62.0,0.03815,-0.00525,-0.79138,0.61011,0.01733,-377.82776,-21.47404,-3.149471777897528,-3.09410860932929,14.654438355379128
-1565680702490.0,1201919.0,67.0,0.03809,-0.00537,-0.79144,0.61005,0.01733,-377.54877,-21.502968,-3.155913031099127,-3.0805570066684114,14.665315792810503
-1565680702484.0,1201919.0,73.0,0.03809,-0.00537,-0.7915,0.60999,0.01733,-377.25998,-21.485472,-3.1556880810317867,-3.0808562480742774,14.676175717176392
-1565680702478.0,1201926.0,79.0,0.03802,-0.00537,-0.7915,0.60992,0.01733,-377.2326,-21.450901,-3.1504568709685676,-3.0745412692613576,14.677797610406998
-1565680702473.0,1201935.0,84.0,0.03802,-0.00543,-0.79156,0.60986,0.01733,-376.94232,-21.470552,-3.1556784440327412,-3.070640901366897,14.68866475968106
-1565680702467.0,1201942.0,90.0,0.03802,-0.00543,-0.79156,0.60986,0.01733,-376.94232,-21.470552,-3.1556784440327412,-3.070640901366897,14.68866475968106
-1565680702461.0,1201942.0,96.0,0.03802,-0.00543,-0.79163,0.6098,0.01733,-376.61243,-21.450487,-3.1554606115405117,-3.0709837015022767,14.701106549023066
-1565680702456.0,1201952.0,101.0,0.03802,-0.00549,-0.79163,0.6098,0.01733,-376.61063,-21.48756,-3.1609071392594497,-3.06678500415291,14.70111284162995
-1565680702451.0,1201958.0,106.0,0.03802,-0.00549,-0.79169,0.60974,0.01733,-376.32324,-21.470127,-3.1606834993994517,-3.0670845859641127,14.711975065399258
-1565680702445.0,1201958.0,112.0,0.03802,-0.00555,-0.79169,0.60968,0.01733,-376.2844,-21.505396,-3.1658690637540134,-3.062924530622022,14.713366525480751
-1565680702439.0,1201958.0,118.0,0.03796,-0.00555,-0.79175,0.60962,0.01727,-376.01096,-21.460213,-3.161425938991797,-3.0577730771485405,14.724239895804047
-1565680702433.0,1201971.0,124.0,0.03796,-0.00555,-0.79181,0.60962,0.01733,-375.7614,-21.444601,-3.1614640942321106,-3.05803444303351,14.73371742227421
-1565680702428.0,1201979.0,129.0,0.03796,-0.00562,-0.79181,0.60956,0.01733,-375.72238,-21.485996,-3.1675588560581303,-3.053176164723715,14.735113195804644
-1565680702422.0,1201986.0,135.0,0.0379,-0.00562,-0.79187,0.6095,0.01727,-375.44934,-21.440887,-3.1631175282706456,-3.0480240006592103,14.745987484364804
-1565680702416.0,1201986.0,141.0,0.0379,-0.00562,-0.79187,0.6095,0.01727,-375.44934,-21.440887,-3.1631175282706456,-3.0480240006592103,14.745987484364804
-1565680702410.0,1201994.0,147.0,0.03784,-0.00568,-0.79193,0.60944,0.01727,-375.175,-21.432798,-3.164125692789405,-3.0386749262953754,14.756871076716678
-1565680702406.0,1202003.0,151.0,0.03784,-0.00568,-0.79193,0.60937,0.01727,-375.13187,-21.430738,-3.1638221986165855,-3.038720552050921,14.758491527589882
-1565680702400.0,1202003.0,157.0,0.03778,-0.00574,-0.79199,0.60931,0.01727,-374.85822,-21.422697,-3.1648325708396023,-3.029372040230934,14.769377696773716
-1565680702393.0,1202010.0,164.0,0.03778,-0.00574,-0.79205,0.60925,0.01727,-374.57278,-21.405378,-3.1646123081368187,-3.029671680476314,14.780244548781297
-1565680702387.0,1202022.0,170.0,0.03772,-0.00574,-0.79205,0.60925,0.01727,-374.58624,-21.377743,-3.160395271574403,-3.024218337374811,14.780254631114133
-1565680702382.0,1202028.0,175.0,0.03772,-0.00574,-0.79211,0.60919,0.01727,-374.3014,-21.36048,-3.160175421464854,-3.024517563089921,14.791121905914565
-1565680702375.0,1202028.0,182.0,0.03766,-0.00574,-0.79211,0.60919,0.01727,-374.3148,-21.332867,-3.1559588854373204,-3.0190638328038335,14.791131995232803
-1565680702372.0,1202036.0,185.0,0.03766,-0.00574,-0.79218,0.60913,0.01727,-373.98926,-21.313087,-3.155746024630959,-3.019405859168488,14.803578759978564
-1565680702367.0,1202042.0,190.0,0.0376,-0.00574,-0.79218,0.60907,0.01727,-373.9658,-21.283747,-3.1512715038258228,-3.013991192593658,14.804982499250258
-1565680702360.0,1202042.0,197.0,0.03754,-0.00568,-0.79224,0.60907,0.01727,-373.73376,-21.203932,-3.141644757896692,-3.012988941070138,14.814457045293608
-1565680702355.0,1202042.0,202.0,0.03748,-0.00568,-0.79224,0.60901,0.01727,-373.71014,-21.174606,-3.1371716587472047,-3.007573480222364,14.815861763016883
-1565680702350.0,1202056.0,207.0,0.03735,-0.00562,-0.7923,0.60895,0.01727,-373.45712,-21.061028,-3.122370635792413,-3.0002441715738377,14.826743598082459
-1565680702344.0,1202062.0,213.0,0.03723,-0.00555,-0.7923,0.60895,0.01727,-373.48563,-20.962952,-3.1075825448673635,-2.994225668640887,14.826753191806077
-1565680702337.0,1202072.0,220.0,0.03723,-0.00555,-0.79236,0.60895,0.01727,-373.239,-20.947779,-3.1076206998341016,-2.994481993228651,14.836226427734886
-1565680702332.0,1202072.0,225.0,0.03717,-0.00549,-0.79236,0.60895,0.01727,-373.25372,-20.883425,-3.0979551391581013,-2.9932192354782825,14.836228264538775
-1565680702326.0,1202079.0,231.0,0.03711,-0.00543,-0.79236,0.60889,0.01727,-373.23184,-20.817352,-3.088034562965615,-2.991993864074085,14.837627578241296
-1565680702321.0,1202086.0,236.0,0.03705,-0.00531,-0.79236,0.60889,0.01727,-373.24844,-20.716208,-3.07291824085975,-2.9949228331045052,14.83762484029647
-1565680702315.0,1202094.0,242.0,0.03705,-0.00525,-0.79236,0.60889,0.01727,-373.25012,-20.679413,-3.067466849214399,-2.999114986158331,14.837619882380324
-1565680702310.0,1202094.0,247.0,0.03699,-0.00507,-0.79236,0.60889,0.01727,-373.26825,-20.541456,-3.046899308990046,-3.006236154613361,14.837618739605006
-1565680702304.0,1202103.0,253.0,0.03693,-0.005,-0.79236,0.60889,0.01727,-373.28342,-20.470957,-3.0363260949851547,-3.0056716676742985,14.837625452459548
-1565680702299.0,1202110.0,258.0,0.03693,-0.00488,-0.79236,0.60889,0.01727,-373.28683,-20.397362,-3.025423379331348,-3.0140560724096948,14.837624164925401
-1565680702293.0,1202110.0,264.0,0.03687,-0.00476,-0.79236,0.60889,0.01727,-373.30325,-20.296183,-3.010307519522672,-3.0169851006361315,14.8376344649907
-1565680702287.0,1202120.0,270.0,0.0368,-0.0047,-0.79236,0.60889,0.01727,-373.3202,-20.227207,-2.9999409567314794,-3.0148126672815305,14.837646179196952
-1565680702282.0,1202127.0,275.0,0.03674,-0.00458,-0.79236,0.60895,0.01727,-373.37338,-20.12772,-2.985077983881825,-3.0177101640577115,14.836263507183716
-1565680702276.0,1202127.0,281.0,0.03668,-0.00446,-0.79236,0.60895,0.01727,-373.38977,-20.02652,-2.969962122611254,-3.020640028337887,14.836280580956398
-1565680702271.0,1202127.0,286.0,0.03662,-0.00433,-0.79236,0.60895,0.01727,-373.40622,-19.919165,-2.9539378453869634,-3.0242686788022364,14.83630156933802
-1565680702265.0,1202139.0,292.0,0.0365,-0.00421,-0.7923,0.60901,0.01727,-373.71927,-19.806425,-2.934831339081955,-3.0214628047384346,14.825461630293745
-1565680702260.0,1202146.0,297.0,0.03632,-0.00397,-0.79224,0.60907,0.01727,-374.04828,-19.592083,-2.9006109733575367,-3.0215925882166697,14.814652023875624
-1565680702254.0,1202155.0,303.0,0.03619,-0.00385,-0.79224,0.60913,0.01727,-374.11646,-19.46008,-2.8808301822099693,-3.018134707241248,14.813295795206542
-1565680702248.0,1202155.0,309.0,0.03613,-0.00372,-0.79224,0.60919,0.01727,-374.16953,-19.354197,-2.865055908342844,-3.0217412482676145,14.811936743938091
-1565680702242.0,1202163.0,315.0,0.03601,-0.00354,-0.79218,0.60919,0.01727,-374.44788,-19.202206,-2.840252819527,-3.0231670087776945,14.80252058311865
-1565680702237.0,1202171.0,320.0,0.03595,-0.00342,-0.79218,0.60925,0.01727,-374.5008,-19.102367,-2.8253864912316176,-3.0260778849290415,14.801167200149038
-1565680702231.0,1202178.0,326.0,0.03583,-0.00323,-0.79211,0.60931,0.01727,-374.85785,-18.947868,-2.799921018454557,-3.0281427265995378,14.788791716931229
-1565680702226.0,1202178.0,331.0,0.03577,-0.00311,-0.79211,0.60937,0.01727,-374.91077,-18.847921,-2.7850539616174537,-3.0310578848968723,14.78744669948152
-1565680702221.0,1202186.0,336.0,0.03571,-0.00299,-0.79205,0.60944,0.01727,-375.21857,-18.761957,-2.7702065730180245,-3.0337254039125052,14.776398150334586
-1565680702215.0,1202194.0,342.0,0.03558,-0.00287,-0.79199,0.60944,0.01727,-375.49847,-18.641457,-2.750156707107741,-3.030056948735383,14.766980322694707
-1565680702209.0,1202194.0,348.0,0.0354,-0.00269,-0.79193,0.60956,0.01727,-375.86435,-18.46382,-2.7216356616730355,-3.0260055455433887,14.75481512698397
-1565680702203.0,1202203.0,354.0,0.03534,-0.00256,-0.79187,0.60968,0.01727,-376.20468,-18.372562,-2.706084657635952,-3.0293677026085057,14.74262542562505
-1565680702197.0,1202210.0,360.0,0.03522,-0.00244,-0.79181,0.60974,0.01727,-376.52048,-18.257746,-2.68698288047362,-3.0265996145308,14.731827191770321
-1565680702192.0,1202210.0,365.0,0.03516,-0.00238,-0.79175,0.6098,0.01727,-376.82233,-18.207773,-2.6775448671153947,-3.0250875793550653,14.720997260948764
-1565680702187.0,1202223.0,370.0,0.03503,-0.00232,-0.79169,0.60986,0.01727,-377.13925,-18.12507,-2.6631873154695076,-3.0172178952156723,14.710172973917096
-1565680702181.0,1202223.0,376.0,0.03491,-0.0022,-0.79169,0.60999,0.01727,-377.24777,-17.998398,-2.6443813271748478,-3.0146812666329024,14.707244335322287
-1565680702175.0,1202230.0,382.0,0.03485,-0.00214,-0.79163,0.61005,0.01727,-377.55063,-17.948132,-2.6349424519955273,-3.0131755822613417,14.696419478102513
-1565680702170.0,1202238.0,387.0,0.03461,-0.00195,-0.7915,0.61017,0.01727,-378.22638,-17.749973,-2.6012733656277325,-3.0041315824487445,14.673239234160107
-1565680702164.0,1202238.0,393.0,0.03455,-0.00183,-0.79144,0.61029,0.01727,-378.56937,-17.663776,-2.5866277134113234,-3.0068210557865855,14.661073756175
-1565680702158.0,1202246.0,399.0,0.03442,-0.00171,-0.79138,0.61035,0.01727,-378.89005,-17.54297,-2.5668224558027655,-3.003169708740425,14.650295055177807
-1565680702152.0,1202254.0,405.0,0.0343,-0.00159,-0.79132,0.61041,0.01727,-379.2089,-17.426653,-2.5477207560382373,-3.0004298466939576,14.639518423695023
-1565680702146.0,1202262.0,411.0,0.03418,-0.00146,-0.79132,0.61047,0.01727,-379.27435,-17.291103,-2.5277222606990684,-2.998629128687966,14.638231896876192
-1565680702142.0,1202262.0,415.0,0.03406,-0.00128,-0.79126,0.61053,0.01727,-379.59534,-17.137165,-2.5031772395861807,-3.0000985782503635,14.627503180390093
-1565680702136.0,1202271.0,421.0,0.034,-0.0011,-0.7912,0.6106,0.01727,-379.91068,-17.011515,-2.4828926140442253,-3.0070182758302977,14.616549543553916
-1565680702130.0,1202278.0,427.0,0.03375,-0.00073,-0.79114,0.61066,0.01727,-380.2636,-16.67746,-2.4319712437019576,-3.010007873055827,14.605987742034742
