UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565747378433.0,417337.0,0.0,0.03992,0.01001,-0.75842,0.65045,0.01727,-642.9031,-23.926443,-2.111726146619675,-4.219307175839309,8.68575092621279
-1565747378428.0,417348.0,5.0,0.03998,0.00995,-0.75848,0.65039,0.01727,-642.0905,-24.002647,-2.121103797731318,-4.2202585730618996,8.696034065560028
-1565747378421.0,417355.0,12.0,0.04004,0.00995,-0.75848,0.65039,0.01727,-642.0514,-24.051907,-2.1256050844833845,-4.225487693629626,8.696044436983911
-1565747378417.0,417355.0,16.0,0.04004,0.00995,-0.75848,0.65033,0.01727,-641.9923,-24.04878,-2.125329229269408,-4.225419096009791,8.696835114033831
-1565747378411.0,417365.0,22.0,0.0401,0.00989,-0.75854,0.65033,0.01727,-641.2419,-24.12788,-2.1349825044501705,-4.226441166702518,8.706328792094965
-1565747378406.0,417373.0,27.0,0.04016,0.00989,-0.75854,0.65027,0.01727,-641.14325,-24.173912,-2.1392068866213556,-4.231602558111478,8.70713076810705
-1565747378400.0,417373.0,33.0,0.04022,0.00989,-0.75861,0.65027,0.01727,-640.2793,-24.188786,-2.143628134070504,-4.237155674108216,8.718410964061434
-1565747378395.0,417381.0,38.0,0.04028,0.00989,-0.75861,0.65021,0.01727,-640.1809,-24.234734,-2.1478514557350175,-4.2423176195867445,8.719214093543854
-1565747378389.0,417389.0,44.0,0.04034,0.00983,-0.75867,0.65015,0.01727,-639.376,-24.310251,-2.1572276764387364,-4.243275318975026,8.729501078355312
-1565747378383.0,417397.0,50.0,0.04047,0.00977,-0.75873,0.65009,0.01727,-638.526,-24.442621,-2.1718538537450445,-4.250337518236282,8.739801267318711
-1565747378378.0,417397.0,55.0,0.04053,0.00977,-0.75873,0.65002,0.01727,-638.4178,-24.487858,-2.176028072682028,-4.2554899800267885,8.740738894066823
-1565747378372.0,417405.0,61.0,0.04059,0.0097,-0.75879,0.65002,0.01727,-637.67426,-24.57576,-2.186553376501855,-4.2557724018266425,8.750204399347297
-1565747378367.0,417405.0,66.0,0.04065,0.0097,-0.75885,0.64996,0.01727,-636.87756,-24.591772,-2.1907061919411124,-4.261217286408565,8.760669803542186
-1565747378361.0,417413.0,72.0,0.04071,0.0097,-0.75885,0.6499,0.01727,-636.77936,-24.637383,-2.1949250990968396,-4.266382357728859,8.761476880514977
-1565747378356.0,417421.0,77.0,0.04077,0.0097,-0.75891,0.64984,0.01727,-635.9843,-24.653265,-2.19907644128091,-4.271828558520229,8.77194395001024
-1565747378352.0,417421.0,81.0,0.04083,0.00964,-0.75897,0.64978,0.01727,-635.18756,-24.72768,-2.208450889489049,-4.272795602417406,8.78223691716893
-1565747378345.0,417429.0,88.0,0.04095,0.00964,-0.75897,0.64972,0.01727,-635.05005,-24.821726,-2.217165703504764,-4.28319488323453,8.783056226229434
-1565747378340.0,417438.0,93.0,0.04102,0.00964,-0.75909,0.6496,0.01727,-633.5026,-24.812443,-2.221715552339811,-4.289732685514342,8.803986994247197
-1565747378334.0,417438.0,99.0,0.04108,0.00964,-0.75916,0.64954,0.01727,-632.6004,-24.823027,-2.2258525163310328,-4.295230465109407,8.816067350668035
-1565747378329.0,417449.0,104.0,0.04114,0.00964,-0.75922,0.64948,0.01727,-631.81506,-24.838501,-2.229999813769006,-4.300681973526476,8.826538542865592
-1565747378323.0,417449.0,110.0,0.04114,0.00964,-0.75922,0.64941,0.01727,-631.747,-24.834816,-2.2296691317478663,-4.300604428799117,8.827475726828993
-1565747378318.0,417457.0,115.0,0.04114,0.00958,-0.75928,0.64935,0.01727,-630.9992,-24.860231,-2.2345452930582668,-4.296344422267106,8.837763987527595
-1565747378312.0,417464.0,121.0,0.04114,0.00958,-0.75934,0.64929,0.01727,-630.2567,-24.827427,-2.234195851087739,-4.296562024354537,8.848227371820002
-1565747378307.0,417464.0,126.0,0.04114,0.00958,-0.7594,0.64923,0.01727,-629.5155,-24.794676,-2.233846408950917,-4.296779626504055,8.858691386505058
