UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565772933764.0,1962013.0,0.0,0.01093,-0.02173,-0.83649,0.54742,0.01733,-229.02596,-12.090092,-2.769678812843256,0.3154264218059111,23.602876888686723
-1565772933760.0,1962013.0,4.0,0.01093,-0.02179,-0.83649,0.54742,0.01733,-229.02562,-12.115208,-2.7754379243329823,0.31919026219998253,23.60312099989426
-1565772933754.0,1962023.0,10.0,0.01099,-0.02179,-0.83649,0.54742,0.01733,-229.02347,-12.131564,-2.7792046461547657,0.31343889295873767,23.603061010725426
-1565772933746.0,1962034.0,18.0,0.01099,-0.02185,-0.83649,0.54742,0.01733,-229.02313,-12.156678,-2.784963799920078,0.31720273263199544,23.60330571081832
-1565772933742.0,1962034.0,22.0,0.01105,-0.02191,-0.83649,0.54742,0.01733,-229.02057,-12.198146,-2.7944897519377347,0.3152152034457091,23.603490845326363
-1565772933735.0,1962039.0,29.0,0.01105,-0.02197,-0.83649,0.54749,0.01733,-229.04951,-12.223648,-2.8003375245511433,0.3191552768541849,23.601050419463945
-1565772933731.0,1962046.0,33.0,0.01111,-0.02203,-0.83649,0.54749,0.01733,-229.04703,-12.265121,-2.809864075897742,0.31716822858485927,23.601236561849447
-1565772933724.0,1962046.0,40.0,0.01111,-0.02209,-0.83643,0.54749,0.01733,-229.1453,-12.295746,-2.8154717045421926,0.32100893883831133,23.59245051882563
-1565772933719.0,1962058.0,45.0,0.01111,-0.02216,-0.83643,0.54749,0.01733,-229.1449,-12.32506,-2.82219049640246,0.3254006499985451,23.59274014541937
-1565772933715.0,1962063.0,49.0,0.01117,-0.02222,-0.83643,0.54755,0.01733,-229.16753,-12.366885,-2.8317935138285057,0.32356678895235913,23.5906264685496
-1565772933709.0,1962063.0,55.0,0.01117,-0.02228,-0.83636,0.54755,0.01733,-229.2825,-12.398503,-2.8373740688460547,0.32742112677731056,23.58033591789038
-1565772933703.0,1962077.0,61.0,0.01117,-0.02228,-0.83636,0.54761,0.01727,-229.30763,-12.398838,-2.837450775211668,0.32757431527587194,23.57803551362167
-1565772933698.0,1962077.0,66.0,0.01117,-0.02234,-0.83636,0.54761,0.01733,-229.30731,-12.423977,-2.8432093959276665,0.33133946653966084,23.578285971733706
-1565772933688.0,1962082.0,76.0,0.01117,-0.02234,-0.83636,0.54761,0.01733,-229.30731,-12.423977,-2.8432093959276665,0.33133946653966084,23.578285971733706
-1565772933687.0,1962093.0,77.0,0.01123,-0.0224,-0.8363,0.54767,0.01727,-229.42863,-12.471417,-2.852659509117774,0.32958536145143236,23.567140685873184
-1565772933682.0,1962098.0,82.0,0.01123,-0.0224,-0.8363,0.54767,0.01727,-229.42863,-12.471417,-2.852659509117774,0.32958536145143236,23.567140685873184
-1565772933674.0,1962098.0,90.0,0.01123,-0.02246,-0.8363,0.54773,0.01727,-229.45346,-12.496904,-2.8584949239077067,0.3335053522138536,23.565093618389113
-1565772933671.0,1962107.0,93.0,0.01129,-0.02246,-0.83624,0.54779,0.01727,-229.57549,-12.5192585,-2.86218723059931,0.3279873329315539,23.553698149448152
-1565772933665.0,1962114.0,99.0,0.01135,-0.02246,-0.83624,0.54779,0.01727,-229.57324,-12.535655,-2.8659566911755365,0.32223767764793854,23.553636439903258
-1565772933659.0,1962114.0,105.0,0.01135,-0.02246,-0.83624,0.54779,0.01727,-229.57324,-12.535655,-2.8659566911755365,0.32223767764793854,23.553636439903258
-1565772933655.0,1962124.0,109.0,0.01141,-0.02246,-0.83618,0.54785,0.01727,-229.69527,-12.558037,-2.8696503086467198,0.31672090213096715,23.542241033929912
-1565772933648.0,1962130.0,116.0,0.01141,-0.0224,-0.83618,0.54785,0.01727,-229.6956,-12.532866,-2.863892840230859,0.3129541061254461,23.541989591420787
-1565772933642.0,1962130.0,122.0,0.01141,-0.02234,-0.83618,0.54791,0.01727,-229.7211,-12.5080385,-2.858213770069933,0.30934091223585597,23.539442663325943
-1565772933638.0,1962140.0,126.0,0.01147,-0.02234,-0.83618,0.54791,0.01727,-229.71886,-12.5244465,-2.8619841323908632,0.3035916798008417,23.53938132107473
-1565772933633.0,1962144.0,131.0,0.01147,-0.02228,-0.83612,0.54797,0.01727,-229.8435,-12.505242,-2.856152523855665,0.30005652699086244,23.52779882860932
-1565772933626.0,1962144.0,138.0,0.01147,-0.02228,-0.83612,0.54797,0.01727,-229.8435,-12.505242,-2.856152523855665,0.30005652699086244,23.52779882860932
-1565772933620.0,1962159.0,144.0,0.01147,-0.02222,-0.83612,0.54803,0.01727,-229.86905,-12.480406,-2.850474370195288,0.296441687286159,23.525255099773645
-1565772933610.0,1962170.0,154.0,0.01147,-0.02216,-0.83606,0.54803,0.01727,-229.96873,-12.4608345,-2.844565321240219,0.29275252370580984,23.51596863443055
-1565772933602.0,1962176.0,162.0,0.01147,-0.02209,-0.83606,0.5481,0.01727,-229.99852,-12.431848,-2.837941398847997,0.28853368950650116,23.513004084602315
-1565772933590.0,1962188.0,174.0,0.01147,-0.02209,-0.83606,0.5481,0.01727,-229.99852,-12.431848,-2.837941398847997,0.28853368950650116,23.513004084602315
-1565772933588.0,1962188.0,176.0,0.01147,-0.02203,-0.836,0.54816,0.01727,-230.12341,-12.412589,-2.832112516241966,0.2849955162141141,23.501425701239825
-1565772933586.0,1962188.0,178.0,0.01147,-0.02197,-0.836,0.54816,0.01727,-230.12376,-12.387386,-2.8263566072487873,0.28122659966349595,23.501179715035363
-1565772933584.0,1962188.0,180.0,0.01141,-0.02191,-0.836,0.54822,0.01727,-230.15157,-12.346087,-2.816907006318434,0.28335630963688424,23.498702626864315
-1565772933582.0,1962198.0,182.0,0.01141,-0.02191,-0.836,0.54822,0.01727,-230.15157,-12.346087,-2.816907006318434,0.28335630963688424,23.498702626864315
-1565772933577.0,1962202.0,187.0,0.01141,-0.02185,-0.83594,0.54822,0.01727,-230.25146,-12.326441,-2.811001134114555,0.2796654313985844,23.489418038976268
-1565772933570.0,1962205.0,194.0,0.01135,-0.02179,-0.83594,0.54828,0.01727,-230.27928,-12.28512,-2.80155124180691,0.28179349094844747,23.486943007340003
-1565772933565.0,1962205.0,199.0,0.01135,-0.02173,-0.83594,0.54834,0.01727,-230.30484,-12.260248,-2.795873863236637,0.27817315659834424,23.484409298217827
-1565772933549.0,1962227.0,215.0,0.01129,-0.02173,-0.83588,0.54834,0.01727,-230.40672,-12.249313,-2.7919513750774754,0.2839983510931012,23.4754282832167
-1565772933547.0,1962227.0,217.0,0.01129,-0.02167,-0.83588,0.54834,0.01727,-230.40706,-12.22409,-2.786196505606942,0.2802281972623869,23.475185493499296
-1565772933546.0,1962227.0,218.0,0.01129,-0.02167,-0.83588,0.5484,0.01727,-230.43228,-12.224431,-2.786274039092617,0.2803771909904123,23.472896215090174
-1565772933542.0,1962227.0,222.0,0.01129,-0.02161,-0.83582,0.54846,0.01727,-230.55759,-12.20505,-2.7804483413677845,0.27683283216671806,23.461324248053828
-1565772933535.0,1962245.0,229.0,0.01123,-0.02161,-0.83582,0.54846,0.01727,-230.55972,-12.188568,-2.776674290662869,0.28257957565885566,23.46138340297317
-1565772933531.0,1962245.0,233.0,0.01123,-0.02161,-0.83582,0.54852,0.01727,-230.58499,-12.188908,-2.7767514127374455,0.28272815688228586,23.459095645752157
-1565772933523.0,1962245.0,241.0,0.01117,-0.02161,-0.83575,0.54852,0.01727,-230.70383,-12.1788435,-2.772803844602885,0.28856450356748536,23.44860534306838
-1565772933519.0,1962259.0,245.0,0.01117,-0.02155,-0.83569,0.54865,0.01727,-230.85881,-12.159815,-2.7670681621494735,0.2851909430781337,23.434367082682584
-1565772933514.0,1962264.0,250.0,0.01111,-0.02155,-0.83569,0.54871,0.01727,-230.88625,-12.143647,-2.763369175845247,0.2910849656952413,23.43214104242176
-1565772933507.0,1962264.0,257.0,0.01111,-0.02155,-0.83563,0.54871,0.01727,-230.98639,-12.149135,-2.7632211793332067,0.29116135341454263,23.42309701693837
-1565772933502.0,1962277.0,262.0,0.01105,-0.02155,-0.83563,0.54877,0.01727,-231.01385,-12.132955,-2.7595214048617303,0.2970549666171887,23.42087203848199
-1565772933497.0,1962281.0,267.0,0.01105,-0.02155,-0.83557,0.54883,0.01727,-231.13937,-12.138775,-2.759449294921731,0.2972791107214015,23.40954411181741
-1565772933491.0,1962285.0,273.0,0.01105,-0.02148,-0.83557,0.54889,0.01727,-231.16504,-12.109612,-2.752813800434116,0.2930243498945392,23.40698021443542
-1565772933485.0,1962285.0,279.0,0.01099,-0.02148,-0.83551,0.54889,0.01727,-231.26753,-12.098552,-2.7488894190643203,0.29884494534910966,23.39799322901193
-1565772933481.0,1962296.0,283.0,0.01099,-0.02148,-0.83551,0.54895,0.01727,-231.29285,-12.098886,-2.7489648948179597,0.2989926329602817,23.39571196590643
-1565772933475.0,1962300.0,289.0,0.01099,-0.02148,-0.83551,0.54895,0.01727,-231.29285,-12.098886,-2.7489648948179597,0.2989926329602817,23.39571196590643
-1565772933469.0,1962308.0,295.0,0.01093,-0.02142,-0.83545,0.54907,0.01727,-231.44638,-12.063168,-2.7394385187718266,0.30133260178794335,23.381923003497306
-1565772933464.0,1962308.0,300.0,0.01093,-0.02142,-0.83539,0.54913,0.01727,-231.57234,-12.068964,-2.7393664762688985,0.30155502708238247,23.370597104787308
-1565772933458.0,1962317.0,306.0,0.01086,-0.02148,-0.83539,0.54913,0.01727,-231.57451,-12.074955,-2.74070963167773,0.3120317220297326,23.370906406783533
-1565772933452.0,1962328.0,312.0,0.01086,-0.02148,-0.83533,0.54919,0.01727,-231.70044,-12.080747,-2.740636696371387,0.31225407879061595,23.359580525816185
-1565772933446.0,1962328.0,318.0,0.01086,-0.02148,-0.83533,0.54926,0.01727,-231.73,-12.081131,-2.740723710525859,0.3124263812189503,23.356923882405354
-1565772933441.0,1962328.0,323.0,0.01086,-0.02142,-0.83527,0.54932,0.01727,-231.85645,-12.061594,-2.734900263417286,0.3088718363218786,23.34535805538121
-1565772933435.0,1962342.0,329.0,0.01086,-0.02142,-0.83527,0.54932,0.01727,-231.85645,-12.061594,-2.734900263417286,0.3088718363218786,23.34535805538121
-1565772933431.0,1962342.0,333.0,0.01086,-0.02142,-0.83521,0.54938,0.01727,-231.98259,-12.067385,-2.734827739845363,0.3090937804806759,23.33403340236758
-1565772933425.0,1962352.0,339.0,0.01086,-0.02148,-0.83521,0.54944,0.01727,-232.0076,-12.093062,-2.740652423476802,0.31301878256634624,23.332000197994986
-1565772933419.0,1962360.0,345.0,0.01093,-0.02148,-0.83514,0.5495,0.01727,-232.14832,-12.119168,-2.7449660451028706,0.3065544865583939,23.319100067512423
-1565772933414.0,1962360.0,350.0,0.01093,-0.02148,-0.83514,0.54956,0.01727,-232.1737,-12.1195,-2.7450411090915727,0.3067021742745806,23.316827232124623
-1565772933408.0,1962370.0,356.0,0.01093,-0.02148,-0.83508,0.54956,0.01727,-232.27472,-12.124993,-2.7448935908321883,0.3067773244959364,23.307776404229216
-1565772933404.0,1962374.0,360.0,0.01093,-0.02148,-0.83508,0.54962,0.01727,-232.3001,-12.125326,-2.744968654829992,0.30692501221519797,23.30550466546609
-1565772933397.0,1962374.0,367.0,0.01093,-0.02148,-0.83502,0.54962,0.01727,-232.40138,-12.130832,-2.7448211365527193,0.3070001624381191,23.296452741823543
-1565772933392.0,1962387.0,372.0,0.01093,-0.02148,-0.83502,0.54968,0.01727,-232.42677,-12.131165,-2.7448962005596256,0.3071478501604581,23.294182099800537
-1565772933387.0,1962387.0,377.0,0.01093,-0.02148,-0.83502,0.54974,0.01727,-232.45218,-12.131496,-2.7449712645571016,0.30729553788483815,23.2919118757075
-1565772933382.0,1962387.0,382.0,0.01086,-0.02148,-0.83496,0.5498,0.01727,-232.58148,-12.117924,-2.7404852628679652,0.31421603019203304,23.28065850652277
-1565772933376.0,1962398.0,388.0,0.01086,-0.02148,-0.83496,0.5498,0.01727,-232.58148,-12.117924,-2.7404852628679652,0.31421603019203304,23.28065850652277
-1565772933370.0,1962410.0,394.0,0.01086,-0.02148,-0.8349,0.54987,0.01727,-232.71254,-12.12381,-2.7404247581332095,0.31446300163683916,23.268959046897166
-1565772933363.0,1962410.0,401.0,0.01086,-0.02142,-0.8349,0.54993,0.01727,-232.73827,-12.098735,-2.734751370316964,0.3108295929807621,23.26645002984965
-1565772933359.0,1962410.0,405.0,0.01086,-0.02142,-0.83484,0.54993,0.01727,-232.83986,-12.104234,-2.7346042627987006,0.3109042619396619,23.25739621572741
-1565772933354.0,1962422.0,410.0,0.01086,-0.02142,-0.83484,0.54999,0.01727,-232.86526,-12.104564,-2.7346788467270353,0.3110515371805866,23.255129771231324
-1565772933347.0,1962428.0,417.0,0.0108,-0.02142,-0.83484,0.54999,0.01727,-232.86746,-12.0879,-2.730894537398354,0.3167915603660465,23.25518791756771
-1565772933341.0,1962428.0,423.0,0.0108,-0.02136,-0.83478,0.55005,0.01727,-232.99492,-12.068297,-2.7250744952003827,0.31323116973351095,23.24362667501606
-1565772933337.0,1962442.0,427.0,0.0108,-0.02136,-0.83478,0.55011,0.01727,-233.02032,-12.068626,-2.7251486676650885,0.3133780324712376,23.241361748538765
-1565772933330.0,1962447.0,434.0,0.01074,-0.0213,-0.83472,0.55011,0.01727,-233.12462,-12.031988,-2.7154702172992864,0.3154091525962869,23.232123870163164
-1565772933325.0,1962447.0,439.0,0.01074,-0.0213,-0.83472,0.55017,0.01727,-233.15007,-12.032317,-2.715543978300817,0.31555560282877837,23.22986004468237
-1565772933320.0,1962459.0,444.0,0.01074,-0.0213,-0.83472,0.55017,0.01727,-233.15007,-12.032317,-2.715543978300817,0.31555560282877837,23.22986004468237
-1565772933313.0,1962463.0,451.0,0.01068,-0.02124,-0.83466,0.55029,0.01727,-233.30534,-11.996294,-2.7060127117849073,0.3178775612276374,23.216096325899528
-1565772933309.0,1962470.0,455.0,0.01068,-0.02124,-0.83459,0.55029,0.01727,-233.4244,-12.002666,-2.7058425244002717,0.31796323119599595,23.205529595568805
-1565772933303.0,1962470.0,461.0,0.01068,-0.02124,-0.83459,0.55035,0.01727,-233.44984,-12.002993,-2.705915873932681,0.3181092689286089,23.203268498072617
-1565772933297.0,1962478.0,467.0,0.01068,-0.02124,-0.83459,0.55035,0.01727,-233.44984,-12.002993,-2.705915873932681,0.3181092689286089,23.203268498072617
-1565772933292.0,1962484.0,472.0,0.01068,-0.02124,-0.83453,0.55042,0.01727,-233.58171,-12.00884,-2.7058555734750387,0.3183530776902038,23.191573435863887
-1565772933287.0,1962484.0,477.0,0.01068,-0.02124,-0.83453,0.55048,0.01727,-233.6072,-12.009165,-2.7059289230058683,0.3184991154283356,23.18931392079115
-1565772933280.0,1962494.0,484.0,0.01068,-0.02124,-0.83447,0.55054,0.01727,-233.73499,-12.014966,-2.7058563976271195,0.3187185845754086,23.17799677187672
-1565772933275.0,1962494.0,489.0,0.01074,-0.0213,-0.83441,0.5506,0.01727,-233.86034,-12.063014,-2.715316788892947,0.31698668985718503,23.166862038662188
-1565772933269.0,1962506.0,495.0,0.01074,-0.0213,-0.83441,0.55066,0.01727,-233.88585,-12.063341,-2.7153905499132134,0.31713314011193483,23.16460512885513
