eye_packets,769
norm_X,norm_Y,phi,theta,confidence,timestamp
1595910637.911722,"{'circle_3d': {'center': [6.663162163903177, 7.344715288016586, 73.26607348933453], 'normal': [-0.24322050803419556, 0.6285827288820477, -0.7387337391934837], 'radius': 1.7143391273280293}, 'confidence': 0.9949775636274079, 'timestamp': 776.275287, 'diameter_3d': 3.4286782546560586, 'ellipse': {'center': [216.46075716913032, 182.0110314126298], 'axes': [20.12399280084719, 29.203479072783047], 'angle': -75.0264680525231}, 'location': [216.46075716913032, 182.0110314126298], 'diameter': 29.203479072783047, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.06036464741283609, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.250525905594612, 'phi': -1.8888581384889895, 'norm_pos': [0.6764398661535322, 0.24162070244737588], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.920807,"{'circle_3d': {'center': [6.645665003595372, 7.375874008848697, 73.29847821447166], 'normal': [-0.2446786047265127, 0.6311792889513903, -0.736033345432056], 'radius': 1.7598454859842296}, 'confidence': 0.99303013870689, 'timestamp': 776.283687, 'diameter_3d': 3.5196909719684593, 'ellipse': {'center': [216.29202889574245, 182.23972120170046], 'axes': [20.556663768027228, 29.965478639993183], 'angle': -74.9353406948842}, 'location': [216.29202889574245, 182.23972120170046], 'diameter': 29.965478639993183, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05940068191427894, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.2538690130866748, 'phi': -1.8917324861305678, 'norm_pos': [0.6759125902991951, 0.2406678283262481], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.928828,"{'circle_3d': {'center': [6.648693810050197, 7.372280331190185, 73.2943918195439], 'normal': [-0.24442620418861072, 0.6308798158131813, -0.7363738783427031], 'radius': 1.705929953578623}, 'confidence': 0.5540075160527419, 'timestamp': 776.292087, 'diameter_3d': 3.411859907157246, 'ellipse': {'center': [216.31596767769094, 182.22179108938394], 'axes': [19.938735603380525, 29.0488532660161], 'angle': -74.95292320231292}, 'location': [216.31596767769094, 182.22179108938394], 'diameter': 29.0488532660161, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05710151737897684, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.253482974092744, 'phi': -1.8912853349174619, 'norm_pos': [0.6759873989927841, 0.24074253712756688], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.936673,"{'circle_3d': {'center': [6.670492093697314, 7.386941742584198, 73.29975794101911], 'normal': [-0.24260968055135082, 0.6321016000960153, -0.735926701553102], 'radius': 1.7583034982615908}, 'confidence': 0.9967538026740331, 'timestamp': 776.300487, 'diameter_3d': 3.5166069965231816, 'ellipse': {'center': [216.50041139388162, 182.33232664043777], 'axes': [20.5262157690756, 29.939068457195305], 'angle': -75.12589811538298}, 'location': [216.50041139388162, 182.33232664043777], 'diameter': 29.939068457195305, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.056785615145615864, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.2550586908167127, 'phi': -1.8892422516706096, 'norm_pos': [0.67656378560588, 0.24028197233150927], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.949623,"{'circle_3d': {'center': [6.680947299794537, 7.413106227997813, 73.31884998568835], 'normal': [-0.2417384133765822, 0.6342819738804832, -0.7343356978306655], 'radius': 1.7321410292132162}, 'confidence': 0.9987567837703456, 'timestamp': 776.308887, 'diameter_3d': 3.4642820584264324, 'ellipse': {'center': [216.57150648826166, 182.54173007509763], 'axes': [20.154965301164133, 29.486013195146157], 'angle': -75.22908123211315}, 'location': [216.57150648826166, 182.54173007509763], 'diameter': 29.486013195146157, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05858040083991378, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.2578757324427436, 'phi': -1.8888162616387614, 'norm_pos': [0.6767859577758177, 0.23940945802042657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.952825,"{'circle_3d': {'center': [6.59366178317927, 7.410298783207647, 73.34563230708174], 'normal': [-0.24901220642785457, 0.6340480201479696, -0.7321038377145495], 'radius': 1.691430717521779}, 'confidence': 0.41712459203918917, 'timestamp': 776.317287, 'diameter_3d': 3.382861435043558, 'ellipse': {'center': [215.81094788220065, 182.50257172570775], 'axes': [19.623463459300254, 28.78115041480412], 'angle': -74.6015447079568}, 'location': [215.81094788220065, 182.50257172570775], 'diameter': 28.78115041480412, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05626597099455122, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.25757315301077, 'phi': -1.8986534738819878, 'norm_pos': [0.674409212131877, 0.23957261780955108], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.960031,"{'circle_3d': {'center': [6.658062663716931, 7.358996530177469, 73.2799280408819], 'normal': [-0.24364546638304937, 0.6297728323954547, -0.7375791932312034], 'radius': 1.7438050234555564}, 'confidence': 0.9931958883886118, 'timestamp': 776.325687, 'diameter_3d': 3.487610046911113, 'ellipse': {'center': [216.40957621909547, 182.11526855367623], 'axes': [20.426135578712977, 29.699914245939382], 'angle': -75.00568718140221}, 'location': [216.40957621909547, 182.11526855367623], 'diameter': 29.699914245939382, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05756111513807172, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.2520570556328336, 'phi': -1.889842588838071, 'norm_pos': [0.6762799256846733, 0.24118638102634904], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.971622,"{'circle_3d': {'center': [6.745569276527152, 7.407644808071321, 73.29313572362699], 'normal': [-0.23635324864886437, 0.6338268555532757, -0.736478553002445], 'radius': 1.697395732160457}, 'confidence': 0.9977824680774723, 'timestamp': 776.334087, 'diameter_3d': 3.394791464320914, 'ellipse': {'center': [217.1339061045964, 182.5227379367755], 'axes': [19.81213176438183, 28.90535858259367], 'angle': -75.6872062216862}, 'location': [217.1339061045964, 182.5227379367755], 'diameter': 28.90535858259367, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05841192224557146, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.257287183166499, 'phi': -1.8813367320204752, 'norm_pos': [0.6785434565768638, 0.23948859193010208], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.9803479,"{'circle_3d': {'center': [6.694483579276793, 7.443314115247926, 73.34057492887183], 'normal': [-0.2406103900863943, 0.6367992978179927, -0.7325252858987085], 'radius': 1.7701384531354931}, 'confidence': 0.9960909223421897, 'timestamp': 776.342487, 'diameter_3d': 3.5402769062709862, 'ellipse': {'center': [216.67218424305952, 182.7720915661151], 'axes': [20.520497161370724, 30.124362305717774], 'angle': -75.35805196703838}, 'location': [216.67218424305952, 182.7720915661151], 'diameter': 30.124362305717774, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05948848867379786, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.2611362343831716, 'phi': -1.888160814674732, 'norm_pos': [0.677100575759561, 0.2384496184745204], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.991934,"{'circle_3d': {'center': [6.700073676520715, 7.4399876030057115, 73.33585063726028], 'normal': [-0.24014454864940069, 0.6365220884644746, -0.7329189768663378], 'radius': 1.6947652730719553}, 'confidence': 0.45529975526551764, 'timestamp': 776.350887, 'diameter_3d': 3.3895305461439107, 'ellipse': {'center': [216.71643031224656, 182.76059596886802], 'axes': [19.659571967869564, 28.843244291375743], 'angle': -75.39428663543714}, 'location': [216.71643031224656, 182.76059596886802], 'diameter': 28.843244291375743, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.05690986649640184, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.260776756339681, 'phi': -1.8874276822571716, 'norm_pos': [0.6772388447257705, 0.2384975167963833], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595910637.998911,"{'circle_3d': {'center': [6.655301982950057, 7.398619868600104, 73.31482981118415], 'normal': [-0.24387552311362226, 0.6330747772640075, -0.7346707123726822], 'radius': 1.7377935300950265}, 'confidence': 0.9936410868370436, 'timestamp': 776.359287, 'diameter_3d': 3.475587060190053, 'ellipse': {'center': [216.35873969795742, 182.42188307619898], 'axes': [20.242274356237424, 29.58349350919487], 'angle': -75.0295815013128}, 'location': [216.35873969795742, 182.42188307619898], 'diameter': 29.58349350919487, 'sphere': {'center': [9.581808260313524, -0.19827745856798626, 82.13087835965634], 'radius': 12.0}, 'projected_sphere': {'center': [232.3323704804372, 118.50321795203718], 'axes': [181.17424648546353, 181.17424648546353], 'angle': 90.0}, 'model_confidence': 0.056162338929666156, 'model_id': 84, 'model_birth_timestamp': 767.833317, 'theta': 2.256315233122323, 'phi': -1.8913033022838845, 'norm_pos': [0.676121061556117, 0.23990882051583762], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
