eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1595922834.735212,"{'circle_3d': {'center': [6.559418323192772, 9.983142821585048, 72.3457840977823], 'normal': [-0.13019016430327426, 0.6416287469261289, -0.7558856211337084], 'radius': 3.235534565243472}, 'confidence': 0.9994150781758884, 'timestamp': 9229.186513, 'diameter_3d': 6.471069130486944, 'ellipse': {'center': [216.38428726336767, 205.0265191799604], 'axes': [37.49606196903532, 55.77605442924102], 'angle': -83.91511104407806}, 'location': [216.38428726336767, 205.0265191799604], 'diameter': 55.77605442924102, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8518171494141025, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2674161980567917, 'phi': -1.7413581639870819, 'norm_pos': [0.6762008976980239, 0.14572283675016506], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.7486458,"{'circle_3d': {'center': [6.555854564764322, 9.984727924364046, 72.34774445760534], 'normal': [-0.1304871441723118, 0.6417608388243787, -0.7557222578151209], 'radius': 3.1885769846127716}, 'confidence': 0.998970169244595, 'timestamp': 9229.194913, 'diameter_3d': 6.377153969225543, 'ellipse': {'center': [216.34754627283448, 205.05311205448567], 'axes': [36.94054244871331, 54.96444617482591], 'angle': -83.88959420595519}, 'location': [216.34754627283448, 205.05311205448567], 'diameter': 54.96444617482591, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8525853820038898, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2675884259197567, 'phi': -1.7417759462214337, 'norm_pos': [0.6760860821026078, 0.14561203310630977], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.7570932,"{'circle_3d': {'center': [6.5568185175658344, 9.964749524429385, 72.33065048762705], 'normal': [-0.13040681477218574, 0.640095972163157, -0.7571467553133117], 'radius': 3.200135997800936}, 'confidence': 0.9992778535433107, 'timestamp': 9229.203313, 'diameter_3d': 6.400271995601872, 'ellipse': {'center': [216.3703020674614, 204.89804416038845], 'axes': [37.18202042497256, 55.176793432611056], 'angle': -83.89367046804992}, 'location': [216.3703020674614, 204.89804416038845], 'diameter': 55.176793432611056, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8536579767724151, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2654195017008822, 'phi': -1.7413574439869337, 'norm_pos': [0.6761571939608169, 0.14625814933171477], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.7654169,"{'circle_3d': {'center': [6.566998371281782, 9.963905194435444, 72.32818943955175], 'normal': [-0.12955849362919009, 0.6400256113303285, -0.7573518426529207], 'radius': 3.210308414286988}, 'confidence': 0.9995114498842519, 'timestamp': 9229.211713, 'diameter_3d': 6.420616828573976, 'ellipse': {'center': [216.45983947681907, 204.89022996777697], 'axes': [37.31056533370667, 55.354075732657], 'angle': -83.96662298857095}, 'location': [216.45983947681907, 204.89022996777697], 'diameter': 55.354075732657, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8545255035143473, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.265327924699203, 'phi': -1.7402240823183563, 'norm_pos': [0.6764369983650595, 0.14629070846759595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.772233,"{'circle_3d': {'center': [6.564086861288638, 9.969074140525578, 72.33305893742155], 'normal': [-0.12980111946195214, 0.6404563568378397, -0.7569460511637707], 'radius': 3.239185543354791}, 'confidence': 0.9992806397530252, 'timestamp': 9229.220113, 'diameter_3d': 6.478371086709582, 'ellipse': {'center': [216.43430461894883, 204.91949357099827], 'axes': [37.61719814427162, 55.84873261188402], 'angle': -83.94660557203655}, 'location': [216.43430461894883, 204.91949357099827], 'diameter': 55.84873261188402, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8551835946605024, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2658886641362184, 'phi': -1.7406245742986206, 'norm_pos': [0.6763572019342151, 0.14616877678750717], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.781062,"{'circle_3d': {'center': [6.567757025365017, 9.953363618126506, 72.31916177426724], 'normal': [-0.12949527245558717, 0.639147146637917, -0.7581041480932961], 'radius': 3.189048890771002}, 'confidence': 0.9993054746120759, 'timestamp': 9229.228513, 'diameter_3d': 6.378097781542004, 'ellipse': {'center': [216.4711474791568, 204.81723756044119], 'axes': [37.119488786828796, 54.993996500287324], 'angle': -83.97050425714343}, 'location': [216.4711474791568, 204.81723756044119], 'diameter': 54.993996500287324, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8558631591436661, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2641851604774637, 'phi': -1.7399781165904027, 'norm_pos': [0.676472335872365, 0.14659484349816176], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.78791,"{'circle_3d': {'center': [6.5784488556937974, 9.95809699947682, 72.32133387550594], 'normal': [-0.12860428659485548, 0.6395415950837766, -0.757923139656738], 'radius': 3.2030779974520174}, 'confidence': 0.9992834196680039, 'timestamp': 9229.236913, 'diameter_3d': 6.406155994904035, 'ellipse': {'center': [216.56181754830806, 204.85060255536638], 'axes': [37.26363143187773, 55.234345917770646], 'angle': -84.04799214958561}, 'location': [216.56181754830806, 204.85060255536638], 'diameter': 55.234345917770646, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.856496532053741, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2646981503714376, 'phi': -1.738875312441636, 'norm_pos': [0.6767556798384626, 0.14645582268597346], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.7956889,"{'circle_3d': {'center': [6.553446155032619, 9.95803838769113, 72.32556222272267], 'normal': [-0.1306878449832871, 0.6395367107683022, -0.7575707773886776], 'radius': 3.221784772845202}, 'confidence': 0.9997432718347302, 'timestamp': 9229.245313, 'diameter_3d': 6.443569545690404, 'ellipse': {'center': [216.34787598256162, 204.83945673960824], 'axes': [37.468124372288045, 55.554303469076984], 'angle': -83.86859238589167}, 'location': [216.34787598256162, 204.83945673960824], 'diameter': 55.554303469076984, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8570942283189997, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.264691796860801, 'phi': -1.7416240820675393, 'norm_pos': [0.676087112445505, 0.14650226358496565], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.803186,"{'circle_3d': {'center': [6.5814099128024575, 9.95181174347894, 72.31553239864523], 'normal': [-0.1283575318358005, 0.6390178237506199, -0.7584065960617979], 'radius': 3.2069313302490885}, 'confidence': 0.9995363230453188, 'timestamp': 9229.253713, 'diameter_3d': 6.413862660498177, 'ellipse': {'center': [216.5919456036787, 204.80217682089426], 'axes': [37.34368218134515, 55.30521349776085], 'angle': -84.06847475853466}, 'location': [216.5919456036787, 204.80217682089426], 'diameter': 55.30521349776085, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8578630694261236, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.264017020490315, 'phi': -1.738453890586074, 'norm_pos': [0.676849830011496, 0.1466575965796072], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.814668,"{'circle_3d': {'center': [6.593436029067, 9.951690689856825, 72.3134032209917], 'normal': [-0.1273553554804219, 0.639007735948777, -0.758584027532925], 'radius': 3.1981980444284255}, 'confidence': 0.9993064750445708, 'timestamp': 9229.262113, 'diameter_3d': 6.396396088856851, 'ellipse': {'center': [216.69498480328838, 204.8062798944046], 'axes': [37.24887686572913, 55.155931359797584], 'angle': -84.15483867876306}, 'location': [216.69498480328838, 204.8062798944046], 'diameter': 55.155931359797584, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8586588854685995, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.2640039057571366, 'phi': -1.7371307852155, 'norm_pos': [0.6771718275102762, 0.14664050043998078], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595922834.8198242,"{'circle_3d': {'center': [6.597741812747874, 9.963366759848292, 72.32252898307036], 'normal': [-0.12699654017368242, 0.6399807417813993, -0.7578235473597031], 'radius': 3.2055979280987628}, 'confidence': 0.9988829490353752, 'timestamp': 9229.270513, 'diameter_3d': 6.4111958561975255, 'ellipse': {'center': [216.72518771065623, 204.89330181287892], 'axes': [37.27517016386285, 55.276681019476605], 'angle': -84.18713916373473}, 'location': [216.72518771065623, 204.89330181287892], 'diameter': 55.276681019476605, 'sphere': {'center': [8.121700294832063, 2.2835978584715013, 81.4164115513868], 'radius': 12.0}, 'projected_sphere': {'center': [221.84814691344755, 137.38999109975163], 'axes': [182.76413460704217, 182.76413460704217], 'angle': 90.0}, 'model_confidence': 0.8591427903104631, 'model_id': 117, 'model_birth_timestamp': 8977.676694, 'theta': 2.265269529112675, 'phi': -1.7368341244211112, 'norm_pos': [0.6772662115958007, 0.14627790911300453], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
