eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1595921815.021305,"{'circle_3d': {'center': [6.0299043637149055, 9.200617875717477, 68.41981383903318], 'normal': [-0.13536263363558387, 0.630829536186899, -0.7640229405518271], 'radius': 3.2313883274336326}, 'confidence': 0.9997218051509074, 'timestamp': 8209.463565, 'diameter_3d': 6.462776654867265, 'ellipse': {'center': [214.83513963880836, 202.78359042526768], 'axes': [40.30438540719437, 58.89333096644346], 'angle': -83.36795774526418}, 'location': [214.83513963880836, 202.78359042526768], 'diameter': 58.89333096644346, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9652165451138894, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2534181724935167, 'phi': -1.7461476077969058, 'norm_pos': [0.6713598113712761, 0.15506837322805134], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.028499,"{'circle_3d': {'center': [6.037330857378637, 9.198628935726031, 68.41685957522996], 'normal': [-0.13474375916360626, 0.630663791187612, -0.764269129202095], 'radius': 3.2461873518919937}, 'confidence': 0.9995888606056453, 'timestamp': 8209.471965, 'diameter_3d': 6.492374703783987, 'ellipse': {'center': [214.9060022552944, 202.76357284249673], 'axes': [40.505347906196164, 59.16578318363033], 'angle': -83.42187721788959}, 'location': [214.9060022552944, 202.76357284249673], 'diameter': 59.16578318363033, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9652910857539942, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2532045804979863, 'phi': -1.7453070334496876, 'norm_pos': [0.671581257047795, 0.15515177982293027], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.036952,"{'circle_3d': {'center': [6.020445617083421, 9.20273755412938, 68.42324557151558], 'normal': [-0.1361508625215409, 0.6310061760545577, -0.7637369628449607], 'radius': 3.25225308602774}, 'confidence': 0.9997853299198881, 'timestamp': 8209.480365, 'diameter_3d': 6.50450617205548, 'ellipse': {'center': [214.74994690777493, 202.79118883256825], 'axes': [40.54692576907938, 59.27108639357647], 'angle': -83.29946379613914}, 'location': [214.74994690777493, 202.79118883256825], 'diameter': 59.27108639357647, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.965430981452664, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2536458453059183, 'phi': -1.7472123866057185, 'norm_pos': [0.6710935840867966, 0.15503671319763224], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.047188,"{'circle_3d': {'center': [6.017602413696309, 9.191972144520902, 68.41486854384324], 'normal': [-0.1363877961371336, 0.6301090585871845, -0.7644350484843221], 'radius': 3.2203012044130737}, 'confidence': 0.9987869331254647, 'timestamp': 8209.488765, 'diameter_3d': 6.440602408826147, 'ellipse': {'center': [214.7272812184971, 202.7154422279548], 'axes': [40.2063659339258, 58.695370733412425], 'angle': -83.27590450851588}, 'location': [214.7272812184971, 202.7154422279548], 'diameter': 58.695370733412425, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9654455738570267, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2524899780746774, 'phi': -1.7473550002839215, 'norm_pos': [0.6710227538078034, 0.15535232405018828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.054744,"{'circle_3d': {'center': [5.996436408230576, 9.18976183147115, 68.41684788797191], 'normal': [-0.13815162992594476, 0.6299248658330385, -0.7642701031402662], 'radius': 3.2287427832482103}, 'confidence': 0.9995151674532007, 'timestamp': 8209.497165, 'diameter_3d': 6.457485566496421, 'ellipse': {'center': [214.53658474042925, 202.69032372392618], 'axes': [40.310392792899, 58.84784262376087], 'angle': -83.12059165585507}, 'location': [214.53658474042925, 202.69032372392618], 'diameter': 58.84784262376087, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.965507981928948, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2522527939725694, 'phi': -1.7496280606492516, 'norm_pos': [0.6704268273138414, 0.15545698448364087], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.0636852,"{'circle_3d': {'center': [6.015698039760486, 9.18712650120443, 68.41121634976352], 'normal': [-0.13654649396511886, 0.6297052549774784, -0.7647393979909645], 'radius': 3.21326136557402}, 'confidence': 0.9992722570945624, 'timestamp': 8209.505565, 'diameter_3d': 6.42652273114804, 'ellipse': {'center': [214.7122613243476, 202.67851018960792], 'axes': [40.14415475314716, 58.5700520763403], 'angle': -83.26074729285055}, 'location': [214.7122613243476, 202.67851018960792], 'diameter': 58.5700520763403, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9654131624337148, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2519700617730622, 'phi': -1.7474872986766166, 'norm_pos': [0.6709758166385862, 0.15550620754330036], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.073122,"{'circle_3d': {'center': [6.0178453135160765, 9.200612439613147, 68.42195404386474], 'normal': [-0.1363675544854863, 0.630829083178205, -0.763844590149196], 'radius': 3.2233103891946766}, 'confidence': 0.9995087295567143, 'timestamp': 8209.513965, 'diameter_3d': 6.446620778389353, 'ellipse': {'center': [214.7241313992019, 202.78412031264725], 'axes': [40.19566839583595, 58.74423533382232], 'angle': -83.27978790937}, 'location': [214.7241313992019, 202.78412031264725], 'diameter': 58.74423533382232, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9654064479392765, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.253417588660467, 'phi': -1.7474629786586688, 'norm_pos': [0.6710129106225059, 0.15506616536396978], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.0798059,"{'circle_3d': {'center': [5.984834699937419, 9.19646885642391, 68.42448606490096], 'normal': [-0.1391184389503744, 0.6304837845791018, -0.7636335883961781], 'radius': 3.2572530539599955}, 'confidence': 0.9999448980321042, 'timestamp': 8209.522365, 'diameter_3d': 6.514506107919991, 'ellipse': {'center': [214.42976526999516, 202.731685752361], 'axes': [40.62109788876862, 59.36148769677532], 'angle': -83.03774110752644}, 'location': [214.42976526999516, 202.731685752361], 'diameter': 59.36148769677532, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9655058402959327, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2529726518637245, 'phi': -1.7509996283108447, 'norm_pos': [0.6700930164687349, 0.15528464269849585], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.089142,"{'circle_3d': {'center': [6.013450677750456, 9.201485316091556, 68.42346070195612], 'normal': [-0.13673377413262133, 0.630901822884739, -0.7637190353082492], 'radius': 3.213861633996489}, 'confidence': 0.9997643387169697, 'timestamp': 8209.530764, 'diameter_3d': 6.427723267992978, 'ellipse': {'center': [214.68231007132323, 202.7937291230579], 'axes': [40.06987161963411, 58.57062486970872], 'angle': -83.24783758687461}, 'location': [214.68231007132323, 202.7937291230579], 'diameter': 58.57062486970872, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9655885674107578, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2535113384135044, 'phi': -1.747956088603585, 'norm_pos': [0.6708822189728851, 0.1550261286539255], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.095673,"{'circle_3d': {'center': [6.022906602496346, 9.195207613854642, 68.41659139006521], 'normal': [-0.13594578040379718, 0.6303786810316627, -0.7642914779658241], 'radius': 3.2222045906568066}, 'confidence': 0.9994036158347143, 'timestamp': 8209.539164, 'diameter_3d': 6.444409181313613, 'ellipse': {'center': [214.77377240200366, 202.7419077003973], 'axes': [40.21547439436161, 58.72859033711621], 'angle': -83.31548339730972}, 'location': [214.77377240200366, 202.7419077003973], 'diameter': 58.72859033711621, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9654964430244051, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.252837251914398, 'phi': -1.7468269396294307, 'norm_pos': [0.6711680387562614, 0.15524205124834467], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921815.105367,"{'circle_3d': {'center': [5.98971277246681, 9.203256936814121, 68.42920689545157], 'normal': [-0.1387119329062585, 0.6310494579449527, -0.7632401858502939], 'radius': 3.2479213716961306}, 'confidence': 0.9997661249833816, 'timestamp': 8209.547564, 'diameter_3d': 6.495842743392261, 'ellipse': {'center': [214.46864636152804, 202.79085629775687], 'axes': [40.46939395022607, 59.18717700048736], 'angle': -83.07513011492442}, 'location': [214.46864636152804, 202.79085629775687], 'diameter': 59.18717700048736, 'sphere': {'center': [7.654255967341912, 1.6306634414746883, 77.5880891256551], 'radius': 12.0}, 'projected_sphere': {'center': [221.16452606618975, 133.0304966278646], 'axes': [191.78201406534978, 191.78201406534978], 'angle': 90.0}, 'model_confidence': 0.9656587854640963, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.25370163817875, 'phi': -1.7505749845721919, 'norm_pos': [0.6702145198797751, 0.15503809875934638], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
