eye_packets,781
norm_X,norm_Y,phi,theta,confidence,timestamp
1596007335.191228,"{'circle_3d': {'center': [3.696044752402693, 1.596369318361261, 74.90552147953694], 'normal': [-0.21758077357694708, 0.5074756181434648, -0.8337428284306652], 'radius': 2.831965398850365}, 'confidence': 0.9997008863933188, 'timestamp': 16055.132669, 'diameter_3d': 5.66393079770073, 'ellipse': {'center': [190.76668063051883, 132.8439331747462], 'axes': [39.04388269392888, 46.95841288953372], 'angle': -71.39359084138549}, 'location': [190.76668063051883, 132.8439331747462], 'diameter': 46.95841288953372, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8679613492293181, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.103048929075423, 'phi': -1.826071523861149, 'norm_pos': [0.5961458769703714, 0.4464836117718908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.1994472,"{'circle_3d': {'center': [3.690770925580296, 1.6220476532232029, 74.92257633640631], 'normal': [-0.21802025914548018, 0.50961547938196, -0.8323215903582177], 'radius': 2.8396754780888798}, 'confidence': 0.9985461617964577, 'timestamp': 16055.141069, 'diameter_3d': 5.6793509561777595, 'ellipse': {'center': [190.71707782801118, 133.05076516402386], 'axes': [39.0646549900159, 47.075743522019096], 'angle': -71.41235347621733}, 'location': [190.71707782801118, 133.05076516402386], 'diameter': 47.075743522019096, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8678538568835048, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.105534149936125, 'phi': -1.8269828683623905, 'norm_pos': [0.595990868212535, 0.44562181181656724], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.208816,"{'circle_3d': {'center': [3.6695068271456335, 1.6185395784434355, 74.92602221920127], 'normal': [-0.21979226734836874, 0.5093231398169793, -0.8320344334586381], 'radius': 2.8508358260888773}, 'confidence': 0.9996185600842312, 'timestamp': 16055.149469, 'diameter_3d': 5.701671652177755, 'ellipse': {'center': [190.5422903748581, 133.01856804995353], 'axes': [39.20616786266294, 47.258004265869154], 'angle': -71.20558411882995}, 'location': [190.5422903748581, 133.01856804995353], 'diameter': 47.258004265869154, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.867844816749197, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.1051944133138023, 'phi': -1.8290593171822915, 'norm_pos': [0.5954446574214316, 0.445755966458527], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.2150028,"{'circle_3d': {'center': [3.6758947881216995, 1.5934128681943855, 74.90900181516804], 'normal': [-0.2192599372670299, 0.5072292472962251, -0.8334528004614077], 'radius': 2.828703943298089}, 'confidence': 0.9994708290574094, 'timestamp': 16055.157869, 'diameter_3d': 5.657407886596178, 'ellipse': {'center': [190.59919658739685, 132.82004422813174], 'axes': [38.986353983301434, 46.90150740174388], 'angle': -71.19767325413244}, 'location': [190.59919658739685, 132.82004422813174], 'diameter': 46.90150740174388, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.867850420738514, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.102763029345144, 'phi': -1.8280417756526621, 'norm_pos': [0.5956224893356151, 0.44658314904945107], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.223425,"{'circle_3d': {'center': [3.6900539498547724, 1.598523914204172, 74.90839877216479], 'normal': [-0.21808000712260717, 0.5076551677970407, -0.8335030540450119], 'radius': 2.8473008015917842}, 'confidence': 0.9998162418944838, 'timestamp': 16055.166269, 'diameter_3d': 5.6946016031835685, 'ellipse': {'center': [190.71812129405936, 132.85726453559215], 'axes': [39.242324934603815, 47.210846593445005], 'angle': -71.34346208705314}, 'location': [190.71812129405936, 132.85726453559215], 'diameter': 47.210846593445005, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8681070239482058, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.103257316837269, 'phi': -1.8267024734861899, 'norm_pos': [0.5959941290439354, 0.4464280644350327], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.23102,"{'circle_3d': {'center': [3.67862801519124, 1.6208003659274839, 74.92500114089276], 'normal': [-0.21903216834456818, 0.5095115387739834, -0.8321195233176808], 'radius': 2.8493237409667542}, 'confidence': 0.9993527261563995, 'timestamp': 16055.174669, 'diameter_3d': 5.6986474819335085, 'ellipse': {'center': [190.61747464710518, 133.03767190076545], 'axes': [39.18822888436367, 47.233864035929884], 'angle': -71.29627394528205}, 'location': [190.61747464710518, 133.03767190076545], 'diameter': 47.233864035929884, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8679646574365818, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.1054133495922294, 'phi': -1.8281799977594246, 'norm_pos': [0.5956796082722037, 0.445676367080144], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.2416909,"{'circle_3d': {'center': [3.7044320422360384, 1.6184658620398116, 74.91681649127514], 'normal': [-0.21688183275750167, 0.509316996783344, -0.832801577452482], 'radius': 2.8718159930092715}, 'confidence': 0.9999254921637131, 'timestamp': 16055.183069, 'diameter_3d': 5.743631986018543, 'ellipse': {'center': [190.83574762656303, 133.01359889176277], 'axes': [39.53334051273619, 47.61282758019193], 'angle': -71.5302128453923}, 'location': [190.83574762656303, 133.01359889176277], 'diameter': 47.61282758019193, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8681303729893952, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.105187275042141, 'phi': -1.825561850751307, 'norm_pos': [0.5963617113330095, 0.44577667128432175], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.2472131,"{'circle_3d': {'center': [3.6939460463388967, 1.5970196426831107, 74.90646529585638], 'normal': [-0.21775566574893013, 0.5075298118369522, -0.8336641770707124], 'radius': 2.8428402618883775}, 'confidence': 0.9992380282190366, 'timestamp': 16055.191469, 'diameter_3d': 5.685680523776755, 'ellipse': {'center': [190.75037357526276, 132.84631536652583], 'axes': [39.18966493773494, 47.13816702521592], 'angle': -71.37576992672614}, 'location': [190.75037357526276, 132.84631536652583], 'diameter': 47.13816702521592, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8679127624475536, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.1031118243154703, 'phi': -1.826290973111281, 'norm_pos': [0.5960949174226962, 0.446473685972809], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.2562828,"{'circle_3d': {'center': [3.67085279182984, 1.59693248084689, 74.91247272032686], 'normal': [-0.21968010362468485, 0.5075225483506005, -0.8331635583648387], 'radius': 2.8528887856416154}, 'confidence': 0.9996323113088129, 'timestamp': 16055.199869, 'diameter_3d': 5.705777571283231, 'ellipse': {'center': [190.55930596500068, 132.84220585084435], 'axes': [39.30348747882936, 47.300386877356715], 'angle': -71.1602492899322}, 'location': [190.55930596500068, 132.84220585084435], 'diameter': 47.300386877356715, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8678339075008923, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.1031033944407733, 'phi': -1.8285987712774627, 'norm_pos': [0.5954978311406272, 0.4464908089548152], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.2673962,"{'circle_3d': {'center': [3.6901460079287647, 1.5979996305049111, 74.90805538453823], 'normal': [-0.21807233561644113, 0.5076114774887689, -0.8335316696805583], 'radius': 2.845824807698712}, 'confidence': 0.9996155073510613, 'timestamp': 16055.208269, 'diameter_3d': 5.691649615397424, 'ellipse': {'center': [190.71884011746926, 132.85338634947632], 'axes': [39.22369599624016, 47.18657518432616], 'angle': -71.34292074710572}, 'location': [190.71884011746926, 132.85338634947632], 'diameter': 47.18657518432616, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8680399636629699, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.1032066069180475, 'phi': -1.826685452633845, 'norm_pos': [0.5959963753670914, 0.4464442235438486], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596007335.27602,"{'circle_3d': {'center': [3.6626134535531722, 1.6074831937848684, 74.92108483559552], 'normal': [-0.2203667151477405, 0.5084017744287653, -0.8324458820924501], 'radius': 2.8407084697052905}, 'confidence': 0.9997024560625097, 'timestamp': 16055.216669, 'diameter_3d': 5.681416939410581, 'ellipse': {'center': [190.48646093084722, 132.93100784474856], 'axes': [39.093716606000314, 47.09282096547795], 'angle': -71.11191051259685}, 'location': [190.48646093084722, 132.93100784474856], 'diameter': 47.09282096547795, 'sphere': {'center': [6.307014035326058, -4.493338099360316, 84.91043542070493], 'radius': 12.0}, 'projected_sphere': {'center': [206.05262807248118, 87.19049186592585], 'axes': [175.2434777453938, 175.2434777453938], 'angle': 90.0}, 'model_confidence': 0.8681384641358147, 'model_id': 23, 'model_birth_timestamp': 15963.891869, 'theta': 2.104124113270165, 'phi': -1.8295822543944746, 'norm_pos': [0.5952701904088975, 0.446120800646881], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
