imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007763.072224,B989516,0.01404,0.04102,-0.99005,0.13373,0.0156
1596007763.078082,B989521,0.01410,0.04108,-0.99005,0.13373,0.0156
1596007763.0809028,B989526,0.01416,0.04120,-0.99005,0.13373,0.0156
1596007763.085707,B989531,0.01422,0.04126,-0.99005,0.13367,0.0156
1596007763.090718,B989536,0.01428,0.04138,-0.99005,0.13367,0.0156
1596007763.096558,B989541,0.01434,0.04144,-0.99005,0.13361,0.0156
1596007763.100768,B989546,0.01440,0.04150,-0.99005,0.13354,0.0156
1596007763.106112,B989551,0.01447,0.04156,-0.99005,0.13354,0.0156
1596007763.111306,B989556,0.01447,0.04156,-0.99005,0.13348,0.0156
1596007763.116045,B989562,0.01453,0.04156,-0.99005,0.13342,0.0156
1596007763.121621,B989567,0.01453,0.04163,-0.99005,0.13342,0.0156
1596007763.126592,B989572,0.01459,0.04163,-0.99011,0.13336,0.0156
1596007763.1319602,B989577,0.01459,0.04156,-0.99011,0.13336,0.0156
1596007763.137197,B989582,0.01459,0.04156,-0.99011,0.13330,0.0156
1596007763.142331,B989588,0.01465,0.04156,-0.99011,0.13330,0.0156
1596007763.1480389,B989593,0.01465,0.04150,-0.99011,0.13324,0.0156
1596007763.153377,B989598,0.01465,0.04144,-0.99011,0.13324,0.0156
1596007763.158818,B989604,0.01465,0.04144,-0.99011,0.13318,0.0156
1596007763.164664,B989610,0.01465,0.04138,-0.99011,0.13318,0.0156
1596007763.1696708,B989615,0.01459,0.04132,-0.99011,0.13318,0.0156
1596007763.174697,B989620,0.01459,0.04126,-0.99011,0.13318,0.0156
1596007763.180923,B989625,0.01459,0.04120,-0.99011,0.13312,0.0156
1596007763.185237,B989630,0.01459,0.04108,-0.99011,0.13312,0.0156
1596007763.193333,B989635,0.01459,0.04102,-0.99011,0.13312,0.0156
1596007763.194985,B989641,0.01459,0.04095,-0.99011,0.13318,0.0156
1596007763.1999328,B989646,0.01453,0.04089,-0.99017,0.13318,0.0156
1596007763.2079492,B989651,0.01453,0.04083,-0.99017,0.13318,0.0156
1596007763.209847,B989656,0.01447,0.04077,-0.99017,0.13318,0.0156
1596007763.215637,B989661,0.01447,0.04065,-0.99017,0.13324,0.0156
1596007763.221783,B989666,0.01440,0.04059,-0.99017,0.13324,0.0156
1596007763.224905,B989671,0.01440,0.04047,-0.99017,0.13324,0.0156
1596007763.230645,B989676,0.01440,0.04034,-0.99017,0.13330,0.0156
1596007763.235595,B989681,0.01434,0.04022,-0.99017,0.13336,0.0156
1596007763.240416,B989686,0.01428,0.04016,-0.99017,0.13336,0.0156
1596007763.2453492,B989691,0.01428,0.04016,-0.99017,0.13342,0.0156
1596007763.250155,B989696,0.01422,0.04010,-0.99011,0.13348,0.0156
