eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596094843.980166,"{'circle_3d': {'center': [-3.5066777596683654, 10.481507715041994, 81.45609434886083], 'normal': [-0.1792082442460332, 0.7028157740603149, -0.6884289309189835], 'radius': 2.4651438739997897}, 'confidence': 0.999498219586098, 'timestamp': 37220.030327, 'diameter_3d': 4.9302877479995795, 'ellipse': {'center': [133.36627775316362, 199.54318185247493], 'axes': [22.16098053029583, 37.53723616209443], 'angle': -75.32144486239658}, 'location': [133.36627775316362, 199.54318185247493], 'diameter': 37.53723616209443, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8750460900037949, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.350144354821432, 'phi': -1.825459236228847, 'norm_pos': [0.4167696179786363, 0.16857007561468784], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094843.985261,"{'circle_3d': {'center': [-3.512001465348324, 10.489259979116694, 81.46540505933271], 'normal': [-0.17965188638602977, 0.7034617960665399, -0.6876530383796605], 'radius': 2.449866820794933}, 'confidence': 0.9986832330111625, 'timestamp': 37220.038727, 'diameter_3d': 4.899733641589866, 'ellipse': {'center': [133.32814093329208, 199.59619647134116], 'axes': [21.98574069077883, 37.30024773149681], 'angle': -75.3014192504601}, 'location': [133.32814093329208, 199.59619647134116], 'diameter': 37.30024773149681, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8750183528629552, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.351052898102673, 'phi': -1.8263383232568038, 'norm_pos': [0.41665044041653776, 0.1683491813694118], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094843.993634,"{'circle_3d': {'center': [-3.4827779318296557, 10.468982873886238, 81.43715206634026], 'normal': [-0.17721659192614075, 0.7017720372973354, -0.6900074544623638], 'radius': 2.452400292871804}, 'confidence': 0.9998045278470841, 'timestamp': 37220.047127, 'diameter_3d': 4.904800585743608, 'ellipse': {'center': [133.54098256658418, 199.46830185618705], 'axes': [22.123701670686184, 37.351767076823215], 'angle': -75.44945955906854}, 'location': [133.54098256658418, 199.46830185618705], 'diameter': 37.351767076823215, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8754578715601258, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.348678199441303, 'phi': -1.8221955115496977, 'norm_pos': [0.41731557052057555, 0.16888207559922064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.002174,"{'circle_3d': {'center': [-3.471742322750009, 10.507234256383082, 81.47339635979542], 'normal': [-0.17629695783617017, 0.7049596525054057, -0.6869870966744349], 'radius': 2.4321159356197906}, 'confidence': 0.9993345251018618, 'timestamp': 37220.055527, 'diameter_3d': 4.864231871239581, 'ellipse': {'center': [133.6350841591918, 199.72837881187996], 'axes': [21.79551608507978, 37.026279450404644], 'angle': -75.58235206669681}, 'location': [133.6350841591918, 199.72837881187996], 'diameter': 37.026279450404644, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8756416231374131, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.353162583272467, 'phi': -1.8219989887673635, 'norm_pos': [0.41760963799747436, 0.16779842161716685], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.009325,"{'circle_3d': {'center': [-3.4531517460889045, 10.500320907922596, 81.46156372386365], 'normal': [-0.17474774311441152, 0.7043835401336985, -0.6879731496687482], 'radius': 2.435001197825667}, 'confidence': 0.9992885238786852, 'timestamp': 37220.063927, 'diameter_3d': 4.870002395651334, 'ellipse': {'center': [133.7724863520731, 199.68648098162075], 'axes': [21.869466827422674, 37.0756057552006], 'angle': -75.68679148986851}, 'location': [133.7724863520731, 199.68648098162075], 'diameter': 37.0756057552006, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8758304527352934, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.3523506239408674, 'phi': -1.8195396379317061, 'norm_pos': [0.4180390198502284, 0.16797299590991355], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.016889,"{'circle_3d': {'center': [-3.5169528086694957, 10.501200020658533, 81.47893436722036], 'normal': [-0.18006449832946075, 0.7044567995283599, -0.6865255960556895], 'radius': 2.4285413917314913}, 'confidence': 0.9992965281080877, 'timestamp': 37220.072327, 'diameter_3d': 4.857082783462983, 'ellipse': {'center': [133.29389564085295, 199.6781252260747], 'axes': [21.739890281465712, 36.969287636655444], 'angle': -75.29084780801416}, 'location': [133.29389564085295, 199.6781252260747], 'diameter': 36.969287636655444, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8762398150711448, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.3524538377001765, 'phi': -1.8273023239696355, 'norm_pos': [0.41654342387766546, 0.16800781155802202], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.025725,"{'circle_3d': {'center': [-3.5068178391516724, 10.503697064239164, 81.47884500589292], 'normal': [-0.17921991753630884, 0.7046648864934125, -0.6865330428329759], 'radius': 2.4354291044328797}, 'confidence': 0.9991694539622552, 'timestamp': 37220.080727, 'diameter_3d': 4.8708582088657595, 'ellipse': {'center': [133.37101856145466, 199.69583824161214], 'axes': [21.802279173942516, 37.07423829917154], 'angle': -75.35809240596454}, 'location': [133.37101856145466, 199.69583824161214], 'diameter': 37.07423829917154, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8769647980440332, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.3527470651346847, 'phi': -1.8261482844508394, 'norm_pos': [0.4167844330045458, 0.16793400732661612], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.033372,"{'circle_3d': {'center': [-3.5022767340736563, 10.507599319863587, 81.48166752364251], 'normal': [-0.1788414921131408, 0.7049900744621144, -0.6862978330205101], 'radius': 2.4083271314137735}, 'confidence': 0.9985074304260486, 'timestamp': 37220.089127, 'diameter_3d': 4.816654262827547, 'ellipse': {'center': [133.40510741218563, 199.72788182492815], 'axes': [21.548377509759018, 36.66021639172483], 'angle': -75.39291479957114}, 'location': [133.40510741218563, 199.72788182492815], 'diameter': 36.66021639172483, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8770374454851737, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.353205477479522, 'phi': -1.8257157736533176, 'norm_pos': [0.41689096066308007, 0.1678004923961327], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.045196,"{'circle_3d': {'center': [-3.494004130503031, 10.455098094766173, 81.42594065153227], 'normal': [-0.17815210848225532, 0.7006149723706633, -0.6909417390296967], 'radius': 2.4161972970449095}, 'confidence': 0.9985781183317883, 'timestamp': 37220.097527, 'diameter_3d': 4.832394594089819, 'ellipse': {'center': [133.4506525735503, 199.38031092360472], 'axes': [21.841182266237027, 36.80514815094184], 'angle': -75.35582166503688}, 'location': [133.4506525735503, 199.38031092360472], 'diameter': 36.80514815094184, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8772317239261751, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.347055320814929, 'phi': -1.8231396735512768, 'norm_pos': [0.4170332892923446, 0.1692487044849803], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.054751,"{'circle_3d': {'center': [-3.4994602146609797, 10.509512886717395, 81.48290005194966], 'normal': [-0.1786067821620844, 0.7051495383665984, -0.6861951223282478], 'radius': 2.405514560333397}, 'confidence': 0.9987649058354017, 'timestamp': 37220.105927, 'diameter_3d': 4.811029120666794, 'ellipse': {'center': [133.42672290910664, 199.74176140718038], 'axes': [21.518393024802794, 36.616834113733525], 'angle': -75.4136482114587}, 'location': [133.42672290910664, 199.74176140718038], 'diameter': 36.616834113733525, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8778370382110379, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.353430347571401, 'phi': -1.8254319823341696, 'norm_pos': [0.4169585090909583, 0.16774266080341504], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094844.0612302,"{'circle_3d': {'center': [-3.5278542900563403, 10.483461585840452, 81.46363242827387], 'normal': [-0.1809729551116978, 0.7029785966268531, -0.6878007576345635], 'radius': 2.4157989930240116}, 'confidence': 0.9993837487043842, 'timestamp': 37220.114327, 'diameter_3d': 4.831597986048023, 'ellipse': {'center': [133.20580576200356, 199.56033026445095], 'axes': [21.68629380980117, 36.78208975965752], 'angle': -75.192870873208}, 'location': [133.20580576200356, 199.56033026445095], 'diameter': 36.78208975965752, 'sphere': {'center': [-1.3561788287159666, 2.0477184263182147, 89.71724151988863], 'radius': 12.0}, 'projected_sphere': {'center': [150.6279901214138, 134.15096365881746], 'axes': [165.85440822655457, 165.85440822655457], 'angle': 90.0}, 'model_confidence': 0.8780970400273036, 'model_id': 1, 'model_birth_timestamp': 37216.477127, 'theta': 2.350373266000834, 'phi': -1.8280829961696639, 'norm_pos': [0.41626814300626114, 0.16849862389812098], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
