eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175528.0087512,"{'circle_3d': {'center': [1.2069061012809357e-06, 9.426342683305222e-06, 7.441551063536167e-05], 'normal': [0.3437373745020726, -0.6084511064180025, -0.715284466816616], 'radius': 2.7197377755526067e-06}, 'confidence': 0.12520133730153118, 'timestamp': 50916.50377, 'diameter_3d': 5.4394755511052135e-06, 'ellipse': {'center': [169.85826361907965, 198.9484159302057], 'axes': [35.54840922604345, 45.501998976380996], 'angle': -54.35062493410723}, 'location': [169.85826361907965, 198.9484159302057], 'diameter': 45.501998976380996, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889516888562, 'phi': -1.1228210066021116, 'norm_pos': [0.5308070738096239, 0.1710482669574762], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.015546,"{'circle_3d': {'center': [1.2088893450723504e-06, 9.42450553775842e-06, 7.441802645757889e-05], 'normal': [0.3437373746673429, -0.6084511065710979, -0.7152844666069641], 'radius': 2.6943794626271053e-06}, 'confidence': 0.17378180879056312, 'timestamp': 50916.51217, 'diameter_3d': 5.388758925254211e-06, 'ellipse': {'center': [169.87813250892015, 198.92276552133757], 'axes': [35.214142869891695, 45.07596259528212], 'angle': -54.35101750234029}, 'location': [169.87813250892015, 198.92276552133757], 'diameter': 45.07596259528212, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889514959415, 'phi': -1.122821006299977, 'norm_pos': [0.5308691640903754, 0.17115514366109352], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.0238762,"{'circle_3d': {'center': [1.2109080689270968e-06, 9.422633290512294e-06, 7.442058918805117e-05], 'normal': [0.3437373748355699, -0.6084511067271186, -0.7152844663934032], 'radius': 2.686875214040416e-06}, 'confidence': 0.20596260619601298, 'timestamp': 50916.52057, 'diameter_3d': 5.373750428080832e-06, 'ellipse': {'center': [169.8957045476934, 198.9021745157272], 'axes': [35.11350756649637, 44.9488076732072], 'angle': -54.351281868126215}, 'location': [169.8957045476934, 198.9021745157272], 'diameter': 44.9488076732072, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889512993408, 'phi': -1.122821005992351, 'norm_pos': [0.530924076711542, 0.17124093951780328], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.031231,"{'circle_3d': {'center': [1.2129622737333534e-06, 9.420725942455022e-06, 7.44231988267785e-05], 'normal': [0.34373737500675355, -0.6084511068860642, -0.7152844661759332], 'radius': 2.7214876689865654e-06}, 'confidence': 0.13296013350998148, 'timestamp': 50916.52897, 'diameter_3d': 5.442975337973131e-06, 'ellipse': {'center': [169.9074963391774, 198.89392068687613], 'axes': [35.563912399991715, 45.52664531060688], 'angle': -54.35123793916995}, 'location': [169.9074963391774, 198.89392068687613], 'diameter': 45.52664531060688, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889510990542, 'phi': -1.1228210056792332, 'norm_pos': [0.5309609260599294, 0.17127533047134946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.0395231,"{'circle_3d': {'center': [1.2150519577147634e-06, 9.418783495362959e-06, 7.442585537553725e-05], 'normal': [0.3437373751808939, -0.6084511070479348, -0.7152844659545542], 'radius': 2.7086144307907534e-06}, 'confidence': 0.21218719486642532, 'timestamp': 50916.53737, 'diameter_3d': 5.417228861581507e-06, 'ellipse': {'center': [169.92643265416805, 198.8710022376183], 'axes': [35.3929273657092, 45.309552959903975], 'angle': -54.35155409369048}, 'location': [169.92643265416805, 198.8710022376183], 'diameter': 45.309552959903975, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.916688950895082, 'phi': -1.1228210053606238, 'norm_pos': [0.5310201020442752, 0.17137082400992365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.0491462,"{'circle_3d': {'center': [1.2171771226476835e-06, 9.416805945683393e-06, 7.44285588307747e-05], 'normal': [0.343737375357991, -0.6084511072127305, -0.7152844657292662], 'radius': 2.7386120988680355e-06}, 'confidence': 0.1554604232775217, 'timestamp': 50916.54577, 'diameter_3d': 5.477224197736071e-06, 'ellipse': {'center': [169.9394371395597, 198.86073811749088], 'axes': [35.78279502837596, 45.81004358986646], 'angle': -54.35155416099107}, 'location': [169.9394371395597, 198.86073811749088], 'diameter': 45.81004358986646, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889506874237, 'phi': -1.1228210050365228, 'norm_pos': [0.531060741061124, 0.1714135911771213], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.055456,"{'circle_3d': {'center': [1.2193377676439354e-06, 9.414793299633573e-06, 7.443130919249086e-05], 'normal': [0.34373737553804473, -0.608451107380451, -0.7152844655000694], 'radius': 2.705216563609951e-06}, 'confidence': 0.18099795514643852, 'timestamp': 50916.55417, 'diameter_3d': 5.410433127219902e-06, 'ellipse': {'center': [169.96193267062634, 198.8309058030689], 'axes': [35.343256934279644, 45.249397937500895], 'angle': -54.35203555286152}, 'location': [169.96193267062634, 198.8309058030689], 'diameter': 45.249397937500895, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889504760802, 'phi': -1.1228210047069302, 'norm_pos': [0.5311310395957073, 0.17153789248721296], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.065666,"{'circle_3d': {'center': [1.221533892703519e-06, 9.412745550996249e-06, 7.443410646423843e-05], 'normal': [0.3437373757210551, -0.6084511075510968, -0.7152844652669634], 'radius': 2.715903499767023e-06}, 'confidence': 0.18029462103313842, 'timestamp': 50916.56257, 'diameter_3d': 5.431806999534046e-06, 'ellipse': {'center': [169.97832578343127, 198.81408446601841], 'axes': [35.48037532308266, 45.426585549390154], 'angle': -54.35219207440235}, 'location': [169.97832578343127, 198.81408446601841], 'diameter': 45.426585549390154, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889502610504, 'phi': -1.122821004371846, 'norm_pos': [0.5311822680732228, 0.17160798139158995], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.071857,"{'circle_3d': {'center': [1.223765496938256e-06, 9.4106627006596e-06, 7.443695064601741e-05], 'normal': [0.3437373759070222, -0.6084511077246677, -0.7152844650299484], 'radius': 2.697648145842198e-06}, 'confidence': 0.22098765705058476, 'timestamp': 50916.57097, 'diameter_3d': 5.395296291684396e-06, 'ellipse': {'center': [169.99918485508243, 198.7881930361387], 'axes': [35.23887361921958, 45.11933880278961], 'angle': -54.352570066813776}, 'location': [169.99918485508243, 198.7881930361387], 'diameter': 45.11933880278961, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889500423347, 'phi': -1.1228210040312703, 'norm_pos': [0.5312474526721326, 0.17171586234942215], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.07933,"{'circle_3d': {'center': [1.2260325812363249e-06, 9.408544747735448e-06, 7.44398417378278e-05], 'normal': [0.3437373760959459, -0.6084511079011637, -0.7152844647890241], 'radius': 2.701039382296829e-06}, 'confidence': 0.13400979207216568, 'timestamp': 50916.57937, 'diameter_3d': 5.402078764593658e-06, 'ellipse': {'center': [170.01721036095984, 198.76848315244712], 'axes': [35.28047061986518, 45.174360865551684], 'angle': -54.35279222030758}, 'location': [170.01721036095984, 198.76848315244712], 'diameter': 45.174360865551684, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889498199331, 'phi': -1.1228210036852029, 'norm_pos': [0.5313037823779995, 0.17179798686480363], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.0913,"{'circle_3d': {'center': [1.2283351464859038e-06, 9.406391695776506e-06, 7.44427797361169e-05], 'normal': [0.34373737628782636, -0.6084511080805848, -0.7152844645441908], 'radius': 2.7187122604962494e-06}, 'confidence': 0.15664149027942145, 'timestamp': 50916.58777, 'diameter_3d': 5.437424520992499e-06, 'ellipse': {'center': [170.03346009278948, 198.7527450271542], 'axes': [35.50878631418779, 45.46835734064621], 'angle': -54.35291324133218}, 'location': [170.03346009278948, 198.7527450271542], 'diameter': 45.46835734064621, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889495938457, 'phi': -1.1228210033336437, 'norm_pos': [0.5313545627899672, 0.17186356238685752], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.100984,"{'circle_3d': {'center': [1.2306731900224577e-06, 9.404203542118239e-06, 7.444576464443742e-05], 'normal': [0.34373737648266334, -0.608451108262931, -0.7152844642954486], 'radius': 2.6836401375721363e-06}, 'confidence': 0.21424424501151634, 'timestamp': 50916.59617, 'diameter_3d': 5.3672802751442725e-06, 'ellipse': {'center': [170.05759670167768, 198.72078751442726], 'axes': [35.04730444104906, 44.879641584590196], 'angle': -54.353432433692056}, 'location': [170.05759670167768, 198.72078751442726], 'diameter': 44.879641584590196, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889493640722, 'phi': -1.1228210029765933, 'norm_pos': [0.5314299896927428, 0.17199671868988642], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
