eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180233.1449978,"{'circle_3d': {'center': [-3.264580757679457, 3.9772410838505086, 63.277265230304714], 'normal': [-0.17193272595056122, 0.5828482606479136, -0.7941832551791249], 'radius': 2.3614522305163628}, 'confidence': 0.791883200858974, 'timestamp': 54134.472183, 'diameter_3d': 4.7229044610327255, 'ellipse': {'center': [128.11466213579092, 158.58974562338062], 'axes': [34.64883470596658, 46.307159822509654], 'angle': -71.68646789850798}, 'location': [128.11466213579092, 158.58974562338062], 'diameter': 46.307159822509654, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.1930258313005675, 'phi': -1.7839962093781356, 'norm_pos': [0.4003583191743466, 0.33920939323591404], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.156941,"{'circle_3d': {'center': [-3.2662542889005897, 3.9837161700469834, 63.28238329665896], 'normal': [-0.17207218688565562, 0.5833878511642865, -0.7937567496496041], 'radius': 2.384890584537177}, 'confidence': 0.7098160141921642, 'timestamp': 54134.480583, 'diameter_3d': 4.769781169074354, 'ellipse': {'center': [128.1028572255516, 158.64242406982595], 'axes': [34.96561576442262, 46.76325149079563], 'angle': -71.69139980451573}, 'location': [128.1028572255516, 158.64242406982595], 'diameter': 46.76325149079563, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.193690034762051, 'phi': -1.7842751416200435, 'norm_pos': [0.4003214288298487, 0.3389898997090586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.166014,"{'circle_3d': {'center': [-3.3575720976636934, 3.983202296623651, 63.302260162654676], 'normal': [-0.17968200428258102, 0.583345028379009, -0.7921003441499618], 'radius': 2.493811953460498}, 'confidence': 0.43044568182811, 'timestamp': 54134.488983, 'diameter_3d': 4.987623906920996, 'ellipse': {'center': [127.23300599542634, 158.5902917581147], 'axes': [36.44083104110961, 48.88553876429693], 'angle': -70.99088257813229}, 'location': [127.23300599542634, 158.5902917581147], 'diameter': 48.88553876429693, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.193637310917776, 'phi': -1.793863771996711, 'norm_pos': [0.3976031437357073, 0.33920711767452216], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.1744251,"{'circle_3d': {'center': [-3.3476181272700494, 3.983397493660974, 63.30015138077192], 'normal': [-0.17885250674977723, 0.5833612947987856, -0.7922760759735241], 'radius': 2.492151276086582}, 'confidence': 0.5123411771235961, 'timestamp': 54134.497383, 'diameter_3d': 4.984302552173164, 'ellipse': {'center': [127.32872456880139, 158.59391198766627], 'axes': [36.429673161354074, 48.85451807110885], 'angle': -71.06731634675397}, 'location': [127.32872456880139, 158.59391198766627], 'diameter': 48.85451807110885, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.1936573380623767, 'phi': -1.7928199305479389, 'norm_pos': [0.39790226427750436, 0.3391920333847238], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.181229,"{'circle_3d': {'center': [-3.3455153366590102, 3.9835937054541444, 63.29982139904667], 'normal': [-0.17867727419885737, 0.5833776457815499, -0.7923035744506286], 'radius': 2.493843068500859}, 'confidence': 0.5045600685918317, 'timestamp': 54134.505783, 'diameter_3d': 4.987686137001718, 'ellipse': {'center': [127.34919548418524, 158.59543016325466], 'axes': [36.45656638616568, 48.887941112982354], 'angle': -71.08390652129688}, 'location': [127.34919548418524, 158.59543016325466], 'diameter': 48.887941112982354, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.1936774696108867, 'phi': -1.7926020207776967, 'norm_pos': [0.3979662358880789, 0.33918570765310563], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.189009,"{'circle_3d': {'center': [-3.2563970117624557, 4.040969345405431, 63.32258783382812], 'normal': [-0.17125074712414445, 0.5881589491108238, -0.7904063715521742], 'radius': 2.3834929830031775}, 'confidence': 0.7351593357608105, 'timestamp': 54134.514183, 'diameter_3d': 4.766985966006355, 'ellipse': {'center': [128.2181810659236, 159.1781419149572], 'axes': [34.73264266320236, 46.70613019669655], 'angle': -71.9232009970741}, 'location': [128.2181810659236, 159.1781419149572], 'diameter': 46.70613019669655, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.199576849735206, 'phi': -1.7841601753988272, 'norm_pos': [0.40068181583101126, 0.3367577420210117], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.199094,"{'circle_3d': {'center': [-3.2346666119053076, 4.0276304599503945, 63.30799941969672], 'normal': [-0.1694398804693821, 0.5870473753229041, -0.7916220727297911], 'radius': 2.3789778431424824}, 'confidence': 0.7228773589650673, 'timestamp': 54134.522583, 'diameter_3d': 4.757955686284965, 'ellipse': {'center': [128.42243016544995, 159.0578898245654], 'axes': [34.747037658401766, 46.628183875320005], 'angle': -72.0535500769036}, 'location': [128.42243016544995, 159.0578898245654], 'diameter': 46.628183875320005, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.1982030932855783, 'phi': -1.7816560404099036, 'norm_pos': [0.4013200942670311, 0.3372587923976442], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.207126,"{'circle_3d': {'center': [-3.2152300635013797, 4.041582490877451, 63.31421784092751], 'normal': [-0.16782016810238812, 0.5882100445668255, -0.7911038709605582], 'radius': 2.3917101489210935}, 'confidence': 0.7229773732546806, 'timestamp': 54134.530982, 'diameter_3d': 4.783420297842187, 'ellipse': {'center': [128.61578912536828, 159.18614062510795], 'axes': [34.902610271771515, 46.87313908556123], 'angle': -72.23996565175226}, 'location': [128.61578912536828, 159.18614062510795], 'diameter': 46.87313908556123, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.199640029856801, 'phi': -1.7798316756185095, 'norm_pos': [0.4019243410167759, 0.3367244140620502], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.214446,"{'circle_3d': {'center': [-3.30766048987101, 4.041564528706196, 63.33428331532171], 'normal': [-0.17552270363319059, 0.5882085477192207, -0.7894317480943748], 'radius': 2.449840273528438}, 'confidence': 0.4239785015668821, 'timestamp': 54134.539382, 'diameter_3d': 4.899680547056876, 'ellipse': {'center': [127.73057740406792, 159.1555109862047], 'axes': [35.62966283256133, 47.99848508101716], 'angle': -71.53398791301714}, 'location': [127.73057740406792, 159.1555109862047], 'diameter': 47.99848508101716, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.199638178946166, 'phi': -1.7895780468469527, 'norm_pos': [0.39915805438771224, 0.3368520375574805], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.2219908,"{'circle_3d': {'center': [-3.297178531782073, 4.042570375743336, 63.332708194617815], 'normal': [-0.17464920712577928, 0.5882923683056493, -0.7895630081530333], 'radius': 2.4622056129578027}, 'confidence': 0.5423081705277105, 'timestamp': 54134.547782, 'diameter_3d': 4.924411225915605, 'ellipse': {'center': [127.8329519274335, 159.16204231586696], 'axes': [35.81979435429196, 48.242013806476116], 'angle': -71.61645322263253}, 'location': [127.8329519274335, 159.16204231586696], 'diameter': 48.242013806476116, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.199741830218727, 'phi': -1.78848837222455, 'norm_pos': [0.39947797477322966, 0.33682482368388766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180233.2322729,"{'circle_3d': {'center': [-3.2412155001142926, 4.028576465511819, 63.31010522501462], 'normal': [-0.16998562115346422, 0.5871262091196894, -0.7914465889532999], 'radius': 2.3793708523292163}, 'confidence': 0.7201253649562475, 'timestamp': 54134.556182, 'diameter_3d': 4.758741704658433, 'ellipse': {'center': [128.35968345564189, 159.0657952796997], 'axes': [34.74074202252019, 46.63438710050414], 'angle': -72.00589669366435}, 'location': [128.35968345564189, 159.0657952796997], 'diameter': 46.63438710050414, 'sphere': {'center': [-1.2013880462727222, -3.0169380439244544, 72.80746429245421], 'radius': 12.0}, 'projected_sphere': {'center': [149.76944746081088, 94.30893102224107], 'axes': [204.3746495583169, 204.3746495583169], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54108.266433, 'theta': 2.198300476188812, 'phi': -1.7823606548749136, 'norm_pos': [0.4011240107988809, 0.3372258530012513], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
