eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1596428753.4696882,"{'circle_3d': {'center': [-0.48103347546700226, 8.898753718212195, 66.50345694100639], 'normal': [-0.2239784909179612, 0.6097284194948197, -0.7603057872109497], 'radius': 2.262933256899203}, 'confidence': 0.9980905570006373, 'timestamp': 137538.925696, 'diameter_3d': 4.525866513798406, 'ellipse': {'center': [155.63552540688963, 202.66910776009757], 'axes': [28.566141397078024, 42.229612805866125], 'angle': -71.65766374555669}, 'location': [155.63552540688963, 202.66910776009757], 'diameter': 42.229612805866125, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7342661557880881, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.226514231943817, 'phi': -1.8572824690945609, 'norm_pos': [0.4863610168965301, 0.15554538433292675], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.4811509,"{'circle_3d': {'center': [-0.48652784691720186, 8.897258435038466, 66.50387816990897], 'normal': [-0.22443635520547786, 0.6096038125636757, -0.7602706848024009], 'radius': 2.236905473316508}, 'confidence': 0.9982127780572976, 'timestamp': 137538.934096, 'diameter_3d': 4.473810946633016, 'ellipse': {'center': [155.58179513627266, 202.66141617051395], 'axes': [28.235992983009965, 41.743410881982385], 'angle': -71.61620976963364}, 'location': [155.58179513627266, 202.66141617051395], 'diameter': 41.743410881982385, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7348928965449364, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2263570306290785, 'phi': -1.8578490375830625, 'norm_pos': [0.48619310980085206, 0.1555774326228586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.484954,"{'circle_3d': {'center': [-0.491704127814216, 8.892517394436767, 66.50160773770118], 'normal': [-0.2248677119468957, 0.6092087258468675, -0.7604598874863842], 'radius': 2.2534774586156883}, 'confidence': 0.9987684363220167, 'timestamp': 137538.942496, 'diameter_3d': 4.5069549172313765, 'ellipse': {'center': [155.53538089893544, 202.6158617548794], 'axes': [28.45734101941487, 42.054256349260946], 'angle': -71.5702341542138}, 'location': [155.53538089893544, 202.6158617548794], 'diameter': 42.054256349260946, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.736069420035268, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2258587236584053, 'phi': -1.8583031786488005, 'norm_pos': [0.48604806530917327, 0.15576724268800246], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.492505,"{'circle_3d': {'center': [-0.49645679380091234, 8.890970974908683, 66.50177562404762], 'normal': [-0.22526376744578708, 0.6090798575528604, -0.7604458969575137], 'radius': 2.236299386297748}, 'confidence': 0.9980920094583192, 'timestamp': 137538.950896, 'diameter_3d': 4.472598772595496, 'ellipse': {'center': [155.48945329709943, 202.60570999371657], 'axes': [28.24006923384385, 41.73343135530828], 'angle': -71.5338423508147}, 'location': [155.48945329709943, 202.60570999371657], 'diameter': 41.73343135530828, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7366829363853578, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2256962285258153, 'phi': -1.8587870543615292, 'norm_pos': [0.4859045415534357, 0.15580954169284766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.501288,"{'circle_3d': {'center': [-0.4790681719430019, 8.903811610135142, 66.50693644371829], 'normal': [-0.22381471562429453, 0.6101499104883986, -0.7600158286516243], 'radius': 2.254201815320198}, 'confidence': 0.9987846802100129, 'timestamp': 137538.959296, 'diameter_3d': 4.508403630640396, 'ellipse': {'center': [155.65301500543103, 202.71416270629243], 'axes': [28.43834723622482, 42.06439416550154], 'angle': -71.68188396653093}, 'location': [155.65301500543103, 202.71416270629243], 'diameter': 42.06439416550154, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7379615444599419, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.227046116533187, 'phi': -1.8571876008166894, 'norm_pos': [0.486415671891972, 0.1553576553904482], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.509514,"{'circle_3d': {'center': [-0.4962085543903929, 8.90145098016067, 66.5101058826618], 'normal': [-0.22524308082824376, 0.6099531913238593, -0.7597517087396651], 'radius': 2.2433361380385337}, 'confidence': 0.9980586981506158, 'timestamp': 137538.967696, 'diameter_3d': 4.486672276077067, 'ellipse': {'center': [155.49293566058924, 202.6912654671712], 'axes': [28.28804662756407, 41.85958576029648], 'angle': -71.55756714210382}, 'location': [155.49293566058924, 202.6912654671712], 'diameter': 41.85958576029648, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.738805409003751, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2267978471387626, 'phi': -1.859010836095843, 'norm_pos': [0.4859154239393414, 0.15545306055345331], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.516564,"{'circle_3d': {'center': [-0.5075119468494771, 8.901086332716968, 66.51317177096124], 'normal': [-0.2261850301998341, 0.6099228040368841, -0.7594962180480459], 'radius': 2.26590938434749}, 'confidence': 0.9985467767184317, 'timestamp': 137538.976096, 'diameter_3d': 4.53181876869498, 'ellipse': {'center': [155.39059220058886, 202.67842146852655], 'axes': [28.559411849980734, 42.27907955151612], 'angle': -71.4781857786232}, 'location': [155.39059220058886, 202.67842146852655], 'diameter': 42.27907955151612, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7397887531898628, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2267595010980408, 'phi': -1.8602420866461717, 'norm_pos': [0.48559560062684015, 0.1555065772144727], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.524385,"{'circle_3d': {'center': [-0.5057826800356038, 8.90011255310132, 66.51187508182758], 'normal': [-0.22604092463201136, 0.60984165573558, -0.7596042754758504], 'radius': 2.2590627016901044}, 'confidence': 0.9980852822517231, 'timestamp': 137538.984496, 'diameter_3d': 4.518125403380209, 'ellipse': {'center': [155.40583957746045, 202.6726952401147], 'axes': [28.479193502597177, 42.1520816917503], 'angle': -71.48815660132057}, 'location': [155.40583957746045, 202.6726952401147], 'diameter': 42.1520816917503, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7406337199616142, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2266571047391803, 'phi': -1.8600289030485464, 'norm_pos': [0.48564324867956393, 0.15553043649952203], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.535821,"{'circle_3d': {'center': [-0.5082163294792563, 8.884213279947874, 66.49985680187412], 'normal': [-0.22624372875231571, 0.6085167163061262, -0.7606057988053062], 'radius': 2.25652845797806}, 'confidence': 0.9982617408389143, 'timestamp': 137538.992896, 'diameter_3d': 4.51305691595612, 'ellipse': {'center': [155.3823393062625, 202.54007647366217], 'axes': [28.506971404904615, 42.11236188967631], 'angle': -71.4376950795008}, 'location': [155.3823393062625, 202.54007647366217], 'diameter': 42.11236188967631, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7416384412783361, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.224986379171404, 'phi': -1.8599138857007378, 'norm_pos': [0.48556981033207036, 0.15608301469307428], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.5429351,"{'circle_3d': {'center': [-0.4997949287387877, 8.879671676082506, 66.4937254390059], 'normal': [-0.22554194535727667, 0.6081382493173456, -0.761116745710991], 'radius': 2.2538160238462934}, 'confidence': 0.9985688453472099, 'timestamp': 137539.001296, 'diameter_3d': 4.507632047692587, 'ellipse': {'center': [155.45990101578295, 202.50590514687227], 'axes': [28.5017306669285, 42.065564765214425], 'angle': -71.48680843486937}, 'location': [155.45990101578295, 202.50590514687227], 'diameter': 42.065564765214425, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.742646386677781, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.224509531984374, 'phi': -1.8588830230053235, 'norm_pos': [0.4858121906743217, 0.15622539522136558], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.553281,"{'circle_3d': {'center': [-0.5091701088460008, 8.883724370696951, 66.49974942101053], 'normal': [-0.2263232103662111, 0.6084759738685495, -0.7606147472106046], 'radius': 2.261999023014475}, 'confidence': 0.9974538792226331, 'timestamp': 137539.009696, 'diameter_3d': 4.52399804602895, 'ellipse': {'center': [155.3740659831429, 202.53425563185817], 'axes': [28.576820690101474, 42.21457589798706], 'angle': -71.43002455101424}, 'location': [155.3740659831429, 202.53425563185817], 'diameter': 42.21457589798706, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7430715620006523, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.224935037611536, 'phi': -1.860006670627724, 'norm_pos': [0.4855439561973216, 0.15610726820059095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.564022,"{'circle_3d': {'center': [-0.5538042940048964, 8.888118889159331, 66.5166718597255], 'normal': [-0.23004272579611906, 0.6088421837404144, -0.7592045439843567], 'radius': 2.2615349311770823}, 'confidence': 0.9990598183721707, 'timestamp': 137539.018096, 'diameter_3d': 4.5230698623541645, 'ellipse': {'center': [154.96070959858892, 202.55504358973468], 'axes': [28.49367075042184, 42.19530180928973], 'angle': -71.1290130684352}, 'location': [154.96070959858892, 202.55504358973468], 'diameter': 42.19530180928973, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7439360287695762, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.225396589380004, 'phi': -1.8650076600403749, 'norm_pos': [0.4842522174955904, 0.1560206517094388], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428753.569089,"{'circle_3d': {'center': [-0.6253866094856542, 8.859788947928967, 66.5159678209579], 'normal': [-0.23600791875284888, 0.6064813553045507, -0.7592632138816579], 'radius': 2.260751238101639}, 'confidence': 0.9977988767095437, 'timestamp': 137539.026496, 'diameter_3d': 4.521502476203278, 'ellipse': {'center': [154.29627772471466, 202.29317211472676], 'axes': [28.497804186775074, 42.18126517546197], 'angle': -70.5711533226981}, 'location': [154.29627772471466, 202.29317211472676], 'diameter': 42.18126517546197, 'sphere': {'center': [2.2067084155485324, 1.582012684274358, 75.62712638753779], 'radius': 12.0}, 'projected_sphere': {'center': [178.09085288563261, 132.96952444317296], 'axes': [196.7547983213071, 196.7547983213071], 'angle': 90.0}, 'model_confidence': 0.7441987399674721, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2224239843274747, 'phi': -1.872166416231747, 'norm_pos': [0.4821758678897333, 0.15711178285530514], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
