imu_packets,1263
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596526410.422186,B1600609,0.02905,0.02173,-0.98993,0.13702,0.0303
1596526410.427555,B1600614,0.02917,0.02155,-0.98999,0.13623,0.0302
1596526410.4332569,B1600619,0.02924,0.02148,-0.99005,0.13586,0.0302
1596526410.437218,B1600624,0.02930,0.02142,-0.99011,0.13544,0.0301
1596526410.441704,B1600629,0.02942,0.02136,-0.99011,0.13556,0.0301
1596526410.446888,B1600634,0.02948,0.02130,-0.99011,0.13556,0.0302
1596526410.4521558,B1600639,0.02954,0.02124,-0.99011,0.13562,0.0302
1596526410.45695,B1600645,0.02966,0.02118,-0.99005,0.13568,0.0302
1596526410.462284,B1600649,0.02972,0.02118,-0.99005,0.13574,0.0302
1596526410.466783,B1600654,0.02979,0.02112,-0.99005,0.13586,0.0302
1596526410.472262,B1600659,0.02985,0.02106,-0.99005,0.13586,0.0302
1596526410.4775949,B1600664,0.02991,0.02100,-0.99005,0.13599,0.0302
1596526410.48317,B1600669,0.03003,0.02100,-0.99005,0.13599,0.0302
1596526410.4867141,B1600674,0.03009,0.02094,-0.99005,0.13605,0.0303
1596526410.493553,B1600679,0.03015,0.02087,-0.98999,0.13611,0.0303
1596526410.497087,B1600685,0.03021,0.02087,-0.98999,0.13617,0.0303
1596526410.503283,B1600689,0.03033,0.02081,-0.98999,0.13623,0.0303
1596526410.507209,B1600694,0.03040,0.02075,-0.98999,0.13629,0.0303
1596526410.512311,B1600699,0.03046,0.02069,-0.98999,0.13629,0.0304
1596526410.5172448,B1600704,0.03052,0.02069,-0.98999,0.13635,0.0304
1596526410.522431,B1600709,0.03058,0.02057,-0.99005,0.13586,0.0303
1596526410.527253,B1600714,0.03064,0.02045,-0.99011,0.13544,0.0302
1596526410.531949,B1600719,0.03070,0.02032,-0.99017,0.13495,0.0302
1596526410.537225,B1600724,0.03076,0.02020,-0.99023,0.13446,0.0302
1596526410.542285,B1600730,0.03088,0.02014,-0.99023,0.13446,0.0302
1596526410.5480618,B1600735,0.03094,0.02008,-0.99023,0.13446,0.0302
1596526410.552075,B1600740,0.03101,0.02002,-0.99023,0.13446,0.0302
1596526410.55727,B1600745,0.03113,0.01996,-0.99023,0.13446,0.0302
1596526410.56215,B1600750,0.03119,0.01984,-0.99030,0.13403,0.0302
1596526410.5674508,B1600755,0.03125,0.01978,-0.99036,0.13361,0.0302
1596526410.572161,B1600760,0.03131,0.01965,-0.99042,0.13318,0.0301
1596526410.577178,B1600765,0.03137,0.01953,-0.99048,0.13275,0.0300
1596526410.58336,B1600770,0.03143,0.01947,-0.99054,0.13232,0.0300
1596526410.587892,B1600775,0.03156,0.01941,-0.99054,0.13226,0.0300
1596526410.592549,B1600780,0.03162,0.01941,-0.99054,0.13226,0.0300
1596526410.597947,B1600785,0.03168,0.01935,-0.99054,0.13226,0.0300
1596526410.6028311,B1600790,0.03174,0.01929,-0.99054,0.13226,0.0301
1596526410.607821,B1600795,0.03180,0.01929,-0.99054,0.13226,0.0301
1596526410.613012,B1600800,0.03192,0.01923,-0.99054,0.13226,0.0301
1596526410.619145,B1600806,0.03198,0.01923,-0.99054,0.13226,0.0301
1596526410.623799,B1600811,0.03204,0.01917,-0.99054,0.13220,0.0302
1596526410.628663,B1600816,0.03210,0.01917,-0.99054,0.13220,0.0302
1596526410.634326,B1600822,0.03217,0.01910,-0.99054,0.13220,0.0302
1596526410.640005,B1600828,0.03229,0.01910,-0.99054,0.13220,0.0302
1596526410.646792,B1600833,0.03235,0.01904,-0.99054,0.13220,0.0302
1596526410.651155,B1600838,0.03241,0.01904,-0.99054,0.13214,0.0302
1596526410.6552918,B1600843,0.03247,0.01904,-0.99054,0.13214,0.0302
1596526410.660623,B1600848,0.03253,0.01898,-0.99054,0.13214,0.0302
1596526410.6653929,B1600853,0.03259,0.01898,-0.99054,0.13214,0.0302
1596526410.6702552,B1600858,0.03259,0.01898,-0.99054,0.13214,0.0303
1596526410.6756759,B1600863,0.03265,0.01898,-0.99054,0.13214,0.0303
1596526410.680703,B1600868,0.03271,0.01898,-0.99048,0.13214,0.0303
1596526410.685878,B1600874,0.03271,0.01904,-0.99048,0.13214,0.0303
1596526410.691869,B1600879,0.03278,0.01904,-0.99048,0.13214,0.0303
1596526410.6961741,B1600884,0.03284,0.01910,-0.99048,0.13220,0.0304
1596526410.7011359,B1600889,0.03284,0.01917,-0.99048,0.13220,0.0304
1596526410.705717,B1600894,0.03284,0.01917,-0.99054,0.13177,0.0303
1596526410.711877,B1600899,0.03284,0.01923,-0.99060,0.13135,0.0303
1596526410.715807,B1600904,0.03284,0.01929,-0.99066,0.13092,0.0302
1596526410.7207072,B1600909,0.03284,0.01929,-0.99072,0.13049,0.0302
1596526410.726305,B1600914,0.03278,0.01935,-0.99078,0.13013,0.0302
1596526410.7317219,B1600919,0.03278,0.01941,-0.99084,0.12976,0.0301
1596526410.73612,B1600924,0.03271,0.01953,-0.99084,0.12933,0.0301
1596526410.74112,B1600929,0.03265,0.01959,-0.99091,0.12897,0.0300
1596526410.746646,B1600934,0.03259,0.01978,-0.99091,0.12903,0.0300
1596526410.751895,B1600939,0.03259,0.01984,-0.99091,0.12903,0.0301
1596526410.7561111,B1600944,0.03259,0.01990,-0.99091,0.12909,0.0301
1596526410.761345,B1600949,0.03253,0.01996,-0.99091,0.12909,0.0301
1596526410.766342,B1600954,0.03253,0.02002,-0.99091,0.12915,0.0301
1596526410.771538,B1600959,0.03247,0.02002,-0.99091,0.12915,0.0302
1596526410.7771761,B1600964,0.03247,0.02008,-0.99091,0.12921,0.0302
1596526410.7814999,B1600969,0.03247,0.02008,-0.99097,0.12878,0.0301
1596526410.7875452,B1600974,0.03241,0.02008,-0.99097,0.12836,0.0301
1596526410.7916522,B1600979,0.03235,0.02002,-0.99103,0.12793,0.0300
1596526410.796273,B1600984,0.03235,0.02002,-0.99109,0.12756,0.0300
1596526410.804068,B1600989,0.03229,0.01996,-0.99109,0.12756,0.0300
1596526410.806318,B1600994,0.03229,0.01996,-0.99109,0.12756,0.0300
1596526410.811518,B1600999,0.03229,0.01990,-0.99109,0.12756,0.0300
1596526410.81648,B1601004,0.03229,0.01984,-0.99109,0.12750,0.0300
1596526410.821791,B1601009,0.03229,0.01984,-0.99109,0.12750,0.0300
1596526410.826338,B1601014,0.03229,0.01978,-0.99109,0.12750,0.0301
1596526410.8327968,B1601019,0.03229,0.01978,-0.99109,0.12750,0.0301
1596526410.8377862,B1601024,0.03229,0.01971,-0.99115,0.12744,0.0301
1596526410.841801,B1601029,0.03229,0.01959,-0.99121,0.12695,0.0300
1596526410.8467789,B1601035,0.03223,0.01953,-0.99127,0.12653,0.0300
1596526410.851797,B1601040,0.03229,0.01941,-0.99133,0.12604,0.0300
1596526410.857743,B1601045,0.03229,0.01929,-0.99139,0.12561,0.0300
1596526410.863004,B1601050,0.03229,0.01910,-0.99139,0.12561,0.0300
1596526410.867462,B1601055,0.03235,0.01892,-0.99139,0.12555,0.0300
1596526410.872084,B1601060,0.03241,0.01874,-0.99139,0.12555,0.0300
1596526410.878488,B1601065,0.03247,0.01849,-0.99139,0.12555,0.0300
1596526410.8818078,B1601070,0.03253,0.01819,-0.99139,0.12555,0.0300
1596526410.887511,B1601075,0.03259,0.01788,-0.99139,0.12561,0.0300
1596526410.891774,B1601080,0.03265,0.01758,-0.99139,0.12561,0.0300
1596526410.896893,B1601085,0.03271,0.01721,-0.99139,0.12567,0.0301
1596526410.9023948,B1601090,0.03271,0.01691,-0.99146,0.12531,0.0300
1596526410.907299,B1601095,0.03271,0.01648,-0.99146,0.12494,0.0300
1596526410.911867,B1601100,0.03271,0.01611,-0.99152,0.12463,0.0300
1596526410.919193,B1601105,0.03271,0.01575,-0.99158,0.12427,0.0299
1596526410.923392,B1601111,0.03271,0.01532,-0.99164,0.12396,0.0299
1596526410.928637,B1601117,0.03271,0.01489,-0.99170,0.12366,0.0299
1596526410.934877,B1601123,0.03271,0.01447,-0.99170,0.12335,0.0298
1596526410.940636,B1601128,0.03271,0.01410,-0.99176,0.12305,0.0297
1596526410.945003,B1601133,0.03271,0.01367,-0.99182,0.12274,0.0297
1596526410.9497988,B1601138,0.03271,0.01318,-0.99182,0.12250,0.0297
1596526410.955629,B1601143,0.03271,0.01276,-0.99188,0.12225,0.0296
1596526410.9608982,B1601148,0.03271,0.01233,-0.99194,0.12195,0.0296
1596526410.965667,B1601154,0.03278,0.01178,-0.99188,0.12219,0.0296
1596526410.970631,B1601159,0.03284,0.01135,-0.99188,0.12244,0.0296
1596526410.975779,B1601164,0.03290,0.01086,-0.99182,0.12268,0.0296
1596526410.980714,B1601169,0.03296,0.01050,-0.99182,0.12292,0.0296
1596526410.985794,B1601174,0.03308,0.01001,-0.99176,0.12317,0.0297
1596526410.991214,B1601179,0.03314,0.00952,-0.99176,0.12341,0.0297
1596526410.996205,B1601184,0.03333,0.00867,-0.99170,0.12396,0.0297
1596526411.0015879,B1601189,0.03345,0.00818,-0.99164,0.12421,0.0297
1596526411.006253,B1601194,0.03357,0.00775,-0.99164,0.12451,0.0297
1596526411.011368,B1601199,0.03369,0.00732,-0.99158,0.12476,0.0297
1596526411.0164218,B1601204,0.03381,0.00684,-0.99158,0.12506,0.0297
1596526411.022418,B1601209,0.03394,0.00641,-0.99158,0.12482,0.0297
1596526411.027502,B1601216,0.03400,0.00598,-0.99158,0.12463,0.0297
1596526411.034241,B1601221,0.03412,0.00555,-0.99158,0.12488,0.0297
1596526411.0395572,B1601227,0.03418,0.00513,-0.99158,0.12469,0.0297
1596526411.044589,B1601233,0.03430,0.00470,-0.99164,0.12445,0.0296
1596526411.050215,B1601238,0.03436,0.00427,-0.99164,0.12427,0.0296
1596526411.05509,B1601243,0.03448,0.00385,-0.99164,0.12408,0.0296
1596526411.060149,B1601248,0.03455,0.00348,-0.99170,0.12384,0.0295
1596526411.0656981,B1601253,0.03467,0.00299,-0.99164,0.12415,0.0295
1596526411.071157,B1601258,0.03479,0.00262,-0.99164,0.12439,0.0295
1596526411.0755541,B1601263,0.03491,0.00226,-0.99158,0.12463,0.0296
1596526411.080575,B1601269,0.03503,0.00195,-0.99158,0.12488,0.0296
1596526411.08629,B1601274,0.03516,0.00159,-0.99152,0.12512,0.0296
1596526411.09084,B1601279,0.03528,0.00128,-0.99146,0.12537,0.0296
1596526411.096029,B1601284,0.03546,0.00092,-0.99146,0.12561,0.0296
1596526411.101393,B1601289,0.03564,0.00061,-0.99139,0.12585,0.0296
1596526411.1065888,B1601294,0.03589,-0.00006,-0.99146,0.12543,0.0295
1596526411.111999,B1601299,0.03601,-0.00043,-0.99146,0.12524,0.0295
1596526411.1164181,B1601304,0.03607,-0.00073,-0.99152,0.12506,0.0294
1596526411.123934,B1601309,0.03619,-0.00122,-0.99152,0.12488,0.0294
1596526411.126507,B1601314,0.03625,-0.00165,-0.99152,0.12469,0.0294
1596526411.1315699,B1601319,0.03632,-0.00208,-0.99158,0.12451,0.0293
1596526411.13661,B1601325,0.03638,-0.00256,-0.99158,0.12433,0.0293
1596526411.141654,B1601330,0.03650,-0.00323,-0.99152,0.12463,0.0293
1596526411.147425,B1601335,0.03668,-0.00385,-0.99146,0.12500,0.0293
1596526411.152226,B1601340,0.03680,-0.00452,-0.99146,0.12531,0.0293
1596526411.1570292,B1601345,0.03693,-0.00519,-0.99139,0.12561,0.0293
1596526411.163445,B1601350,0.03699,-0.00604,-0.99139,0.12549,0.0293
1596526411.168915,B1601355,0.03711,-0.00677,-0.99139,0.12537,0.0293
1596526411.173528,B1601361,0.03717,-0.00757,-0.99139,0.12524,0.0292
1596526411.178695,B1601367,0.03729,-0.00842,-0.99139,0.12518,0.0292
1596526411.1836748,B1601372,0.03741,-0.00934,-0.99139,0.12512,0.0291
1596526411.189713,B1601377,0.03748,-0.01007,-0.99139,0.12500,0.0291
1596526411.1946611,B1601383,0.03760,-0.01086,-0.99139,0.12488,0.0291
1596526411.200264,B1601388,0.03766,-0.01160,-0.99139,0.12482,0.0290
1596526411.205025,B1601393,0.03778,-0.01233,-0.99139,0.12482,0.0289
1596526411.2104309,B1601398,0.03790,-0.01288,-0.99139,0.12476,0.0289
1596526411.215463,B1601403,0.03796,-0.01343,-0.99139,0.12476,0.0289
1596526411.220501,B1601408,0.03809,-0.01385,-0.99139,0.12469,0.0289
1596526411.226536,B1601413,0.03815,-0.01428,-0.99133,0.12469,0.0288
1596526411.2314491,B1601418,0.03827,-0.01459,-0.99133,0.12463,0.0288
1596526411.23585,B1601423,0.03839,-0.01495,-0.99133,0.12463,0.0288
1596526411.2446358,B1601428,0.03845,-0.01514,-0.99133,0.12457,0.0288
1596526411.246853,B1601433,0.03864,-0.01544,-0.99127,0.12494,0.0288
1596526411.2502568,B1601439,0.03876,-0.01563,-0.99127,0.12524,0.0288
1596526411.258569,B1601444,0.03888,-0.01587,-0.99121,0.12555,0.0288
1596526411.2608728,B1601449,0.03900,-0.01605,-0.99115,0.12579,0.0288
1596526411.266891,B1601454,0.03906,-0.01617,-0.99115,0.12567,0.0288
1596526411.272567,B1601459,0.03906,-0.01636,-0.99121,0.12555,0.0288
1596526411.276125,B1601464,0.03906,-0.01648,-0.99121,0.12537,0.0287
1596526411.281117,B1601469,0.03900,-0.01666,-0.99121,0.12518,0.0287
1596526411.286178,B1601474,0.03888,-0.01697,-0.99127,0.12463,0.0286
1596526411.293449,B1601479,0.03882,-0.01709,-0.99133,0.12433,0.0286
1596526411.296173,B1601484,0.03876,-0.01715,-0.99139,0.12396,0.0285
1596526411.3026822,B1601490,0.03864,-0.01721,-0.99146,0.12360,0.0285
1596526411.3066702,B1601495,0.03851,-0.01721,-0.99146,0.12323,0.0285
1596526411.312327,B1601500,0.03845,-0.01715,-0.99152,0.12280,0.0285
1596526411.31972,B1601505,0.03839,-0.01703,-0.99158,0.12231,0.0284
1596526411.3214872,B1601510,0.03833,-0.01678,-0.99164,0.12189,0.0283
1596526411.326335,B1601515,0.03827,-0.01654,-0.99170,0.12140,0.0283
1596526411.331736,B1601520,0.03827,-0.01624,-0.99176,0.12097,0.0283
1596526411.336957,B1601525,0.03833,-0.01593,-0.99182,0.12048,0.0283
1596526411.3417652,B1601530,0.03833,-0.01550,-0.99194,0.11993,0.0283
1596526411.347341,B1601536,0.03845,-0.01508,-0.99200,0.11938,0.0282
1596526411.353079,B1601541,0.03851,-0.01465,-0.99207,0.11890,0.0282
1596526411.359305,B1601547,0.03857,-0.01416,-0.99213,0.11835,0.0282
1596526411.363868,B1601552,0.03870,-0.01367,-0.99219,0.11774,0.0282
1596526411.369178,B1601557,0.03876,-0.01331,-0.99225,0.11719,0.0281
1596526411.37461,B1601563,0.03882,-0.01288,-0.99231,0.11664,0.0281
1596526411.3800251,B1601568,0.03888,-0.01251,-0.99237,0.11609,0.0280
1596526411.3857841,B1601573,0.03894,-0.01215,-0.99249,0.11542,0.0280
1596526411.390906,B1601578,0.03900,-0.01178,-0.99255,0.11487,0.0280
1596526411.395336,B1601584,0.03900,-0.01147,-0.99261,0.11426,0.0279
1596526411.4006379,B1601589,0.03900,-0.01123,-0.99268,0.11365,0.0279
1596526411.4060318,B1601594,0.03900,-0.01099,-0.99274,0.11304,0.0278
1596526411.412003,B1601599,0.03894,-0.01068,-0.99292,0.11200,0.0278
1596526411.415978,B1601604,0.03888,-0.01056,-0.99298,0.11145,0.0278
1596526411.420827,B1601609,0.03882,-0.01050,-0.99304,0.11090,0.0278
1596526411.426477,B1601614,0.03876,-0.01050,-0.99310,0.11041,0.0277
1596526411.431009,B1601619,0.03876,-0.01056,-0.99310,0.10986,0.0277
1596526411.436366,B1601624,0.03870,-0.01062,-0.99316,0.10938,0.0277
1596526411.4412212,B1601630,0.03864,-0.01074,-0.99323,0.10895,0.0277
1596526411.4463391,B1601635,0.03857,-0.01093,-0.99329,0.10846,0.0276
1596526411.45137,B1601640,0.03851,-0.01111,-0.99335,0.10797,0.0276
1596526411.4567559,B1601645,0.03845,-0.01129,-0.99341,0.10754,0.0275
1596526411.461612,B1601650,0.03833,-0.01160,-0.99341,0.10718,0.0275
1596526411.468058,B1601655,0.03827,-0.01184,-0.99347,0.10681,0.0275
1596526411.472296,B1601660,0.03815,-0.01215,-0.99353,0.10645,0.0275
1596526411.476866,B1601665,0.03802,-0.01245,-0.99353,0.10614,0.0275
1596526411.482063,B1601670,0.03790,-0.01276,-0.99359,0.10583,0.0274
1596526411.4881752,B1601676,0.03778,-0.01312,-0.99359,0.10553,0.0274
1596526411.493739,B1601681,0.03760,-0.01343,-0.99365,0.10522,0.0274
1596526411.499097,B1601687,0.03754,-0.01373,-0.99365,0.10498,0.0274
1596526411.503925,B1601692,0.03735,-0.01404,-0.99371,0.10474,0.0273
1596526411.511124,B1601697,0.03729,-0.01434,-0.99371,0.10449,0.0273
1596526411.514291,B1601703,0.03717,-0.01465,-0.99377,0.10431,0.0273
1596526411.519726,B1601708,0.03705,-0.01495,-0.99377,0.10413,0.0272
1596526411.5248158,B1601713,0.03693,-0.01526,-0.99377,0.10394,0.0272
1596526411.5302331,B1601718,0.03680,-0.01550,-0.99377,0.10382,0.0272
1596526411.535367,B1601723,0.03668,-0.01575,-0.99384,0.10364,0.0272
1596526411.54218,B1601729,0.03656,-0.01605,-0.99384,0.10358,0.0272
1596526411.546636,B1601734,0.03650,-0.01630,-0.99384,0.10339,0.0271
1596526411.550375,B1601739,0.03638,-0.01648,-0.99384,0.10327,0.0271
1596526411.5552099,B1601744,0.03632,-0.01672,-0.99384,0.10315,0.0271
1596526411.560875,B1601749,0.03625,-0.01691,-0.99390,0.10303,0.0271
1596526411.565383,B1601754,0.03619,-0.01709,-0.99390,0.10297,0.0270
1596526411.570462,B1601759,0.03613,-0.01721,-0.99390,0.10284,0.0270
1596526411.575542,B1601764,0.03607,-0.01740,-0.99390,0.10278,0.0269
1596526411.5802188,B1601769,0.03607,-0.01752,-0.99390,0.10272,0.0269
1596526411.5858061,B1601774,0.03607,-0.01770,-0.99390,0.10278,0.0269
1596526411.595051,B1601779,0.03607,-0.01801,-0.99390,0.10278,0.0269
1596526411.5983958,B1601784,0.03613,-0.01819,-0.99390,0.10278,0.0268
1596526411.600768,B1601789,0.03619,-0.01837,-0.99390,0.10284,0.0268
1596526411.6060312,B1601794,0.03625,-0.01862,-0.99384,0.10284,0.0268
1596526411.611367,B1601799,0.03632,-0.01880,-0.99384,0.10284,0.0267
1596526411.621609,B1601805,0.03644,-0.01904,-0.99384,0.10278,0.0267
1596526411.621629,B1601810,0.03650,-0.01935,-0.99384,0.10272,0.0267
1596526411.627508,B1601815,0.03662,-0.01965,-0.99384,0.10272,0.0267
1596526411.6317031,B1601820,0.03668,-0.01996,-0.99384,0.10272,0.0267
1596526411.6378088,B1601825,0.03674,-0.02020,-0.99384,0.10266,0.0266
1596526411.642963,B1601831,0.03680,-0.02051,-0.99384,0.10260,0.0266
1596526411.648727,B1601837,0.03687,-0.02087,-0.99384,0.10254,0.0266
1596526411.6555588,B1601843,0.03693,-0.02118,-0.99384,0.10254,0.0266
1596526411.660892,B1601848,0.03693,-0.02148,-0.99384,0.10242,0.0266
1596526411.664577,B1601853,0.03699,-0.02185,-0.99384,0.10236,0.0265
1596526411.67087,B1601858,0.03699,-0.02216,-0.99384,0.10223,0.0265
1596526411.6760058,B1601863,0.03699,-0.02240,-0.99384,0.10217,0.0264
1596526411.6809652,B1601869,0.03699,-0.02264,-0.99384,0.10205,0.0264
1596526411.685111,B1601874,0.03705,-0.02289,-0.99384,0.10199,0.0264
1596526411.690356,B1601879,0.03705,-0.02313,-0.99384,0.10187,0.0264
1596526411.6962109,B1601884,0.03705,-0.02325,-0.99384,0.10175,0.0264
1596526411.7003698,B1601889,0.03705,-0.02338,-0.99384,0.10168,0.0263
1596526411.705488,B1601894,0.03705,-0.02350,-0.99384,0.10156,0.0263
1596526411.71152,B1601899,0.03705,-0.02350,-0.99390,0.10144,0.0263
1596526411.717,B1601904,0.03711,-0.02344,-0.99390,0.10120,0.0263
1596526411.721468,B1601909,0.03711,-0.02338,-0.99390,0.10101,0.0263
1596526411.7273018,B1601914,0.03717,-0.02325,-0.99396,0.10083,0.0262
1596526411.73209,B1601919,0.03723,-0.02319,-0.99396,0.10065,0.0262
1596526411.736127,B1601924,0.03723,-0.02313,-0.99396,0.10046,0.0262
1596526411.745777,B1601929,0.03735,-0.02307,-0.99396,0.10028,0.0261
1596526411.746051,B1601935,0.03741,-0.02307,-0.99402,0.10010,0.0261
1596526411.751812,B1601940,0.03754,-0.02313,-0.99402,0.09991,0.0261
1596526411.7566268,B1601945,0.03760,-0.02313,-0.99402,0.09973,0.0261
1596526411.762341,B1601950,0.03772,-0.02319,-0.99408,0.09949,0.0261
1596526411.767779,B1601956,0.03784,-0.02319,-0.99408,0.09924,0.0261
1596526411.774143,B1601962,0.03796,-0.02319,-0.99408,0.09906,0.0260
1596526411.779308,B1601967,0.03809,-0.02319,-0.99414,0.09875,0.0260
1596526411.784002,B1601972,0.03815,-0.02313,-0.99414,0.09839,0.0260
1596526411.789747,B1601977,0.03827,-0.02307,-0.99420,0.09796,0.0260
1596526411.7956538,B1601983,0.03833,-0.02301,-0.99420,0.09753,0.0259
1596526411.799561,B1601988,0.03833,-0.02301,-0.99426,0.09711,0.0259
1596526411.805085,B1601993,0.03833,-0.02295,-0.99432,0.09668,0.0258
1596526411.8115242,B1601999,0.03827,-0.02289,-0.99438,0.09625,0.0258
1596526411.815271,B1602004,0.03821,-0.02283,-0.99438,0.09583,0.0258
1596526411.820987,B1602009,0.03809,-0.02277,-0.99445,0.09540,0.0258
1596526411.8259919,B1602014,0.03784,-0.02271,-0.99457,0.09448,0.0258
1596526411.830988,B1602019,0.03766,-0.02271,-0.99457,0.09406,0.0257
1596526411.836405,B1602024,0.03748,-0.02271,-0.99463,0.09363,0.0257
1596526411.840947,B1602029,0.03729,-0.02264,-0.99469,0.09320,0.0257
1596526411.8460648,B1602034,0.03711,-0.02258,-0.99475,0.09271,0.0257
1596526411.851189,B1602040,0.03693,-0.02252,-0.99481,0.09229,0.0257
1596526411.85633,B1602045,0.03674,-0.02246,-0.99481,0.09186,0.0257
1596526411.86115,B1602050,0.03656,-0.02234,-0.99487,0.09143,0.0257
1596526411.866943,B1602055,0.03638,-0.02216,-0.99493,0.09100,0.0256
1596526411.8742669,B1602060,0.03625,-0.02197,-0.99500,0.09058,0.0256
1596526411.87658,B1602065,0.03607,-0.02179,-0.99506,0.09021,0.0256
1596526411.8822982,B1602070,0.03595,-0.02148,-0.99506,0.08978,0.0256
1596526411.8889081,B1602075,0.03577,-0.02124,-0.99512,0.08936,0.0255
1596526411.8920152,B1602080,0.03564,-0.02094,-0.99518,0.08899,0.0255
1596526411.8980749,B1602086,0.03546,-0.02063,-0.99524,0.08862,0.0255
1596526411.9038348,B1602092,0.03528,-0.02032,-0.99530,0.08820,0.0255
1596526411.909055,B1602097,0.03503,-0.02002,-0.99530,0.08783,0.0255
1596526411.914476,B1602103,0.03485,-0.01971,-0.99536,0.08746,0.0255
1596526411.920244,B1602108,0.03455,-0.01941,-0.99542,0.08710,0.0255
1596526411.924768,B1602113,0.03424,-0.01917,-0.99548,0.08667,0.0254
1596526411.929791,B1602118,0.03394,-0.01898,-0.99548,0.08630,0.0254
1596526411.935167,B1602124,0.03357,-0.01886,-0.99554,0.08594,0.0253
1596526411.940574,B1602129,0.03320,-0.01880,-0.99561,0.08557,0.0253
1596526411.9467268,B1602134,0.03278,-0.01880,-0.99567,0.08521,0.0253
1596526411.951672,B1602139,0.03192,-0.01910,-0.99573,0.08466,0.0253
1596526411.956244,B1602144,0.03156,-0.01935,-0.99573,0.08435,0.0253
1596526411.960714,B1602149,0.03113,-0.01971,-0.99579,0.08405,0.0253
1596526411.966527,B1602154,0.03064,-0.02020,-0.99579,0.08374,0.0252
1596526411.971133,B1602160,0.03027,-0.02069,-0.99585,0.08344,0.0252
1596526411.9782321,B1602165,0.02991,-0.02124,-0.99585,0.08319,0.0252
1596526411.983115,B1602171,0.02954,-0.02185,-0.99585,0.08295,0.0252
1596526411.988132,B1602176,0.02917,-0.02252,-0.99591,0.08276,0.0252
1596526411.99312,B1602182,0.02893,-0.02319,-0.99591,0.08258,0.0252
1596526411.998764,B1602187,0.02863,-0.02386,-0.99591,0.08246,0.0252
1596526412.0101418,B1602193,0.02838,-0.02448,-0.99591,0.08228,0.0252
1596526412.010571,B1602198,0.02820,-0.02515,-0.99591,0.08215,0.0251
1596526412.01436,B1602203,0.02802,-0.02582,-0.99591,0.08203,0.0251
1596526412.019671,B1602209,0.02789,-0.02637,-0.99591,0.08191,0.0251
1596526412.0252001,B1602213,0.02771,-0.02698,-0.99591,0.08185,0.0251
1596526412.033957,B1602218,0.02765,-0.02753,-0.99591,0.08179,0.0250
1596526412.035439,B1602224,0.02759,-0.02795,-0.99591,0.08173,0.0250
1596526412.041069,B1602229,0.02753,-0.02832,-0.99585,0.08167,0.0250
1596526412.04528,B1602234,0.02740,-0.02869,-0.99585,0.08167,0.0250
1596526412.0507011,B1602239,0.02734,-0.02887,-0.99585,0.08167,0.0250
1596526412.055933,B1602244,0.02728,-0.02899,-0.99585,0.08160,0.0250
1596526412.061484,B1602249,0.02716,-0.02887,-0.99585,0.08167,0.0250
1596526412.0670059,B1602255,0.02710,-0.02856,-0.99591,0.08167,0.0249
1596526412.071171,B1602260,0.02710,-0.02826,-0.99591,0.08167,0.0249
