eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1596612654.632951,"{'circle_3d': {'center': [-2.2947476438183285, 5.938613171858916, 69.70204306694734], 'normal': [-0.19435121455658555, 0.5208282718998931, -0.8312433558171464], 'radius': 2.3757107128802657}, 'confidence': 0.9992676279678265, 'timestamp': 170964.79676, 'diameter_3d': 4.751421425760531, 'ellipse': {'center': [139.69727999576259, 172.531026321438], 'axes': [32.9975635123041, 42.271523153982564], 'angle': -69.46919423409268}, 'location': [139.69727999576259, 172.531026321438], 'diameter': 42.271523153982564, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9477805138689899, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.1186172486637758, 'phi': -1.800478220279512, 'norm_pos': [0.4365539999867581, 0.2811207236606751], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.641671,"{'circle_3d': {'center': [-2.30982447803581, 5.932736998823873, 69.70189946864822], 'normal': [-0.19560761740804233, 0.5203385908136395, -0.8312553223420737], 'radius': 2.3755608061767512}, 'confidence': 0.9528167867433684, 'timestamp': 170964.80516, 'diameter_3d': 4.7511216123535025, 'ellipse': {'center': [139.5638222212933, 172.47917104754606], 'axes': [32.996129212633896, 42.268941875505405], 'angle': -69.32954513417478}, 'location': [139.5638222212933, 172.47917104754606], 'diameter': 42.268941875505405, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9476664187121675, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.118043724532324, 'phi': -1.8019076598954415, 'norm_pos': [0.43613694444154155, 0.2813367873018914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.650197,"{'circle_3d': {'center': [-2.279180924996639, 5.920292262677447, 69.68696456764346], 'normal': [-0.19305398798811144, 0.519301529468104, -0.8324998974258039], 'radius': 2.3437886878838996}, 'confidence': 0.9978148589343016, 'timestamp': 170964.81356, 'diameter_3d': 4.687577375767799, 'ellipse': {'center': [139.8280011693456, 172.38741135361235], 'axes': [32.627509617824984, 41.712305096040524], 'angle': -69.53967324767382}, 'location': [139.8280011693456, 172.38741135361235], 'diameter': 41.712305096040524, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9470667396822563, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.116829758847567, 'phi': -1.798665382716296, 'norm_pos': [0.436962503654205, 0.28171911935994853], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.6569111,"{'circle_3d': {'center': [-2.3007337197257276, 5.949485809275194, 69.71026618735985], 'normal': [-0.19485005421553547, 0.5217343250179163, -0.8305580957827707], 'radius': 2.3825129829372615}, 'confidence': 0.9996532987539759, 'timestamp': 170964.82196, 'diameter_3d': 4.765025965874523, 'ellipse': {'center': [139.64720597302886, 172.61970080154393], 'axes': [33.05132412396145, 42.3876267854395], 'angle': -69.45381868159305}, 'location': [139.64720597302886, 172.61970080154393], 'diameter': 42.3876267854395, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9472985086409591, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.119678965593111, 'phi': -1.8012304711574596, 'norm_pos': [0.4363975186657152, 0.28075124666023366], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.667157,"{'circle_3d': {'center': [-2.295446642239602, 5.948607658836423, 69.70847580308698], 'normal': [-0.19440946442502502, 0.5216611458146854, -0.8307072944721771], 'radius': 2.387197513086846}, 'confidence': 0.9991222920993896, 'timestamp': 170964.83036, 'diameter_3d': 4.774395026173692, 'ellipse': {'center': [139.6939205480812, 172.6120434761079], 'axes': [33.12526987345864, 42.47208515692206], 'angle': -69.49381367101444}, 'location': [139.6939205480812, 172.6120434761079], 'diameter': 42.47208515692206, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9471767995769875, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.119593188314975, 'phi': -1.8006877537489152, 'norm_pos': [0.43654350171275375, 0.28078315218288374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.673953,"{'circle_3d': {'center': [-2.287215422525913, 5.938478439100494, 69.70020057059791], 'normal': [-0.19372352944888427, 0.5208170441700246, -0.8313968971795996], 'radius': 2.3645921644823837}, 'confidence': 0.9988574081084761, 'timestamp': 170964.83876, 'diameter_3d': 4.7291843289647675, 'ellipse': {'center': [139.76240653290094, 172.5338798519584], 'axes': [32.852119089191916, 42.074724169319154], 'angle': -69.52967552117481}, 'location': [139.76240653290094, 172.5338798519584], 'diameter': 42.074724169319154, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.946847953048513, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.1186040962782333, 'phi': -1.7997213011682431, 'norm_pos': [0.43675752041531546, 0.2811088339501733], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.681121,"{'circle_3d': {'center': [-2.294125369292945, 5.947344826332535, 69.70737379178418], 'normal': [-0.19429935834613693, 0.5215559097726947, -0.8307991287474104], 'radius': 2.377150565232144}, 'confidence': 0.979030560668888, 'timestamp': 170964.84716, 'diameter_3d': 4.754301130464288, 'ellipse': {'center': [139.70438301776795, 172.6041409131363], 'axes': [32.991210941041295, 42.29393429134373], 'angle': -69.5006595957105}, 'location': [139.70438301776795, 172.6041409131363], 'diameter': 42.29393429134373, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.946741389565875, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.1194698433787695, 'phi': -1.8005375742045644, 'norm_pos': [0.43657619693052485, 0.28081607952859877], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.6887412,"{'circle_3d': {'center': [-2.288617343669059, 5.93497035028011, 69.69833052878843], 'normal': [-0.19384035621081308, 0.5205247034349926, -0.8315527339970558], 'radius': 2.3739381479978947}, 'confidence': 0.9817450834471135, 'timestamp': 170964.85556, 'diameter_3d': 4.747876295995789, 'ellipse': {'center': [139.75034241161174, 172.5018651221827], 'axes': [32.991293753458635, 42.24221025837311], 'angle': -69.50771718422385}, 'location': [139.75034241161174, 172.5018651221827], 'diameter': 42.24221025837311, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9466255700162796, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.118261679674461, 'phi': -1.7998131381602962, 'norm_pos': [0.4367198200362867, 0.2812422286575721], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.706918,"{'circle_3d': {'center': [-2.2953560751902926, 5.93383181821493, 69.69919106473961], 'normal': [-0.1944019171709159, 0.5204298257628943, -0.8314810226677911], 'radius': 2.3990604848610975}, 'confidence': 0.9975690413309608, 'timestamp': 170964.86396, 'diameter_3d': 4.798120969722195, 'ellipse': {'center': [139.69326914273614, 172.48495529720802], 'axes': [33.33635566895333, 42.68887940179023], 'angle': -69.44976671926163}, 'location': [139.69326914273614, 172.48495529720802], 'diameter': 42.68887940179023, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9466226043531312, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.118150565502537, 'phi': -1.800472671674338, 'norm_pos': [0.43654146607105043, 0.2813126862616333], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.723305,"{'circle_3d': {'center': [-2.284847956999678, 5.943993153058762, 69.70310577223559], 'normal': [-0.19352624065503132, 0.5212766036665469, -0.8311547970431264], 'radius': 2.405114885415533}, 'confidence': 0.999835899884108, 'timestamp': 170964.88076, 'diameter_3d': 4.810229770831066, 'ellipse': {'center': [139.78787179230937, 172.57057013294173], 'axes': [33.400994092620785, 42.794260009447676], 'angle': -69.5654765381767}, 'location': [139.78787179230937, 172.57057013294173], 'diameter': 42.794260009447676, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.9470361485511725, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.119142519689833, 'phi': -1.7995605281107228, 'norm_pos': [0.4368370993509668, 0.2809559577794095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612654.727315,"{'circle_3d': {'center': [-2.3064520976309324, 5.9073104849717994, 69.68523662288581], 'normal': [-0.19532658570763586, 0.5182197146593001, -0.8326438928222744], 'radius': 2.3944330197706343}, 'confidence': 0.9981417158778289, 'timestamp': 170964.88916, 'diameter_3d': 4.7888660395412685, 'ellipse': {'center': [139.5908112555859, 172.26129597017038], 'axes': [33.34153431464876, 42.61499507300476], 'angle': -69.27898093768583}, 'location': [139.5908112555859, 172.26129597017038], 'diameter': 42.61499507300476, 'sphere': {'center': [0.037466930860698085, -0.311326090939802, 79.6769633367531], 'radius': 12.0}, 'projected_sphere': {'center': [160.29154596461532, 117.57744060140855], 'axes': [186.75410528774768, 186.75410528774768], 'angle': 90.0}, 'model_confidence': 0.947025362324061, 'model_id': 1, 'model_birth_timestamp': 170733.193386, 'theta': 2.115564359108503, 'phi': -1.8012159011085223, 'norm_pos': [0.4362212851737059, 0.2822446001242901], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
