imu_packets,1279
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596612532.2443771,B439691,0.02661,0.02667,-0.99628,0.07733,0.0125
1596612532.249459,B439696,0.02661,0.02655,-0.99628,0.07733,0.0125
1596612532.254452,B439701,0.02667,0.02649,-0.99628,0.07727,0.0125
1596612532.2593138,B439706,0.02667,0.02643,-0.99628,0.07727,0.0125
1596612532.264313,B439711,0.02667,0.02637,-0.99628,0.07727,0.0125
1596612532.269323,B439716,0.02673,0.02631,-0.99628,0.07727,0.0125
1596612532.276615,B439721,0.02673,0.02625,-0.99634,0.07721,0.0125
1596612532.279613,B439726,0.02673,0.02618,-0.99634,0.07721,0.0125
1596612532.284715,B439731,0.02673,0.02612,-0.99634,0.07721,0.0125
1596612532.290509,B439737,0.02673,0.02606,-0.99634,0.07721,0.0125
1596612532.296483,B439742,0.02673,0.02594,-0.99634,0.07715,0.0125
1596612532.300381,B439747,0.02673,0.02582,-0.99634,0.07715,0.0125
1596612532.3054879,B439752,0.02673,0.02576,-0.99634,0.07709,0.0125
1596612532.3109262,B439757,0.02673,0.02570,-0.99634,0.07709,0.0125
1596612532.3155048,B439762,0.02673,0.02563,-0.99634,0.07709,0.0125
1596612532.320606,B439767,0.02673,0.02557,-0.99634,0.07703,0.0125
1596612532.32631,B439772,0.02673,0.02551,-0.99634,0.07703,0.0125
1596612532.33133,B439777,0.02673,0.02545,-0.99634,0.07703,0.0125
1596612532.3362281,B439782,0.02673,0.02539,-0.99634,0.07697,0.0125
1596612532.341033,B439787,0.02673,0.02539,-0.99634,0.07697,0.0125
1596612532.346244,B439792,0.02667,0.02533,-0.99634,0.07697,0.0125
1596612532.350946,B439797,0.02667,0.02533,-0.99634,0.07690,0.0125
1596612532.356469,B439803,0.02667,0.02527,-0.99634,0.07690,0.0125
1596612532.362404,B439808,0.02667,0.02527,-0.99634,0.07690,0.0125
1596612532.367451,B439814,0.02661,0.02521,-0.99634,0.07684,0.0125
1596612532.3731241,B439819,0.02661,0.02521,-0.99640,0.07684,0.0125
1596612532.3777459,B439824,0.02661,0.02515,-0.99640,0.07684,0.0125
1596612532.384865,B439830,0.02655,0.02515,-0.99640,0.07678,0.0125
1596612532.389106,B439835,0.02655,0.02509,-0.99640,0.07678,0.0125
1596612532.393738,B439840,0.02655,0.02502,-0.99640,0.07678,0.0125
1596612532.399057,B439846,0.02655,0.02502,-0.99640,0.07678,0.0125
1596612532.405519,B439851,0.02655,0.02496,-0.99640,0.07678,0.0125
1596612532.409906,B439856,0.02649,0.02496,-0.99640,0.07678,0.0125
1596612532.4150631,B439861,0.02649,0.02490,-0.99640,0.07678,0.0125
1596612532.4215932,B439866,0.02649,0.02484,-0.99640,0.07678,0.0125
1596612532.425506,B439871,0.02649,0.02484,-0.99640,0.07672,0.0125
1596612532.4294899,B439876,0.02649,0.02478,-0.99640,0.07672,0.0125
1596612532.43479,B439881,0.02643,0.02478,-0.99640,0.07672,0.0125
1596612532.440532,B439886,0.02643,0.02472,-0.99640,0.07672,0.0125
1596612532.445434,B439891,0.02643,0.02466,-0.99640,0.07672,0.0125
1596612532.450119,B439897,0.02643,0.02466,-0.99640,0.07672,0.0125
1596612532.455332,B439902,0.02643,0.02460,-0.99640,0.07672,0.0125
1596612532.460852,B439907,0.02643,0.02454,-0.99640,0.07666,0.0125
1596612532.465386,B439912,0.02643,0.02454,-0.99640,0.07666,0.0125
1596612532.470145,B439917,0.02649,0.02448,-0.99640,0.07666,0.0125
1596612532.475258,B439922,0.02649,0.02448,-0.99640,0.07660,0.0125
1596612532.480484,B439927,0.02649,0.02448,-0.99640,0.07660,0.0125
1596612532.4893498,B439932,0.02649,0.02441,-0.99640,0.07660,0.0125
1596612532.491862,B439937,0.02649,0.02441,-0.99640,0.07660,0.0125
1596612532.496137,B439942,0.02649,0.02441,-0.99640,0.07654,0.0125
1596612532.500224,B439947,0.02649,0.02435,-0.99640,0.07654,0.0125
1596612532.505465,B439952,0.02649,0.02435,-0.99640,0.07654,0.0125
1596612532.511383,B439957,0.02643,0.02429,-0.99640,0.07648,0.0125
1596612532.515651,B439962,0.02643,0.02429,-0.99640,0.07648,0.0125
1596612532.5208058,B439967,0.02643,0.02423,-0.99640,0.07648,0.0125
1596612532.525696,B439972,0.02643,0.02423,-0.99646,0.07642,0.0125
1596612532.5304031,B439977,0.02643,0.02417,-0.99646,0.07642,0.0125
1596612532.5359418,B439982,0.02643,0.02411,-0.99646,0.07635,0.0125
1596612532.5403678,B439987,0.02643,0.02411,-0.99646,0.07635,0.0125
1596612532.545485,B439992,0.02643,0.02405,-0.99646,0.07629,0.0125
1596612532.5520132,B439997,0.02643,0.02399,-0.99646,0.07629,0.0125
1596612532.557632,B440003,0.02643,0.02393,-0.99646,0.07623,0.0125
1596612532.5622258,B440008,0.02637,0.02386,-0.99646,0.07623,0.0125
1596612532.567442,B440014,0.02637,0.02380,-0.99646,0.07623,0.0125
1596612532.573407,B440019,0.02637,0.02380,-0.99646,0.07623,0.0125
1596612532.577785,B440024,0.02637,0.02374,-0.99646,0.07623,0.0125
1596612532.584702,B440030,0.02637,0.02368,-0.99646,0.07623,0.0125
1596612532.5892491,B440035,0.02637,0.02368,-0.99646,0.07623,0.0125
1596612532.594049,B440041,0.02637,0.02362,-0.99646,0.07623,0.0125
1596612532.5990698,B440046,0.02631,0.02356,-0.99646,0.07623,0.0125
1596612532.604005,B440051,0.02631,0.02356,-0.99646,0.07623,0.0125
1596612532.61073,B440056,0.02631,0.02350,-0.99646,0.07623,0.0125
1596612532.615038,B440061,0.02631,0.02344,-0.99646,0.07629,0.0125
1596612532.621208,B440066,0.02631,0.02338,-0.99646,0.07629,0.0125
1596612532.624676,B440071,0.02631,0.02338,-0.99646,0.07629,0.0125
1596612532.630404,B440076,0.02631,0.02332,-0.99646,0.07629,0.0125
1596612532.634965,B440081,0.02631,0.02325,-0.99646,0.07629,0.0125
1596612532.640429,B440086,0.02631,0.02325,-0.99646,0.07629,0.0125
1596612532.6444669,B440091,0.02631,0.02325,-0.99646,0.07635,0.0125
1596612532.6498501,B440097,0.02631,0.02325,-0.99646,0.07635,0.0125
1596612532.654828,B440102,0.02631,0.02325,-0.99646,0.07635,0.0125
1596612532.660671,B440107,0.02631,0.02325,-0.99646,0.07635,0.0125
1596612532.665635,B440112,0.02637,0.02325,-0.99646,0.07635,0.0125
1596612532.669858,B440117,0.02637,0.02325,-0.99646,0.07629,0.0125
1596612532.675574,B440122,0.02637,0.02332,-0.99646,0.07629,0.0125
1596612532.680345,B440127,0.02637,0.02332,-0.99646,0.07629,0.0125
1596612532.685339,B440132,0.02637,0.02332,-0.99646,0.07623,0.0125
1596612532.69031,B440137,0.02637,0.02338,-0.99646,0.07623,0.0125
1596612532.6967192,B440142,0.02637,0.02338,-0.99646,0.07617,0.0125
1596612532.700935,B440147,0.02637,0.02344,-0.99646,0.07617,0.0125
1596612532.70558,B440152,0.02637,0.02344,-0.99646,0.07611,0.0125
1596612532.7104099,B440157,0.02637,0.02344,-0.99646,0.07611,0.0125
1596612532.7165818,B440162,0.02637,0.02344,-0.99646,0.07605,0.0125
1596612532.720452,B440167,0.02637,0.02344,-0.99646,0.07599,0.0125
1596612532.725355,B440172,0.02637,0.02344,-0.99646,0.07599,0.0125
1596612532.7303538,B440177,0.02637,0.02344,-0.99646,0.07593,0.0125
1596612532.736352,B440183,0.02637,0.02344,-0.99652,0.07593,0.0125
1596612532.742105,B440189,0.02637,0.02344,-0.99652,0.07587,0.0125
1596612532.7478669,B440194,0.02637,0.02344,-0.99652,0.07581,0.0125
1596612532.753592,B440199,0.02637,0.02344,-0.99652,0.07581,0.0125
1596612532.7574,B440204,0.02637,0.02344,-0.99652,0.07574,0.0125
1596612532.7645261,B440210,0.02637,0.02344,-0.99652,0.07574,0.0125
1596612532.7686882,B440215,0.02637,0.02344,-0.99652,0.07574,0.0125
1596612532.7740002,B440220,0.02637,0.02344,-0.99652,0.07574,0.0125
1596612532.7789912,B440226,0.02637,0.02344,-0.99652,0.07568,0.0125
1596612532.784203,B440231,0.02637,0.02344,-0.99652,0.07568,0.0125
1596612532.7890701,B440236,0.02637,0.02344,-0.99652,0.07568,0.0125
1596612532.794204,B440241,0.02637,0.02344,-0.99652,0.07568,0.0125
1596612532.7992342,B440246,0.02637,0.02344,-0.99652,0.07568,0.0125
1596612532.804126,B440251,0.02637,0.02350,-0.99652,0.07568,0.0125
1596612532.809193,B440256,0.02631,0.02350,-0.99652,0.07568,0.0125
1596612532.814529,B440261,0.02631,0.02350,-0.99652,0.07574,0.0125
1596612532.8199291,B440266,0.02631,0.02350,-0.99652,0.07574,0.0125
1596612532.824704,B440271,0.02637,0.02350,-0.99652,0.07574,0.0125
1596612532.8308868,B440277,0.02637,0.02356,-0.99652,0.07581,0.0125
1596612532.8347049,B440282,0.02637,0.02350,-0.99652,0.07587,0.0125
1596612532.840628,B440287,0.02631,0.02350,-0.99652,0.07587,0.0125
1596612532.844894,B440292,0.02631,0.02344,-0.99652,0.07587,0.0125
1596612532.849716,B440297,0.02631,0.02344,-0.99652,0.07593,0.0125
1596612532.855413,B440302,0.02631,0.02344,-0.99652,0.07593,0.0125
1596612532.8602822,B440307,0.02625,0.02338,-0.99652,0.07593,0.0125
1596612532.864875,B440312,0.02625,0.02338,-0.99652,0.07599,0.0125
1596612532.8697228,B440317,0.02618,0.02332,-0.99646,0.07599,0.0125
1596612532.875137,B440322,0.02612,0.02325,-0.99646,0.07605,0.0125
1596612532.880169,B440327,0.02612,0.02325,-0.99646,0.07605,0.0125
1596612532.8854542,B440332,0.02612,0.02319,-0.99646,0.07611,0.0125
1596612532.890131,B440337,0.02612,0.02313,-0.99646,0.07611,0.0125
1596612532.895135,B440342,0.02618,0.02313,-0.99646,0.07617,0.0125
1596612532.900368,B440347,0.02618,0.02307,-0.99646,0.07617,0.0125
1596612532.905071,B440352,0.02618,0.02301,-0.99646,0.07617,0.0125
1596612532.910366,B440357,0.02625,0.02301,-0.99646,0.07617,0.0125
1596612532.915792,B440362,0.02625,0.02295,-0.99646,0.07623,0.0125
1596612532.9196339,B440367,0.02625,0.02295,-0.99646,0.07623,0.0125
1596612532.9249249,B440372,0.02625,0.02289,-0.99646,0.07623,0.0125
1596612532.9300811,B440377,0.02631,0.02289,-0.99646,0.07623,0.0125
1596612532.936327,B440382,0.02631,0.02283,-0.99646,0.07623,0.0125
1596612532.939829,B440387,0.02631,0.02283,-0.99646,0.07623,0.0125
1596612532.944889,B440392,0.02631,0.02277,-0.99646,0.07623,0.0125
1596612532.950641,B440397,0.02631,0.02271,-0.99646,0.07623,0.0125
1596612532.9549592,B440402,0.02631,0.02271,-0.99646,0.07623,0.0125
1596612532.960278,B440407,0.02631,0.02264,-0.99646,0.07623,0.0125
1596612532.9648309,B440412,0.02631,0.02264,-0.99646,0.07623,0.0125
1596612532.970022,B440417,0.02631,0.02258,-0.99646,0.07623,0.0125
1596612532.974721,B440422,0.02631,0.02252,-0.99646,0.07623,0.0125
1596612532.980213,B440427,0.02631,0.02246,-0.99646,0.07623,0.0125
1596612532.984865,B440432,0.02631,0.02246,-0.99652,0.07623,0.0125
1596612532.990129,B440437,0.02631,0.02234,-0.99652,0.07623,0.0125
1596612532.995112,B440442,0.02631,0.02234,-0.99652,0.07623,0.0125
1596612533.000608,B440447,0.02631,0.02228,-0.99652,0.07623,0.0125
1596612533.0054998,B440452,0.02631,0.02222,-0.99652,0.07623,0.0125
1596612533.010134,B440457,0.02631,0.02216,-0.99652,0.07623,0.0125
1596612533.01701,B440463,0.02631,0.02209,-0.99652,0.07623,0.0125
1596612533.020426,B440468,0.02631,0.02203,-0.99652,0.07623,0.0125
1596612533.026261,B440473,0.02631,0.02203,-0.99652,0.07623,0.0125
1596612533.031801,B440478,0.02631,0.02197,-0.99652,0.07623,0.0125
1596612533.036496,B440484,0.02631,0.02191,-0.99652,0.07623,0.0125
1596612533.0421429,B440489,0.02631,0.02191,-0.99652,0.07623,0.0125
1596612533.04734,B440495,0.02631,0.02185,-0.99652,0.07623,0.0125
1596612533.052926,B440500,0.02631,0.02185,-0.99652,0.07623,0.0125
1596612533.0581388,B440506,0.02631,0.02179,-0.99652,0.07623,0.0125
1596612533.063583,B440511,0.02631,0.02179,-0.99652,0.07623,0.0125
1596612533.0689778,B440516,0.02631,0.02179,-0.99652,0.07623,0.0125
1596612533.0745652,B440521,0.02637,0.02173,-0.99652,0.07623,0.0125
1596612533.0799859,B440526,0.02637,0.02173,-0.99652,0.07623,0.0125
1596612533.0844312,B440531,0.02637,0.02173,-0.99652,0.07623,0.0125
1596612533.088929,B440536,0.02637,0.02173,-0.99652,0.07623,0.0125
1596612533.094166,B440541,0.02637,0.02173,-0.99652,0.07617,0.0125
1596612533.099645,B440547,0.02643,0.02173,-0.99652,0.07617,0.0125
1596612533.1043031,B440552,0.02643,0.02173,-0.99652,0.07611,0.0125
1596612533.1096041,B440557,0.02643,0.02173,-0.99652,0.07611,0.0125
1596612533.1144059,B440562,0.02643,0.02173,-0.99652,0.07611,0.0125
