eye_packets,744
norm_X,norm_Y,phi,theta,confidence,timestamp
1594798585.3930008,"{'circle_3d': {'center': [-6.904953147495391, 6.065442253757367, 54.419423044038794], 'normal': [-0.09550290100185727, 0.6542710885738742, -0.7502056641725569], 'radius': 2.597809071446774}, 'confidence': 0.9994137518590308, 'timestamp': 29110.951409, 'diameter_3d': 5.195618142893548, 'ellipse': {'center': [81.3548052081054, 188.47826853352944], 'axes': [39.22995314659256, 59.49913157516347], 'angle': -76.8329513546438}, 'location': [81.3548052081054, 188.47826853352944], 'diameter': 59.49913157516347, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9453303310336558, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2840147079924744, 'phi': -1.697417548059759, 'norm_pos': [0.2542337662753294, 0.21467388111029395], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.400775,"{'circle_3d': {'center': [-6.905737923877684, 6.0687025201698, 54.422367404966764], 'normal': [-0.09556829903371504, 0.654542777441577, -0.7499603007618928], 'radius': 2.6040700005352657}, 'confidence': 0.9992960122317418, 'timestamp': 29110.959809, 'diameter_3d': 5.208140001070531, 'ellipse': {'center': [81.35019421021815, 188.50874945140322], 'axes': [39.30367713681903, 59.63946894332742], 'angle': -76.83485755726076}, 'location': [81.35019421021815, 188.50874945140322], 'diameter': 59.63946894332742, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9453044062310401, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2843740170540343, 'phi': -1.6975443424610162, 'norm_pos': [0.2542193569069317, 0.2145468772858199], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.410609,"{'circle_3d': {'center': [-6.900134664608227, 6.0704976387464695, 54.42322206465067], 'normal': [-0.0951013607612602, 0.6546923706562994, -0.7498890791215667], 'radius': 2.5992164795277266}, 'confidence': 0.9993812672199717, 'timestamp': 29110.968209, 'diameter_3d': 5.198432959055453, 'ellipse': {'center': [81.41471737190678, 188.53041879749088], 'axes': [39.22738038812908, 59.52724038411434], 'angle': -76.87753672333235}, 'location': [81.41471737190678, 188.53041879749088], 'diameter': 59.52724038411434, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9453279061992448, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2845719020941457, 'phi': -1.696943479491461, 'norm_pos': [0.2544209917872087, 0.214456588343788], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.416647,"{'circle_3d': {'center': [-6.907528446852709, 6.074344756951007, 54.427523371575845], 'normal': [-0.09571750928163374, 0.6550129638400108, -0.749530636877803], 'radius': 2.5964259432389687}, 'confidence': 0.9995202565809854, 'timestamp': 29110.976609, 'diameter_3d': 5.192851886477937, 'ellipse': {'center': [81.33708319349503, 188.5703347315338], 'axes': [39.15117209727663, 59.45862866764619], 'angle': -76.83530018562244}, 'location': [81.33708319349503, 188.5703347315338], 'diameter': 59.45862866764619, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9453550682915202, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2849961037574236, 'phi': -1.6978121057513895, 'norm_pos': [0.254178384979672, 0.2142902719519425], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.428898,"{'circle_3d': {'center': [-6.90175531285633, 6.072309233640338, 54.42500971909672], 'normal': [-0.09523641478193551, 0.6548433368974551, -0.7497401079177299], 'radius': 2.596934055421828}, 'confidence': 0.999393792373291, 'timestamp': 29110.985009, 'diameter_3d': 5.193868110843656, 'ellipse': {'center': [81.39886356110591, 188.54995663267323], 'axes': [39.179520984933895, 59.47297994396168], 'angle': -76.87046401254798}, 'location': [81.39886356110591, 188.54995663267323], 'diameter': 59.47297994396168, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.945381155944125, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.284771637792499, 'phi': -1.69714555744533, 'norm_pos': [0.25437144862845595, 0.21437518069719486], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.436807,"{'circle_3d': {'center': [-6.905847426330332, 6.072903878058918, 54.426049912471434], 'normal': [-0.0955774242381024, 0.6548928905990035, -0.7496534251365037], 'radius': 2.5982869289600514}, 'confidence': 0.9994493882479242, 'timestamp': 29110.993409, 'diameter_3d': 5.196573857920103, 'ellipse': {'center': [81.35405454528855, 188.55483426068773], 'axes': [39.19048134931599, 59.502883043945936], 'angle': -76.84361329947149}, 'location': [81.35405454528855, 188.55483426068773], 'diameter': 59.502883043945936, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9454121178261388, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.284837207291386, 'phi': -1.6976076512419274, 'norm_pos': [0.2542314204540267, 0.21435485724713443], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.4450078,"{'circle_3d': {'center': [-6.909915478633472, 6.078255144860246, 54.43124741936377], 'normal': [-0.09591642859669731, 0.6553388294991142, -0.7492202995621419], 'radius': 2.600940653276027}, 'confidence': 0.9994122361364756, 'timestamp': 29111.001809, 'diameter_3d': 5.201881306552054, 'ellipse': {'center': [81.31541699620587, 188.60810741839282], 'axes': [39.19209170388245, 59.558079308320984], 'angle': -76.82766076327073}, 'location': [81.31541699620587, 188.60810741839282], 'diameter': 59.558079308320984, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9454314019698762, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.285427441758999, 'phi': -1.6981253822623912, 'norm_pos': [0.25411067811314336, 0.21413288575669653], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.452917,"{'circle_3d': {'center': [-6.910573362934369, 6.07425450820748, 54.42783387036587], 'normal': [-0.09597125228843878, 0.6550054431113836, -0.7495047619786339], 'radius': 2.6012303384944775}, 'confidence': 0.9993876036977585, 'timestamp': 29111.010209, 'diameter_3d': 5.202460676988955, 'ellipse': {'center': [81.30315574726055, 188.5666408477105], 'axes': [39.21992649070752, 59.568439273734654], 'angle': -76.81410746270203}, 'location': [81.30315574726055, 188.5666408477105], 'diameter': 59.568439273734654, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.945497865743361, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2849861507126694, 'phi': -1.6981495441864112, 'norm_pos': [0.2540723617101892, 0.21430566313453958], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.461159,"{'circle_3d': {'center': [-6.907878232621425, 6.073910847237671, 54.42718887122649], 'normal': [-0.09574665809569344, 0.6549768046972329, -0.7495585119069154], 'radius': 2.610013424529611}, 'confidence': 0.999259096316333, 'timestamp': 29111.018609, 'diameter_3d': 5.220026849059222, 'ellipse': {'center': [81.33289269447174, 188.55925283958987], 'axes': [39.35861519485681, 59.770469824755665], 'angle': -76.83182557558983}, 'location': [81.33289269447174, 188.55925283958987], 'diameter': 59.770469824755665, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9455211446398271, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2849482509930805, 'phi': -1.6978456966717055, 'norm_pos': [0.25416528967022417, 0.2143364465017089], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.469158,"{'circle_3d': {'center': [-6.917297274356686, 6.072207900374804, 54.42690906887817], 'normal': [-0.09653157824029855, 0.6548348924586606, -0.7495818287692757], 'radius': 2.597870036211866}, 'confidence': 0.9994646978222732, 'timestamp': 29111.027009, 'diameter_3d': 5.195740072423732, 'ellipse': {'center': [81.22571154496396, 188.54617016690798], 'axes': [39.17192982770761, 59.4924487481195], 'angle': -76.76323393857868}, 'location': [81.22571154496396, 188.54617016690798], 'diameter': 59.4924487481195, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.9455062478915477, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.2847604644756023, 'phi': -1.698871984351866, 'norm_pos': [0.25383034857801234, 0.2143909576378834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594798585.4767869,"{'circle_3d': {'center': [-7.072845637292849, 6.035577302859756, 54.416365874109495], 'normal': [-0.10949394181831207, 0.65178234266574, -0.7504604283333319], 'radius': 2.6054926717147486}, 'confidence': 0.9991918928377066, 'timestamp': 29111.035409, 'diameter_3d': 5.210985343429497, 'ellipse': {'center': [79.45073948413324, 188.14012493706275], 'axes': [39.27527271228733, 59.679345502051746], 'angle': -75.61119912373258}, 'location': [79.45073948413324, 188.14012493706275], 'diameter': 59.679345502051746, 'sphere': {'center': [-5.758918335473104, -1.7858108091291232, 63.42189101410948], 'radius': 12.0}, 'projected_sphere': {'center': [103.70194090871576, 102.54226286923964], 'axes': [234.6193051337691, 234.6193051337691], 'angle': 90.0}, 'model_confidence': 0.945461297493766, 'model_id': 14, 'model_birth_timestamp': 28984.270829, 'theta': 2.280728513711594, 'phi': -1.7156764060717102, 'norm_pos': [0.24828356088791637, 0.2160828127622385], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
