eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1594971843.802439,"{'circle_3d': {'center': [-1.4094533385994135, 4.878960225515177, 62.41057660996728], 'normal': [-0.1728373818502087, 0.5810625086026319, -0.7952946627078429], 'radius': 2.1286694529974683}, 'confidence': 0.9998168297625388, 'timestamp': 199565.412092, 'diameter_3d': 4.257338905994937, 'ellipse': {'center': [146.09138508371234, 168.15591547866202], 'axes': [31.562892280082956, 42.30236505651335], 'angle': -73.4723944947002}, 'location': [146.09138508371234, 168.15591547866202], 'diameter': 42.30236505651335, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9566589929110525, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.190829929347146, 'phi': -1.7847936603245882, 'norm_pos': [0.4565355783866011, 0.2993503521722416], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.810576,"{'circle_3d': {'center': [-1.4031585414402121, 4.8802854728665235, 62.4101790291204], 'normal': [-0.17231281542027527, 0.5811729458819107, -0.7953277944450827], 'radius': 2.1312092159062987}, 'confidence': 0.9998692807550942, 'timestamp': 199565.420492, 'diameter_3d': 4.2624184318125975, 'ellipse': {'center': [146.15378395320587, 168.16856399860967], 'axes': [31.60252174013921, 42.35312791279714], 'angle': -73.52471335514129}, 'location': [146.15378395320587, 168.16856399860967], 'diameter': 42.35312791279714, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9568897078786609, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.190965631771067, 'phi': -1.7841551129581417, 'norm_pos': [0.45673057485376833, 0.299297650005793], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.818982,"{'circle_3d': {'center': [-1.4037058499051147, 4.880423114648614, 62.41039820568605], 'normal': [-0.17235842445901714, 0.5811844160304183, -0.7953095297312783], 'radius': 2.130207816637703}, 'confidence': 0.999876095419103, 'timestamp': 199565.428892, 'diameter_3d': 4.260415633275406, 'ellipse': {'center': [146.14832876457572, 168.17006123493366], 'axes': [31.5865842056403, 42.333070694068425], 'angle': -73.52074836609462}, 'location': [146.14832876457572, 168.17006123493366], 'diameter': 42.333070694068425, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9571561029040332, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.1909797267417117, 'phi': -1.784214641068707, 'norm_pos': [0.45671352738929916, 0.2992914115211097], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.8266292,"{'circle_3d': {'center': [-1.3935758166234273, 4.891542118632323, 62.41634192212658], 'normal': [-0.17151425501887652, 0.5821109996957273, -0.794814220027901], 'radius': 2.1142685180929908}, 'confidence': 0.9999856971707569, 'timestamp': 199565.437292, 'diameter_3d': 4.2285370361859815, 'ellipse': {'center': [146.2483677694837, 168.28039261558487], 'axes': [31.32102586706524, 42.0121967262635], 'angle': -73.62558875571978}, 'location': [146.2483677694837, 168.28039261558487], 'diameter': 42.0121967262635, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9573031887787797, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.1921188185921054, 'phi': -1.78332901599717, 'norm_pos': [0.4570261492796366, 0.298831697435063], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.835263,"{'circle_3d': {'center': [-1.3934130448133102, 4.886844987338497, 62.41286847347649], 'normal': [-0.17150069070136675, 0.5817195720879086, -0.795103674082075], 'radius': 2.1199906871730483}, 'confidence': 0.9999136132935922, 'timestamp': 199565.445691, 'diameter_3d': 4.239981374346097, 'ellipse': {'center': [146.2497543777016, 168.23478524254386], 'axes': [31.42284931494446, 42.128283127960366], 'angle': -73.6160841222135}, 'location': [146.2497543777016, 168.23478524254386], 'diameter': 42.128283127960366, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9576857102159497, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.1916375054630435, 'phi': -1.783237650807051, 'norm_pos': [0.4570304824303175, 0.2990217281560672], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.842182,"{'circle_3d': {'center': [-1.3917118771202062, 4.892508664604895, 62.41664782056998], 'normal': [-0.17135892672694142, 0.5821915451934417, -0.7947887284909514], 'radius': 2.119609366811835}, 'confidence': 0.9999438533131983, 'timestamp': 199565.454091, 'diameter_3d': 4.23921873362367, 'ellipse': {'center': [146.26732688619552, 168.28816706178293], 'axes': [31.398712525673925, 42.11816340677103], 'angle': -73.6423816565239}, 'location': [146.26732688619552, 168.28816706178293], 'diameter': 42.11816340677103, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9578333343155387, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.1922178807366417, 'phi': -1.7831488844085988, 'norm_pos': [0.457085396519361, 0.2987993039092378], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.850065,"{'circle_3d': {'center': [-1.3947521449201359, 4.9074341482763435, 62.42825562089207], 'normal': [-0.17161228237693554, 0.5834353354993957, -0.7938214117974436], 'radius': 2.1185701571787505}, 'confidence': 0.9999925170969663, 'timestamp': 199565.462491, 'diameter_3d': 4.237140314357501, 'ellipse': {'center': [146.23956859127009, 168.42762318167667], 'axes': [31.326619171908437, 42.0897113574855], 'angle': -73.652771155766}, 'location': [146.23956859127009, 168.42762318167667], 'diameter': 42.0897113574855, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9580246996548691, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.193748500288062, 'phi': -1.7837048546930032, 'norm_pos': [0.45699865184771904, 0.29821823674301384], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.862251,"{'circle_3d': {'center': [-1.3937317323023968, 4.89726838390001, 62.42057206362547], 'normal': [-0.17152724799212396, 0.5825881884680346, -0.7944617082363266], 'radius': 2.114716144810067}, 'confidence': 0.9999663749633915, 'timestamp': 199565.470891, 'diameter_3d': 4.229432289620134, 'ellipse': {'center': [146.24773868104174, 168.3338176652089], 'axes': [31.307035727129122, 42.018259976367595], 'angle': -73.63749131098108}, 'location': [146.24773868104174, 168.3338176652089], 'diameter': 42.018259976367595, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9581989931533919, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.192705811100622, 'phi': -1.7834361292299474, 'norm_pos': [0.45702418337825546, 0.29860909306162964], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.8706071,"{'circle_3d': {'center': [-1.3957852453166337, 4.913629913728871, 62.433035937029786], 'normal': [-0.17169837407664373, 0.5839516492871063, -0.7934230521193], 'radius': 2.112718235481497}, 'confidence': 0.9999701146443847, 'timestamp': 199565.479291, 'diameter_3d': 4.225436470962994, 'ellipse': {'center': [146.2298374949286, 168.48711166665365], 'axes': [31.216744382285924, 41.97020182992436], 'angle': -73.65885541644933}, 'location': [146.2298374949286, 168.48711166665365], 'diameter': 41.97020182992436, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9583790796857006, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.194384375031451, 'phi': -1.7839122026102792, 'norm_pos': [0.4569682421716519, 0.29797036805560984], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.878931,"{'circle_3d': {'center': [-1.4256682290050309, 4.978635395931974, 62.487772226104376], 'normal': [-0.17418862271734348, 0.5893687728040317, -0.788861694696418], 'radius': 2.109119565651742}, 'confidence': 0.9998662217112932, 'timestamp': 199565.487691, 'diameter_3d': 4.218239131303484, 'ellipse': {'center': [145.9456128179834, 169.09045883160036], 'axes': [30.897975702430514, 41.8621363738945], 'angle': -73.57500889877913}, 'location': [145.9456128179834, 169.09045883160036], 'diameter': 41.8621363738945, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9584640003971079, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.201073591501594, 'phi': -1.7881191931133935, 'norm_pos': [0.4560800400561981, 0.2954564215349985], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971843.886003,"{'circle_3d': {'center': [-1.4258612994830187, 5.047046165223113, 62.539312933721305], 'normal': [-0.17420471192384246, 0.5950696702449599, -0.7845666357283401], 'radius': 2.115916125050042}, 'confidence': 0.9999112714517242, 'timestamp': 199565.496091, 'diameter_3d': 4.231832250100084, 'ellipse': {'center': [145.95516649774356, 169.72576431249493], 'axes': [30.747381872351195, 41.96263246801211], 'angle': -73.72733777249442}, 'location': [145.95516649774356, 169.72576431249493], 'diameter': 41.96263246801211, 'sphere': {'center': [0.6645952436030907, -2.0937898777164055, 71.95411256246139], 'radius': 12.0}, 'projected_sphere': {'center': [165.72655316506373, 101.95864450336617], 'axes': [206.79846460594007, 206.79846460594007], 'angle': 90.0}, 'model_confidence': 0.9585613267423465, 'model_id': 3, 'model_birth_timestamp': 199538.811462, 'theta': 2.2081486623843856, 'phi': -1.7892910554428785, 'norm_pos': [0.45610989530544865, 0.2928093153646044], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
