eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1594971670.401555,"{'circle_3d': {'center': [-1.4284077266600337, 6.043386936781085, 62.75778385478355], 'normal': [-0.18253713892088574, 0.6884258658164117, -0.7019615517886298], 'radius': 2.105878931140582}, 'confidence': 0.3239538392605295, 'timestamp': 199392.015656, 'diameter_3d': 4.211757862281164, 'ellipse': {'center': [145.9698373926609, 179.40071300005448], 'axes': [26.291596129989195, 41.62103377643892], 'angle': -75.26465155053396}, 'location': [145.9698373926609, 179.40071300005448], 'diameter': 41.62103377643892, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.330112836450276, 'phi': -1.8252005938988998, 'norm_pos': [0.4561557418520653, 0.2524970291664397], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.405194,"{'circle_3d': {'center': [-1.4206139718063582, 6.042525853371314, 62.7549168352568], 'normal': [-0.1818876593497461, 0.6883541088655976, -0.7022004700825254], 'radius': 2.1093939032962234}, 'confidence': 0.3787807360544676, 'timestamp': 199392.024056, 'diameter_3d': 4.218787806592447, 'ellipse': {'center': [146.0462323811518, 179.39378539063284], 'axes': [26.348793309919202, 41.69244511815416], 'angle': -75.31515191256453}, 'location': [146.0462323811518, 179.39378539063284], 'diameter': 41.69244511815416, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.330013907844043, 'phi': -1.8242511489749358, 'norm_pos': [0.4563944761910994, 0.2525258942056965], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.4133189,"{'circle_3d': {'center': [-1.419766413184662, 6.0416504186458795, 62.753839280723575], 'normal': [-0.18181702946460476, 0.6882811559718114, -0.7022902662936275], 'radius': 2.1142614753922024}, 'confidence': 0.34101341147449377, 'timestamp': 199392.032456, 'diameter_3d': 4.228522950784405, 'ellipse': {'center': [146.05472789913887, 179.38472231997955], 'axes': [26.414682505661194, 41.7894238700247], 'angle': -75.31929443874242}, 'location': [146.05472789913887, 179.38472231997955], 'diameter': 41.7894238700247, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.3299133399562044, 'phi': -1.8241258604880555, 'norm_pos': [0.45642102468480894, 0.2525636570000852], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.4220219,"{'circle_3d': {'center': [-1.4188926646839353, 6.040760628525412, 62.752741197598915], 'normal': [-0.18174421708954416, 0.6882070067951056, -0.7023817732206824], 'radius': 2.110975295392085}, 'confidence': 0.35997908735983136, 'timestamp': 199392.040856, 'diameter_3d': 4.22195059078417, 'ellipse': {'center': [146.06284623963504, 179.37789532766377], 'axes': [26.37868466681177, 41.72516135770441], 'angle': -75.32358718836632}, 'location': [146.06284623963504, 179.37789532766377], 'diameter': 41.72516135770441, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.3298111327864026, 'phi': -1.823997092951703, 'norm_pos': [0.4564463944988595, 0.252592102801401], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.4303439,"{'circle_3d': {'center': [-1.4179927087290458, 6.039856478874114, 62.75162259799835], 'normal': [-0.18166922075997002, 0.6881316609908307, -0.7024749898540628], 'radius': 2.121896428117579}, 'confidence': 0.34891509021540335, 'timestamp': 199392.049256, 'diameter_3d': 4.243792856235158, 'ellipse': {'center': [146.07231948986015, 179.36682673692422], 'axes': [26.52054056135542, 41.941896519240515], 'angle': -75.32803273230891}, 'location': [146.07231948986015, 179.36682673692422], 'diameter': 41.941896519240515, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.329707286335346, 'phi': -1.8238648463667713, 'norm_pos': [0.456475998405813, 0.2526382219294824], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.438777,"{'circle_3d': {'center': [-1.4170665273708514, 6.038937965481297, 62.75048349433773], 'normal': [-0.18159203898012052, 0.6880551182080961, -0.7025699151591146], 'radius': 2.120309581933447}, 'confidence': 0.38590129027159564, 'timestamp': 199392.057656, 'diameter_3d': 4.240619163866894, 'ellipse': {'center': [146.08107700093603, 179.3592629179764], 'axes': [26.506004406263656, 41.9112707184051], 'angle': -75.33262844689202}, 'location': [146.08107700093603, 179.3592629179764], 'diameter': 41.9112707184051, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.329601800602683, 'phi': -1.82372912073282, 'norm_pos': [0.4565033656279251, 0.25266973784176505], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.446461,"{'circle_3d': {'center': [-1.4161141022951693, 6.038005084070447, 62.74932389934479], 'normal': [-0.18151267022381368, 0.6879773780905252, -0.702666548075193], 'radius': 2.122187791650187}, 'confidence': 0.33045293754046845, 'timestamp': 199392.066056, 'diameter_3d': 4.244375583300374, 'ellipse': {'center': [146.09035806129012, 179.35056839641044], 'axes': [26.53493186882312, 41.94919068661736], 'angle': -75.33737624093607}, 'location': [146.09035806129012, 179.35056839641044], 'diameter': 41.94919068661736, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.3294946755880397, 'phi': -1.82358991604936, 'norm_pos': [0.4565323689415316, 0.25270596501495646], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.457914,"{'circle_3d': {'center': [-1.4151354148334196, 6.037057830309177, 62.74814382607199], 'normal': [-0.1814311129353345, 0.6878984402770859, -0.7027648875145929], 'radius': 2.1405091697146785}, 'confidence': 0.2365966891174343, 'timestamp': 199392.074456, 'diameter_3d': 4.281018339429357, 'ellipse': {'center': [146.10117717713317, 179.33694375149884], 'axes': [26.76984782503457, 42.31235420368399], 'angle': -75.34227772979258}, 'location': [146.10117717713317, 179.33694375149884], 'diameter': 42.31235420368399, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.329385911292159, 'phi': -1.823447232317357, 'norm_pos': [0.45656617867854116, 0.25276273436875485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.4649222,"{'circle_3d': {'center': [-1.414130445943129, 6.0360961997898634, 62.74694328787291], 'normal': [-0.18134736552781033, 0.6878183044004766, -0.7028649323645163], 'radius': 2.121644057396824}, 'confidence': 0.3580232729892753, 'timestamp': 199392.082856, 'diameter_3d': 4.243288114793648, 'ellipse': {'center': [146.1093502542881, 179.33405892661352], 'axes': [26.53925190143959, 41.94002247132649], 'angle': -75.34732737928799}, 'location': [146.1093502542881, 179.33405892661352], 'diameter': 41.94002247132649, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.3292755077146716, 'phi': -1.8233010695363343, 'norm_pos': [0.45659171954465033, 0.2527747544724437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.473988,"{'circle_3d': {'center': [-1.4130991762177507, 6.0351201880391745, 62.74572229841445], 'normal': [-0.18126142638402876, 0.687736970087919, -0.7029666814860545], 'radius': 2.13312317595528}, 'confidence': 0.26476622019388657, 'timestamp': 199392.091256, 'diameter_3d': 4.26624635191056, 'ellipse': {'center': [146.12014340583352, 179.32219154205885], 'axes': [26.688747595270502, 42.167888508686126], 'angle': -75.35253266589507}, 'location': [146.12014340583352, 179.32219154205885], 'diameter': 42.167888508686126, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.329163464855187, 'phi': -1.8231514277057674, 'norm_pos': [0.45662544814322975, 0.2528242019080882], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971670.482062,"{'circle_3d': {'center': [-1.412041585898134, 6.034129790528462, 62.74448087169038], 'normal': [-0.18117329385739409, 0.6876544369620264, -0.7030701337130605], 'radius': 2.1328915738640295}, 'confidence': 0.3469428203060594, 'timestamp': 199392.099656, 'diameter_3d': 4.265783147728059, 'ellipse': {'center': [146.1302800835685, 179.31361593891828], 'axes': [26.691680146037623, 42.164138979039315], 'angle': -75.35788930774221}, 'location': [146.1302800835685, 179.31361593891828], 'diameter': 42.164138979039315, 'sphere': {'center': [0.7620379403905948, -2.217723453015856, 71.1813224762471], 'radius': 12.0}, 'projected_sphere': {'center': [166.6374648096743, 100.68329594004581], 'axes': [209.043601359969, 209.043601359969], 'angle': 90.0}, 'model_confidence': 0.8392439137873131, 'model_id': 22, 'model_birth_timestamp': 199221.378056, 'theta': 2.329049782714481, 'phi': -1.822998306826693, 'norm_pos': [0.45665712526115154, 0.25285993358784054], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
