eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1595229711.5446851,"{'circle_3d': {'center': [0.6360850560194447, 0.917429334184928, 31.12635941994894], 'normal': [0.09153140246437423, 0.1966612038508081, -0.9761897219612874], 'radius': 2.7235152966450515}, 'confidence': 0.04171576476087049, 'timestamp': 245075.614328, 'diameter_3d': 5.447030593290103, 'ellipse': {'center': [172.25033965097055, 137.369085441731], 'axes': [105.11951280491907, 108.51944522264888], 'angle': 63.85217962193463}, 'location': [172.25033965097055, 137.369085441731], 'diameter': 108.51944522264888, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7687477807756191, 'phi': -1.4773057190376429, 'norm_pos': [0.538282311409283, 0.42762881065945424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.552607,"{'circle_3d': {'center': [0.691330369145964, 0.8958871226932672, 31.12734970824004], 'normal': [0.09613517855825085, 0.19486601955983637, -0.9761071979370292], 'radius': 2.716009154358639}, 'confidence': 0.08367151841699072, 'timestamp': 245075.622728, 'diameter_3d': 5.432018308717278, 'ellipse': {'center': [173.3318867343014, 136.952681027], 'axes': [104.80857233213128, 108.21747132990347], 'angle': 62.343287659423126}, 'location': [173.3318867343014, 136.952681027], 'diameter': 108.21747132990347, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.766917176042609, 'phi': -1.4726245893119136, 'norm_pos': [0.5416621460446919, 0.4293638290541666], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.56537,"{'circle_3d': {'center': [0.7273353941417633, 0.8742623968136827, 31.126654031599863], 'normal': [0.09913559730790081, 0.19306395906987106, -0.9761651709903775], 'radius': 2.7372541181375207}, 'confidence': 0.08301733496160245, 'timestamp': 245075.631128, 'diameter_3d': 5.4745082362750415, 'ellipse': {'center': [174.02863596668402, 136.51650568214103], 'axes': [105.63761064442227, 109.06714561233576], 'angle': 61.270940942475534}, 'location': [174.02863596668402, 136.51650568214103], 'diameter': 109.06714561233576, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.765080228797811, 'phi': -1.469587149232223, 'norm_pos': [0.5438394873958876, 0.43118122632441236], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.573353,"{'circle_3d': {'center': [0.7634761737020292, 0.8525551483124723, 31.126107013099066], 'normal': [0.10214732893792294, 0.19125502169477013, -0.9762107558654436], 'radius': 2.7378312029204728}, 'confidence': 0.04149834988891593, 'timestamp': 245075.639528, 'diameter_3d': 5.4756624058409455, 'ellipse': {'center': [174.734690395649, 136.09227847982402], 'axes': [105.6656012409375, 109.09256366519884], 'angle': 60.19336720122754}, 'location': [174.734690395649, 136.09227847982402], 'diameter': 109.09256366519884, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7632369390539535, 'phi': -1.4665391659601754, 'norm_pos': [0.5460459074864031, 0.43294883966739994], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.580595,"{'circle_3d': {'center': [0.7997521066302817, 0.830765369995468, 31.125710280899582], 'normal': [0.10517032334861065, 0.18943920683501977, -0.9762438168820672], 'radius': 2.727501506563864}, 'confidence': 0.07438337040275081, 'timestamp': 245075.647928, 'diameter_3d': 5.455003013127728, 'ellipse': {'center': [175.44720635167113, 135.67338852006205], 'axes': [105.26938920321595, 108.68275552669466], 'angle': 59.11134594005875}, 'location': [175.44720635167113, 135.67338852006205], 'diameter': 108.68275552669466, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7613873068046837, 'phi': -1.463480639485265, 'norm_pos': [0.5482725198489723, 0.43469421449974144], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.588247,"{'circle_3d': {'center': [0.9532474085189215, 0.8088930559452701, 31.139035547092792], 'normal': [0.11796159850599731, 0.18761651399750331, -0.9751333780326332], 'radius': 2.7129563844804903}, 'confidence': 0.02695778914567429, 'timestamp': 245075.656328, 'diameter_3d': 5.4259127689609805, 'ellipse': {'center': [178.44535802360065, 135.2503146978501], 'axes': [104.46385257285766, 108.0598026841372], 'angle': 55.57065607969928}, 'location': [178.44535802360065, 135.2503146978501], 'diameter': 108.0598026841372, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7595313320435597, 'phi': -1.4504115697968405, 'norm_pos': [0.557641743823752, 0.4364570220922913], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.5988438,"{'circle_3d': {'center': [0.9816649614612865, 0.7869382017636988, 31.138304202273254], 'normal': [0.12032972791786108, 0.18578694281570574, -0.9751943234342616], 'radius': 2.7207231267031577}, 'confidence': 0.053758803478167735, 'timestamp': 245075.664728, 'diameter_3d': 5.4414462534063155, 'ellipse': {'center': [178.99776535117437, 134.8168166364818], 'axes': [104.77106616631099, 108.37240706414597], 'angle': 54.679945487932486}, 'location': [178.99776535117437, 134.8168166364818], 'diameter': 108.37240706414597, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7576690147834426, 'phi': -1.4480263704885383, 'norm_pos': [0.5593680167224199, 0.4382632640146592], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.6059892,"{'circle_3d': {'center': [0.6660623807599964, 0.8827407300510588, 31.122272346325794], 'normal': [0.09402951285942021, 0.19377048683965234, -0.976530311429883], 'radius': 2.7308594163321414}, 'confidence': 0.017823319583730856, 'timestamp': 245075.673128, 'diameter_3d': 5.461718832664283, 'ellipse': {'center': [172.83516924301037, 136.68813584555505], 'axes': [105.47040846660771, 108.82661962990065], 'angle': 62.76047410134015}, 'location': [172.83516924301037, 136.68813584555505], 'diameter': 108.82661962990065, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7658003550179129, 'phi': -1.474802874346352, 'norm_pos': [0.5401099038844074, 0.43046610064352064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.613537,"{'circle_3d': {'center': [0.7289634674728314, 0.8524845775394012, 31.122533281600354], 'normal': [0.0992712700854898, 0.19124914079701424, -0.9765085668236697], 'radius': 2.7368873878421307}, 'confidence': 0.07706779264314538, 'timestamp': 245075.681528, 'diameter_3d': 5.473774775684261, 'ellipse': {'center': [174.0621297395083, 136.0929140613887], 'axes': [105.69334392421919, 109.06683687931833], 'angle': 60.961674466152935}, 'location': [174.0621297395083, 136.0929140613887], 'diameter': 109.06683687931833, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7632309475589059, 'phi': -1.4694849803544756, 'norm_pos': [0.5439441554359634, 0.4329461914108804], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.62019,"{'circle_3d': {'center': [0.7602955162348166, 0.9496015388644761, 31.145205091442214], 'normal': [0.10188227414898857, 0.1993422209074371, -0.9746192493368478], 'radius': 2.7071830174747684}, 'confidence': 0.036038177848502655, 'timestamp': 245075.689928, 'diameter_3d': 5.414366034949537, 'ellipse': {'center': [174.67544019406338, 138.00022360188194], 'axes': [104.16072796955686, 107.8053896611467], 'angle': 61.462229494733585}, 'location': [174.67544019406338, 138.00022360188194], 'diameter': 107.8053896611467, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.771482950552925, 'phi': -1.4666391629607423, 'norm_pos': [0.5458607506064481, 0.42499906832549195], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.630282,"{'circle_3d': {'center': [0.7943036220327764, 0.9208068309108612, 31.142955771893963], 'normal': [0.10471628296548523, 0.19694266191130258, -0.9748066926325357], 'radius': 2.7357487678452466}, 'confidence': 0.06239539527095878, 'timestamp': 245075.698328, 'diameter_3d': 5.471497535690493, 'ellipse': {'center': [175.3306570196692, 137.41978108502113], 'axes': [105.29563497105244, 108.95161806470101], 'angle': 60.38185497896517}, 'location': [175.3306570196692, 137.41978108502113], 'diameter': 108.95161806470101, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7690348530327682, 'phi': -1.4637840806411215, 'norm_pos': [0.5479083031864662, 0.42741757881241194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
