eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1595229576.683601,"{'circle_3d': {'center': [-4.771977430256301, 8.743206943550057, 79.70187444020097], 'normal': [-0.17068025110438068, 0.5516260724321632, -0.8164416256512228], 'radius': 3.0177001580592675}, 'confidence': 0.9375878127293311, 'timestamp': 244940.752328, 'diameter_3d': 6.035400316118535, 'ellipse': {'center': [122.98500333730445, 187.64535152242803], 'axes': [35.01922887598656, 46.971363146547496], 'angle': -71.43074057446357}, 'location': [122.98500333730445, 187.64535152242803], 'diameter': 46.971363146547496, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.867704710192041, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.155108823936781, 'phi': -1.776882145162017, 'norm_pos': [0.3843281354290764, 0.21814436865654985], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.693114,"{'circle_3d': {'center': [-4.746158340690731, 8.751469385618224, 79.70209685952355], 'normal': [-0.16852866030724983, 0.5523146092711773, -0.8164230907076736], 'radius': 3.016029387027529}, 'confidence': 0.9928038639470058, 'timestamp': 244940.760728, 'diameter_3d': 6.032058774055058, 'ellipse': {'center': [123.18436590046409, 187.70938788365353], 'axes': [35.001148740447384, 46.945338349796536], 'angle': -71.64691259666506}, 'location': [123.18436590046409, 187.70938788365353], 'diameter': 46.945338349796536, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.867865467076745, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1559345426343577, 'phi': -1.7743603349006083, 'norm_pos': [0.38495114343895026, 0.21787755048477697], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.698911,"{'circle_3d': {'center': [-4.764661666686273, 8.725504110084737, 79.68841216537504], 'normal': [-0.17007060414021166, 0.5501508363100533, -0.817563481886717], 'radius': 2.997800789614528}, 'confidence': 0.9998722127100962, 'timestamp': 244940.769128, 'diameter_3d': 5.995601579229056, 'ellipse': {'center': [123.03414073602794, 187.52410501999242], 'axes': [34.86134810105563, 46.669307530976205], 'angle': -71.43899992804937}, 'location': [123.03414073602794, 187.52410501999242], 'diameter': 46.669307530976205, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8679783271195118, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1533411820799824, 'phi': -1.7758926271414788, 'norm_pos': [0.3844816898000873, 0.2186495624166983], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.7072241,"{'circle_3d': {'center': [-4.737370122899259, 8.741424067223518, 79.69349991912479], 'normal': [-0.16779630882462723, 0.5514774994049517, -0.8171395024075704], 'radius': 2.974851825541964}, 'confidence': 0.998467815549869, 'timestamp': 244940.777528, 'diameter_3d': 5.949703651083928, 'ellipse': {'center': [123.24561537354701, 187.64859450227473], 'axes': [34.56965475694527, 46.30908000542051], 'angle': -71.68694264627734}, 'location': [123.24561537354701, 187.64859450227473], 'diameter': 46.30908000542051, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8682852153655052, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1549307088583523, 'phi': -1.7733269240172735, 'norm_pos': [0.3851425480423344, 0.21813085624052198], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.71487,"{'circle_3d': {'center': [-4.732644005319118, 8.757378849896511, 79.70331615076388], 'normal': [-0.1674024656929488, 0.5528070646277012, -0.8163214831043133], 'radius': 2.9699983834048}, 'confidence': 0.999991698096325, 'timestamp': 244940.785928, 'diameter_3d': 5.9399967668096, 'ellipse': {'center': [123.28611827381273, 187.7652172539475], 'axes': [34.461261200789444, 46.2278821835562], 'angle': -71.76424257491897}, 'location': [123.28611827381273, 187.7652172539475], 'diameter': 46.2278821835562, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8684747655893221, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1565253903623915, 'phi': -1.7730614168167291, 'norm_pos': [0.3852691196056648, 0.21764492810855207], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.728157,"{'circle_3d': {'center': [-4.747834440732858, 8.745359558931252, 79.69831229436316], 'normal': [-0.16866833531076045, 0.5518054570472629, -0.8167384711377065], 'radius': 2.9815135912844575}, 'confidence': 0.9999869642099087, 'timestamp': 244940.794328, 'diameter_3d': 5.963027182568915, 'ellipse': {'center': [123.16736731607381, 187.67357505486444], 'axes': [34.620331309225925, 46.41000959496904], 'angle': -71.61829993388588}, 'location': [123.16736731607381, 187.67357505486444], 'diameter': 46.41000959496904, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8686402110911762, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1553239050995283, 'phi': -1.7744479077786033, 'norm_pos': [0.38489802286273067, 0.21802677060473152], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.735612,"{'circle_3d': {'center': [-4.7392622397911826, 8.735532110514226, 79.68991465603341], 'normal': [-0.16795398523228752, 0.5509865030125107, -0.8174382743318527], 'radius': 2.9615423938901557}, 'confidence': 0.9988237860030842, 'timestamp': 244940.802728, 'diameter_3d': 5.9230847877803114, 'ellipse': {'center': [123.22850992182732, 187.60911687026783], 'axes': [34.43375707088198, 46.10384136539816], 'angle': -71.65723114020223}, 'location': [123.22850992182732, 187.60911687026783], 'diameter': 46.10384136539816, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.868821301056566, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1543422325301136, 'phi': -1.7734399909825362, 'norm_pos': [0.3850890935057104, 0.21829534637388404], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.74336,"{'circle_3d': {'center': [-4.767817046238154, 8.747886035443072, 79.70416837811118], 'normal': [-0.17033355243620174, 0.5520159967565812, -0.8162504641587053], 'radius': 2.9897262682728285}, 'confidence': 0.887956991602747, 'timestamp': 244940.811128, 'diameter_3d': 5.979452536545657, 'ellipse': {'center': [123.01619229243286, 187.68646604001566], 'axes': [34.68237699124785, 46.53443105851817], 'angle': -71.47443783299009}, 'location': [123.01619229243286, 187.68646604001566], 'diameter': 46.53443105851817, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8687745287402238, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.155576380099294, 'phi': -1.776522067393765, 'norm_pos': [0.3844256009138527, 0.2179730581666014], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.751654,"{'circle_3d': {'center': [-4.753511533288249, 8.70378928889995, 79.67152536944972], 'normal': [-0.16914142635704302, 0.5483412678779876, -0.8189707148804931], 'radius': 2.94526569264304}, 'confidence': 0.9994896688878632, 'timestamp': 244940.819528, 'diameter_3d': 5.89053138528608, 'ellipse': {'center': [123.10916835929234, 187.38229518907272], 'axes': [34.34041696843639, 45.86074010460682], 'angle': -71.46570986909862}, 'location': [123.10916835929234, 187.38229518907272], 'diameter': 45.86074010460682, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8688984663045907, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1511757466534727, 'phi': -1.7744620784521263, 'norm_pos': [0.38471615112278856, 0.21924043671219695], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.759541,"{'circle_3d': {'center': [-4.7685617046531, 8.704319821461016, 79.6750010410328], 'normal': [-0.17039560730411393, 0.5483854789247433, -0.8186810755819033], 'radius': 2.988687353880136}, 'confidence': 0.9496143118478397, 'timestamp': 244940.827928, 'diameter_3d': 5.977374707760272, 'ellipse': {'center': [122.99742804061798, 187.37324676475077], 'axes': [34.827001727417745, 46.53509125108647], 'angle': -71.35320358904617}, 'location': [122.99742804061798, 187.37324676475077], 'diameter': 46.53509125108647, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8687718498843644, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.1512286154927223, 'phi': -1.7760009481415868, 'norm_pos': [0.38436696262693115, 0.21927813848020505], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229576.767435,"{'circle_3d': {'center': [-4.772571125984195, 8.711589117736263, 79.68070997217298], 'normal': [-0.17072972574837184, 0.5489912536143472, -0.8182053313202213], 'radius': 2.937598261018717}, 'confidence': 0.9946829817130607, 'timestamp': 244940.836328, 'diameter_3d': 5.875196522037434, 'ellipse': {'center': [122.96544009634891, 187.43712479881202], 'axes': [34.20056410522646, 45.735992464084696], 'angle': -71.3423489746278}, 'location': [122.96544009634891, 187.43712479881202], 'diameter': 45.735992464084696, 'sphere': {'center': [-2.723814417003733, 2.123694074364097, 89.49917394801564], 'radius': 12.0}, 'projected_sphere': {'center': [141.13094385068615, 134.71175953948494], 'axes': [166.25851774501118, 166.25851774501118], 'angle': 90.0}, 'model_confidence': 0.8687904063531815, 'model_id': 22, 'model_birth_timestamp': 244876.845128, 'theta': 2.151953203035292, 'phi': -1.776508288879412, 'norm_pos': [0.38426700030109034, 0.21901198000494992], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
