T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv
SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40562,1565849307915,1350.805,-0.01099728,0.1215605,0.1445982,-0.001804589,-0.02046808,0.9997889,1.172817,359.8966,359.5191,0.01023827,-0.0008594749,-0.00418745,0.9999385,-1.06066,1.060661,10,8.887876,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40563,1565849307948,1350.839,-0.0111257,0.1217806,0.1450136,-0.001136829,-0.01793909,0.9998384,1.027889,359.9348,359.4791,0.008972396,-0.0005277017,-0.004540521,0.9999493,-0.212132,0.2121321,2.144598,6.72059,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40564,1565849307983,1350.873,-0.01144369,0.1215573,0.1455081,-0.0001261065,-0.02011782,0.9997976,1.152744,359.9928,359.4613,0.01005961,-1.577109E-05,-0.004700299,0.9999384,-0.212132,0.2121321,2.145014,6.832998,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40565,1565849308014,1350.905,-0.01180992,0.1215323,0.146199,-3.021851E-05,-0.02129302,0.9997733,1.220093,-0.001731786,359.5444,0.01064709,2.721621E-05,-0.003975144,0.9999354,-0.212132,0.2121321,2.145508,6.866985,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40566,1565849308050,1350.939,-0.01228638,0.1213174,0.1470536,-0.0008674746,-0.02298563,0.9997354,1.317096,359.9503,359.6877,0.01149471,-0.0004024932,-0.002720574,0.9999301,-0.212132,0.2121321,2.146199,6.874407,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40567,1565849308080,1350.971,-0.01288187,0.1212142,0.1480658,-0.002970994,-0.02380962,0.9997121,1.36432,359.8297,359.7863,0.01190839,-0.001463609,-0.001847078,0.9999263,-0.212132,0.2121321,2.147054,6.791365,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40568,1565849308115,1351.006,-0.01342036,0.1210648,0.1491898,-0.005323899,-0.02436791,0.9996889,1.396317,359.6949,359.8697,0.01218784,-0.002648692,-0.001104818,0.9999216,-0.212132,0.2121321,2.148066,6.691873,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40569,1565849308148,1351.039,-0.01377086,0.1210834,0.15044,-0.006618292,-0.02359593,0.9996997,1.352073,359.6207,359.8997,0.01180162,-0.003299524,-0.0008363804,0.9999246,-0.212132,0.2121321,2.14919,6.598082,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40570,1565849308182,1351.072,-0.01405607,0.1211336,0.1519173,-0.007238905,-0.02216909,0.999728,1.270299,359.5851,359.8456,0.01109002,-0.003605204,-0.001307187,0.9999312,-0.212132,0.2121321,2.15044,6.514183,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40571,1565849308215,1351.106,-0.01422944,0.1212375,0.1536052,-0.006210424,-0.02042393,0.9997721,1.170286,359.6441,359.8063,0.01021768,-0.003088447,-0.001658421,0.9999416,-0.212132,0.2121321,2.151917,6.498239,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40572,1565849308248,1351.139,-0.01449242,0.1212532,0.1555446,-0.005229734,-0.01915683,0.9998028,1.097673,359.7003,359.7245,0.009585082,-0.002592196,-0.002379342,0.9999479,-0.212132,0.2121321,2.153605,6.497062,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40573,1565849308281,1351.172,-0.01502637,0.1213743,0.1577165,-0.006220596,-0.01585656,0.9998549,0.9085522,359.6435,359.7434,0.007935436,-0.003092848,-0.002214094,0.9999613,-0.212132,0.2121321,2.155545,6.330353,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40574,1565849308313,1351.205,-0.0160968,0.1218522,0.1600962,-0.01074329,-0.006628357,0.9999203,0.3797797,359.3844,359.9331,0.003317285,-0.005369875,-0.0005660299,0.9999799,-0.212132,0.2121321,2.157717,5.797382,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40575,1565849308348,1351.239,-0.01776901,0.1232408,0.1625652,-0.01844378,0.009993785,0.9997799,359.4274,358.9431,0.2982404,-0.005020729,-0.009209593,0.002556407,0.9999417,-0.212132,0.2121321,2.160096,4.908518,0
T7_EU_PW_B2_C0_P1259377_S109_0815144707.csv,40576,1565849308381,1351.271,-0.01997259,0.1241678,0.1650829,-0.02776402,0.02606799,0.9992746,358.5063,358.4085,0.3461589,-0.01307574,-0.01384745,0.002839222,0.9998146,-0.212132,0.2121321,2.162565,4.031238,0
