T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv
SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94315,1566282061959,2022.304,0.0107273,-0.03866453,-0.05871613,-0.008759717,0.01040164,0.9999076,359.404,359.4981,1.423922,-0.005254862,-0.004315116,0.01240268,0.9999,1.06066,1.06066,10,8.544586,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94316,1566282061976,2022.321,0.01060058,-0.03863467,-0.0590129,-0.008605451,0.01024216,0.9999105,359.4131,359.5069,1.448873,-0.005175095,-0.004237842,0.01262115,0.999898,1.06066,1.06066,10,8.544081,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94317,1566282061992,2022.338,0.01047441,-0.03866357,-0.05942846,-0.008188455,0.01056415,0.9999107,359.3947,359.5308,1.434544,-0.005332946,-0.004027989,0.01249652,0.9998996,1.06066,1.06066,10,8.514261,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94318,1566282062009,2022.354,0.01038762,-0.03864141,-0.05977829,-0.00718648,0.01110313,0.9999126,359.3638,359.5882,1.402784,-0.005595185,-0.003525201,0.01222108,0.9999035,1.06066,1.06066,10,8.450733,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94319,1566282062025,2022.37,0.01033078,-0.03856859,-0.06020531,-0.00636187,0.01261154,0.9999002,359.2774,359.6355,1.414498,-0.006344648,-0.003103062,0.01232314,0.9998991,1.06066,1.06066,10,8.357829,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94320,1566282062042,2022.388,0.01031331,-0.03846689,-0.06051799,-0.005190714,0.01448952,0.9998816,359.1698,359.7026,1.436705,-0.0072769,-0.002504534,0.01251811,0.9998921,1.06066,1.06066,10,8.236044,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94321,1566282062059,2022.405,0.01023079,-0.03834146,-0.06097015,-0.003978359,0.01634906,0.9998584,359.0632,359.772,1.437296,-0.008199096,-0.001886694,0.01252574,0.9998862,1.06066,1.06066,10,8.113435,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94322,1566282062076,2022.421,0.01017651,-0.03826543,-0.06135497,-0.0029021,0.01767229,0.9998396,358.9874,359.8337,1.371125,-0.008853212,-0.001345389,0.01195174,0.9998885,1.06066,1.06066,10,8.016921,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94323,1566282062092,2022.438,0.01007445,-0.03827259,-0.06187175,-0.001845871,0.01844184,0.9998282,358.9433,359.8942,1.334263,-0.009231429,-0.0008156237,0.01163437,0.9998894,1.06066,1.06066,10,7.942282,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94324,1566282062109,2022.454,0.009957725,-0.03827032,-0.06230877,-0.001387563,0.01893392,0.9998198,358.9151,359.9205,1.328803,-0.009474791,-0.0005840472,0.01158864,0.9998878,1.06066,1.06066,10,7.904129,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94325,1566282062125,2022.471,0.009739166,-0.03827282,-0.06289051,-0.001568146,0.01894665,0.9998193,358.9144,359.9101,1.324701,-0.009482181,-0.0006746106,0.01155199,0.9998881,1.06066,1.06066,10,7.911997,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94326,1566282062143,2022.488,0.009554812,-0.03829575,-0.06337941,-0.001663068,0.01855043,0.9998266,358.9371,359.9047,1.315938,-0.009284551,-0.0007250705,0.01147526,0.9998908,1.06066,1.06066,10,7.931301,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94327,1566282062159,2022.505,0.009316964,-0.03830378,-0.06394444,-0.001382085,0.01879113,0.9998225,358.9233,359.9208,1.283614,-0.009403129,-0.0005858425,0.01119442,0.999893,1.06066,1.06066,10,7.910683,0
T1_EW_PS_B2_C2_P1990617_S13_0820144746.csv,94328,1566282062175,2022.521,0.009120408,-0.03831505,-0.06440241,-0.0010654,0.0195609,0.9998081,358.8792,359.9389,1.254302,-0.009786163,-0.0004256863,0.0109399,0.9998922,1.06066,1.06066,10,7.868736,0
