T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv
SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62751,1566364116867,1938.772,-0.04639052,-0.0127264,2.968775,0.03294436,0.0110288,0.9993963,359.3681,1.888029,359.0175,-0.005654781,0.01642729,-0.008481337,0.9998131,0,1.5,10,11.60668,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62752,1566364116899,1938.806,-0.04632746,-0.01281354,2.969213,0.03353478,0.0105314,0.9993821,359.3966,1.921868,359.064,-0.005401832,0.01672688,-0.008078127,0.9998129,0,0.3,4.968775,8.306737,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62753,1566364116933,1938.839,-0.04633074,-0.01306657,2.969661,0.03375549,0.008117639,0.9993972,359.5349,1.934478,359.082,-0.00419337,0.01684752,-0.007941007,0.9998177,0,0.3,4.969213,8.452638,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62754,1566364116967,1938.873,-0.04636125,-0.01333742,2.970139,0.03293656,0.00543491,0.9994427,359.6886,1.887495,359.0858,-0.002848409,0.0164485,-0.007931879,0.9998292,0,0.3,4.969661,8.610462,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62755,1566364116998,1938.905,-0.04635607,-0.01347791,2.970497,0.03255029,0.003367015,0.9994645,359.8071,1.865334,359.0792,-0.001814028,0.01626332,-0.008006965,0.9998341,0,0.3,4.970139,8.730707,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62756,1566364117031,1938.938,-0.04633261,-0.01337023,2.970787,0.03300697,0.004209688,0.9994463,359.7588,1.891521,359.1136,-0.00223218,0.01648907,-0.007699671,0.9998319,0,0.3,4.970497,8.680889,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62757,1566364117065,1938.972,-0.04627163,-0.01322585,2.970997,0.03371091,0.005716454,0.9994153,359.6725,1.93189,359.1082,-0.002988937,0.0168353,-0.007732794,0.9998239,0,0.3,4.970787,8.593268,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62758,1566364117101,1939.007,-0.04620078,-0.0131244,2.971295,0.03359235,0.007587036,0.9994068,359.5653,1.925117,359.1412,-0.003918797,0.01677001,-0.007429334,0.9998241,0,0.3,4.970997,8.483575,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62759,1566364117133,1939.039,-0.04626651,-0.01304313,2.971677,0.0330586,0.008932203,0.9994135,359.4882,1.894539,359.0337,-0.004604779,0.01649381,-0.008357142,0.9998184,0,0.3,4.971295,8.402492,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62760,1566364117165,1939.071,-0.04626989,-0.01307676,2.971999,0.03229152,0.008987094,0.9994381,359.4851,1.850564,359.0982,-0.004619946,0.0161125,-0.007795769,0.9998292,0,0.3,4.971677,8.397232,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62761,1566364117198,1939.105,-0.04634285,-0.01275009,2.972291,0.03131154,0.01250092,0.9994315,359.2837,1.794453,359.1097,-0.006371273,0.01560958,-0.007669795,0.9998285,0,0.3,4.971999,8.183525,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62762,1566364117232,1939.138,-0.04635135,-0.01170849,2.972653,0.03103408,0.02653215,0.9991661,358.4796,1.779034,359.1944,-0.01337444,0.01542937,-0.006822678,0.9997683,0,0.3,4.972291,7.351138,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62763,1566364117265,1939.171,-0.04642637,-0.009032477,2.97261,0.02976573,0.06009426,0.9977488,356.5548,1.708792,359.1652,-0.03016515,0.01468538,-0.006832328,0.9994137,0,0.3,4.972653,5.349252,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62764,1566364117297,1939.203,-0.04635851,-0.006977711,2.971787,0.02825951,0.08033863,0.996367,355.392,1.624619,359.045,-0.04031443,0.01383005,-0.007756304,0.9990612,0,0.3,4.97261,4.122886,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62765,1566364117331,1939.238,-0.04636675,-0.004720811,2.971052,0.02521718,0.1054221,0.9941078,353.9485,1.45309,358.9371,-0.05289556,0.0121725,-0.008592156,0.9984889,0,0.3,4.971787,2.60902,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62766,1566364117367,1939.274,-0.04632951,-0.00313532,2.970279,0.02270083,0.122275,0.9922366,352.9766,1.31061,358.7648,-0.06136802,0.01075463,-0.01005777,0.9980066,0,0.3,4.971052,1.58967,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62767,1566364117397,1939.304,-0.04618061,-0.001954459,2.969974,0.02179558,0.135618,0.9905214,352.2056,1.260541,358.5903,-0.06809194,0.01013776,-0.01152492,0.997561,0,0.3,4.970279,0.7900625,0
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62768,1566364117431,1939.337,-0.04594839,-0.001785323,2.969809,0.02164408,0.1376504,0.9902444,352.0881,1.252132,358.487,-0.06912336,0.009988878,-0.0124173,0.9974809,0,0.3,4.969975,0.6691033,1
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62769,1566364117467,1939.372,-0.04571946,-0.00171553,2.969938,0.02216051,0.1393495,0.9899952,351.9898,1.282321,358.5272,-0.06997866,0.01026426,-0.01203865,0.9974231,0,0.3,4.969809,0.5675176,1
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62770,1566364117496,1939.403,-0.04554519,-0.002128113,2.969978,0.02298096,0.1339571,0.9907206,352.3017,1.328807,358.5312,-0.06726826,0.01070827,-0.01200952,0.9976052,0,0.3,4.969938,0.8904341,1
T0_EU_PS_B3_C0_P1923603_S15_0821133627.csv,62771,1566364117532,1939.438,-0.0453324,-0.002611004,2.970167,0.0254758,0.1300498,0.9911801,352.5275,1.47232,358.6382,-0.0653058,0.01204551,-0.01102062,0.9977317,0,0.3,4.969978,1.143123,1
