SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63539,1566364143112,1965.018,-0.0495063,-0.01758493,2.989419,0.02781922,-0.01126227,0.9995495,0.645294,1.594231,359.2189,0.00553572,0.01394968,-0.006893906,0.9998636,-1.311342E-07,-1.5,10,11.3555,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63540,1566364143143,1965.05,-0.04938868,-0.01805668,2.990063,0.02921187,-0.01665079,0.9994345,0.9540639,1.674187,359.2504,0.008229048,0.01466316,-0.006662332,0.9998364,-2.622683E-08,-0.3,4.989419,7.074986,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63541,1566364143179,1965.083,-0.04928673,-0.01879367,2.990761,0.03030346,-0.02506612,0.9992264,1.436333,1.737072,359.2342,0.01243104,0.01524046,-0.006871335,0.999783,-2.622683E-08,-0.3,4.990063,6.575515,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63542,1566364143209,1965.115,-0.04918156,-0.01918064,2.99168,0.03087976,-0.02812675,0.9991273,1.611757,1.770262,359.236,0.01395979,0.01553973,-0.006883253,0.9997581,-2.622683E-08,-0.3,4.990761,6.392276,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63543,1566364143244,1965.15,-0.04913834,-0.01911119,2.992279,0.0308527,-0.02598847,0.999186,1.489198,1.768607,359.2672,0.01289484,0.01551487,-0.006593707,0.9997748,-2.622683E-08,-0.3,4.99168,6.515266,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63544,1566364143276,1965.182,-0.04908165,-0.01908147,2.992531,0.03033739,-0.02607001,0.9991997,1.493871,1.739062,359.276,0.01293848,0.01525636,-0.006514879,0.9997787,-2.622683E-08,-0.3,4.992279,6.508612,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63545,1566364143311,1965.217,-0.04909541,-0.01908594,2.992679,0.02902288,-0.02748926,0.9992007,1.575217,1.663751,359.2245,0.01364591,0.01460977,-0.006966175,0.9997759,-2.622683E-08,-0.3,4.992531,6.423426,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63546,1566364143344,1965.251,-0.04915761,-0.0190907,2.992966,0.02806314,-0.02877405,0.9991919,1.648859,1.608777,359.2098,0.01428995,0.01413619,-0.007096537,0.9997728,-2.622683E-08,-0.3,4.99268,6.348199,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63547,1566364143377,1965.284,-0.04911451,-0.01899714,2.99358,0.02702076,-0.02586217,0.9993002,1.481959,1.548882,359.1623,0.01283185,0.01360917,-0.007483429,0.999797,-2.622683E-08,-0.3,4.992966,6.517403,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63548,1566364143409,1965.316,-0.04907265,-0.01890979,2.994051,0.026993,-0.02473531,0.9993296,1.417374,1.547246,359.0747,0.01225806,0.01360025,-0.008239983,0.9997984,-2.622683E-08,-0.3,4.99358,6.5838,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63549,1566364143444,1965.35,-0.04899998,-0.01916497,2.994423,0.02739004,-0.02689352,0.999263,1.541071,1.570098,359.0887,0.01333733,0.01380653,-0.008135784,0.9997826,-2.622683E-08,-0.3,4.994051,6.453212,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63550,1566364143478,1965.383,-0.04897367,-0.01962437,2.994841,0.02890064,-0.03127947,0.9990928,1.792474,1.656926,359.1081,0.01552701,0.01457843,-0.008007918,0.9997411,-2.622683E-08,-0.3,4.994423,6.192168,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63551,1566364143515,1965.42,-0.04900821,-0.02028832,2.995364,0.02853808,-0.03803795,0.9988687,2.17994,1.636518,359.1956,0.01891979,0.0144114,-0.007288818,0.9996906,-2.622683E-08,-0.3,4.994841,5.785944,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63552,1566364143542,1965.448,-0.04913821,-0.02108592,2.995867,0.02694881,-0.04667342,0.9985466,2.675162,1.545925,359.1975,0.02324592,0.01364979,-0.007315658,0.9996098,-2.622683E-08,-0.3,4.995364,5.265331,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63553,1566364143578,1965.483,-0.04925235,-0.02218258,2.996381,0.02452884,-0.05866285,0.9979765,3.363065,1.407965,359.1866,0.02925393,0.01248919,-0.007455359,0.9994662,-2.622683E-08,-0.3,4.995867,4.544804,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63554,1566364143608,1965.515,-0.04941994,-0.02383931,2.996724,0.02192322,-0.07732496,0.9967649,4.434821,1.259982,359.1066,0.03860227,0.01128826,-0.008215584,0.9991571,-2.622683E-08,-0.3,4.996381,3.429312,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63555,1566364143647,1965.552,-0.0496062,-0.02644412,2.997125,0.01866501,-0.1082119,0.9939526,6.212248,1.075806,359.0241,0.05410136,0.009835329,-0.009011656,0.9984464,-2.622683E-08,-0.3,4.996724,1.612405,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63556,1566364143676,1965.583,-0.04962721,-0.02796682,2.998485,0.01717371,-0.1216077,0.9924297,6.984897,0.9913879,359.0416,0.06084035,0.009144489,-0.008874876,0.9980662,-2.622683E-08,-0.3,4.997125,0.8749159,0
T4_EU_PS_B3_C3_P1949843_S15_0821133627.csv,63557,1566364143710,1965.616,-0.04952003,-0.02877513,2.999698,0.01917478,-0.1283656,0.9915415,7.375158,1.107868,359.0834,0.06423374,0.01016194,-0.008603889,0.9978461,-2.622683E-08,-0.3,4.998485,0.466462,1
