SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72566,1566377385624,2346.699,-0.02933926,0.1086803,-0.1581498,0.01187969,-0.02344559,0.9996545,1.343457,0.6808594,356.2535,0.01152292,0.006321222,-0.03275534,0.999377,-1.06066,-1.06066,10,8.286904,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72567,1566377385659,2346.735,-0.0284342,0.1082573,-0.1572704,0.01055518,-0.02574436,0.9996128,1.475206,0.6049791,356.2134,0.01269163,0.005701397,-0.03310283,0.9993551,-0.2121321,-0.212132,1.84185,9.570024,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72568,1566377385691,2346.766,-0.02750164,0.1083935,-0.1561674,0.008629645,-0.02370077,0.9996818,1.358081,0.4945873,356.1213,0.01169827,0.004714356,-0.03388968,0.999346,-0.2121321,-0.212132,1.84273,9.617217,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72569,1566377385726,2346.802,-0.02641616,0.1083645,-0.1549275,0.00799117,-0.02334867,0.9996954,1.337902,0.45799,356.0692,0.01153111,0.004394484,-0.03433954,0.9993341,-0.2121321,-0.212132,1.843833,9.62974,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72570,1566377385757,2346.833,-0.02525435,0.1079396,-0.1538004,0.007597078,-0.02708759,0.9996042,1.552194,0.4354445,356.0695,0.01340667,0.004261882,-0.03434163,0.9993111,-0.2121321,-0.212132,1.845073,9.454029,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72571,1566377385792,2346.867,-0.02404205,0.1080666,-0.1523324,0.00757058,-0.02546435,0.9996471,1.459158,0.4339072,356.0667,0.01259568,0.004220983,-0.03436317,0.9993211,-0.2121321,-0.212132,1.8462,9.552219,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72572,1566377385823,2346.9,-0.02272226,0.107751,-0.1507664,0.005903834,-0.02555749,0.9996559,1.464496,0.3383773,356.1178,0.01267239,0.00338384,-0.0339073,0.9993389,-0.2121321,-0.212132,1.847668,9.506217,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72573,1566377385859,2346.935,-0.02129873,0.1074918,-0.1490923,0.003444806,-0.0265995,0.9996402,1.524219,0.1974431,356.0884,0.01323436,0.002175798,-0.03414825,0.9993268,-0.2121321,-0.212132,1.849234,9.3926,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72574,1566377385893,2346.968,-0.01969573,0.1074009,-0.1471752,0.0006892098,-0.026392,0.9996514,1.512326,0.03950258,356.0074,0.01317713,0.0008042037,-0.03483615,0.9993058,-0.2121321,-0.212132,1.850908,9.334373,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72575,1566377385924,2347,-0.01787239,0.1072598,-0.1450197,-0.000219794,-0.02539733,0.9996774,1.455316,359.9874,355.8832,0.01269544,0.0003462945,-0.03591369,0.9992742,-0.2121321,-0.212132,1.852825,9.377794,0
T5_EU_PW_B4_C6_P2319230_S16_0821171052.csv,72576,1566377385958,2347.034,-0.01577707,0.1072667,-0.1426197,-0.001009691,-0.02470654,0.9996942,1.415724,359.9421,355.7258,0.01236445,-4.391405E-05,-0.03728152,0.9992283,-0.2121321,-0.212132,1.85498,9.418931,0
