T6_EW_PW_B0_C2_P70207_S5_0814131305.csv
SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,2997,1565756076725,99.70454,-0.04536483,0.07945198,0.1190704,0.003559304,-0.02406484,0.9997041,1.378947,0.2039926,0.4521854,0.0120402,0.001732544,0.003924339,0.9999183,-1.5,1.788732E-08,10,8.627052,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,2998,1565756076757,99.73723,-0.04481577,0.0793876,0.1192242,0.00483789,-0.02467529,0.9996838,1.413934,0.2772762,0.3697635,0.01234629,0.002379678,0.003196679,0.9999159,-1.5,1.788732E-08,10,8.706916,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,2999,1565756076793,99.77322,-0.04414919,0.0792985,0.119558,0.005911722,-0.02647118,0.9996321,1.516864,0.3388374,0.2118782,0.01324213,0.002932171,0.001809675,0.9999064,-1.5,1.788732E-08,10,8.783869,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3000,1565756076824,99.80426,-0.04336783,0.07911907,0.1198651,0.00659712,-0.02992738,0.9995303,1.714969,0.3781593,0.2272786,0.0149718,0.003269998,0.001933759,0.9998807,-1.5,1.788732E-08,10,8.853392,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3001,1565756076856,99.83683,-0.04262555,0.07922989,0.1203207,0.007356493,-0.0305364,0.9995066,1.749879,0.4216965,0.3165684,0.01527998,0.00363736,0.002706043,0.999873,-1.5,1.788732E-08,10,8.905893,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3002,1565756076889,99.86952,-0.04186795,0.07927842,0.1205141,0.005833594,-0.03079007,0.9995089,1.76442,0.3344007,0.5458125,0.01541052,0.002844478,0.004717579,0.9998661,-1.5,1.788732E-08,10,8.826035,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3003,1565756076925,99.90437,-0.04092857,0.07915248,0.1205654,0.003375984,-0.03172435,0.999491,1.817976,0.1935274,0.5438874,0.01587198,0.001613317,0.004718899,0.9998616,-1.5,1.788732E-08,10,8.700349,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3004,1565756076955,99.93614,-0.0396363,0.07949416,0.1206988,0.003675505,-0.02850693,0.9995868,1.633548,0.210677,0.3954604,0.01426115,0.001789111,0.003424472,0.9998909,-1.5,1.788732E-08,10,8.697753,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3005,1565756076990,99.97095,-0.03822201,0.07979918,0.1208466,0.004807523,-0.02550139,0.9996632,1.461281,0.2755415,0.4015871,0.01276005,0.002359652,0.003473545,0.9999098,-1.5,1.788732E-08,10,8.748688,0
T6_EW_PW_B0_C2_P70207_S5_0814131305.csv,3006,1565756077025,100.0047,-0.03676809,0.07988852,0.1209885,0.005598395,-0.02451224,0.9996839,1.404588,0.3208625,0.4396634,0.01226764,0.002752791,0.003802155,0.9999138,-1.5,1.788732E-08,10,8.79578,0
