SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91669,1565775390046,3053.167,-0.2074059,-0.007660609,-0.2952201,0.05004404,0.0005648148,0.9987469,359.9677,2.868511,2.929567,0.0003575995,0.0250289,0.02556157,0.9993598,1.5,-6.556709E-08,10,6.547991,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91670,1565775390080,3053.201,-0.2073452,-0.007692695,-0.295094,0.04796861,0.0008480772,0.9988485,359.9514,2.749455,2.887581,0.0001807062,0.02399428,0.02519915,0.9993945,1.5,-6.556709E-08,10,6.666828,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91671,1565775390112,3053.234,-0.2073126,-0.007659089,-0.2949038,0.04699975,0.00161139,0.9988936,359.9077,2.693883,2.896922,-0.000211027,0.02351924,0.02528966,0.9994035,1.5,-6.556709E-08,10,6.722575,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91672,1565775390147,3053.269,-0.2072807,-0.007560786,-0.2946965,0.04725906,0.001744104,0.9988812,359.9001,2.708758,2.956233,-0.0002618209,0.02365078,0.02580852,0.9993871,1.5,-6.556709E-08,10,6.707797,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91673,1565775390180,3053.302,-0.2072989,-0.007612541,-0.2945062,0.04662298,0.001526332,0.9989114,359.9125,2.672272,3.017249,-0.0001487955,0.02332986,0.02633804,0.9993808,1.5,-6.556709E-08,10,6.744419,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91674,1565775390214,3053.335,-0.2073775,-0.007700607,-0.2943771,0.04437524,0.0004465068,0.9990149,359.9744,2.543349,3.060791,0.0003695977,0.02219113,0.02670564,0.999397,1.5,-6.556709E-08,10,6.87378,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91675,1565775390246,3053.368,-0.2075179,-0.007805355,-0.2942216,0.04194732,-0.0002712659,0.9991198,0.01554239,2.40411,3.014124,0.0006872883,0.02096745,0.02629153,0.9994342,1.5,-6.556709E-08,10,7.014086,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91676,1565775390280,3053.402,-0.2076816,-0.0075978,-0.2940518,0.0399388,0.001855449,0.9992004,359.8937,2.288937,2.891797,-0.0004232551,0.01999045,0.02524649,0.9994813,1.5,-6.556709E-08,10,7.130363,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91677,1565775390311,3053.433,-0.2078898,-0.007691316,-0.2939273,0.03771972,0.0006360233,0.9992881,359.9636,2.161694,2.823687,0.000146909,0.01886533,0.02464043,0.9995184,1.5,-6.556709E-08,10,7.258582,0
T2_EW_PS_B2_C1_P2442217_S7_0814175536.csv,91678,1565775390346,3053.468,-0.2080484,-0.007828839,-0.2939261,0.03580312,-0.0009746141,0.9993584,0.05584129,2.051807,2.94482,0.000947133,0.01788601,0.02568273,0.9995097,1.5,-6.556709E-08,10,7.369958,0
