SaveFileName,FrameCount,UTC,TimeSinceStart,HeadPositionX,HeadPositionY,HeadPositionZ,HeadForwardVectorX,HeadForwardVectorY,HeadForwardVectorZ,HeadAngleX,HeadAngleY,HeadAngleZ,HeadQuaternionX,HeadQuaternionY,HeadQuaternionZ,HeadQuaternionW,TargetPositionX,TargetPositionY,TargetPositionZ,AngleDifference,OverTarget
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52320,1565835550708,1742.538,-0.06123149,0.08881004,-0.0007017516,0.01097318,-0.02417982,0.9996474,1.385536,0.6289131,358.1595,0.01200091,0.005681351,-0.01612574,0.9997818,-1.5,1.788732E-08,10,8.858406,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52321,1565835550721,1742.553,-0.06142302,0.08904134,-0.0006150976,0.01098118,-0.02127032,0.9997135,1.218791,0.6293302,358.1662,0.01054636,0.005661091,-0.01605924,0.9997994,-1.5,1.788732E-08,10,8.842913,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52322,1565835550733,1742.565,-0.06138548,0.08903469,-0.0006396845,0.01097568,-0.02102095,0.9997188,1.2045,0.6290117,358.1456,0.0104207,0.005658199,-0.01623834,0.9997978,-1.5,1.788732E-08,10,8.841669,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52323,1565835550776,1742.607,-0.06155207,0.08923408,-0.0007080808,0.01089054,-0.02095896,0.999721,1.200948,0.6241316,358.1824,0.0103922,0.005611784,-0.0159168,0.9998035,-1.5,1.788732E-08,10,8.835445,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52324,1565835550810,1742.641,-0.06189613,0.08909318,-0.0008436218,0.01045286,-0.02245352,0.9996932,1.2866,0.5990669,358.1585,0.01114186,0.005407229,-0.01612651,0.9997933,-1.5,1.788732E-08,10,8.815568,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52325,1565835550843,1742.673,-0.0622611,0.08890496,-0.0007724687,0.009683968,-0.02215325,0.9997077,1.269391,0.5549955,358.1824,0.01099897,0.005018016,-0.01591328,0.9998003,-1.5,1.788732E-08,10,8.76829,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52326,1565835550875,1742.707,-0.0626791,0.08894217,-0.000463713,0.01097933,-0.0208286,0.9997228,1.193478,0.6292186,358.1463,0.01032453,0.00565839,-0.01623175,0.999799,-1.5,1.788732E-08,10,8.833956,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52327,1565835550909,1742.74,-0.06317616,0.08866172,-0.0002643354,0.0126792,-0.02470282,0.9996144,1.415511,0.7267061,357.967,0.01223767,0.00655931,-0.01781666,0.9997449,-1.5,1.788732E-08,10,8.948236,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52328,1565835550941,1742.772,-0.06369238,0.08829893,-0.0003112331,0.01508088,-0.03120194,0.9993993,1.78803,0.8645243,358.0189,0.01546968,0.007812015,-0.01740305,0.9996983,-1.5,1.788732E-08,10,9.127075,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52329,1565835550976,1742.808,-0.06423028,0.08801726,-0.0002092235,0.01891962,-0.03263306,0.9992883,1.870069,1.084657,358.0839,0.01615745,0.009735532,-0.01687158,0.9996797,-1.5,1.788732E-08,10,9.353808,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52330,1565835551007,1742.838,-0.06494323,0.08821271,0.0002388172,0.01964645,-0.02891146,0.9993889,1.656736,1.126202,358.1132,0.01429279,0.01006347,-0.01660411,0.9997094,-1.5,1.788732E-08,10,9.362776,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52331,1565835551043,1742.874,-0.06629781,0.08852204,0.0006349273,0.01036645,-0.02216056,0.9997007,1.26981,0.5941106,358.1039,0.01099352,0.005366881,-0.01660189,0.9997873,-1.5,1.788732E-08,10,8.786037,0
T6_EW_PW_B2_C4_P1575971_S8_0815105231.csv,52332,1565835551074,1742.905,-0.06858459,0.08915579,0.0008155666,-0.008238133,-0.01532729,0.9998486,0.8782234,359.5279,358.0416,0.007733085,-0.003987892,-0.01705733,0.9998167,-1.5,1.788732E-08,10,7.683088,0
