eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581494078.504792,"{'circle_3d': {'center': [0.028539104185850928, 2.7547500528375783, 64.93374898052161], 'normal': [-0.2599247828790172, 0.5919648358751074, -0.7629002164979723], 'radius': 2.7959054030093604}, 'confidence': 0.9991273121007885, 'timestamp': 359175.576555, 'diameter_3d': 5.591810806018721, 'ellipse': {'center': [160.50082003785923, 145.8037727672601], 'axes': [39.42281298565693, 53.41987033376354], 'angle': -67.34296396207465}, 'location': [160.50082003785923, 145.8037727672601], 'diameter': 53.41987033376354, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9743524236228374, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.204290862438862, 'phi': -1.8991676601284673, 'norm_pos': [0.5015650626183101, 0.39248428013641623], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.516889,"{'circle_3d': {'center': [0.09143199198043472, 2.767830251594961, 64.92270248194197], 'normal': [-0.25468370889613523, 0.5930548524382226, -0.7638207580462754], 'radius': 2.796095398507379}, 'confidence': 0.9995258267890322, 'timestamp': 359175.584955, 'diameter_3d': 5.592190797014758, 'ellipse': {'center': [161.09772209423232, 145.9313711408782], 'axes': [39.48485754201485, 53.43310393596771], 'angle': -67.85050102566265}, 'location': [161.09772209423232, 145.9313711408782], 'diameter': 53.43310393596771, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9743116183117961, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.20564397386241, 'phi': -1.8926373585809095, 'norm_pos': [0.5034303815444761, 0.3919526202463408], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.524748,"{'circle_3d': {'center': [0.06410553302417643, 2.745506472764238, 64.91455269638597], 'normal': [-0.25696091380915675, 0.5911945375356624, -0.7644999068426087], 'radius': 2.820136815195224}, 'confidence': 0.999047416576088, 'timestamp': 359175.593355, 'diameter_3d': 5.640273630390448, 'ellipse': {'center': [160.84280938940915, 145.713667451182], 'axes': [39.87606484664675, 53.899301645374905], 'angle': -67.58103479671209}, 'location': [160.84280938940915, 145.713667451182], 'diameter': 53.899301645374905, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9741067096767697, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2033354494439914, 'phi': -1.8950494962774247, 'norm_pos': [0.5026337793419036, 0.3928597189534083], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.5326421,"{'circle_3d': {'center': [0.09157844638662649, 2.724444469015377, 64.88913170136736], 'normal': [-0.2546715043622859, 0.5894393705565907, -0.766618323094159], 'radius': 2.8202079567998695}, 'confidence': 0.9991851927833952, 'timestamp': 359175.601755, 'diameter_3d': 5.640415913599739, 'ellipse': {'center': [161.10451931090054, 145.5220759587741], 'axes': [40.02608429637068, 53.92179419903723], 'angle': -67.7252430430507}, 'location': [161.10451931090054, 145.5220759587741], 'diameter': 53.92179419903723, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9739281523389876, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.201160982438684, 'phi': -1.8915275889147054, 'norm_pos': [0.5034516228465642, 0.39365801683844126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.540885,"{'circle_3d': {'center': [0.0789947189699789, 2.772166450898312, 64.9302288076033], 'normal': [-0.25572014831367323, 0.5934162023801686, -0.763193564241164], 'radius': 2.809509020812713}, 'confidence': 0.9997624861726793, 'timestamp': 359175.610155, 'diameter_3d': 5.619018041625426, 'ellipse': {'center': [160.98161212476376, 145.9651967312787], 'axes': [39.63108147362904, 53.68336421609143], 'angle': -67.77013061082764}, 'location': [160.98161212476376, 145.9651967312787], 'diameter': 53.68336421609143, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9739981296117195, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2060928396457946, 'phi': -1.8941053914564583, 'norm_pos': [0.5030675378898868, 0.3918116802863387], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.549063,"{'circle_3d': {'center': [0.0954957417615363, 2.771322159205572, 64.92406038541583], 'normal': [-0.25434506308104343, 0.5933458447391069, -0.7637075994234545], 'radius': 2.7930213003155653}, 'confidence': 0.9992113336813027, 'timestamp': 359175.618555, 'diameter_3d': 5.586042600631131, 'ellipse': {'center': [161.13570803193258, 145.96514275144975], 'axes': [39.432978251229606, 53.373250812834634], 'angle': -67.89099771036406}, 'location': [161.13570803193258, 145.96514275144975], 'diameter': 53.373250812834634, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9737879575087316, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2060054303485215, 'phi': -1.8922827214372975, 'norm_pos': [0.5035490875997893, 0.3918119052022927], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.556787,"{'circle_3d': {'center': [0.04291172814166666, 2.747616561373934, 64.92333695999363], 'normal': [-0.2587270642160326, 0.5913703782531371, -0.7637678848753032], 'radius': 2.7701762168811546}, 'confidence': 0.9994507320885797, 'timestamp': 359175.626955, 'diameter_3d': 5.540352433762309, 'ellipse': {'center': [160.63332861518361, 145.74868359844746], 'axes': [39.11908441366876, 52.936425740932684], 'angle': -67.42890354723245}, 'location': [160.63332861518361, 145.74868359844746], 'diameter': 52.936425740932684, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9737693284735283, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2035534884395918, 'phi': -1.8974147479320511, 'norm_pos': [0.5019791519224488, 0.39271381833980223], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.564955,"{'circle_3d': {'center': [0.09298974823640505, 2.7355246036531033, 64.89719249872763], 'normal': [-0.25455389587480437, 0.5903627151097345, -0.7659465899808039], 'radius': 2.772848944125919}, 'confidence': 0.999079486246922, 'timestamp': 359175.635355, 'diameter_3d': 5.545697888251838, 'ellipse': {'center': [161.1099055806731, 145.64156818263405], 'axes': [39.30549396199686, 53.00911999014251], 'angle': -67.76820524337722}, 'location': [161.1099055806731, 145.64156818263405], 'diameter': 53.00911999014251, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9735463683044232, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2023044779748124, 'phi': -1.8916516816082491, 'norm_pos': [0.5034684549396033, 0.39316013257235816], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.573654,"{'circle_3d': {'center': [0.06648055702298228, 2.7621501256781213, 64.92664847506666], 'normal': [-0.2567629951425896, 0.5925815086118194, -0.7634919252858846], 'radius': 2.7869785870537687}, 'confidence': 0.9994505015599465, 'timestamp': 359175.643755, 'diameter_3d': 5.573957174107537, 'ellipse': {'center': [160.85944850360056, 145.87946516891418], 'axes': [39.335031979712696, 53.25530278104706], 'angle': -67.64749694237095}, 'location': [160.85944850360056, 145.87946516891418], 'diameter': 53.25530278104706, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9735318805652815, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.20505621465361, 'phi': -1.8952152780794926, 'norm_pos': [0.5026857765737518, 0.39216889512952424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.581008,"{'circle_3d': {'center': [0.09604047904899282, 2.776067914502141, 64.92756799274403], 'normal': [-0.2542996683070887, 0.5937413243471543, -0.7634152988127706], 'radius': 2.765160965889493}, 'confidence': 0.9990800136552013, 'timestamp': 359175.652155, 'diameter_3d': 5.530321931778986, 'ellipse': {'center': [161.13627385211458, 146.01892466968138], 'axes': [39.018491041827716, 52.83763357036401], 'angle': -67.90873435233989}, 'location': [161.13627385211458, 146.01892466968138], 'diameter': 52.83763357036401, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9733502029246388, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2064968303371, 'phi': -1.8923439789949452, 'norm_pos': [0.5035508557878581, 0.3915878138763276], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494078.589539,"{'circle_3d': {'center': [0.04845235326348707, 2.7393861291754034, 64.91509648196626], 'normal': [-0.25826534545588087, 0.5906845089032595, -0.7644545913775845], 'radius': 2.793853063698192}, 'confidence': 0.9996716434271838, 'timestamp': 359175.660555, 'diameter_3d': 5.587706127396384, 'ellipse': {'center': [160.69003507140397, 145.6648836432297], 'axes': [39.50208980109508, 53.3959738204015], 'angle': -67.44596861457407}, 'location': [160.69003507140397, 145.6648836432297], 'diameter': 53.3959738204015, 'sphere': {'center': [3.1476364987340575, -4.348827977663711, 74.08855157849727], 'radius': 12.0}, 'projected_sphere': {'center': [186.3405693273333, 83.60742262190425], 'axes': [200.8407464172727, 200.8407464172727], 'angle': 90.0}, 'model_confidence': 0.9733559466524433, 'model_id': 1, 'model_birth_timestamp': 359114.298555, 'theta': 2.2027032210728623, 'phi': -1.8965997383599063, 'norm_pos': [0.5021563595981374, 0.3930629848198762], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
