eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497150.183864,"{'circle_3d': {'center': [-9.480621544253793, 12.411670759411109, 185.92229575140453], 'normal': [0.10741137133679635, -0.9886763657351091, -0.10479428011282721], 'radius': 7.362329739247253}, 'confidence': 0.019534411932499128, 'timestamp': 362246.793127, 'diameter_3d': 14.724659478494505, 'ellipse': {'center': [128.32465322186417, 161.55470054690136], 'axes': [8.660550631827613, 49.188304055693216], 'angle': -84.25018973315274}, 'location': [128.32465322186417, 161.55470054690136], 'diameter': 49.188304055693216, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.15063246539083175, 'phi': -0.7730659821698552, 'norm_pos': [0.40101454131832553, 0.326855414387911], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.192524,"{'circle_3d': {'center': [-9.981760834554951, 12.327327394155276, 186.3964465342079], 'normal': [0.06564976381169989, -0.9957049795064284, -0.06528171487921242], 'radius': 7.228206351435291}, 'confidence': 0.010117164800819789, 'timestamp': 362246.801527, 'diameter_3d': 14.456412702870582, 'ellipse': {'center': [126.74443934565477, 161.12587940085953], 'axes': [6.476427567392965, 48.18043138951114], 'angle': -86.61224723712853}, 'location': [126.74443934565477, 161.12587940085953], 'diameter': 48.18043138951114, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.09271567886101584, 'phi': -0.7825871666320992, 'norm_pos': [0.3960763729551712, 0.3286421691630853], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.202204,"{'circle_3d': {'center': [-9.101155769532607, 12.503247849910135, 185.56002698130908], 'normal': [0.13903351923022852, -0.9810449415268567, -0.13498334428744838], 'radius': 7.363535551551136}, 'confidence': 0.01926028623142201, 'timestamp': 362246.809927, 'diameter_3d': 14.727071103102272, 'ellipse': {'center': [129.5254454490906, 161.97049001881544], 'axes': [10.23817458473447, 49.2833992844893], 'angle': -82.41618303307335}, 'location': [129.5254454490906, 161.97049001881544], 'diameter': 49.2833992844893, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.19501407841399626, 'phi': -0.7706184889591347, 'norm_pos': [0.4047670170284081, 0.32512295825493565], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.208639,"{'circle_3d': {'center': [-9.015432455769167, 12.460308652024569, 186.03199808381268], 'normal': [0.14617712871051522, -0.9846232080173208, -0.09565241907881492], 'radius': 7.513333783009343}, 'confidence': 0.02881424321380824, 'timestamp': 362246.818327, 'diameter_3d': 15.026667566018686, 'ellipse': {'center': [129.8909245305452, 161.6898439742615], 'axes': [8.455243910632616, 50.15794371468429], 'angle': -81.93288386591779}, 'location': [129.8909245305452, 161.6898439742615], 'diameter': 50.15794371468429, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.17559249413209324, 'phi': -0.5794339187228729, 'norm_pos': [0.40590913915795374, 0.32629231677391046], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.2200582,"{'circle_3d': {'center': [-9.434002356277297, 12.385500061593103, 186.26475109458846], 'normal': [0.11129630366817105, -0.9908572572199429, -0.07625633484749983], 'radius': 7.309298733425929}, 'confidence': 0.029870370560209643, 'timestamp': 362246.826727, 'diameter_3d': 14.618597466851858, 'ellipse': {'center': [128.54175939274683, 161.3617800020152], 'axes': [7.195144107389696, 48.74230055672559], 'angle': -83.96143247585137}, 'location': [128.54175939274683, 161.3617800020152], 'diameter': 48.74230055672559, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.13532707394057808, 'phi': -0.6007000648978111, 'norm_pos': [0.40169299810233383, 0.32765924999160334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.224271,"{'circle_3d': {'center': [-9.236493501739067, 12.443137326507834, 185.89993983658624], 'normal': [0.1277553748796902, -0.9860541518103821, -0.10665727301435152], 'radius': 7.261520743535322}, 'confidence': 0.009892822416750905, 'timestamp': 362246.835127, 'diameter_3d': 14.523041487070644, 'ellipse': {'center': [129.13566946964036, 161.6617836979663], 'axes': [8.67612903358153, 48.51376256164517], 'angle': -83.0461731995673}, 'location': [129.13566946964036, 161.6617836979663], 'diameter': 48.51376256164517, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.16720277345474438, 'phi': -0.6956359117293875, 'norm_pos': [0.4035489670926261, 0.32640923459180704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.231903,"{'circle_3d': {'center': [-9.147742927294356, 12.436563606022759, 186.08324068817745], 'normal': [0.13515125608341613, -0.9866019618508051, -0.09138220204841713], 'radius': 7.522486679919507}, 'confidence': 0.048057495033842795, 'timestamp': 362246.843527, 'diameter_3d': 15.044973359839014, 'ellipse': {'center': [129.4591567826945, 161.59542489333958], 'axes': [8.225853963392616, 50.20834742918105], 'angle': -82.58082221109746}, 'location': [129.4591567826945, 161.59542489333958], 'diameter': 50.20834742918105, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.1638783903209574, 'phi': -0.5945376604971409, 'norm_pos': [0.4045598649459203, 0.3266857296110851], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.2497122,"{'circle_3d': {'center': [-9.065793341372828, 12.435294814798775, 186.2311821375935], 'normal': [0.14198038824354345, -0.9867076944528036, -0.07905374793041393], 'radius': 7.412732739807106}, 'confidence': 0.019607484528514314, 'timestamp': 362246.851927, 'diameter_3d': 14.825465479614213, 'ellipse': {'center': [129.75956476741777, 161.54155397964144], 'axes': [7.501009116919261, 49.43339302121867], 'angle': -82.1550967137004}, 'location': [129.75956476741777, 161.54155397964144], 'diameter': 49.43339302121867, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.1632290289134594, 'phi': -0.5080439332531758, 'norm_pos': [0.4054986398981805, 0.32691019175149405], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.253176,"{'circle_3d': {'center': [-9.063344378846063, 12.43441008537258, 186.24675458976904], 'normal': [0.14218446845410723, -0.9867814219049865, -0.07775604358245165], 'radius': 7.421285495448329}, 'confidence': 0.019595232586481267, 'timestamp': 362246.860327, 'diameter_3d': 14.842570990896657, 'ellipse': {'center': [129.77028806406085, 161.5341983936472], 'axes': [7.445011139575628, 49.486317638469124], 'angle': -82.14080221524924}, 'location': [129.77028806406085, 161.5341983936472], 'diameter': 49.486317638469124, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.1627747092602849, 'phi': -0.5004349248940414, 'norm_pos': [0.4055321502001902, 0.32694084002647006], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.2595332,"{'circle_3d': {'center': [-8.998662112484165, 12.45391680020387, 186.12753949573693], 'normal': [0.14757465731759867, -0.9851558623357123, -0.0876906347517945], 'radius': 7.428509143239263}, 'confidence': 0.019494751588502866, 'timestamp': 362246.868727, 'diameter_3d': 14.857018286478526, 'ellipse': {'center': [129.96475859488694, 161.63573703577973], 'axes': [7.961837138145648, 49.564898253137656], 'angle': -81.83751608584622}, 'location': [129.96475859488694, 161.63573703577973], 'diameter': 49.564898253137656, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.17251671496584625, 'phi': -0.5361527608765181, 'norm_pos': [0.4061398706090217, 0.3265177623509178], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.268136,"{'circle_3d': {'center': [-8.998202420721432, 12.452365982404475, 186.14589706378797], 'normal': [0.14761296496449314, -0.9852850971523287, -0.08616083741420749], 'radius': 7.436270908326308}, 'confidence': 0.019486863287267335, 'timestamp': 362246.877127, 'diameter_3d': 14.872541816652616, 'ellipse': {'center': [129.96934636912016, 161.62528756672626], 'axes': [7.893293803044971, 49.61185789713325], 'angle': -81.83284109901882}, 'location': [129.96934636912016, 161.62528756672626], 'diameter': 49.61185789713325, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.1717622379369805, 'phi': -0.5283436837180848, 'norm_pos': [0.4061542074035005, 0.3265613018053073], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
