eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497581.5406349,"{'circle_3d': {'center': [-0.9711180329254097, 0.5433861308207906, 26.160536222531164], 'normal': [-0.22874112574637823, 0.5416954172308038, -0.8088532452450351], 'radius': 1.3326452415532084}, 'confidence': 0.9963863445674571, 'timestamp': 362678.152918, 'diameter_3d': 2.665290483106417, 'ellipse': {'center': [137.26195044495924, 132.18414512975622], 'axes': [49.87481597649074, 63.215036264500476], 'angle': -65.2662089152886}, 'location': [137.26195044495924, 132.18414512975622], 'diameter': 63.215036264500476, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5379107503592384, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1432491019659587, 'phi': -1.8463966326337165, 'norm_pos': [0.4289435951404976, 0.4492327286260157], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.548341,"{'circle_3d': {'center': [-0.9811210299444215, 0.5425179809818452, 26.162789086154184], 'normal': [-0.22957470883129585, 0.5416230714108917, -0.8086655066097835], 'radius': 1.332907532185598}, 'confidence': 0.9961419159817524, 'timestamp': 362678.161318, 'diameter_3d': 2.665815064371196, 'ellipse': {'center': [137.02773222535365, 132.16255733925072], 'axes': [49.861977465527254, 63.22254144726231], 'angle': -65.16847218458655}, 'location': [137.02773222535365, 132.16255733925072], 'diameter': 63.22254144726231, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5379874676478158, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1431630372758526, 'phi': -1.8474116124156017, 'norm_pos': [0.42821166320423015, 0.44932267775312196], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.55552,"{'circle_3d': {'center': [-0.9786504275650372, 0.5336731808342545, 26.156170284792307], 'normal': [-0.2293688252996805, 0.5408860047319258, -0.8092170733899401], 'radius': 1.3192851698299368}, 'confidence': 0.9969103827543618, 'timestamp': 362678.169718, 'diameter_3d': 2.6385703396598736, 'ellipse': {'center': [137.0749240015745, 131.97019562905865], 'axes': [49.412261319043914, 62.591692554639536], 'angle': -65.1503043886037}, 'location': [137.0749240015745, 131.97019562905865], 'diameter': 62.591692554639536, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5379047117283098, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1422864730654507, 'phi': -1.8469970455688083, 'norm_pos': [0.4283591375049203, 0.45012418487892225], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.566133,"{'circle_3d': {'center': [-0.9726353334578435, 0.54445205887441, 26.161679415192634], 'normal': [-0.22886756745741435, 0.5417842445686054, -0.8087579791899128], 'radius': 1.3409570430196844}, 'confidence': 0.9950559903071642, 'timestamp': 362678.178118, 'diameter_3d': 2.681914086039369, 'ellipse': {'center': [137.23053628723957, 132.20020741470904], 'axes': [50.17557182804843, 63.606947534217646], 'angle': -65.25689967681622}, 'location': [137.23053628723957, 132.20020741470904], 'diameter': 63.606947534217646, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5374170443890991, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.143354780077762, 'phi': -1.8465722319278115, 'norm_pos': [0.42884542589762364, 0.4491658024387123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.5766232,"{'circle_3d': {'center': [-0.9775364927495471, 0.544242175931597, 26.162927097129177], 'normal': [-0.22927599739838966, 0.541766754323371, -0.8086540056952007], 'radius': 1.3272853689089377}, 'confidence': 0.9968304729580928, 'timestamp': 362678.186518, 'diameter_3d': 2.6545707378178753, 'ellipse': {'center': [137.11013845709778, 132.20906416930617], 'axes': [49.65071497953539, 62.95509942243106], 'angle': -65.21010933951843}, 'location': [137.11013845709778, 132.20906416930617], 'diameter': 62.95509942243106, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5372201860031067, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1433339713189894, 'phi': -1.847073473995777, 'norm_pos': [0.42846918267843054, 0.44912889929455757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.5800881,"{'circle_3d': {'center': [-0.9797837842931996, 0.5570461861708385, 26.172155551966313], 'normal': [-0.22946327169369404, 0.5428337551766411, -0.8078849677921061], 'radius': 1.3320118378696144}, 'confidence': 0.9964633889789646, 'timestamp': 362678.194918, 'diameter_3d': 2.664023675739229, 'ellipse': {'center': [137.0666866502579, 132.50300166351107], 'axes': [49.742563050972535, 63.15710862045542], 'angle': -65.24867515976811}, 'location': [137.0666866502579, 132.50300166351107], 'diameter': 63.15710862045542, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5370733090640178, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.144603931288867, 'phi': -1.8475377854434167, 'norm_pos': [0.428333395782056, 0.44790415973537057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.587685,"{'circle_3d': {'center': [-0.994200556446521, 0.5482609131721086, 26.170362211246797], 'normal': [-0.23066466937313748, 0.5421016490934136, -0.8080344128520658], 'radius': 1.3330802366893766}, 'confidence': 0.9961884638069252, 'timestamp': 362678.203318, 'diameter_3d': 2.666160473378753, 'ellipse': {'center': [136.7253560770812, 132.29519356606593], 'axes': [49.796214879190366, 63.212984684902565], 'angle': -65.07315436868967}, 'location': [136.7253560770812, 132.29519356606593], 'diameter': 63.212984684902565, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5367009488423058, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1437324558967394, 'phi': -1.8488644984588039, 'norm_pos': [0.4272667377408787, 0.44877002680805866], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.608979,"{'circle_3d': {'center': [-0.9775807225284163, 0.549090978997862, 26.166189907169088], 'normal': [-0.22927968321329545, 0.5421708212455597, -0.8083821048585416], 'radius': 1.3332490113292614}, 'confidence': 0.9961423211045403, 'timestamp': 362678.220118, 'diameter_3d': 2.666498022658523, 'ellipse': {'center': [137.11427269800197, 132.31614343432184], 'axes': [49.84416206611682, 63.230256405782725], 'angle': -65.2322579662653}, 'location': [137.11427269800197, 132.31614343432184], 'diameter': 63.230256405782725, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5363430396224, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1438147752178134, 'phi': -1.847165961156429, 'norm_pos': [0.42848210218125615, 0.4486827356903257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.6132412,"{'circle_3d': {'center': [-0.9778360485342397, 0.5489774596900627, 26.166186192914697], 'normal': [-0.2293009603804474, 0.5421613613032431, -0.8083824143797408], 'radius': 1.3381225549030342}, 'confidence': 0.9961041236926176, 'timestamp': 362678.228518, 'diameter_3d': 2.6762451098060684, 'ellipse': {'center': [137.11027833819296, 132.3083744488778], 'axes': [50.026676258354335, 63.46162036719371], 'angle': -65.22930880544008}, 'location': [137.11027833819296, 132.3083744488778], 'diameter': 63.46162036719371, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5359592289805093, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.1438035170184255, 'phi': -1.8471902214360088, 'norm_pos': [0.428469619806853, 0.44871510646300916], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.623429,"{'circle_3d': {'center': [-0.9839970618900624, 0.5557213256075499, 26.17246305881116], 'normal': [-0.22981437816009928, 0.5427233501297004, -0.8078593422217023], 'radius': 1.3257360362814623}, 'confidence': 0.9964876447517628, 'timestamp': 362678.236918, 'diameter_3d': 2.6514720725629246, 'ellipse': {'center': [136.96488843376898, 132.47813636716768], 'axes': [49.50415815249625, 62.85876002486735], 'angle': -65.20321922251618}, 'location': [136.96488843376898, 132.47813636716768], 'diameter': 62.85876002486735, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5358381661962786, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.144472477280314, 'phi': -1.8479482437455643, 'norm_pos': [0.42801527635552805, 0.4480077651368013], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497581.634767,"{'circle_3d': {'center': [-0.9912036712526344, 0.5446100002281469, 26.167059063264652], 'normal': [-0.23041492894031362, 0.5417974063480835, -0.8083096751839113], 'radius': 1.3307374090504323}, 'confidence': 0.9963697191336174, 'timestamp': 362678.245318, 'diameter_3d': 2.6614748181008645, 'ellipse': {'center': [136.79234651119478, 132.2126570251567], 'axes': [49.739459858124825, 63.10967079299921], 'angle': -65.08403685116626}, 'location': [136.79234651119478, 132.2126570251567], 'diameter': 63.10967079299921, 'sphere': {'center': [1.7737754760311288, -5.956958875948855, 35.86677516547159], 'radius': 12.0}, 'projected_sphere': {'center': [190.66182532624242, 17.026858811555798], 'axes': [414.8686334734871, 414.8686334734871], 'angle': 90.0}, 'model_confidence': 0.5355614860597324, 'model_id': 1, 'model_birth_timestamp': 362542.86998, 'theta': 2.143370439292914, 'phi': -1.8484888851633214, 'norm_pos': [0.4274760828474837, 0.4491139290618471], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
