eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1581555646.6723268,"{'circle_3d': {'center': [-5.577212131047535, 3.25159087423145, 61.03837519707132], 'normal': [-0.25029101627567485, 0.5162691489793327, -0.8190363685355159], 'radius': 2.2219440012869276}, 'confidence': 0.9999388886225132, 'timestamp': 401060.469749, 'diameter_3d': 4.443888002573855, 'ellipse': {'center': [103.49299456678578, 152.69503894308218], 'axes': [34.66354645773735, 45.21178656526397], 'angle': -60.518747725706525}, 'location': [103.49299456678578, 152.69503894308218], 'diameter': 45.21178656526397, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9542021033376646, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.113285227766049, 'phi': -1.8673755285995068, 'norm_pos': [0.32341560802120556, 0.3637706710704909], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.679504,"{'circle_3d': {'center': [-5.575409283165419, 3.257669788018875, 61.04165862070096], 'normal': [-0.2501407789521652, 0.5167757251282848, -0.8187627498997126], 'radius': 2.235766204700994}, 'confidence': 0.9997778442672642, 'timestamp': 401060.478149, 'diameter_3d': 4.471532409401988, 'ellipse': {'center': [103.51594890551183, 152.75070128480155], 'axes': [34.862643188576286, 45.490697603837816], 'angle': -60.55887559466969}, 'location': [103.51594890551183, 152.75070128480155], 'diameter': 45.490697603837816, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544898190947282, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.1138768332201283, 'phi': -1.867301107959183, 'norm_pos': [0.3234873403297245, 0.36353874464666025], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.6864262,"{'circle_3d': {'center': [-5.578577631627704, 3.2652085071584054, 61.047389847611484], 'normal': [-0.2504048079906889, 0.5174039517232457, -0.8182851476571693], 'radius': 2.204394306705234}, 'confidence': 0.9993650952867108, 'timestamp': 401060.486549, 'diameter_3d': 4.408788613410468, 'ellipse': {'center': [103.48501713874852, 152.8334765446926], 'axes': [34.34267509043195, 44.84790349691577], 'angle': -60.56972294306481}, 'location': [103.48501713874852, 152.8334765446926], 'diameter': 44.84790349691577, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544840735969062, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.114610801880239, 'phi': -1.8677592525627837, 'norm_pos': [0.3233906785585891, 0.3631938477304476], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.694203,"{'circle_3d': {'center': [-5.571533242640811, 3.252959144789891, 61.03750402024575], 'normal': [-0.24981777557511448, 0.5163831715258694, -0.8191089666043135], 'radius': 2.230282081128889}, 'confidence': 0.999624995584457, 'timestamp': 401060.494949, 'diameter_3d': 4.460564162257778, 'ellipse': {'center': [103.5506840774762, 152.70678589243562], 'axes': [34.799722828651014, 45.38213111296739], 'angle': -60.56588309368225}, 'location': [103.5506840774762, 152.70678589243562], 'diameter': 45.38213111296739, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9546517009341948, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.113418370700259, 'phi': -1.8668222589291104, 'norm_pos': [0.3235958877421131, 0.36372172544818493], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.7036219,"{'circle_3d': {'center': [-5.588083640033945, 3.235660155799673, 61.03167692442952], 'normal': [-0.2511969753578757, 0.514941589110018, -0.8195945579223329], 'radius': 2.2105422326085615}, 'confidence': 0.9988130933897572, 'timestamp': 401060.503349, 'diameter_3d': 4.421084465217123, 'ellipse': {'center': [103.37563146257847, 152.54071178743106], 'axes': [34.51745676162285, 44.98471096710474], 'angle': -60.36883902662374}, 'location': [103.37563146257847, 152.54071178743106], 'diameter': 44.98471096710474, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544726167361461, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.111735835162583, 'phi': -1.8681959378257025, 'norm_pos': [0.3230488483205577, 0.3644137008857039], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.711058,"{'circle_3d': {'center': [-5.57465694516015, 3.245240112874674, 61.03359477748012], 'normal': [-0.2500780841183927, 0.515739918866268, -0.8194347368347825], 'radius': 2.20859404537091}, 'confidence': 0.9682904110296965, 'timestamp': 401060.511749, 'diameter_3d': 4.41718809074182, 'ellipse': {'center': [103.51280977805567, 152.63718450827673], 'axes': [34.48045843953509, 44.94353514410452], 'angle': -60.5088602745138}, 'location': [103.51280977805567, 152.63718450827673], 'diameter': 44.94353514410452, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544625467348689, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.1126673911187055, 'phi': -1.8670019528199289, 'norm_pos': [0.323477530556424, 0.36401173121551367], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.7198431,"{'circle_3d': {'center': [-5.586441187893682, 3.2773249165212093, 61.05747322783569], 'normal': [-0.2510601043461871, 0.5184136525034794, -0.817444865971818], 'radius': 2.217692891369042}, 'confidence': 0.999756200288563, 'timestamp': 401060.520149, 'diameter_3d': 4.435385782738084, 'ellipse': {'center': [103.41632049600474, 152.94696296156616], 'axes': [34.49574531556697, 45.111167520977475], 'angle': -60.56693632695964}, 'location': [103.41632049600474, 152.94696296156616], 'diameter': 45.111167520977475, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544432087593813, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.115791136931231, 'phi': -1.8687795594174499, 'norm_pos': [0.3231760015500148, 0.36272098766014105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.726699,"{'circle_3d': {'center': [-5.5771528295831025, 3.2617536434724785, 61.044770382270215], 'normal': [-0.25028607448697215, 0.5171160464160851, -0.8185034364356079], 'radius': 2.1997699226167895}, 'confidence': 0.9571461980645498, 'timestamp': 401060.528549, 'diameter_3d': 4.399539845233579, 'ellipse': {'center': [103.49647371764031, 152.8012272102323], 'axes': [34.28440901353596, 44.755695488416904], 'angle': -60.564622990628955}, 'location': [103.49647371764031, 152.8012272102323], 'diameter': 44.755695488416904, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9543579731701946, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.11427439642695, 'phi': -1.8675519755204504, 'norm_pos': [0.323426480367626, 0.3633282199573654], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.735306,"{'circle_3d': {'center': [-5.5753234028691825, 3.252029491547944, 61.03807468942604], 'normal': [-0.25013362226081215, 0.5163057004223739, -0.8190614108392893], 'radius': 2.2077959556333036}, 'confidence': 0.9998589020632349, 'timestamp': 401060.536949, 'diameter_3d': 4.415591911266607, 'ellipse': {'center': [103.50998774741899, 152.7038498446821], 'axes': [34.44466486690171, 44.92398696488708], 'angle': -60.53440601748291}, 'location': [103.50998774741899, 152.7038498446821], 'diameter': 44.92398696488708, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9544554752135892, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.113327907339653, 'phi': -1.8671912218499978, 'norm_pos': [0.32346871171068436, 0.3637339589804912], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.746579,"{'circle_3d': {'center': [-5.580923381623167, 3.2702229802499243, 61.05128067103566], 'normal': [-0.25060028715697746, 0.5178218244808722, -0.8179609123718207], 'radius': 2.2206517919010937}, 'confidence': 0.9999828116250071, 'timestamp': 401060.545349, 'diameter_3d': 4.4413035838021875, 'ellipse': {'center': [103.46689638232378, 152.87737132193405], 'axes': [34.5753670454179, 45.17593467280524], 'angle': -60.57508138060523}, 'location': [103.46689638232378, 152.87737132193405], 'diameter': 45.17593467280524, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9548225425655921, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.1150991907040506, 'phi': -1.8680886548465105, 'norm_pos': [0.32333405119476183, 0.36301095282527485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555646.754605,"{'circle_3d': {'center': [-5.576521168382156, 3.2617030684502524, 61.04454530036168], 'normal': [-0.25023343605355985, 0.5171118318308996, -0.8185221932613191], 'radius': 2.2032524294721085}, 'confidence': 0.9992099017721786, 'timestamp': 401060.553749, 'diameter_3d': 4.406504858944217, 'ellipse': {'center': [103.50310137577267, 152.7997910386215], 'axes': [34.340050215979055, 44.8267410344247], 'angle': -60.568946412469025}, 'location': [103.50310137577267, 152.7997910386215], 'diameter': 44.8267410344247, 'sphere': {'center': [-2.573719935739437, -2.9436389135205427, 70.86681161949751], 'radius': 12.0}, 'projected_sphere': {'center': [137.483023100768, 94.24667365900498], 'axes': [209.97134850506075, 209.97134850506075], 'angle': 90.0}, 'model_confidence': 0.9548045422722917, 'model_id': 7, 'model_birth_timestamp': 400994.353349, 'theta': 2.1142694723661997, 'phi': -1.8674867560881023, 'norm_pos': [0.3234471917992896, 0.3633342040057438], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
