eye_packets,770
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656669.072133,"{'circle_3d': {'center': [48.62649421093348, 13.521323650507822, 1505.1897671559582], 'normal': [-0.37367769277962676, 0.49189168734144334, -0.7863889303921328], 'radius': 51.75738808960318}, 'confidence': 0.9828452735055035, 'timestamp': 3199.029156, 'diameter_3d': 103.51477617920636, 'ellipse': {'center': [180.25421120687804, 125.28835977946115], 'axes': [33.85515799522496, 42.66957189970198], 'angle': -55.14204485444813}, 'location': [180.25421120687804, 125.28835977946115], 'diameter': 42.66957189970198, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.0850574635427286, 'phi': -2.0143929700339744, 'norm_pos': [0.5632944100214938, 0.4779651675855786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.081865,"{'circle_3d': {'center': [48.86991879303967, 13.744494116111651, 1505.2195163377567], 'normal': [-0.35339231093744444, 0.5104892261417624, -0.7839098319089237], 'radius': 51.274698679710255}, 'confidence': 0.9887675877098536, 'timestamp': 3199.037556, 'diameter_3d': 102.54939735942051, 'ellipse': {'center': [180.33792616208694, 125.3758564299971], 'axes': [33.397669726108305, 42.27163592521368], 'angle': -57.695177611549894}, 'location': [180.33792616208694, 125.3758564299971], 'diameter': 42.27163592521368, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.1065499652978366, 'phi': -1.9943214397674787, 'norm_pos': [0.5635560192565217, 0.47760059820834544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.089182,"{'circle_3d': {'center': [48.997302158739096, 14.137559175264814, 1505.4294761793446], 'normal': [-0.3427770304624924, 0.5432446477378593, -0.7664131784432499], 'radius': 51.773415716684006}, 'confidence': 0.9368731604636512, 'timestamp': 3199.045956, 'diameter_3d': 103.54683143336801, 'ellipse': {'center': [180.38176890228874, 125.5198316624854], 'axes': [32.94014923926105, 42.67849156384193], 'angle': -60.03792377257514}, 'location': [180.38176890228874, 125.5198316624854], 'diameter': 42.67849156384193, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.145093259592092, 'phi': -1.991359624858618, 'norm_pos': [0.5636930278196524, 0.4770007014063108], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.105852,"{'circle_3d': {'center': [48.17701920728291, 14.08796545139498, 1505.805599196095], 'normal': [-0.41113394308384127, 0.5391118374153732, -0.7350695937140598], 'radius': 52.219489000680255}, 'confidence': 0.8768625900495121, 'timestamp': 3199.054356, 'diameter_3d': 104.43897800136051, 'ellipse': {'center': [180.07282580466602, 125.50814125978953], 'axes': [31.959769228456736, 43.034940580593904], 'angle': -54.674002980138354}, 'location': [180.07282580466602, 125.50814125978953], 'diameter': 43.034940580593904, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.1401785482299047, 'phi': -2.080761467377003, 'norm_pos': [0.5627275806395813, 0.47704941141754365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.109041,"{'circle_3d': {'center': [48.32722090497783, 13.509369309020306, 1505.330298384432], 'normal': [-0.39861713494259815, 0.49089549221748363, -0.7746779946859915], 'radius': 52.13684689601807}, 'confidence': 0.9884105701586224, 'timestamp': 3199.062756, 'diameter_3d': 104.27369379203614, 'ellipse': {'center': [180.14384748584712, 125.28380339508064], 'axes': [33.63052996861829, 42.9782358648026], 'angle': -53.161721490002044}, 'location': [180.14384748584712, 125.28380339508064], 'diameter': 42.9782358648026, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.083913644277211, 'phi': -2.0460227747808966, 'norm_pos': [0.5629495233932722, 0.4779841525204973], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.114069,"{'circle_3d': {'center': [48.1275373394471, 13.488713393612421, 1505.4225837313124], 'normal': [-0.41525743207015847, 0.4891741659334932, -0.7669875491126105], 'radius': 51.58937429069754}, 'confidence': 0.9856199018702787, 'timestamp': 3199.071156, 'diameter_3d': 103.17874858139508, 'ellipse': {'center': [180.06266210995338, 125.2846286365068], 'axes': [32.97036947465372, 42.52387934357985], 'angle': -51.83103163358726}, 'location': [180.06266210995338, 125.2846286365068], 'diameter': 42.52387934357985, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.0819389727246302, 'phi': -2.06702334133709, 'norm_pos': [0.5626958190936043, 0.477980714014555], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.121397,"{'circle_3d': {'center': [48.46772478639787, 13.678382622493183, 1505.3677745015048], 'normal': [-0.3869084781575944, 0.5049799350068901, -0.7715549849299215], 'radius': 51.68670824552793}, 'confidence': 0.9473224395733519, 'timestamp': 3199.079556, 'diameter_3d': 103.37341649105586, 'ellipse': {'center': [180.18971704645267, 125.3513475826723], 'axes': [33.18353388748618, 42.606682700933355], 'angle': -54.78692936095317}, 'location': [180.18971704645267, 125.3513475826723], 'diameter': 42.606682700933355, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.100155045207735, 'phi': -2.0356159299556196, 'norm_pos': [0.5630928657701646, 0.477702718405532], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.1293938,"{'circle_3d': {'center': [48.40366487449636, 13.618217848384843, 1505.360940350496], 'normal': [-0.39224680414938745, 0.499966203831195, -0.7721244975139798], 'radius': 51.5652135739062}, 'confidence': 0.9881887888207037, 'timestamp': 3199.087956, 'diameter_3d': 103.1304271478124, 'ellipse': {'center': [180.16548271421343, 125.3305079376664], 'axes': [33.139338726170564, 42.50640162126758], 'angle': -54.1222408811769}, 'location': [180.16548271421343, 125.3305079376664], 'diameter': 42.50640162126758, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.094356078378487, 'phi': -2.040831216666946, 'norm_pos': [0.563017133481917, 0.47778955025972336], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.137861,"{'circle_3d': {'center': [48.30508456606429, 13.954227866446447, 1505.639394621017], 'normal': [-0.4004618298520595, 0.527967038669662, -0.7489199749705757], 'radius': 52.13538803060861}, 'confidence': 0.9505227895371362, 'timestamp': 3199.096356, 'diameter_3d': 104.27077606121722, 'ellipse': {'center': [180.12486627672862, 125.45507749065591], 'axes': [32.49895445412145, 42.9698996739681], 'angle': -54.91303748997205}, 'location': [180.12486627672862, 125.45507749065591], 'diameter': 42.9698996739681, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.127001316493111, 'phi': -2.0618319317096496, 'norm_pos': [0.562890207114777, 0.4772705104556004], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.1454332,"{'circle_3d': {'center': [48.2153858105202, 13.877509269611869, 1505.6340505401745], 'normal': [-0.40793672614739995, 0.5215738222667805, -0.7493653150407764], 'radius': 52.00815683457371}, 'confidence': 0.9671855144627479, 'timestamp': 3199.104756, 'diameter_3d': 104.01631366914742, 'ellipse': {'center': [180.09110527511265, 125.42827486142617], 'axes': [32.45188475823951, 42.86478535027642], 'angle': -54.0519702681635}, 'location': [180.09110527511265, 125.42827486142617], 'diameter': 42.86478535027642, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.119490837576921, 'phi': -2.0693116762134385, 'norm_pos': [0.562784703984727, 0.47738218807739097], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656669.153888,"{'circle_3d': {'center': [48.245253475911504, 13.616460589354952, 1505.4419858244812], 'normal': [-0.4054477540314584, 0.4998197655787041, -0.7653707080152045], 'radius': 51.77539543137275}, 'confidence': 0.9579197283571719, 'timestamp': 3199.113156, 'diameter_3d': 103.5507908627455, 'ellipse': {'center': [180.1067079625516, 125.32986268336171], 'axes': [33.00178232539996, 42.677316387251416], 'angle': -53.12348031655307}, 'location': [180.1067079625516, 125.32986268336171], 'diameter': 42.677316387251416, 'sphere': {'center': [53.110626524289, 7.618623402410503, 1514.6264343206637], 'radius': 12.0}, 'projected_sphere': {'center': [181.74040258304896, 123.11862146497734], 'axes': [9.824204611002935, 9.824204611002935], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 8, 'model_birth_timestamp': 3158.536903, 'theta': 2.094186998110156, 'phi': -2.057952182924915, 'norm_pos': [0.5628334623829738, 0.4777922388193262], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
