eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581655314.6549382,"{'circle_3d': {'center': [-4.114743348016463, 1.8934548643111704, 58.757630363024724], 'normal': [-0.18320931017017536, 0.6436617802168365, -0.7430571050431194], 'radius': 1.8297868102453128}, 'confidence': 0.8729982275971614, 'timestamp': 1844.615073, 'diameter_3d': 3.6595736204906255, 'ellipse': {'center': [116.64498703002221, 139.70038304094516], 'axes': [27.36664560715851, 38.6830405932537], 'angle': -70.92576469009025}, 'location': [116.64498703002221, 139.70038304094516], 'diameter': 38.6830405932537, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8326669310240509, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.270069723293175, 'phi': -1.8125361909021267, 'norm_pos': [0.3645155844688194, 0.4179150706627285], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.661376,"{'circle_3d': {'center': [-4.111319484894433, 1.9041499001188464, 58.76606163771433], 'normal': [-0.18292398824333958, 0.6445530332008095, -0.7423544988189852], 'radius': 1.8247538087096824}, 'confidence': 0.8218062194846164, 'timestamp': 1844.623473, 'diameter_3d': 3.649507617419365, 'ellipse': {'center': [116.68674577839829, 139.81190781255228], 'axes': [27.2562457588577, 38.57092457540861], 'angle': -70.98141291349091}, 'location': [116.68674577839829, 139.81190781255228], 'diameter': 38.57092457540861, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8327514825121285, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.2712348589840863, 'phi': -1.812393851300125, 'norm_pos': [0.36464608055749465, 0.4174503841143655], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.669308,"{'circle_3d': {'center': [-4.1106868099005505, 1.896510597029513, 58.75927875684049], 'normal': [-0.18287126532718267, 0.6439164246100317, -0.7429197388918055], 'radius': 1.8452023143734855}, 'confidence': 0.9771723854923292, 'timestamp': 1844.631873, 'diameter_3d': 3.690404628746971, 'ellipse': {'center': [116.68991267778931, 139.72731432103961], 'axes': [27.591193329802014, 39.007884747845694], 'angle': -70.96353212561768}, 'location': [116.68991267778931, 139.72731432103961], 'diameter': 39.007884747845694, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8338211267975182, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.270402503490685, 'phi': -1.812150185527642, 'norm_pos': [0.3646559771180916, 0.4178028569956683], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.676543,"{'circle_3d': {'center': [-4.110005333326196, 1.9075320270459866, 58.76867548807321], 'normal': [-0.18281447561265318, 0.6448348771114045, -0.7421366779557459], 'radius': 1.8530067056920783}, 'confidence': 0.9272641931985197, 'timestamp': 1844.640273, 'diameter_3d': 3.7060134113841565, 'ellipse': {'center': [116.70440082273831, 139.83803792608018], 'axes': [27.6676489842073, 39.166599948247445], 'angle': -71.00053798971632}, 'location': [116.70440082273831, 139.83803792608018], 'diameter': 39.166599948247445, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8342556696846026, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.2716035519207267, 'phi': -1.8123229158354839, 'norm_pos': [0.36470125257105723, 0.41734150864133257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.690866,"{'circle_3d': {'center': [-4.107547137932234, 1.893040499431664, 58.75550028502864], 'normal': [-0.18260962599648964, 0.643627249810211, -0.743234611542793], 'radius': 1.8405709281541027}, 'confidence': 0.9769192549018314, 'timestamp': 1844.648673, 'diameter_3d': 3.6811418563082055, 'ellipse': {'center': [116.71989127289001, 139.6933538297008], 'axes': [27.53872260751462, 38.91239310490547], 'angle': -70.97575271546515}, 'location': [116.71989127289001, 139.6933538297008], 'diameter': 38.91239310490547, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8352810344961381, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.270024604650988, 'phi': -1.8117198980247717, 'norm_pos': [0.36474966022778127, 0.41794435904291327], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.6972852,"{'circle_3d': {'center': [-4.127042680944291, 1.8886031939803036, 58.75647009887109], 'normal': [-0.1842342545808277, 0.643257474355931, -0.7431537937225885], 'radius': 1.8589733979824241}, 'confidence': 0.8731187159678266, 'timestamp': 1844.657073, 'diameter_3d': 3.7179467959648482, 'ellipse': {'center': [116.51680835950899, 139.64071752284215], 'axes': [27.8059290371356, 39.30140007553791], 'angle': -70.82392970277901}, 'location': [116.51680835950899, 139.64071752284215], 'diameter': 39.30140007553791, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8352716230738078, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.269541550318339, 'phi': -1.8138056950593684, 'norm_pos': [0.3641150261234656, 0.4181636769881577], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.705495,"{'circle_3d': {'center': [-4.109212538829426, 1.883105475805638, 58.747315367408675], 'normal': [-0.18274840940458897, 0.6427993311747088, -0.7439166880111239], 'radius': 1.8596530175214738}, 'confidence': 0.9040591950193946, 'timestamp': 1844.665473, 'diameter_3d': 3.7193060350429477, 'ellipse': {'center': [116.69779491245447, 139.58536135700734], 'axes': [27.85954161611282, 39.32157073515403], 'angle': -70.93473365935634}, 'location': [116.69779491245447, 139.58536135700734], 'diameter': 39.32157073515403, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.83550818189988, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.268943329006958, 'phi': -1.8116833877680614, 'norm_pos': [0.3646806091014202, 0.4183943276791361], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.712893,"{'circle_3d': {'center': [-4.114146081914811, 1.8922470069802193, 58.75643699401757], 'normal': [-0.1831595379950377, 0.6435611254392573, -0.7431565524603824], 'radius': 1.8592342589763033}, 'confidence': 0.9987622797517701, 'timestamp': 1844.673873, 'diameter_3d': 3.7184685179526067, 'ellipse': {'center': [116.65245312870162, 139.6789731495544], 'axes': [27.81274725091379, 39.306653683972634], 'angle': -70.92638725775954}, 'location': [116.65245312870162, 139.6789731495544], 'diameter': 39.306653683972634, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8367064388717149, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.269938209002937, 'phi': -1.8124419494778015, 'norm_pos': [0.36453891602719257, 0.4180042785435234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.720286,"{'circle_3d': {'center': [-4.1099485656556665, 1.898427745507088, 58.760759060611036], 'normal': [-0.18280974497344232, 0.6440761869831629, -0.7427963802442596], 'radius': 1.8526513890912946}, 'confidence': 0.794906274638731, 'timestamp': 1844.682273, 'diameter_3d': 3.705302778182589, 'ellipse': {'center': [116.69926291723051, 139.74474438317736], 'axes': [27.69645657325084, 39.16441647509078], 'angle': -70.97436753025337}, 'location': [116.69926291723051, 139.74474438317736], 'diameter': 39.16441647509078, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8365595431969131, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.270611335388125, 'phi': -1.8121106379976117, 'norm_pos': [0.36468519661634535, 0.41773023173676094], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.729373,"{'circle_3d': {'center': [-4.10986221895359, 1.8934605970180343, 58.75643324651931], 'normal': [-0.18280254941493598, 0.6436622579424085, -0.7431568647519043], 'radius': 1.8550159489512081}, 'confidence': 0.9585382022298414, 'timestamp': 1844.690673, 'diameter_3d': 3.7100318979024163, 'ellipse': {'center': [116.69721500223258, 139.6930456853667], 'axes': [27.750520637201113, 39.217340712891875], 'angle': -70.96045112884453}, 'location': [116.69721500223258, 139.6930456853667], 'diameter': 39.217340712891875, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8371882822598598, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.2700703475181947, 'phi': -1.8119889417513364, 'norm_pos': [0.3646787968819768, 0.4179456429776387], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655314.736726,"{'circle_3d': {'center': [-4.092668361162347, 1.9051155032494025, 58.76232455467935], 'normal': [-0.18136972793233236, 0.6446335001283559, -0.7426659224052339], 'radius': 1.8407611707143894}, 'confidence': 0.9322513285325772, 'timestamp': 1844.699073, 'diameter_3d': 3.6815223414287788, 'ellipse': {'center': [116.88132068117054, 139.8182836324297], 'axes': [27.515499823658164, 38.911523498807284], 'angle': -71.11691295743566}, 'location': [116.88132068117054, 139.8182836324297], 'diameter': 38.911523498807284, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.8376610372406557, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 2.2713401097682135, 'phi': -1.8103223699557156, 'norm_pos': [0.3652541271286579, 0.4174238181982095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
