imu_packets,1177
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1581655293.5236568,0.03162,-0.01758,-0.99768,0.05762,0.0119
1581655293.5288792,0.03162,-0.01758,-0.99768,0.05762,0.0119
1581655293.5347981,0.03162,-0.01758,-0.99768,0.05762,0.0119
1581655293.5401332,0.03162,-0.01758,-0.99768,0.05762,0.0119
1581655293.544815,0.03162,-0.01752,-0.99768,0.05768,0.0119
1581655293.551049,0.03162,-0.01752,-0.99768,0.05768,0.0119
1581655293.556837,0.03162,-0.01746,-0.99768,0.05768,0.0119
1581655293.561455,0.03162,-0.01740,-0.99768,0.05768,0.0119
1581655293.567606,0.03162,-0.01733,-0.99768,0.05768,0.0119
1581655293.572536,0.03156,-0.01727,-0.99768,0.05768,0.0119
1581655293.578688,0.03156,-0.01727,-0.99768,0.05768,0.0119
1581655293.589636,0.03156,-0.01721,-0.99768,0.05768,0.0119
1581655293.589756,0.03156,-0.01715,-0.99768,0.05768,0.0119
1581655293.594441,0.03149,-0.01709,-0.99768,0.05768,0.0119
1581655293.600159,0.03149,-0.01703,-0.99768,0.05768,0.0119
1581655293.605392,0.03149,-0.01697,-0.99768,0.05768,0.0119
1581655293.612092,0.03143,-0.01691,-0.99768,0.05768,0.0119
1581655293.6175182,0.03137,-0.01672,-0.99768,0.05768,0.0119
1581655293.6225972,0.03137,-0.01666,-0.99768,0.05768,0.0119
1581655293.628224,0.03131,-0.01660,-0.99768,0.05762,0.0119
1581655293.635135,0.03125,-0.01654,-0.99768,0.05762,0.0119
1581655293.6396859,0.03125,-0.01648,-0.99774,0.05762,0.0119
1581655293.64472,0.03119,-0.01642,-0.99774,0.05762,0.0119
1581655293.65091,0.03119,-0.01636,-0.99774,0.05762,0.0119
1581655293.655243,0.03113,-0.01630,-0.99774,0.05762,0.0119
1581655293.661078,0.03119,-0.01624,-0.99774,0.05756,0.0119
1581655293.666782,0.03119,-0.01611,-0.99774,0.05756,0.0119
1581655293.6724129,0.03119,-0.01605,-0.99774,0.05756,0.0119
1581655293.6777432,0.03125,-0.01593,-0.99774,0.05750,0.0119
1581655293.683535,0.03125,-0.01587,-0.99774,0.05750,0.0119
1581655293.6907158,0.03131,-0.01575,-0.99774,0.05750,0.0119
1581655293.6951628,0.03131,-0.01569,-0.99774,0.05743,0.0119
1581655293.7001028,0.03131,-0.01556,-0.99774,0.05743,0.0119
1581655293.705028,0.03131,-0.01544,-0.99774,0.05743,0.0119
1581655293.710326,0.03131,-0.01532,-0.99774,0.05737,0.0119
1581655293.716286,0.03131,-0.01520,-0.99774,0.05737,0.0119
1581655293.7215931,0.03131,-0.01495,-0.99774,0.05731,0.0119
1581655293.727645,0.03125,-0.01483,-0.99774,0.05725,0.0119
1581655293.7330801,0.03125,-0.01471,-0.99774,0.05725,0.0119
1581655293.738824,0.03125,-0.01459,-0.99774,0.05719,0.0119
1581655293.7439868,0.03119,-0.01447,-0.99780,0.05713,0.0119
1581655293.749805,0.03119,-0.01434,-0.99780,0.05707,0.0119
1581655293.7566578,0.03119,-0.01422,-0.99780,0.05701,0.0119
1581655293.760473,0.03113,-0.01404,-0.99780,0.05695,0.0119
1581655293.765862,0.03107,-0.01392,-0.99780,0.05688,0.0119
1581655293.771751,0.03107,-0.01385,-0.99780,0.05682,0.0119
1581655293.777428,0.03101,-0.01373,-0.99780,0.05676,0.0119
1581655293.78332,0.03101,-0.01367,-0.99780,0.05676,0.0119
1581655293.788361,0.03094,-0.01355,-0.99780,0.05670,0.0119
1581655293.794042,0.03088,-0.01349,-0.99780,0.05670,0.0119
1581655293.799745,0.03088,-0.01337,-0.99780,0.05670,0.0119
1581655293.804767,0.03082,-0.01331,-0.99780,0.05664,0.0119
1581655293.810101,0.03076,-0.01324,-0.99780,0.05664,0.0119
1581655293.816541,0.03070,-0.01312,-0.99786,0.05664,0.0119
1581655293.821703,0.03064,-0.01300,-0.99786,0.05664,0.0119
1581655293.8285172,0.03058,-0.01294,-0.99786,0.05664,0.0119
1581655293.833308,0.03052,-0.01282,-0.99786,0.05658,0.0119
1581655293.8388312,0.03046,-0.01276,-0.99786,0.05658,0.0119
1581655293.845819,0.03046,-0.01270,-0.99786,0.05658,0.0119
1581655293.84949,0.03040,-0.01257,-0.99786,0.05658,0.0119
1581655293.856181,0.03033,-0.01251,-0.99786,0.05658,0.0119
1581655293.862342,0.03033,-0.01239,-0.99786,0.05652,0.0119
1581655293.867091,0.03021,-0.01215,-0.99786,0.05652,0.0119
1581655293.8728802,0.03015,-0.01202,-0.99786,0.05658,0.0119
1581655293.878376,0.03009,-0.01190,-0.99786,0.05658,0.0119
1581655293.8834848,0.03003,-0.01172,-0.99786,0.05658,0.0119
1581655293.892575,0.02991,-0.01160,-0.99786,0.05658,0.0119
1581655293.896411,0.02985,-0.01141,-0.99786,0.05664,0.0119
1581655293.900233,0.02972,-0.01123,-0.99786,0.05664,0.0119
1581655293.90703,0.02966,-0.01111,-0.99786,0.05670,0.0119
1581655293.910738,0.02954,-0.01093,-0.99786,0.05676,0.0119
1581655293.916147,0.02930,-0.01056,-0.99792,0.05688,0.0119
1581655293.92164,0.02917,-0.01031,-0.99792,0.05695,0.0119
1581655293.9270048,0.02905,-0.01013,-0.99792,0.05707,0.0119
1581655293.933059,0.02893,-0.00995,-0.99792,0.05719,0.0119
1581655293.939598,0.02875,-0.00977,-0.99792,0.05731,0.0119
1581655293.946906,0.02863,-0.00952,-0.99786,0.05750,0.0119
1581655293.949994,0.02844,-0.00928,-0.99786,0.05774,0.0119
1581655293.954728,0.02826,-0.00897,-0.99786,0.05798,0.0119
1581655293.960646,0.02808,-0.00873,-0.99786,0.05829,0.0119
1581655293.965984,0.02795,-0.00842,-0.99786,0.05859,0.0119
1581655293.971984,0.02759,-0.00781,-0.99780,0.05939,0.0119
1581655293.9780438,0.02740,-0.00745,-0.99780,0.05981,0.0119
1581655293.982773,0.02728,-0.00714,-0.99780,0.06024,0.0119
1581655293.988937,0.02710,-0.00684,-0.99774,0.06079,0.0119
1581655293.9955451,0.02692,-0.00647,-0.99774,0.06134,0.0119
1581655293.999171,0.02673,-0.00616,-0.99768,0.06201,0.0119
1581655294.005182,0.02661,-0.00586,-0.99768,0.06262,0.0119
1581655294.011723,0.02625,-0.00519,-0.99756,0.06421,0.0119
1581655294.0166368,0.02612,-0.00488,-0.99756,0.06506,0.0119
1581655294.021015,0.02600,-0.00458,-0.99750,0.06580,0.0119
1581655294.027086,0.02588,-0.00427,-0.99744,0.06683,0.0119
1581655294.033772,0.02582,-0.00403,-0.99738,0.06775,0.0120
1581655294.039992,0.02570,-0.00378,-0.99731,0.06866,0.0120
1581655294.044087,0.02563,-0.00348,-0.99725,0.06964,0.0120
1581655294.0500329,0.02557,-0.00323,-0.99713,0.07080,0.0120
1581655294.056125,0.02545,-0.00299,-0.99707,0.07184,0.0120
1581655294.061188,0.02539,-0.00275,-0.99701,0.07294,0.0120
1581655294.065619,0.02521,-0.00226,-0.99683,0.07507,0.0120
1581655294.071893,0.02515,-0.00201,-0.99677,0.07617,0.0120
1581655294.077657,0.02502,-0.00177,-0.99670,0.07721,0.0120
1581655294.083123,0.02496,-0.00153,-0.99664,0.07831,0.0120
1581655294.0890272,0.02484,-0.00128,-0.99652,0.07935,0.0120
1581655294.096441,0.02472,-0.00110,-0.99646,0.08038,0.0120
1581655294.0994701,0.02460,-0.00085,-0.99640,0.08142,0.0120
1581655294.104547,0.02448,-0.00067,-0.99628,0.08240,0.0120
1581655294.112267,0.02435,-0.00043,-0.99622,0.08350,0.0120
1581655294.117046,0.02405,-0.00012,-0.99603,0.08545,0.0120
1581655294.120888,0.02393,0.00006,-0.99597,0.08630,0.0120
1581655294.126632,0.02374,0.00018,-0.99591,0.08728,0.0120
1581655294.1325362,0.02362,0.00031,-0.99585,0.08807,0.0120
1581655294.138726,0.02350,0.00043,-0.99573,0.08899,0.0120
1581655294.1436641,0.02338,0.00055,-0.99567,0.08972,0.0120
1581655294.149732,0.02325,0.00061,-0.99561,0.09052,0.0120
1581655294.155255,0.02313,0.00067,-0.99554,0.09137,0.0120
1581655294.1600351,0.02301,0.00073,-0.99548,0.09210,0.0120
1581655294.165486,0.02289,0.00079,-0.99542,0.09277,0.0120
1581655294.171347,0.02271,0.00092,-0.99530,0.09399,0.0120
1581655294.176367,0.02258,0.00098,-0.99524,0.09454,0.0120
1581655294.181782,0.02252,0.00104,-0.99524,0.09509,0.0120
1581655294.1879191,0.02240,0.00110,-0.99518,0.09558,0.0120
1581655294.1937852,0.02228,0.00116,-0.99512,0.09613,0.0120
1581655294.199796,0.02216,0.00116,-0.99506,0.09656,0.0120
1581655294.204005,0.02209,0.00122,-0.99506,0.09698,0.0120
1581655294.2100348,0.02197,0.00128,-0.99500,0.09741,0.0120
1581655294.2149508,0.02185,0.00128,-0.99500,0.09778,0.0120
1581655294.220633,0.02173,0.00134,-0.99493,0.09808,0.0120
1581655294.22627,0.02155,0.00134,-0.99487,0.09875,0.0120
1581655294.2328699,0.02142,0.00140,-0.99487,0.09900,0.0120
1581655294.23939,0.02130,0.00140,-0.99481,0.09924,0.0120
1581655294.243548,0.02124,0.00140,-0.99481,0.09943,0.0120
1581655294.249415,0.02112,0.00134,-0.99481,0.09961,0.0120
1581655294.253997,0.02100,0.00134,-0.99481,0.09979,0.0120
1581655294.259302,0.02087,0.00134,-0.99475,0.09998,0.0120
1581655294.2644632,0.02081,0.00128,-0.99475,0.10010,0.0120
1581655294.270889,0.02069,0.00122,-0.99475,0.10022,0.0120
1581655294.277245,0.02057,0.00116,-0.99475,0.10040,0.0120
1581655294.283838,0.02045,0.00110,-0.99475,0.10046,0.0120
1581655294.28687,0.02039,0.00104,-0.99475,0.10046,0.0120
1581655294.292635,0.02032,0.00098,-0.99475,0.10052,0.0120
1581655294.3001258,0.02020,0.00092,-0.99475,0.10052,0.0120
1581655294.303773,0.02014,0.00085,-0.99475,0.10052,0.0120
1581655294.310003,0.02008,0.00079,-0.99475,0.10052,0.0120
1581655294.322981,0.02002,0.00073,-0.99475,0.10052,0.0120
1581655294.322997,0.01990,0.00067,-0.99475,0.10052,0.0120
1581655294.325381,0.01990,0.00061,-0.99475,0.10052,0.0120
1581655294.330925,0.01978,0.00049,-0.99475,0.10052,0.0120
1581655294.339915,0.01978,0.00043,-0.99475,0.10052,0.0120
1581655294.345145,0.01971,0.00037,-0.99475,0.10052,0.0120
1581655294.3472881,0.01971,0.00031,-0.99475,0.10052,0.0120
1581655294.355711,0.01971,0.00024,-0.99475,0.10052,0.0120
1581655294.358378,0.01971,0.00024,-0.99475,0.10059,0.0120
1581655294.364047,0.01965,0.00018,-0.99475,0.10059,0.0120
1581655294.372032,0.01965,0.00012,-0.99475,0.10065,0.0120
1581655294.376502,0.01965,0.00012,-0.99475,0.10071,0.0120
1581655294.381171,0.01971,0.00006,-0.99469,0.10077,0.0120
1581655294.386235,0.01971,0.00000,-0.99469,0.10083,0.0120
1581655294.394878,0.01971,-0.00006,-0.99469,0.10095,0.0120
1581655294.3975601,0.01971,-0.00006,-0.99469,0.10101,0.0120
1581655294.4034162,0.01971,-0.00012,-0.99469,0.10107,0.0120
1581655294.4097211,0.01971,-0.00012,-0.99469,0.10114,0.0120
1581655294.414067,0.01971,-0.00018,-0.99469,0.10120,0.0120
1581655294.421231,0.01978,-0.00018,-0.99469,0.10132,0.0120
1581655294.4289541,0.01978,-0.00024,-0.99463,0.10138,0.0120
1581655294.4309871,0.01984,-0.00031,-0.99463,0.10144,0.0120
1581655294.436092,0.01990,-0.00037,-0.99463,0.10162,0.0120
