eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581665648.519383,"{'circle_3d': {'center': [-1.3931661693262671, 4.803110923061777, 78.50223125903426], 'normal': [-0.14089913192275144, 0.5969438846387511, -0.7898135433226076], 'radius': 2.286845795340102}, 'confidence': 0.9997497741669695, 'timestamp': 7608.071827, 'diameter_3d': 4.573691590680204, 'ellipse': {'center': [149.05201803985707, 157.69829348558025], 'axes': [27.128852048916304, 36.12832588735784], 'angle': -76.52464841582362}, 'location': [149.05201803985707, 157.69829348558025], 'diameter': 36.12832588735784, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9026643898286002, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2104827390941595, 'phi': -1.7473346243016143, 'norm_pos': [0.4657875563745534, 0.3429237771434156], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.5291169,"{'circle_3d': {'center': [-1.3930389907121725, 4.803504828189617, 78.5025062988758], 'normal': [-0.14088853370491022, 0.5969767100660711, -0.7897906233358121], 'radius': 2.283587752376939}, 'confidence': 0.999873334769064, 'timestamp': 7608.080227, 'diameter_3d': 4.567175504753878, 'ellipse': {'center': [149.05289773678265, 157.7019411700859], 'axes': [27.089095578955725, 36.07671189941851], 'angle': -76.52638653175141}, 'location': [149.05289773678265, 157.7019411700859], 'diameter': 36.07671189941851, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9034340069390079, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.210523654740312, 'phi': -1.7473266365716709, 'norm_pos': [0.4657903054274458, 0.3429085784579755], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.5356958,"{'circle_3d': {'center': [-1.4105863198389594, 4.793334140170371, 78.49797161609092], 'normal': [-0.14235081113214246, 0.596129152731134, -0.7901685135678853], 'radius': 2.31041044165386}, 'confidence': 0.9995381756091865, 'timestamp': 7608.088627, 'diameter_3d': 4.62082088330772, 'ellipse': {'center': [148.91558196864372, 157.61840426779366], 'axes': [27.425368420777634, 36.502709028739396], 'angle': -76.37004684246739}, 'location': [148.91558196864372, 157.61840426779366], 'diameter': 36.502709028739396, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9045286898647809, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2094676054295923, 'phi': -1.7490369481846968, 'norm_pos': [0.4653611936520116, 0.34325664888419305], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.543275,"{'circle_3d': {'center': [-1.4118822478498554, 4.822035560647436, 78.51992732416284], 'normal': [-0.14245880513305045, 0.5985209377708893, -0.7883388712285592], 'radius': 2.32137089796786}, 'confidence': 0.9994389163519294, 'timestamp': 7608.097027, 'diameter_3d': 4.64274179593572, 'ellipse': {'center': [148.90884748838292, 157.83202809979414], 'axes': [27.467688560724046, 36.66571783969316], 'angle': -76.4146922951272}, 'location': [148.90884748838292, 157.83202809979414], 'diameter': 36.66571783969316, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.905266224899981, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.212449886789059, 'phi': -1.7495745487268166, 'norm_pos': [0.46534014840119664, 0.3423665495841911], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.5521028,"{'circle_3d': {'center': [-1.4145660277946785, 4.823444870152059, 78.52148289000827], 'normal': [-0.14268245346178574, 0.598638380229608, -0.7882092407414395], 'radius': 2.3205727822229143}, 'confidence': 0.9880320226797142, 'timestamp': 7608.105427, 'diameter_3d': 4.641145564445829, 'ellipse': {'center': [148.88791238176114, 157.8425805515549], 'axes': [27.45199054381773, 36.65238541564696], 'angle': -76.39650369431762}, 'location': [148.88791238176114, 157.8425805515549], 'diameter': 36.65238541564696, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9061502943212285, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2125964950043127, 'phi': -1.7498780814594619, 'norm_pos': [0.4652747261930036, 0.34232258103518787], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.559909,"{'circle_3d': {'center': [-1.4206589574458823, 4.7926432821702285, 78.49927048477596], 'normal': [-0.14319019759938603, 0.5960715812311221, -0.7900602745107987], 'radius': 2.3240347151172815}, 'confidence': 0.999820017770563, 'timestamp': 7608.113827, 'diameter_3d': 4.648069430234563, 'ellipse': {'center': [148.83720555622926, 157.6095441123881], 'axes': [27.581885525092346, 36.71743205190159], 'angle': -76.29010340245239}, 'location': [148.83720555622926, 157.6095441123881], 'diameter': 36.71743205190159, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9068840067521622, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.209395901869782, 'phi': -1.7500896895054754, 'norm_pos': [0.46511626736321643, 0.3432935661983829], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.5672052,"{'circle_3d': {'center': [-1.4074565326942632, 4.8027603315201794, 78.5045266741092], 'normal': [-0.1420899955367511, 0.5969146686769513, -0.7896222587330296], 'radius': 2.3158157321260893}, 'confidence': 0.9998115464877748, 'timestamp': 7608.122227, 'diameter_3d': 4.6316314642521785, 'ellipse': {'center': [148.94133379244786, 157.6884924921893], 'axes': [27.4634308664503, 36.58509178534617], 'angle': -76.41247452945788}, 'location': [148.94133379244786, 157.6884924921893], 'diameter': 36.58509178534617, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9075455251790432, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.210446323557109, 'phi': -1.7488377302927438, 'norm_pos': [0.4654416681013996, 0.3429646146158779], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.575155,"{'circle_3d': {'center': [-1.4208509325353507, 4.803419010937086, 78.5074448212383], 'normal': [-0.1432061955235084, 0.5969695586283602, -0.789379079805605], 'radius': 2.3260284811822816}, 'confidence': 0.9994137920953676, 'timestamp': 7608.130627, 'diameter_3d': 4.652056962364563, 'ellipse': {'center': [148.83688807044047, 157.69023256398137], 'axes': [27.572779202029423, 36.74513065745745], 'angle': -76.30931961067752}, 'location': [148.83688807044047, 157.69023256398137], 'diameter': 36.74513065745745, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9080943051454016, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2105147406391845, 'phi': -1.7502607328066542, 'norm_pos': [0.46511527522012647, 0.3429573643167443], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.583406,"{'circle_3d': {'center': [-1.4295141223342323, 4.805958711923882, 78.51094206633367], 'normal': [-0.14392812800674853, 0.59718120037726, -0.7890876427143235], 'radius': 2.3211538366070377}, 'confidence': 0.9997275329162914, 'timestamp': 7608.139027, 'diameter_3d': 4.642307673214075, 'ellipse': {'center': [148.76898674027666, 157.70966740974848], 'axes': [27.500870496508913, 36.66647552971823], 'angle': -76.24673718652166}, 'location': [148.76898674027666, 157.70966740974848], 'diameter': 36.66647552971823, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9086177222580871, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.210778572192822, 'phi': -1.7512111806214519, 'norm_pos': [0.46490308356336457, 0.34287638579271473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.5914419,"{'circle_3d': {'center': [-1.4129342003298044, 4.8004043918210115, 78.5037333004539], 'normal': [-0.1425464678397129, 0.5967183403686873, -0.7896883732043046], 'radius': 2.3165065738143946}, 'confidence': 0.9998215292941478, 'timestamp': 7608.147427, 'diameter_3d': 4.633013147628789, 'ellipse': {'center': [148.89818205344676, 157.67017298093015], 'axes': [27.47473939233963, 36.59638003057097], 'angle': -76.36525561393802}, 'location': [148.89818205344676, 157.67017298093015], 'diameter': 36.59638003057097, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9093553739182414, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2102016404155136, 'phi': -1.749382994395152, 'norm_pos': [0.46530681891702114, 0.3430409459127911], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.6029718,"{'circle_3d': {'center': [-1.4342116481858402, 4.796066801980238, 78.50432133965465], 'normal': [-0.14431958849438253, 0.596356874548623, -0.7896393699375749], 'radius': 2.3135873971390644}, 'confidence': 0.999834082245417, 'timestamp': 7608.155827, 'diameter_3d': 4.627174794278129, 'ellipse': {'center': [148.7307736619754, 157.6364064168534], 'axes': [27.437518590144578, 36.54998423315009], 'angle': -76.19104318216895}, 'location': [148.7307736619754, 157.6364064168534], 'diameter': 36.54998423315009, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9101390198971049, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.209751263481132, 'phi': -1.751567601746665, 'norm_pos': [0.46478366769367313, 0.34318163992977757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.61057,"{'circle_3d': {'center': [-1.4263646015456775, 4.794879102476784, 78.50199378963846], 'normal': [-0.14366566794103564, 0.5962578995900017, -0.7898333324389238], 'radius': 2.307035861930791}, 'confidence': 0.9998427138325346, 'timestamp': 7608.161647, 'diameter_3d': 4.614071723861582, 'ellipse': {'center': [148.7918513538844, 157.62946715205283], 'axes': [27.369114838458703, 36.447522536943396], 'angle': -76.2499115370478}, 'location': [148.7918513538844, 157.62946715205283], 'diameter': 36.447522536943396, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9107929958021121, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.209627969559446, 'phi': -1.7507228790768201, 'norm_pos': [0.46497453548088874, 0.34321055353311325], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.619277,"{'circle_3d': {'center': [-1.4376565758555917, 4.777089975614148, 78.49064864048226], 'normal': [-0.14460666580019516, 0.5947754723514488, -0.790778761535274], 'radius': 2.3022502094946447}, 'confidence': 0.9994199529009952, 'timestamp': 7608.170047, 'diameter_3d': 4.604500418989289, 'ellipse': {'center': [148.70126170604573, 157.4955824653615], 'axes': [27.357226574427507, 36.37713448603784], 'angle': -76.12728467995466}, 'location': [148.70126170604573, 157.4955824653615], 'diameter': 36.37713448603784, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9112633516822788, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2077826458194676, 'phi': -1.7516640701382278, 'norm_pos': [0.4646914428313929, 0.34376840639432704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.62665,"{'circle_3d': {'center': [-1.414236879519011, 4.784079822481635, 78.49165483420727], 'normal': [-0.14265502443881342, 0.595357959590406, -0.7906949120581906], 'radius': 2.325813028469764}, 'confidence': 0.9995678039632769, 'timestamp': 7608.178447, 'diameter_3d': 4.651626056939528, 'ellipse': {'center': [148.88678940343212, 157.5452014129084], 'axes': [27.633622486641706, 36.74908530964978], 'angle': -76.32377478850738}, 'location': [148.88678940343212, 157.5452014129084], 'diameter': 36.74908530964978, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9121096604693402, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2085074242767955, 'phi': -1.7492934189172131, 'norm_pos': [0.46527121688572537, 0.3435616607795483], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.636369,"{'circle_3d': {'center': [-1.4268052005732559, 4.799622647748306, 78.50565681560587], 'normal': [-0.14370238452666717, 0.5966531950292953, -0.7895280802749726], 'radius': 2.3091967383130663}, 'confidence': 0.9998875259001346, 'timestamp': 7608.186847, 'diameter_3d': 4.6183934766261325, 'ellipse': {'center': [148.78898547387763, 157.66469254388872], 'axes': [27.380178438989656, 36.479976618002766], 'angle': -76.25562523595701}, 'location': [148.78898547387763, 157.66469254388872], 'diameter': 36.479976618002766, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9126465567244502, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2101204598915003, 'phi': -1.7508359645115112, 'norm_pos': [0.4649655796058676, 0.3430637810671303], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.6446688,"{'circle_3d': {'center': [-1.4322882904239211, 4.7835883954994145, 78.49455922657316], 'normal': [-0.14415930868088928, 0.5953170073418876, -0.7904528793610325], 'radius': 2.3082278001305774}, 'confidence': 0.9999331634594585, 'timestamp': 7608.195247, 'diameter_3d': 4.616455600261155, 'ellipse': {'center': [148.74431615923402, 157.543720233682], 'axes': [27.412792882327967, 36.46980265083087], 'angle': -76.18184354104423}, 'location': [148.74431615923402, 157.543720233682], 'diameter': 36.46980265083087, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9134148209341331, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2084564554099293, 'phi': -1.7511893428164698, 'norm_pos': [0.4648259879976063, 0.3435678323596584], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665648.652035,"{'circle_3d': {'center': [-1.4079847663315503, 4.803448836863664, 78.50514226316622], 'normal': [-0.14213401500652503, 0.5969720441222418, -0.7895709596449437], 'radius': 2.3211581559391803}, 'confidence': 0.9993056296209306, 'timestamp': 7608.203647, 'diameter_3d': 4.642316311878361, 'ellipse': {'center': [148.93752402207085, 157.6925148243636], 'axes': [27.524359666599327, 36.66923258531422], 'angle': -76.40966674573089}, 'location': [148.93752402207085, 157.6925148243636], 'diameter': 36.66923258531422, 'sphere': {'center': [0.2976234137467502, -2.3602156926032367, 87.97999377890555], 'radius': 12.0}, 'projected_sphere': {'center': [162.0973690562732, 103.36742631408481], 'axes': [169.12935953818732, 169.12935953818732], 'angle': 90.0}, 'model_confidence': 0.9140437672777724, 'model_id': 24, 'model_birth_timestamp': 7491.093427, 'theta': 2.2105178387429176, 'phi': -1.7489030565986157, 'norm_pos': [0.4654297625689714, 0.342947854898485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
