eye_packets,34
norm_X,norm_Y,phi,theta,confidence,timestamp
1581665283.868958,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 7239.217771, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8782908538302547, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.700306,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 7245.277708, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8782908538302547, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.71565,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 7245.297768, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8782908538302547, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.725547,"{'circle_3d': {'center': [-1.9316716875447448, 4.671024326665465, 76.94077155026486], 'normal': [-0.1265775619679381, 0.6562808757565035, -0.7438235899207081], 'radius': 2.037556391511168}, 'confidence': 0.9967146751169209, 'timestamp': 7245.317827, 'diameter_3d': 4.075112783022336, 'ellipse': {'center': [144.47037929319444, 157.43927233833966], 'axes': [23.018342036165805, 32.845496052221556], 'angle': -78.38941729609216}, 'location': [144.47037929319444, 157.43927233833966], 'diameter': 32.845496052221556, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8782231880115177, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2866753075299022, 'phi': -1.7393531437071583, 'norm_pos': [0.45146993529123264, 0.3440030319235847], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.752564,"{'circle_3d': {'center': [-1.940660080247659, 4.6696873490865, 76.94112612632257], 'normal': [-0.12732659469318094, 0.6561694609582563, -0.7437940419158988], 'radius': 2.0648572509564933}, 'confidence': 0.9555965491431295, 'timestamp': 7245.326227, 'diameter_3d': 4.129714501912987, 'ellipse': {'center': [144.39921808552887, 157.42295925453774], 'axes': [23.325345666949904, 33.28559219508151], 'angle': -78.3222726329412}, 'location': [144.39921808552887, 157.42295925453774], 'diameter': 33.28559219508151, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8782909768714764, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2865276532124246, 'phi': -1.740338249829952, 'norm_pos': [0.4512475565172777, 0.34407100310609273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.756502,"{'circle_3d': {'center': [-1.93300147971825, 4.6710360053752815, 76.94100824938116], 'normal': [-0.12668837798239685, 0.6562818489823216, -0.7438038649943509], 'radius': 2.0397724077658093}, 'confidence': 0.9966886445569569, 'timestamp': 7245.334627, 'diameter_3d': 4.0795448155316185, 'ellipse': {'center': [144.45982102972152, 157.438821431003], 'axes': [23.042507065774934, 32.881131138393854], 'angle': -78.37981425196755}, 'location': [144.45982102972152, 157.438821431003], 'diameter': 32.881131138393854, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.878121751972516, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2866765973971734, 'phi': -1.7395023182702596, 'norm_pos': [0.45143694071787976, 0.3440049107041542], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.760353,"{'circle_3d': {'center': [-1.9289742502084133, 4.684738597076679, 76.95243128103667], 'normal': [-0.12635277552324378, 0.6574237316241047, -0.7428519456897249], 'radius': 2.0628621272075898}, 'confidence': 0.9982742182830755, 'timestamp': 7245.343027, 'diameter_3d': 4.1257242544151795, 'ellipse': {'center': [144.4952239012194, 157.53909136713975], 'axes': [23.262945974814343, 33.2485224524347], 'angle': -78.43047756531996}, 'location': [144.4952239012194, 157.53909136713975], 'diameter': 33.2485224524347, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8781840346043124, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2881909932423987, 'phi': -1.7392753782490142, 'norm_pos': [0.45154757469131057, 0.34358711930358443], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.763999,"{'circle_3d': {'center': [-1.9354639384164476, 4.697650778963858, 76.96498294897948], 'normal': [-0.1268935828739133, 0.6584997467813696, -0.7418059733611568], 'radius': 2.080652115924149}, 'confidence': 0.9982732549975427, 'timestamp': 7245.351427, 'diameter_3d': 4.161304231848298, 'ellipse': {'center': [144.44619392765213, 157.63348342312264], 'axes': [23.418338613638213, 33.52990424543978], 'angle': -78.40390087121006}, 'location': [144.44619392765213, 157.63348342312264], 'diameter': 33.52990424543978, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8781138019828161, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.289619867176625, 'phi': -1.7402168610888435, 'norm_pos': [0.4513943560239129, 0.3431938190703223], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.768884,"{'circle_3d': {'center': [-1.961821973009882, 4.698190354204463, 76.97001120312301], 'normal': [-0.12909008575669953, 0.6585447113847533, -0.7413869521825291], 'radius': 2.0932104981619495}, 'confidence': 0.9983530871010726, 'timestamp': 7245.359827, 'diameter_3d': 4.186420996323899, 'ellipse': {'center': [144.23599098690676, 157.63298343214547], 'axes': [23.54057610482433, 33.7302037394645], 'angle': -78.21487026694307}, 'location': [144.23599098690676, 157.63298343214547], 'diameter': 33.7302037394645, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8779751482645315, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.289679615937095, 'phi': -1.7431877396456104, 'norm_pos': [0.45073747183408364, 0.34319590236606057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.7771819,"{'circle_3d': {'center': [-1.9598816099280096, 4.70150807933056, 76.97262156485428], 'normal': [-0.12892838883321014, 0.6588211884785947, -0.7411694220382573], 'radius': 2.078735580703277}, 'confidence': 0.9970000507849175, 'timestamp': 7245.368227, 'diameter_3d': 4.157471161406554, 'ellipse': {'center': [144.25155561669987, 157.66134090479173], 'axes': [23.368390693276794, 33.495739116096026], 'angle': -78.23412218794834}, 'location': [144.25155561669987, 157.66134090479173], 'diameter': 33.495739116096026, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8775003780603807, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.290047066131843, 'phi': -1.743025589760316, 'norm_pos': [0.4507861113021871, 0.3430777462300345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.785235,"{'circle_3d': {'center': [-1.9485424227861028, 4.698507522539144, 76.96799084559433], 'normal': [-0.12798345657138457, 0.65857114207931, -0.7415553153099191], 'radius': 2.1032807054773026}, 'confidence': 0.9980461461725895, 'timestamp': 7245.376627, 'diameter_3d': 4.206561410954605, 'ellipse': {'center': [144.34259046007355, 157.6344151986172], 'axes': [23.661763409874446, 33.89339201548799], 'angle': -78.31099284237212}, 'location': [144.34259046007355, 157.6344151986172], 'diameter': 33.89339201548799, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8773781537906866, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2897147383817136, 'phi': -1.741700590442798, 'norm_pos': [0.45107059518772985, 0.34318993667242836], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
