eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581666388.533213,"{'circle_3d': {'center': [-1.3445217762872321, 4.8053170783576284, 81.06954749000298], 'normal': [-0.11239467149329853, 0.5080795663729241, -0.8539453097559673], 'radius': 2.188230605285152}, 'confidence': 0.9935294667831033, 'timestamp': 8348.081886, 'diameter_3d': 4.376461210570304, 'ellipse': {'center': [149.7587619833681, 156.56111269069532], 'axes': [27.51655990217462, 33.4735637843203], 'angle': -77.26990991064552}, 'location': [149.7587619833681, 156.56111269069532], 'diameter': 33.4735637843203, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.19396556962040234, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1037499813423097, 'phi': -1.7016622231719487, 'norm_pos': [0.4679961311980253, 0.3476620304554362], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.542536,"{'circle_3d': {'center': [-1.3612782213336927, 4.801399760518214, 81.06943666907908], 'normal': [-0.11379104191383692, 0.5077531232196395, -0.8539545448329583], 'radius': 2.200759129151742}, 'confidence': 0.9912163760163575, 'timestamp': 8348.090286, 'diameter_3d': 4.401518258303484, 'ellipse': {'center': [149.63159340155764, 156.52915431000582], 'axes': [27.67441581784764, 33.665301847208326], 'angle': -77.10877334892739}, 'location': [149.63159340155764, 156.52915431000582], 'diameter': 33.665301847208326, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.1930642422092954, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1033710160164016, 'phi': -1.703267820053485, 'norm_pos': [0.46759872937986763, 0.34779519037497575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.548967,"{'circle_3d': {'center': [-1.365634349519338, 4.7993748816357265, 81.06881430272907], 'normal': [-0.11415405259597401, 0.5075843833127656, -0.8540064086954589], 'radius': 2.190307829977527}, 'confidence': 0.9918287692804404, 'timestamp': 8348.098686, 'diameter_3d': 4.380615659955054, 'ellipse': {'center': [149.59793513295446, 156.5158038038665], 'axes': [27.545227660887132, 33.505652583093365], 'angle': -77.06475578512872}, 'location': [149.59793513295446, 156.5158038038665], 'diameter': 33.505652583093365, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.19191300663207178, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.103175160350625, 'phi': -1.7036774984642535, 'norm_pos': [0.4674935472904827, 0.3478508174838896], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.557128,"{'circle_3d': {'center': [-1.4501207556848659, 5.005437338830714, 81.20591918029136], 'normal': [-0.12119458644310134, 0.5247562547456812, -0.8425810022319347], 'radius': 2.1761488959348614}, 'confidence': 0.6972663225838478, 'timestamp': 8348.107086, 'diameter_3d': 4.352297791869723, 'ellipse': {'center': [148.97162546073224, 158.0271292820595], 'axes': [26.857189916931823, 33.233042524085555], 'angle': -76.74162998838356}, 'location': [148.97162546073224, 158.0271292820595], 'diameter': 33.233042524085555, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.18990641607058434, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1232250774264614, 'phi': -1.7136538149994593, 'norm_pos': [0.46553632956478824, 0.34155362799141875], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.567138,"{'circle_3d': {'center': [-1.364254550810196, 4.810510383783443, 81.07525649394891], 'normal': [-0.11403906937021219, 0.5085123418250753, -0.8534695594271383], 'radius': 2.202694292646564}, 'confidence': 0.9916992966600519, 'timestamp': 8348.115486, 'diameter_3d': 4.405388585293128, 'ellipse': {'center': [149.60970936255302, 156.59573288527093], 'axes': [27.67680142293874, 33.692501511596404], 'angle': -77.10083457438284}, 'location': [149.60970936255302, 156.59573288527093], 'diameter': 33.692501511596404, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.1888638003834764, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1042525176611773, 'phi': -1.7036277430201465, 'norm_pos': [0.4675303417579782, 0.3475177796447044], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.573587,"{'circle_3d': {'center': [-1.3605770186072375, 4.812490466076825, 81.07594575180946], 'normal': [-0.11373260835329899, 0.5086773486828571, -0.8534121212720933], 'radius': 2.1875930807363404}, 'confidence': 0.992977044653037, 'timestamp': 8348.123886, 'diameter_3d': 4.375186161472681, 'ellipse': {'center': [149.6372234998528, 156.61313476576998], 'axes': [27.484437577975804, 33.46118262810153], 'angle': -77.13849825460514}, 'location': [149.6372234998528, 156.61313476576998], 'diameter': 33.46118262810153, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.18835119261353395, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1044441619281318, 'phi': -1.7032837605523083, 'norm_pos': [0.46761632343704, 0.34744527180929174], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.582272,"{'circle_3d': {'center': [-1.35447789809155, 4.816869284880461, 81.07774584454151], 'normal': [-0.11322434831032502, 0.5090422502498267, -0.8532621135444226], 'radius': 2.1933657150119217}, 'confidence': 0.9924340019190567, 'timestamp': 8348.132286, 'diameter_3d': 4.386731430023843, 'ellipse': {'center': [149.68411605995917, 156.64472011702813], 'axes': [27.550300658318363, 33.548754223899614], 'angle': -77.20321464975895}, 'location': [149.68411605995917, 156.64472011702813], 'diameter': 33.548754223899614, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.18707625573201048, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1048680474171273, 'phi': -1.7027214665320878, 'norm_pos': [0.4677628626873724, 0.34731366617904946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.591286,"{'circle_3d': {'center': [-1.3637929674244322, 4.818996319946418, 81.08025563578538], 'normal': [-0.11400060408806521, 0.5092195031719898, -0.8530529642740996], 'radius': 2.1975022360325536}, 'confidence': 0.9918847935131274, 'timestamp': 8348.140686, 'diameter_3d': 4.395004472065107, 'ellipse': {'center': [149.6136358639331, 156.6591321974171], 'axes': [27.592753906545383, 33.61100306301148], 'angle': -77.12288038458378}, 'location': [149.6136358639331, 156.6591321974171], 'diameter': 33.61100306301148, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.18631322345090684, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1050739904457902, 'phi': -1.7036475514972362, 'norm_pos': [0.4675426120747909, 0.3472536158440954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.597576,"{'circle_3d': {'center': [-1.3580830265364776, 4.820920717902677, 81.08064309507597], 'normal': [-0.11352477568073566, 0.5093798696683448, -0.8530206759998837], 'radius': 2.1892673450334548}, 'confidence': 0.9926235433153748, 'timestamp': 8348.149086, 'diameter_3d': 4.3785346900669095, 'ellipse': {'center': [149.65685480129017, 156.67504854150937], 'axes': [27.487918489476098, 33.48486377579856], 'angle': -77.17886291786633}, 'location': [149.65685480129017, 156.67504854150937], 'diameter': 33.48486377579856, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.1856261296607875, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1052603354412, 'phi': -1.7031044533800668, 'norm_pos': [0.46767767125403176, 0.34718729774371093], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.605471,"{'circle_3d': {'center': [-1.3469256009928372, 4.830493641710763, 81.084886094166], 'normal': [-0.11259499021876562, 0.5101776133190187, -0.8526670927423821], 'radius': 2.1925518481819672}, 'confidence': 0.9920155153432697, 'timestamp': 8348.157485, 'diameter_3d': 4.3851036963639345, 'ellipse': {'center': [149.742467156696, 156.7455725277255], 'axes': [27.5133777311921, 33.53335943272138], 'angle': -77.30025470707243}, 'location': [149.742467156696, 156.7455725277255], 'diameter': 33.53335943272138, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.18494912427927668, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.106187614954695, 'phi': -1.702087077230106, 'norm_pos': [0.46794520986467497, 0.34689344780114373], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666388.613287,"{'circle_3d': {'center': [-1.3658319966617583, 4.8294459599508475, 81.0867735243977], 'normal': [-0.11417052319117571, 0.5100903065056923, -0.8525098068897402], 'radius': 2.1812351336147486}, 'confidence': 0.9930899141779527, 'timestamp': 8348.165885, 'diameter_3d': 4.362470267229497, 'ellipse': {'center': [149.5982813298417, 156.73874093740932], 'axes': [27.364087065021508, 33.35947584200447], 'angle': -77.12626588760608}, 'location': [149.5982813298417, 156.73874093740932], 'diameter': 33.35947584200447, 'sphere': {'center': [0.0042142816323502644, -1.2916377181174603, 91.31689120707458], 'radius': 12.0}, 'projected_sphere': {'center': [160.0286130482271, 111.23036959923594], 'axes': [162.94904265036132, 162.94904265036132], 'angle': 90.0}, 'model_confidence': 0.1845288706536552, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1060861066128225, 'phi': -1.7039270109130553, 'norm_pos': [0.46749462915575535, 0.34692191276079454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
