eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581666710.427358,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8669.983133, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.435421,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8669.991533, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.4442592,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8669.999933, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.4523,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.008333, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.462707,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.016733, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.4698792,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.025133, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.479767,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.033533, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.486424,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.041933, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.494739,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.050333, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.5024178,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.058733, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.509892,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.067133, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
