eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582015042.482857,"{'circle_3d': {'center': [-0.7892535251955636, 1.3493288603454436, 16.497140391419155], 'normal': [-0.1417623568970365, 0.5744634091553336, -0.8061607939540529], 'radius': 0.45124501859002336}, 'confidence': 0.9997109180762398, 'timestamp': 7824.781674, 'diameter_3d': 0.9024900371800467, 'ellipse': {'center': [130.3833152391052, 170.5092491129013], 'axes': [25.51862510532254, 33.93193297558044], 'angle': -74.5609117162618}, 'location': [130.3833152391052, 170.5092491129013], 'diameter': 33.93193297558044, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9084294447751384, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.18274476985332, 'phi': -1.744865390546667, 'norm_pos': [0.40744786012220374, 0.2895447953629112], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.490633,"{'circle_3d': {'center': [-0.7932164876089159, 1.3478465968677806, 16.49678195676982], 'normal': [-0.14209260376481586, 0.5743398871988616, -0.8061906635081642], 'radius': 0.4464854288256064}, 'confidence': 0.9874826266796932, 'timestamp': 7824.790074, 'diameter_3d': 0.8929708576512128, 'ellipse': {'center': [130.23286798860403, 170.45888732364259], 'axes': [25.251119784559155, 33.57481330789317], 'angle': -74.5150183367838}, 'location': [130.23286798860403, 170.45888732364259], 'diameter': 33.57481330789317, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9085809642227272, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1825938708308876, 'phi': -1.7452563952842326, 'norm_pos': [0.4069777124643876, 0.2897546361514892], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.4997451,"{'circle_3d': {'center': [-0.7882172154121002, 1.3475451373150555, 16.49568742067339], 'normal': [-0.14167599774841455, 0.5743147655694679, -0.8062818748495332], 'radius': 0.4492317256434207}, 'confidence': 0.9943435724307699, 'timestamp': 7824.798474, 'diameter_3d': 0.8984634512868414, 'ellipse': {'center': [130.4192473333388, 170.44843324602618], 'axes': [25.41383546287942, 33.78345817069599], 'angle': -74.56597568353527}, 'location': [130.4192473333388, 170.44843324602618], 'diameter': 33.78345817069599, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.908710544494773, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182563183267824, 'phi': -1.744735876995592, 'norm_pos': [0.40756014791668377, 0.2897981948082242], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.506367,"{'circle_3d': {'center': [-0.7937274152935584, 1.348293365126361, 16.49719032421116], 'normal': [-0.1421351810718694, 0.5743771178870767, -0.8061566328880524], 'radius': 0.450714433806555}, 'confidence': 0.9949657642833639, 'timestamp': 7824.806874, 'diameter_3d': 0.90142886761311, 'ellipse': {'center': [130.21525469272936, 170.47067796858187], 'axes': [25.487820679251378, 33.89208318797923], 'angle': -74.51113054182744}, 'location': [130.21525469272936, 170.47067796858187], 'diameter': 33.89208318797923, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9087861188093016, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182639351544066, 'phi': -1.7453148346328147, 'norm_pos': [0.40692267091477924, 0.28970550846424226], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5146399,"{'circle_3d': {'center': [-0.7956873438666664, 1.34976165408251, 16.498582432105877], 'normal': [-0.14229850845296174, 0.574499475300089, -0.8060406238968261], 'radius': 0.44734867070197465}, 'confidence': 0.9995864578222469, 'timestamp': 7824.815274, 'diameter_3d': 0.8946973414039493, 'ellipse': {'center': [130.1434687348481, 170.5246110918822], 'axes': [25.28858304140647, 33.636139021036215], 'angle': -74.49552013872322}, 'location': [130.1434687348481, 170.5246110918822], 'diameter': 33.636139021036215, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9088743520082376, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1827888326131997, 'phi': -1.7455359567950672, 'norm_pos': [0.40669833979640035, 0.2894807871171575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.522642,"{'circle_3d': {'center': [-0.7927335190420125, 1.3485837794109532, 16.497222060490166], 'normal': [-0.14205235638424057, 0.5744013190774594, -0.8061539881981354], 'radius': 0.4482930579496524}, 'confidence': 0.9995901481995916, 'timestamp': 7824.823674, 'diameter_3d': 0.8965861158993048, 'ellipse': {'center': [130.2521584907502, 170.48364579038753], 'axes': [25.350729602581225, 33.709856133691545], 'angle': -74.52239361697781}, 'location': [130.2521584907502, 170.48364579038753], 'diameter': 33.709856133691545, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9089930030193427, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182668916304498, 'phi': -1.7452157508478012, 'norm_pos': [0.40703799528359436, 0.28965147587338536], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5308428,"{'circle_3d': {'center': [-0.7923536602408713, 1.346125944144526, 16.495404357803984], 'normal': [-0.14202070148414547, 0.5741964994719237, -0.806305463421984], 'radius': 0.44792900852997275}, 'confidence': 0.9997508380454961, 'timestamp': 7824.832074, 'diameter_3d': 0.8958580170599455, 'ellipse': {'center': [130.26309653342113, 170.3971335017825], 'axes': [25.341418104063333, 33.68619524462566], 'angle': -74.51844602986313}, 'location': [130.26309653342113, 170.3971335017825], 'diameter': 33.68619524462566, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9090572577995171, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.18241872307706, 'phi': -1.745145566592226, 'norm_pos': [0.40707217666694107, 0.290011943742573], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5388181,"{'circle_3d': {'center': [-0.7918146890983674, 1.3460345987828397, 16.495244391470024], 'normal': [-0.14197578722227014, 0.5741888873584499, -0.8063187939498137], 'radius': 0.4457402381733521}, 'confidence': 0.9997715959666239, 'timestamp': 7824.840474, 'diameter_3d': 0.8914804763467042, 'ellipse': {'center': [130.28262099334955, 170.39612199093415], 'axes': [25.21856728409356, 33.52185582555766], 'angle': -74.52376177081129}, 'location': [130.28262099334955, 170.39612199093415], 'diameter': 33.52185582555766, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9093141009531402, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1824094255007216, 'phi': -1.7450887149298626, 'norm_pos': [0.4071331906042174, 0.2900161583711077], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.546514,"{'circle_3d': {'center': [-0.7915371439695239, 1.3459636214538584, 16.49514498258732], 'normal': [-0.14195265846153318, 0.5741829725810348, -0.8063270780233727], 'radius': 0.44461997230374994}, 'confidence': 0.9996312608549746, 'timestamp': 7824.848874, 'diameter_3d': 0.8892399446074999, 'ellipse': {'center': [130.29264709481689, 170.3947435132053], 'axes': [25.155793521818556, 33.43777770312797], 'angle': -74.52642243397253}, 'location': [130.29264709481689, 170.3947435132053], 'diameter': 33.43777770312797, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9094206193224985, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1824022011239275, 'phi': -1.745059138648715, 'norm_pos': [0.4071645221713028, 0.29002190202831124], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5545778,"{'circle_3d': {'center': [-0.8006727771664318, 1.3488797782552826, 16.49883533895943], 'normal': [-0.1427139612279422, 0.5744259856478201, -0.8060195483256964], 'radius': 0.4425441946109939}, 'confidence': 0.9999381650365194, 'timestamp': 7824.857274, 'diameter_3d': 0.8850883892219878, 'ellipse': {'center': [129.9557283797225, 170.49495712259497], 'axes': [25.014780885888015, 33.27446451829688], 'angle': -74.44097896644216}, 'location': [129.9557283797225, 170.49495712259497], 'diameter': 33.27446451829688, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9098973759718687, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1826990502155508, 'phi': -1.7460402472401089, 'norm_pos': [0.40611165118663284, 0.289604345322521], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5664132,"{'circle_3d': {'center': [-0.8042900650793371, 1.3504937877877508, 16.50062704985229], 'normal': [-0.14301540188735096, 0.5745604864421925, -0.805870239084625], 'radius': 0.44567967032860767}, 'confidence': 0.9998150958979131, 'timestamp': 7824.865674, 'diameter_3d': 0.8913593406572153, 'ellipse': {'center': [129.82375185407275, 170.54739724541187], 'axes': [25.180696622895137, 33.50674756521507], 'angle': -74.40867769475342}, 'location': [129.82375185407275, 170.54739724541187], 'diameter': 33.50674756521507, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9100567853345454, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1828633742983365, 'phi': -1.7464347134252105, 'norm_pos': [0.40569922454397733, 0.2893858448107839], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
