eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1582012793.93524,"{'circle_3d': {'center': [0.4819840765813801, 2.552823085045137, 18.9605936457858], 'normal': [-0.1959746387468403, 0.6059945380972365, -0.7709504269175564], 'radius': 0.5753933048485336}, 'confidence': 0.998516668711529, 'timestamp': 5717.664315, 'diameter_3d': 1.1507866096970671, 'ellipse': {'center': [175.85277799790782, 203.24011860949994], 'axes': [26.094021172849764, 37.70031480748005], 'angle': -75.26763338589596}, 'location': [175.85277799790782, 203.24011860949994], 'diameter': 37.70031480748005, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7874118950763842, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.221811853758845, 'phi': -1.819722838626797, 'norm_pos': [0.5495399312434619, 0.15316617246041686], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.943413,"{'circle_3d': {'center': [0.48265495596821006, 2.5572685640040493, 18.96391910419813], 'normal': [-0.19591873213127114, 0.6063649946771458, -0.7706733053831956], 'radius': 0.5722467623278523}, 'confidence': 0.9975679345618715, 'timestamp': 5717.672715, 'diameter_3d': 1.1444935246557046, 'ellipse': {'center': [175.87086815326737, 203.37348696086028], 'axes': [25.929776904524907, 37.48761404614641], 'angle': -75.28143990602504}, 'location': [175.87086815326737, 203.37348696086028], 'diameter': 37.48761404614641, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7879862169185792, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2222776449120225, 'phi': -1.8197405568056335, 'norm_pos': [0.5495964629789605, 0.15261047099641556], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.951701,"{'circle_3d': {'center': [0.48230793758225365, 2.5561807107388645, 18.963151502860974], 'normal': [-0.1959476503301008, 0.6062743402383804, -0.7707372721612917], 'radius': 0.5702882773464543}, 'confidence': 0.997603714566328, 'timestamp': 5717.681115, 'diameter_3d': 1.1405765546929085, 'ellipse': {'center': [175.85955985159634, 203.3428759843062], 'axes': [25.845951200211964, 37.36073878447274], 'angle': -75.27637857318207}, 'location': [175.85955985159634, 203.3428759843062], 'diameter': 37.36073878447274, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7887081544484253, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.222163645863554, 'phi': -1.8197559814687692, 'norm_pos': [0.5495611245362386, 0.15273801673205745], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.962987,"{'circle_3d': {'center': [0.4770992497836768, 2.553938297161192, 18.96271355890046], 'normal': [-0.1963817076466489, 0.6060874724402411, -0.7707737674913346], 'radius': 0.5730005206321941}, 'confidence': 0.9984653572688728, 'timestamp': 5717.689515, 'diameter_3d': 1.1460010412643882, 'ellipse': {'center': [175.69061930394187, 203.26930896547202], 'axes': [25.973150220667033, 37.538965857916736], 'angle': -75.22510606407553}, 'location': [175.69061930394187, 203.26930896547202], 'diameter': 37.538965857916736, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7895604052977512, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.22192868860976, 'phi': -1.820273562278132, 'norm_pos': [0.5490331853248184, 0.15304454597719996], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.971273,"{'circle_3d': {'center': [0.48189513709189, 2.5532494410662796, 18.960951402304808], 'normal': [-0.19598205037096444, 0.606030067765665, -0.7709206138743057], 'radius': 0.5706024909502503}, 'confidence': 0.9981783799356025, 'timestamp': 5717.697915, 'diameter_3d': 1.1412049819005006, 'ellipse': {'center': [175.84803907312062, 203.25640580633348], 'axes': [25.87434034350717, 37.385594756839815], 'angle': -75.26752800148601}, 'location': [175.84803907312062, 203.25640580633348], 'diameter': 37.385594756839815, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.790149103121629, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2218565195869777, 'phi': -1.8197411027308206, 'norm_pos': [0.5495251221035019, 0.15309830914027722], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.979146,"{'circle_3d': {'center': [0.47662608546296514, 2.5502634342555863, 18.959945591973252], 'normal': [-0.1964211380067082, 0.6057812338647739, -0.7710044314019354], 'radius': 0.572316884878911}, 'confidence': 0.9983909227609489, 'timestamp': 5717.706315, 'diameter_3d': 1.144633769757822, 'ellipse': {'center': [175.67726509048427, 203.16180638764237], 'axes': [25.959969458359158, 37.499546005575134], 'angle': -75.21436614066883}, 'location': [175.67726509048427, 203.16180638764237], 'diameter': 37.499546005575134, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7912575886892204, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2215437320532296, 'phi': -1.8202500078207209, 'norm_pos': [0.5489914534077633, 0.1534924733848234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.9874141,"{'circle_3d': {'center': [0.47926264067503155, 2.554427405114696, 18.962547229857705], 'normal': [-0.19620142507236935, 0.6061282314363664, -0.7707876282448974], 'radius': 0.572049752212799}, 'confidence': 0.9978854924117956, 'timestamp': 5717.714714, 'diameter_3d': 1.144099504425598, 'ellipse': {'center': [175.76113748170354, 203.2867861531493], 'axes': [25.930511800281877, 37.47713863526887], 'angle': -75.24563471924267}, 'location': [175.76113748170354, 203.2867861531493], 'diameter': 37.47713863526887, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7918279804136064, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2219799331339125, 'phi': -1.820049610922519, 'norm_pos': [0.5492535546303235, 0.1529717243618779], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012793.9953558,"{'circle_3d': {'center': [0.48210846887128644, 2.5587793908338394, 18.965246982789168], 'normal': [-0.19596427272268144, 0.6064908969129617, -0.7705626488339425], 'radius': 0.5728378210184014}, 'confidence': 0.9981569327283493, 'timestamp': 5717.723114, 'diameter_3d': 1.1456756420368028, 'ellipse': {'center': [175.85207650950252, 203.41658730595566], 'axes': [25.94822690732971, 37.52370736005513], 'angle': -75.27909701187114}, 'location': [175.85207650950252, 203.41658730595566], 'diameter': 37.52370736005513, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.7925608930688166, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.22243598493065, 'phi': -1.8198303583803837, 'norm_pos': [0.5495377390921954, 0.15243088622518475], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012794.00336,"{'circle_3d': {'center': [0.4789932492870572, 2.55327615976924, 18.961710605221114], 'normal': [-0.1962238743547005, 0.606032294324245, -0.7708573469646134], 'radius': 0.5731774964570857}, 'confidence': 0.9990004296207946, 'timestamp': 5717.731514, 'diameter_3d': 1.1463549929141714, 'ellipse': {'center': [175.75340141514678, 203.25188560483184], 'axes': [25.987099524014276, 37.552669315044774], 'angle': -75.24118423569594}, 'location': [175.75340141514678, 203.25188560483184], 'diameter': 37.552669315044774, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.793065226610834, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2218593187372493, 'phi': -1.8200553401901796, 'norm_pos': [0.5492293794223337, 0.1531171433132007], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012794.0115929,"{'circle_3d': {'center': [0.4795884861872559, 2.554668703410666, 18.962654047453036], 'normal': [-0.19617427127968395, 0.6061483396276972, -0.7707787267786201], 'radius': 0.5682736460014995}, 'confidence': 0.9978177629104473, 'timestamp': 5717.739914, 'diameter_3d': 1.136547292002999, 'ellipse': {'center': [175.77049355086456, 203.2972708528108], 'axes': [25.758455286078924, 37.22947665567667], 'angle': -75.24899046268604}, 'location': [175.77049355086456, 203.2972708528108], 'diameter': 37.22947665567667, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.8073804454442945, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.222005215030943, 'phi': -1.8200192861724176, 'norm_pos': [0.5492827923464517, 0.15292803811328826], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012794.019223,"{'circle_3d': {'center': [0.4827603852087705, 2.5528850731855, 18.960445067960585], 'normal': [-0.1959099463612244, 0.6059997037756001, -0.770962808402991], 'radius': 0.5689040238430456}, 'confidence': 0.9979349269155141, 'timestamp': 5717.748314, 'diameter_3d': 1.1378080476860912, 'ellipse': {'center': [175.87620205038317, 203.24807675008708], 'axes': [25.800257295741748, 37.27531949012003], 'angle': -75.27475715941439}, 'location': [175.87620205038317, 203.24807675008708], 'diameter': 37.27531949012003, 'sphere': {'center': [2.8336797415434636, -4.7191113721217, 28.211998768796477], 'radius': 12.0}, 'projected_sphere': {'center': [222.27426330743089, 16.29061468868514], 'axes': [527.4351570034037, 527.4351570034037], 'angle': 90.0}, 'model_confidence': 0.8075268862974938, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2218183476541538, 'phi': -1.819640184128297, 'norm_pos': [0.5496131314074474, 0.15313301354130382], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
