eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1582014726.986971,"{'circle_3d': {'center': [-2.5110072478852166, 8.157466854904062, 74.96998270259456], 'normal': [-0.1365969336190895, 0.6087690792649675, -0.7814995111046109], 'radius': 2.724448610378101}, 'confidence': 0.999973897919411, 'timestamp': 7509.289395, 'diameter_3d': 5.448897220756202, 'ellipse': {'center': [139.31079975938817, 187.10701428216692], 'axes': [32.04052052182427, 45.07523153032537], 'angle': -76.89820663525633}, 'location': [139.31079975938817, 187.10701428216692], 'diameter': 45.07523153032537, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9366032509804723, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2253044392654053, 'phi': -1.7438365301167946, 'norm_pos': [0.43534624924808807, 0.22038744049097114], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014726.994071,"{'circle_3d': {'center': [-2.5123013897772997, 8.1783424320871, 74.98650835394567], 'normal': [-0.13670477877676307, 0.6105087106968873, -0.7801223734920186], 'radius': 2.7157300818513455}, 'confidence': 0.9273681784765608, 'timestamp': 7509.297795, 'diameter_3d': 5.431460163702691, 'ellipse': {'center': [139.30400544891154, 187.26702314680506], 'axes': [31.85334463846877, 44.92107053989806], 'angle': -76.92534281756404}, 'location': [139.30400544891154, 187.26702314680506], 'diameter': 44.92107053989806, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9364973514805697, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2274990625847697, 'phi': -1.7442700442277608, 'norm_pos': [0.43532501702784854, 0.21972073688831228], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.001487,"{'circle_3d': {'center': [-2.5068728587700044, 8.175413264915125, 74.98326736862063], 'normal': [-0.1362524011928218, 0.6102646134325559, -0.7803924556024382], 'radius': 2.7251665224863117}, 'confidence': 0.9012281239856095, 'timestamp': 7509.306195, 'diameter_3d': 5.4503330449726235, 'ellipse': {'center': [139.3483054173714, 187.24321068975732], 'axes': [31.9809463748623, 45.07917939029528], 'angle': -76.96003205540957}, 'location': [139.3483054173714, 187.24321068975732], 'diameter': 45.07917939029528, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9363674894869889, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2271908992774163, 'phi': -1.7436487277441133, 'norm_pos': [0.4354634544292856, 0.21981995545934452], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.010616,"{'circle_3d': {'center': [-2.5258965394287682, 8.16752099453836, 74.98044014549596], 'normal': [-0.13783770791438546, 0.6096069242344923, -0.7806280575294937], 'radius': 2.750035519207848}, 'confidence': 0.9998534195893385, 'timestamp': 7509.314595, 'diameter_3d': 5.500071038415696, 'ellipse': {'center': [139.19261454775125, 187.1741971837476], 'axes': [32.28708845673106, 45.49246618587119], 'angle': -76.80658793904654}, 'location': [139.19261454775125, 187.1741971837476], 'diameter': 45.49246618587119, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.936371194413621, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2263609560119435, 'phi': -1.745567681247597, 'norm_pos': [0.43497692046172265, 0.22010751173438503], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.017885,"{'circle_3d': {'center': [-2.5141285690717985, 8.17206039780572, 74.98191575365799], 'normal': [-0.13685704371797133, 0.6099852078401056, -0.7805050901826589], 'radius': 2.741749924060931}, 'confidence': 0.9998594062874618, 'timestamp': 7509.322995, 'diameter_3d': 5.483499848121862, 'ellipse': {'center': [139.28925029481996, 187.212447245519], 'axes': [32.18249145994756, 45.354449983135055], 'angle': -76.90091944038932}, 'location': [139.28925029481996, 187.212447245519], 'diameter': 45.354449983135055, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9363889220638355, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.226838250345732, 'phi': -1.7443759496546374, 'norm_pos': [0.4352789071713124, 0.21994813647700417], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.029441,"{'circle_3d': {'center': [-2.52383533649536, 8.16542294143383, 74.97843846006796], 'normal': [-0.13766594100326812, 0.6094320864757814, -0.7807948646484942], 'radius': 2.7276130195803328}, 'confidence': 0.9999786038301895, 'timestamp': 7509.331395, 'diameter_3d': 5.4552260391606655, 'ellipse': {'center': [139.20774922255853, 187.16450512623456], 'axes': [32.03390920389571, 45.12254761337356], 'angle': -76.81801126073873}, 'location': [139.20774922255853, 187.16450512623456], 'diameter': 45.12254761337356, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9364268467814574, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2261404159772855, 'phi': -1.7453177498350059, 'norm_pos': [0.4350242163204954, 0.220147895307356], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.0370939,"{'circle_3d': {'center': [-2.509260992376028, 8.17048629864761, 74.97983368104758], 'normal': [-0.1364514123266571, 0.6098540329102631, -0.7806785962335258], 'radius': 2.7402309093460766}, 'confidence': 0.9999054526962575, 'timestamp': 7509.339795, 'diameter_3d': 5.480461818692153, 'ellipse': {'center': [139.32862616504664, 187.20165311510704], 'axes': [32.17554759922629, 45.33056278155501], 'angle': -76.93388110053395}, 'location': [139.32862616504664, 187.20165311510704], 'diameter': 45.33056278155501, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9364396134628694, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.226672722260221, 'phi': -1.743834000664541, 'norm_pos': [0.43540195676577076, 0.2199931120203874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.04515,"{'circle_3d': {'center': [-2.512165948245125, 8.169025576189824, 74.97920091751303], 'normal': [-0.1366934919824152, 0.6097323060387809, -0.7807313265280724], 'radius': 2.720239093871774}, 'confidence': 0.9999967645552483, 'timestamp': 7509.348195, 'diameter_3d': 5.440478187743548, 'ellipse': {'center': [139.30345512049286, 187.19540154515775], 'axes': [31.943705824362066, 45.00005100303555], 'angle': -76.91000355935634}, 'location': [139.30345512049286, 187.19540154515775], 'diameter': 45.00005100303555, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.936489553760389, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2265191354263676, 'phi': -1.7441234070558094, 'norm_pos': [0.4353232972515402, 0.22001916022850943], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.0538409,"{'circle_3d': {'center': [-2.5255254908697133, 8.171880159078015, 74.98378039795784], 'normal': [-0.13780678720113088, 0.6099701879461301, -0.7803497031576709], 'radius': 2.713339354569655}, 'confidence': 0.999990287352766, 'timestamp': 7509.356595, 'diameter_3d': 5.42667870913931, 'ellipse': {'center': [139.1944553481385, 187.2168169308775], 'axes': [31.838761729108622, 44.88312008922045], 'angle': -76.81702221736283}, 'location': [139.1944553481385, 187.2168169308775], 'diameter': 44.88312008922045, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9365095575694315, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2268192958508104, 'phi': -1.7455903350318225, 'norm_pos': [0.4349826729629328, 0.21992992945467704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.061312,"{'circle_3d': {'center': [-2.507337315653457, 8.180274731731263, 74.98715219230249], 'normal': [-0.1362911059331095, 0.610669735667234, -0.7800687202956164], 'radius': 2.730883467836691}, 'confidence': 0.9999448261920215, 'timestamp': 7509.364995, 'diameter_3d': 5.461766935673382, 'ellipse': {'center': [139.3458255181188, 187.2784143186972], 'axes': [32.028124880994646, 45.17147104036982], 'angle': -76.96511420036927}, 'location': [139.3458255181188, 187.2784143186972], 'diameter': 45.17147104036982, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9364969987719962, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.227702390427258, 'phi': -1.7437671895286802, 'norm_pos': [0.43545570474412126, 0.219673273672095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014727.069403,"{'circle_3d': {'center': [-2.5192131325301386, 8.182219579274083, 74.99075803303434], 'normal': [-0.13728075733949965, 0.6108318062958026, -0.7797682335679625], 'radius': 2.721910571678461}, 'confidence': 0.9999841298457164, 'timestamp': 7509.373395, 'diameter_3d': 5.443821143356922, 'ellipse': {'center': [139.24866025531134, 187.2937124115267], 'axes': [31.903913477379184, 45.02081542095956], 'angle': -76.88148229946167}, 'location': [139.24866025531134, 187.2937124115267], 'diameter': 45.02081542095956, 'sphere': {'center': [-0.8718440444561427, 0.8522379037244532, 84.34797683584989], 'radius': 12.0}, 'projected_sphere': {'center': [153.59150832254386, 126.26437669438663], 'axes': [176.41205584525233, 176.41205584525233], 'angle': 90.0}, 'model_confidence': 0.9365052454378797, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2279070708306006, 'phi': -1.7450637946650198, 'norm_pos': [0.43515206329784795, 0.21960953161863872], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
