eye_packets,744
norm_X,norm_Y,phi,theta,confidence,timestamp
1581991204.8310819,"{'circle_3d': {'center': [-3.749570108450951, 10.13345202345284, 72.28547547627835], 'normal': [-0.09274670460551035, 0.6383476634827272, -0.7641402419130673], 'radius': 3.2442486323169963}, 'confidence': 0.756661880848647, 'timestamp': 14550.474711, 'diameter_3d': 6.488497264633993, 'ellipse': {'center': [127.9011556366415, 206.37887956859544], 'axes': [37.2959458366842, 55.69628511197493], 'angle': -80.33328777333573}, 'location': [127.9011556366415, 206.37887956859544], 'diameter': 55.69628511197493, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6127560319578951, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2631460831193237, 'phi': -1.6915794586280861, 'norm_pos': [0.3996911113645047, 0.140088001797519], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.84351,"{'circle_3d': {'center': [-3.8775177010697623, 10.59206071100175, 72.70612711945729], 'normal': [-0.10340900399041124, 0.6765650541118029, -0.7290859383148219], 'radius': 3.293195661911026}, 'confidence': 0.3439004761708033, 'timestamp': 14550.483111, 'diameter_3d': 6.586391323822052, 'ellipse': {'center': [126.99873293998687, 209.78242259209412], 'axes': [35.124732526560344, 56.212709772363354], 'angle': -80.07453879027926}, 'location': [126.99873293998687, 209.78242259209412], 'diameter': 56.212709772363354, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6127560319578951, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.313884286210576, 'phi': -1.711690328196477, 'norm_pos': [0.39687104043745897, 0.12590657253294113], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.85028,"{'circle_3d': {'center': [-3.8571863587347743, 10.652926484515932, 72.7601266424943], 'normal': [-0.10171472546249563, 0.6816372019046518, -0.7245859780617384], 'radius': 3.2717925831840664}, 'confidence': 0.4655640220932718, 'timestamp': 14550.491511, 'diameter_3d': 6.543585166368133, 'ellipse': {'center': [127.19322144238059, 210.24267738878177], 'axes': [34.55726531917569, 55.80611055070464], 'angle': -80.28946868090762}, 'location': [127.19322144238059, 210.24267738878177], 'diameter': 55.80611055070464, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6127560319578951, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.3207941973144535, 'phi': -1.7102613518052203, 'norm_pos': [0.39747881700743937, 0.12398884421340928], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.87566,"{'circle_3d': {'center': [-3.8601709404300397, 10.676495880760491, 72.7827799279903], 'normal': [-0.10196344060376773, 0.683601318258365, -0.7226982042704045], 'radius': 3.2569899645495255}, 'confidence': 0.5662935653018316, 'timestamp': 14550.516711, 'diameter_3d': 6.513979929099051, 'ellipse': {'center': [127.17722991221073, 210.4208354037981], 'axes': [34.257861565650984, 55.53624013846771], 'angle': -80.30040966609863}, 'location': [127.17722991221073, 210.4208354037981], 'diameter': 55.53624013846771, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6127560319578951, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.323481920096651, 'phi': -1.7109583746561785, 'norm_pos': [0.39742884347565854, 0.12324651915084128], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.883821,"{'circle_3d': {'center': [-3.860880497956769, 10.686762566738182, 72.79260298042715], 'normal': [-0.10202257039766187, 0.6844568754231727, -0.7218796165673345], 'radius': 3.260182613046049}, 'confidence': 0.5241869958768536, 'timestamp': 14550.525111, 'diameter_3d': 6.520365226092098, 'ellipse': {'center': [127.17559523665152, 210.49533024583346], 'axes': [34.229684199166094, 55.58329679317191], 'angle': -80.30904213227561}, 'location': [127.17559523665152, 210.49533024583346], 'diameter': 55.58329679317191, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6127560319578951, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.324654792537959, 'phi': -1.7111955446252962, 'norm_pos': [0.397423735114536, 0.12293612397569398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.89072,"{'circle_3d': {'center': [-3.764045019068301, 10.200552271550434, 72.34372854138797], 'normal': [-0.09395294715695618, 0.6439393508241934, -0.7592858198205986], 'radius': 3.2098709107420165}, 'confidence': 0.7327861712317395, 'timestamp': 14550.533511, 'diameter_3d': 6.419741821484033, 'ellipse': {'center': [127.80162150301311, 206.8964061015113], 'axes': [36.52737517607414, 55.06159392514676], 'angle': -80.3226995028471}, 'location': [127.80162150301311, 206.8964061015113], 'diameter': 55.06159392514676, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6126731046773304, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.270432469022042, 'phi': -1.6939091129908497, 'norm_pos': [0.399380067196916, 0.13793164124370294], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.8997152,"{'circle_3d': {'center': [-3.8096805245799246, 10.694707508151163, 72.79305496997202], 'normal': [-0.09775590594959141, 0.6851189538742539, -0.7218419507719279], 'radius': 3.28822919990563}, 'confidence': 0.24252142536743074, 'timestamp': 14550.541911, 'diameter_3d': 6.57645839981126, 'ellipse': {'center': [127.60944090211315, 210.5528194430662], 'axes': [34.52913740493115, 56.06191788137285], 'angle': -80.65651490110928}, 'location': [127.60944090211315, 210.5528194430662], 'diameter': 56.06191788137285, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6126731046773304, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.3255633145585226, 'phi': -1.7054030496813164, 'norm_pos': [0.39877950281910357, 0.12269658565389086], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.909149,"{'circle_3d': {'center': [-3.764755409645857, 10.239253949277943, 72.37678095102603], 'normal': [-0.09401214637175247, 0.6471644906348192, -0.7565314523507606], 'radius': 3.222072362377936}, 'confidence': 0.7787444443400704, 'timestamp': 14550.550311, 'diameter_3d': 6.444144724755872, 'ellipse': {'center': [127.81014887690611, 207.18464633463356], 'axes': [36.45581396604493, 55.246082714145274], 'angle': -80.36979052352699}, 'location': [127.81014887690611, 207.18464633463356], 'diameter': 55.246082714145274, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6126236259548334, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.274655433730806, 'phi': -1.6944298618051328, 'norm_pos': [0.3994067152403316, 0.13673064027236015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.915297,"{'circle_3d': {'center': [-3.764886663107136, 10.247901232588871, 72.38420161396353], 'normal': [-0.09402308416019242, 0.6478850975773965, -0.7559130637726357], 'radius': 3.2628200641589133}, 'confidence': 0.7731412991896239, 'timestamp': 14550.558711, 'diameter_3d': 6.525640128317827, 'ellipse': {'center': [127.81372727444058, 207.23642992113628], 'axes': [36.86981915735772, 55.93967599995099], 'angle': -80.38040364959487}, 'location': [127.81372727444058, 207.23642992113628], 'diameter': 55.93967599995099, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6126295799845249, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2756010571669965, 'phi': -1.694544222961745, 'norm_pos': [0.3994178977326268, 0.13651487532859885], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.925099,"{'circle_3d': {'center': [-3.7901124512861903, 10.236030872030275, 72.37721086061237], 'normal': [-0.09612523317511358, 0.6468959008641803, -0.7564956265518993], 'radius': 3.2292145779846337}, 'confidence': 0.7109612676750086, 'timestamp': 14550.567111, 'diameter_3d': 6.4584291559692675, 'ellipse': {'center': [127.59517442960356, 207.15444302424532], 'axes': [36.530457855707745, 55.368153327175044], 'angle': -80.1892704530877}, 'location': [127.59517442960356, 207.15444302424532], 'diameter': 55.368153327175044, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6125673741602555, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.274303168388026, 'phi': -1.6971854849762023, 'norm_pos': [0.3987349200925111, 0.13685648739897782], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991204.93122,"{'circle_3d': {'center': [-3.8221130155372074, 10.256632707495207, 72.39900006743301], 'normal': [-0.09879194686269835, 0.6486127204862578, -0.7546798593168453], 'radius': 3.255942770303629}, 'confidence': 0.8203939927893842, 'timestamp': 14550.575511, 'diameter_3d': 6.511885540607258, 'ellipse': {'center': [127.3337964566194, 207.29645405645107], 'axes': [36.68880760400709, 55.80998789463953], 'angle': -79.99566157342491}, 'location': [127.3337964566194, 207.29645405645107], 'diameter': 55.80998789463953, 'sphere': {'center': [-2.636609653184827, 2.4732800616601125, 81.45515837923516], 'radius': 12.0}, 'projected_sphere': {'center': [139.93131414263735, 138.82549452657105], 'axes': [182.67719682923436, 182.67719682923436], 'angle': 90.0}, 'model_confidence': 0.6126224073032649, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2765566596985396, 'phi': -1.7009619427697793, 'norm_pos': [0.3979181139269356, 0.13626477476478727], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
