eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581994619.976313,"{'circle_3d': {'center': [0.10903864528410256, 1.8828351928055884, 25.347860990397834], 'normal': [-0.2099687065120386, 0.5640830549621872, -0.7985758883100512], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.872517, 'diameter_3d': 2.0, 'ellipse': {'center': [162.83044433584777, 165.64456176751264], 'axes': [37.06702804706077, 48.9517669696296], 'angle': -71.41781616209893}, 'location': [162.83044433584777, 165.64456176751264], 'diameter': 48.9517669696296, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.1701186766112817, 'phi': -1.8279058974202071, 'norm_pos': [0.5088451385495243, 0.3098143259686973], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994619.9856782,"{'circle_3d': {'center': [0.10157058087003801, 1.874950489354438, 25.27203433098128], 'normal': [-0.19643760859600243, 0.5946380130220033, -0.7796267692930559], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.880917, 'diameter_3d': 2.0, 'ellipse': {'center': [162.64212799071447, 165.57619476318587], 'axes': [36.13818359291631, 49.0965957630271], 'angle': -73.28170013427673}, 'location': [162.64212799071447, 165.57619476318587], 'diameter': 49.0965957630271, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.207611664321414, 'phi': -1.8176222780987332, 'norm_pos': [0.5082566499709827, 0.3100991884867256], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994619.9942741,"{'circle_3d': {'center': [0.09796888639839008, 1.8769581079395046, 25.27401977605075], 'normal': [-0.21653254641179298, 0.5736011747437746, -0.7899970561191899], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.889317, 'diameter_3d': 2.0, 'ellipse': {'center': [162.57083129893505, 165.63091278082527], 'axes': [36.717884064188304, 49.09536361757079], 'angle': -71.10024261475763}, 'location': [162.57083129893505, 165.63091278082527], 'diameter': 49.09536361757079, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.1816917653134418, 'phi': -1.8383189742510067, 'norm_pos': [0.508033847809172, 0.3098711967465614], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.001518,"{'circle_3d': {'center': [0.0974428484324541, 1.8617376134412087, 24.982956613909067], 'normal': [-0.19498622815022543, 0.5924291810306528, -0.7816700303165642], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.897717, 'diameter_3d': 2.0, 'ellipse': {'center': [162.5712356567867, 165.7711105347226], 'axes': [36.65521621425401, 49.6647949180992], 'angle': -73.34757995606064}, 'location': [162.5712356567867, 165.7711105347226], 'diameter': 49.6647949180992, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.204867120918717, 'phi': -1.8152556368684774, 'norm_pos': [0.5080351114274585, 0.3092870394386559], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.011473,"{'circle_3d': {'center': [0.09554989604605124, 1.8881644040415981, 25.34615862304139], 'normal': [-0.2122349407491616, 0.5717111625856254, -0.7925292906260264], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.906117, 'diameter_3d': 2.0, 'ellipse': {'center': [162.5010528565267, 165.77617645260926], 'axes': [36.73582458972769, 48.954868323003105], 'angle': -71.40332031250632}, 'location': [162.5010528565267, 165.77617645260926], 'diameter': 48.954868323003105, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.179386296648413, 'phi': -1.8324513267716893, 'norm_pos': [0.507815790176646, 0.3092659314474614], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.017948,"{'circle_3d': {'center': [0.09595526722708447, 1.8842392130042516, 25.32606471265214], 'normal': [-0.1990783466023689, 0.5872937884471735, -0.7845086474765168], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.914517, 'diameter_3d': 2.0, 'ellipse': {'center': [162.5015182492938, 165.70955657952572], 'axes': [36.31832122684398, 48.991897581410505], 'angle': -72.8823013305451}, 'location': [162.5015182492938, 165.70955657952572], 'diameter': 48.991897581410505, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.1985075087550228, 'phi': -1.8193123858443074, 'norm_pos': [0.5078172445290432, 0.3095435142519761], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.024269,"{'circle_3d': {'center': [0.09629419598507694, 1.8820962191216832, 25.373599334321714], 'normal': [-0.19693167772681433, 0.581556848526053, -0.7893095376594327], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.922917, 'diameter_3d': 2.0, 'ellipse': {'center': [162.5040893555069, 165.57337188714865], 'axes': [36.51144409715268, 48.899642951508795], 'angle': -72.91941070556797}, 'location': [162.5040893555069, 165.57337188714865], 'diameter': 48.899642951508795, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.191437463612486, 'phi': -1.8153030917425756, 'norm_pos': [0.507825279235959, 0.310110950470214], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.0325508,"{'circle_3d': {'center': [0.0903463902656001, 1.8575421496141686, 25.07436931785487], 'normal': [-0.21988640335875032, 0.59162422878215, -0.7756485941042369], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.931317, 'diameter_3d': 2.0, 'ellipse': {'center': [162.4036560060446, 165.50672149656904], 'axes': [36.23950196016106, 49.48668671615246], 'angle': -71.27986145021056}, 'location': [162.4036560060446, 165.50672149656904], 'diameter': 49.48668671615246, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.20386831956376, 'phi': -1.8470357195203038, 'norm_pos': [0.5075114250188894, 0.31038866043096236], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.0430999,"{'circle_3d': {'center': [0.09724470981611333, 1.876179311986597, 25.152324803752435], 'normal': [-0.18944710753643984, 0.600540759974658, -0.776827258182369], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.939717, 'diameter_3d': 2.0, 'ellipse': {'center': [162.54288482667238, 165.81898498533607], 'axes': [36.13706207276991, 49.32949829103626], 'angle': -73.98312377929767}, 'location': [162.54288482667238, 165.81898498533607], 'diameter': 49.32949829103626, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.2149735570355897, 'phi': -1.8100000355189536, 'norm_pos': [0.5079465150833512, 0.3090875625610997], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.0490031,"{'circle_3d': {'center': [0.09438432567089672, 1.8968172758141932, 25.531228506425094], 'normal': [-0.20783912295787177, 0.5553111780264782, -0.8052530003216056], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.948117, 'diameter_3d': 2.0, 'ellipse': {'center': [162.45253753640236, 165.66159057611878], 'axes': [37.149436948354925, 48.59898376160127], 'angle': -71.32537841794635}, 'location': [162.45253753640236, 165.66159057611878], 'diameter': 48.59898376160127, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.1595334189706037, 'phi': -1.823387740168166, 'norm_pos': [0.5076641798012573, 0.309743372599505], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581994620.060406,"{'circle_3d': {'center': [0.09067788090876361, 1.876430707842065, 25.225607927719878], 'normal': [-0.20915452262430484, 0.5742962526007566, -0.7914784898621866], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 1466.956517, 'diameter_3d': 2.0, 'ellipse': {'center': [162.3913955687923, 165.70323944085914], 'axes': [36.85182953044426, 49.1882591269377], 'angle': -71.71463012694632}, 'location': [162.3913955687923, 165.70323944085914], 'diameter': 49.1882591269377, 'sphere': {'center': [23887.097317133135, 622759.3168252105, 8642700.337168759], 'radius': 12.0}, 'projected_sphere': {'center': [161.71358484719536, 164.6747846585776], 'axes': [0.0017216841287447094, 0.0017216841287447094], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 1464.100517, 'theta': 2.182540568999304, 'phi': -1.8291486176603393, 'norm_pos': [0.507473111152476, 0.30956983566308693], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
