imu_packets,867
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1581994410.03657,0.03461,-0.01215,-0.99860,0.03827,0.0309
1581994410.041412,0.03455,-0.01221,-0.99860,0.03815,0.0309
1581994410.047149,0.03448,-0.01227,-0.99860,0.03796,0.0308
1581994410.0522509,0.03436,-0.01239,-0.99860,0.03766,0.0308
1581994410.06029,0.03430,-0.01245,-0.99866,0.03748,0.0307
1581994410.065044,0.03424,-0.01251,-0.99866,0.03735,0.0307
1581994410.0696871,0.03418,-0.01257,-0.99866,0.03717,0.0306
1581994410.075901,0.03418,-0.01263,-0.99866,0.03699,0.0306
1581994410.080759,0.03406,-0.01270,-0.99866,0.03680,0.0305
1581994410.088803,0.03406,-0.01270,-0.99866,0.03662,0.0305
1581994410.091958,0.03400,-0.01276,-0.99866,0.03644,0.0305
1581994410.097211,0.03394,-0.01276,-0.99866,0.03638,0.0305
1581994410.102623,0.03381,-0.01282,-0.99866,0.03625,0.0305
1581994410.1083531,0.03381,-0.01282,-0.99872,0.03619,0.0305
1581994410.11423,0.03381,-0.01282,-0.99872,0.03601,0.0305
1581994410.120621,0.03375,-0.01282,-0.99872,0.03583,0.0304
1581994410.1278322,0.03375,-0.01282,-0.99872,0.03564,0.0304
1581994410.131066,0.03369,-0.01288,-0.99872,0.03546,0.0304
1581994410.136302,0.03369,-0.01288,-0.99872,0.03528,0.0303
1581994410.143877,0.03369,-0.01294,-0.99872,0.03510,0.0303
1581994410.1480992,0.03369,-0.01294,-0.99872,0.03473,0.0302
1581994410.154887,0.03369,-0.01300,-0.99878,0.03455,0.0302
1581994410.1601212,0.03369,-0.01300,-0.99878,0.03436,0.0301
1581994410.165985,0.03369,-0.01306,-0.99878,0.03418,0.0301
1581994410.171056,0.03369,-0.01306,-0.99878,0.03400,0.0300
1581994410.1765819,0.03369,-0.01306,-0.99878,0.03381,0.0300
1581994410.183897,0.03369,-0.01306,-0.99878,0.03369,0.0300
1581994410.1873221,0.03369,-0.01306,-0.99878,0.03351,0.0299
1581994410.192493,0.03369,-0.01306,-0.99878,0.03326,0.0299
1581994410.198273,0.03369,-0.01306,-0.99878,0.03320,0.0299
1581994410.205033,0.03369,-0.01300,-0.99878,0.03320,0.0299
1581994410.2094789,0.03369,-0.01300,-0.99878,0.03320,0.0299
1581994410.2183082,0.03369,-0.01300,-0.99878,0.03308,0.0299
1581994410.220584,0.03369,-0.01300,-0.99878,0.03296,0.0298
1581994410.225894,0.03375,-0.01300,-0.99878,0.03284,0.0298
1581994410.2324,0.03375,-0.01306,-0.99884,0.03271,0.0297
1581994410.236964,0.03375,-0.01306,-0.99878,0.03271,0.0297
1581994410.2428522,0.03375,-0.01306,-0.99878,0.03278,0.0298
