eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1582177878.151155,"{'circle_3d': {'center': [-2.670605180276047, 5.058905750961519, 70.05869010943704], 'normal': [-0.3544010903854039, 0.47959955083782313, -0.8027354096897651], 'radius': 2.1338150365659185}, 'confidence': 0.9977292362960013, 'timestamp': 34213.917396, 'diameter_3d': 4.267630073131837, 'ellipse': {'center': [136.5217633257061, 164.56318756502603], 'axes': [28.506651703967705, 37.77591960832428], 'angle': -54.27158002869806}, 'location': [136.5217633257061, 164.56318756502603], 'diameter': 37.77591960832428, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.848472970413594, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0709946234204173, 'phi': -1.9865523352201913, 'norm_pos': [0.42663051039283156, 0.31432005181239153], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.173283,"{'circle_3d': {'center': [-2.666086880530822, 5.061816465062848, 70.05843584527041], 'normal': [-0.3540245654066352, 0.47984211034626717, -0.802756598370318], 'radius': 2.1399382528402815}, 'confidence': 0.9988681976044544, 'timestamp': 34213.925796, 'diameter_3d': 4.279876505680563, 'ellipse': {'center': [136.5624041715543, 164.5878077330844], 'axes': [28.589393241106883, 37.884500751741825], 'angle': -54.31553203912289}, 'location': [136.5624041715543, 164.5878077330844], 'diameter': 37.884500751741825, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8483212335315904, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.071271069346067, 'phi': -1.98614998147553, 'norm_pos': [0.4267575130361072, 0.3142174677788151], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.2059672,"{'circle_3d': {'center': [-2.6765243297011225, 5.094851781856581, 70.08287881471041], 'normal': [-0.3548943528374936, 0.4825950534124116, -0.8007196842503175], 'radius': 2.1419037830398837}, 'confidence': 0.9549525980000153, 'timestamp': 34213.959396, 'diameter_3d': 4.283807566079767, 'ellipse': {'center': [136.47836098447937, 164.86371767595287], 'axes': [28.50976428170506, 37.906149375042865], 'angle': -54.40106900304143}, 'location': [136.47836098447937, 164.86371767595287], 'diameter': 37.906149375042865, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8480671949394836, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0744115475805374, 'phi': -1.9879970646139662, 'norm_pos': [0.426494878076498, 0.3130678430168631], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.22675,"{'circle_3d': {'center': [-2.6748363584456247, 5.103736292770237, 70.08749074511339], 'normal': [-0.35475368856620204, 0.4833354293218829, -0.8003353567167362], 'radius': 2.1352262766618035}, 'confidence': 0.9985971120174574, 'timestamp': 34213.976196, 'diameter_3d': 4.270452553323607, 'ellipse': {'center': [136.4937035177552, 164.94048877098726], 'axes': [28.400738745933683, 37.78546614234298], 'angle': -54.45386973739477}, 'location': [136.4937035177552, 164.94048877098726], 'diameter': 37.78546614234298, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8478765033730462, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0752570735436016, 'phi': -1.9880280567174702, 'norm_pos': [0.426542823492985, 0.31274796345421974], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.24342,"{'circle_3d': {'center': [-2.666258868887654, 5.093381208186784, 70.07744977792451], 'normal': [-0.3540388977697045, 0.4824725056065952, -0.8011721039824755], 'radius': 2.1401844752333274}, 'confidence': 0.9990673677141514, 'timestamp': 34214.001396, 'diameter_3d': 4.280368950466655, 'ellipse': {'center': [136.56686351967215, 164.85439861621276], 'axes': [28.509965086598122, 37.878642968439465], 'angle': -54.46266549367865}, 'location': [136.56686351967215, 164.85439861621276], 'diameter': 37.878642968439465, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8474766189505378, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0742716332369837, 'phi': -1.9868948957986305, 'norm_pos': [0.42677144849897547, 0.31310667243244683], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.254252,"{'circle_3d': {'center': [-2.6751707034229786, 5.0982010997324565, 70.08429828478631], 'normal': [-0.3547815506476482, 0.4828741632354012, -0.8006013950773264], 'radius': 2.1386157050754795}, 'confidence': 0.9985428405958255, 'timestamp': 34214.009796, 'diameter_3d': 4.277231410150959, 'ellipse': {'center': [136.49025183590487, 164.89300499235287], 'axes': [28.459735827591, 37.847179405959984], 'angle': -54.425765569509046}, 'location': [136.49025183590487, 164.89300499235287], 'diameter': 37.847179405959984, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8472966476033572, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.074730250984034, 'phi': -1.9879340335349676, 'norm_pos': [0.4265320369872027, 0.31294581253186304], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.258393,"{'circle_3d': {'center': [-2.673023994082413, 5.099547002457022, 70.08415908578196], 'normal': [-0.3546026582026011, 0.4829863217957817, -0.8006129949943548], 'radius': 2.131380380829278}, 'confidence': 0.9975796535217387, 'timestamp': 34214.018196, 'diameter_3d': 4.262760761658556, 'ellipse': {'center': [136.50806829418121, 164.90635546378715], 'axes': [28.363884615727404, 37.71917040994431], 'angle': -54.44636714162902}, 'location': [136.50806829418121, 164.90635546378715], 'diameter': 37.71917040994431, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8468997195423045, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0748583357552954, 'phi': -1.9877418828651263, 'norm_pos': [0.4265877134193163, 0.31289018556755355], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.266162,"{'circle_3d': {'center': [-2.6698101089200716, 5.103249827363394, 70.08497070222619], 'normal': [-0.35433483443907265, 0.4832948905379793, -0.8005453602906694], 'radius': 2.1313393341966558}, 'confidence': 0.9981564203119815, 'timestamp': 34214.026596, 'diameter_3d': 4.2626786683933116, 'ellipse': {'center': [136.5366343514445, 164.93849473783268], 'axes': [28.359666400990587, 37.71801410266686], 'angle': -54.485102223948886}, 'location': [136.5366343514445, 164.93849473783268], 'diameter': 37.71801410266686, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8465876569889397, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0752107671307756, 'phi': -1.987493453536249, 'norm_pos': [0.426676982348264, 0.3127562719256971], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.2774,"{'circle_3d': {'center': [-2.6620917869839453, 5.109071400137525, 70.08507383291514], 'normal': [-0.3536916409443955, 0.4837800216024903, -0.8005367660665904], 'radius': 2.1581811665549235}, 'confidence': 0.9993356328944535, 'timestamp': 34214.034996, 'diameter_3d': 4.316362333109847, 'ellipse': {'center': [136.60859262558967, 164.98447459615733], 'axes': [28.716230156701887, 38.19314624211327], 'angle': -54.56377858203458}, 'location': [136.60859262558967, 164.98447459615733], 'diameter': 38.19314624211327, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8467186922773595, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0757649976315777, 'phi': -1.986825395462978, 'norm_pos': [0.4269018519549677, 0.31256468918267777], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.2819011,"{'circle_3d': {'center': [-2.6685718688434554, 5.102990320389317, 70.08426607930663], 'normal': [-0.3542316477660213, 0.4832732649568063, -0.8006040788673], 'radius': 2.143015974850349}, 'confidence': 0.9982608410352064, 'timestamp': 34214.043396, 'diameter_3d': 4.286031949700698, 'ellipse': {'center': [136.54902592276267, 164.9343635179934], 'axes': [28.518146321494022, 37.92510395757712], 'angle': -54.49215541409566}, 'location': [136.54902592276267, 164.9343635179934], 'diameter': 37.92510395757712, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.846476159927223, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.0751860652683773, 'phi': -1.9873585282687327, 'norm_pos': [0.42671570600863334, 0.31277348534169414], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582177878.2866461,"{'circle_3d': {'center': [-2.668434153851883, 5.115300423551642, 70.09164668792371], 'normal': [-0.35422017151672364, 0.48429910688700006, -0.7999890281492098], 'radius': 2.1429893166416574}, 'confidence': 0.9985382351896568, 'timestamp': 34214.051796, 'diameter_3d': 4.285978633283315, 'ellipse': {'center': [136.5525411010994, 165.03832194609896], 'axes': [28.485661924156883, 37.92066287406149], 'angle': -54.550482301043814}, 'location': [136.5525411010994, 165.03832194609896], 'diameter': 37.92066287406149, 'sphere': {'center': [1.5822079043488002, -0.6962888590923583, 79.69151502571422], 'radius': 12.0}, 'projected_sphere': {'center': [172.30957775592202, 114.58287256180328], 'axes': [186.7200039451959, 186.7200039451959], 'angle': 90.0}, 'model_confidence': 0.8463767262140376, 'model_id': 53, 'model_birth_timestamp': 34197.39525, 'theta': 2.076358206710814, 'phi': -1.9876309773359342, 'norm_pos': [0.4267266909409356, 0.31234032522458766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
