eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1582178097.913027,"{'circle_3d': {'center': [-2.7110115444471896, 5.732529715824169, 71.51216679360105], 'normal': [-0.340885787110795, 0.47269832353455105, -0.8126211756245826], 'radius': 1.9548915677697465}, 'confidence': 0.998626895566959, 'timestamp': 34433.676425, 'diameter_3d': 3.909783135539493, 'ellipse': {'center': [136.61833646908912, 169.53479355564193], 'axes': [25.82695881994765, 33.90512368115619], 'angle': -55.18112612639553}, 'location': [136.61833646908912, 169.53479355564193], 'diameter': 33.90512368115619, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8104141080463312, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.063146615676215, 'phi': -1.9679900124203813, 'norm_pos': [0.4269323014659035, 0.2936050268514919], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.92175,"{'circle_3d': {'center': [-2.6991925870412663, 5.740252144193663, 71.51171120388139], 'normal': [-0.3399008739936348, 0.4733418592320089, -0.8126591414345552], 'radius': 1.9564391483807353}, 'confidence': 0.9989096215007711, 'timestamp': 34433.684825, 'diameter_3d': 3.9128782967614706, 'ellipse': {'center': [136.72051308338243, 169.6015625127952], 'axes': [25.848536954375074, 33.93219601506867], 'angle': -55.29802908112097}, 'location': [136.72051308338243, 169.6015625127952], 'diameter': 33.93219601506867, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8106719924161787, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.0638770333890766, 'phi': -1.9669422810301105, 'norm_pos': [0.4272516033855701, 0.2933268228633533], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.928261,"{'circle_3d': {'center': [-2.7075997990545906, 5.732272710035669, 71.51058683236764], 'normal': [-0.34060147499474513, 0.4726769063855094, -0.8127528390607003], 'radius': 1.9584462941669447}, 'confidence': 0.9990662392549468, 'timestamp': 34433.693225, 'diameter_3d': 3.9168925883338894, 'ellipse': {'center': [136.64777282142683, 169.53302474084228], 'axes': [25.879980089399957, 33.967541304832956], 'angle': -55.20330678270877}, 'location': [136.64777282142683, 169.53302474084228], 'diameter': 33.967541304832956, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8106827579243747, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.063122311978447, 'phi': -1.9676347044399152, 'norm_pos': [0.42702429006695886, 0.2936123969131572], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.9376798,"{'circle_3d': {'center': [-2.71272746067992, 5.746714744820157, 71.52115258192696], 'normal': [-0.3410287801301892, 0.4738804092842167, -0.811872359930758], 'radius': 1.9651986329125692}, 'confidence': 0.9985202699815635, 'timestamp': 34433.701625, 'diameter_3d': 3.9303972658251385, 'ellipse': {'center': [136.6075883326247, 169.64960076755807], 'axes': [25.92776208408352, 34.07966907949092], 'angle': -55.23530537237194}, 'location': [136.6075883326247, 169.64960076755807], 'diameter': 34.07966907949092, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.810462842868509, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.064488512028532, 'phi': -1.968468699807815, 'norm_pos': [0.42689871353945213, 0.293126663468508], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.944112,"{'circle_3d': {'center': [-2.7025172411451504, 5.754159458801597, 71.52121734405907], 'normal': [-0.3401779285022917, 0.4745008021160034, -0.8118669630864155], 'radius': 1.9756898364233189}, 'confidence': 0.933316505838234, 'timestamp': 34433.710025, 'diameter_3d': 3.9513796728466377, 'ellipse': {'center': [136.6971377720282, 169.7120807012095], 'axes': [26.06540553496805, 34.26162786194086], 'angle': -55.33969619532025}, 'location': [136.6971377720282, 169.7120807012095], 'diameter': 34.26162786194086, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8104772565299734, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.0651931658277016, 'phi': -1.9675799058353562, 'norm_pos': [0.42717855553758816, 0.29286633041162713], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.9554718,"{'circle_3d': {'center': [-2.708598017922677, 5.742594951562669, 71.51701594960616], 'normal': [-0.34068465990041896, 0.47353709317942605, -0.8122170792908232], 'radius': 1.9517993210641538}, 'confidence': 0.9978976093329381, 'timestamp': 34433.718425, 'diameter_3d': 3.9035986421283075, 'ellipse': {'center': [136.64030523799275, 169.61904626114404], 'axes': [25.766899934378742, 33.849196396075754], 'angle': -55.24444145941817}, 'location': [136.64030523799275, 169.61904626114404], 'diameter': 33.849196396075754, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8103196403251189, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.064098682012237, 'phi': -1.9679569141485813, 'norm_pos': [0.42700095386872733, 0.2932539739118999], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.961535,"{'circle_3d': {'center': [-2.7097895572685644, 5.7497381544400366, 71.5216841645732], 'normal': [-0.34078395484590956, 0.47413236008587334, -0.8118280613769031], 'radius': 1.9575196963502983}, 'confidence': 0.9985665588948398, 'timestamp': 34433.726825, 'diameter_3d': 3.9150393927005966, 'ellipse': {'center': [136.63217088291742, 169.67667133328297], 'axes': [25.824137922346782, 33.94622125392649], 'angle': -55.269422506320005}, 'location': [136.63217088291742, 169.67667133328297], 'diameter': 33.94622125392649, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8103849958987608, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.0647746502205258, 'phi': -1.968231816593855, 'norm_pos': [0.4269755340091169, 0.29301386944465435], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.9686542,"{'circle_3d': {'center': [-2.720315927882602, 5.760535662651965, 71.53242652437532], 'normal': [-0.3416611523970794, 0.47503215243686736, -0.8109328647267272], 'radius': 1.958841323469362}, 'confidence': 0.9988965905008917, 'timestamp': 34433.735225, 'diameter_3d': 3.917682646938724, 'ellipse': {'center': [136.5447319343682, 169.76253237230353], 'axes': [25.799859682229258, 33.96406020465958], 'angle': -55.24747866339916}, 'location': [136.5447319343682, 169.76253237230353], 'diameter': 33.96406020465958, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8103048523354306, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.065796896321958, 'phi': -1.9695447233227321, 'norm_pos': [0.4267022872949006, 0.292656115115402], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.9803362,"{'circle_3d': {'center': [-2.723029330903059, 5.750104684528209, 71.52746665602808], 'normal': [-0.3418872693154508, 0.47416290425988766, -0.8113461870889965], 'radius': 1.9582508450967369}, 'confidence': 0.9975597501476641, 'timestamp': 34433.743625, 'diameter_3d': 3.9165016901934737, 'ellipse': {'center': [136.51967645859153, 169.67584533249376], 'axes': [25.811764370875707, 33.956160570805], 'angle': -55.180618838417445}, 'location': [136.51967645859153, 169.67584533249376], 'diameter': 33.956160570805, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8099359274088669, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.064809341952214, 'phi': -1.9695991267704234, 'norm_pos': [0.42662398893309855, 0.29301731111460927], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.989904,"{'circle_3d': {'center': [-2.7268398385220793, 5.740875148152972, 71.5236843133703], 'normal': [-0.34220481161703586, 0.47339377622861795, -0.8116613823104794], 'radius': 1.9488339829705716}, 'confidence': 0.9977515691842584, 'timestamp': 34433.752025, 'diameter_3d': 3.8976679659411433, 'ellipse': {'center': [136.48439905178017, 169.60023161273688], 'axes': [25.70261953490398, 33.7946058424788], 'angle': -55.1117135455577}, 'location': [136.48439905178017, 169.60023161273688], 'diameter': 33.7946058424788, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8096464736960685, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.063935972051212, 'phi': -1.9697923813947462, 'norm_pos': [0.42651374703681305, 0.293332368280263], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178097.9967139,"{'circle_3d': {'center': [-2.73131487729892, 5.752064041305148, 71.53210794867024], 'normal': [-0.3425777315151059, 0.4743261839912993, -0.81095941270215], 'radius': 1.971027978756205}, 'confidence': 0.9987025128437912, 'timestamp': 34433.760425, 'diameter_3d': 3.94205595751241, 'ellipse': {'center': [136.45115857760553, 169.68749249252681], 'axes': [25.962345452191567, 34.17556020617329], 'angle': -55.13318499805292}, 'location': [136.45115857760553, 169.68749249252681], 'diameter': 34.17556020617329, 'sphere': {'center': [1.3796179008823506, 0.06014983340955653, 81.26362090109605], 'radius': 12.0}, 'projected_sphere': {'center': [170.52578126672572, 120.45891256506172], 'axes': [183.1077650122197, 183.1077650122197], 'angle': 90.0}, 'model_confidence': 0.8098262738999162, 'model_id': 58, 'model_birth_timestamp': 34258.034199, 'theta': 2.064994804243005, 'phi': -1.9704924879625267, 'norm_pos': [0.4264098705550173, 0.29296878128113824], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
