eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1582179261.990546,"{'circle_3d': {'center': [-5.31402599824589, 8.390508947742465, 80.37397473460307], 'normal': [-0.2629875682438436, 0.5055135695062083, -0.8217624778451992], 'radius': 2.3256279083205795}, 'confidence': 0.9987714151244644, 'timestamp': 35597.733379, 'diameter_3d': 4.651255816641159, 'ellipse': {'center': [119.10898891746157, 184.5257868670116], 'axes': [26.97335458219748, 35.88585499584237], 'angle': -61.923844117203416}, 'location': [119.10898891746157, 184.5257868670116], 'diameter': 35.88585499584237, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.935421561416061, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.100773411398646, 'phi': -1.8805252950176097, 'norm_pos': [0.3722155903670674, 0.23114255472078504], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179261.998369,"{'circle_3d': {'center': [-5.312148403779545, 8.39017499660127, 80.37316863522221], 'normal': [-0.2628311020383148, 0.505485740244442, -0.8218296527936026], 'radius': 2.3300099697121603}, 'confidence': 0.9987456544369486, 'timestamp': 35597.741779, 'diameter_3d': 4.660019939424321, 'ellipse': {'center': [119.12339477061903, 184.52309620174154], 'axes': [27.02763646475119, 35.95385268076283], 'angle': -61.935881513633106}, 'location': [119.12339477061903, 184.52309620174154], 'diameter': 35.95385268076283, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9350979178253449, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1007411578090007, 'phi': -1.8803288543085757, 'norm_pos': [0.37226060865818444, 0.23115376582607694], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.005229,"{'circle_3d': {'center': [-5.316400065947486, 8.399988384462986, 80.38057290295546], 'normal': [-0.2631854072189766, 0.5063035225662518, -0.8212126304824996], 'radius': 2.3242866936091837}, 'confidence': 0.9980702972857919, 'timestamp': 35597.750179, 'diameter_3d': 4.648573387218367, 'ellipse': {'center': [119.09388305749135, 184.59372763850087], 'axes': [26.930233864384643, 35.862226107729214], 'angle': -61.943342861817236}, 'location': [119.09388305749135, 184.59372763850087], 'diameter': 35.862226107729214, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9345490526185718, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1016892065641244, 'phi': -1.8809381396966245, 'norm_pos': [0.3721683845546605, 0.23085946817291303], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.015402,"{'circle_3d': {'center': [-5.314369806005219, 8.399487696548176, 80.37961381599683], 'normal': [-0.26301621889045435, 0.5062617985733509, -0.8212925543957187], 'radius': 2.3252383812802613}, 'confidence': 0.998988271860251, 'timestamp': 35597.758579, 'diameter_3d': 4.650476762560523, 'ellipse': {'center': [119.10908648112586, 184.5904606533258], 'axes': [26.94533037269892, 35.87734268027328], 'angle': -61.95581239516905}, 'location': [119.10908648112586, 184.5904606533258], 'diameter': 35.87734268027328, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9342808396850089, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.101640823492697, 'phi': -1.8807230272019275, 'norm_pos': [0.3722158952535183, 0.23087308061114242], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.021395,"{'circle_3d': {'center': [-5.331834322330396, 8.447693514875775, 80.41511916079848], 'normal': [-0.26447159525088576, 0.5102789501006507, -0.8183337756622473], 'radius': 2.348525248896934}, 'confidence': 0.999848036713988, 'timestamp': 35597.766979, 'diameter_3d': 4.697050497793868, 'ellipse': {'center': [118.99449192964124, 184.9291277048856], 'axes': [27.065517872509183, 36.2208305472469], 'angle': -62.01615284183522}, 'location': [118.99449192964124, 184.9291277048856], 'diameter': 36.2208305472469, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9342400074100476, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1063054430769657, 'phi': -1.883383968661302, 'norm_pos': [0.37185778728012886, 0.22946196789631002], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.0296881,"{'circle_3d': {'center': [-5.343754912657442, 8.418436567481557, 80.40078954953071], 'normal': [-0.26546497777813954, 0.5078408711511325, -0.8195279099345614], 'radius': 2.3376333742971314}, 'confidence': 0.9992295233010792, 'timestamp': 35597.775379, 'diameter_3d': 4.675266748594263, 'ellipse': {'center': [118.89495775003468, 184.71748930893673], 'axes': [26.999424152157065, 36.05915975411023], 'angle': -61.820659371992214}, 'location': [118.89495775003468, 184.71748930893673], 'diameter': 36.05915975411023, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9340338537268678, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1034728735888266, 'phi': -1.8840549550113028, 'norm_pos': [0.37154674296885837, 0.230343794546097], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.041194,"{'circle_3d': {'center': [-5.32523093188179, 8.403620705191242, 80.38564842679158], 'normal': [-0.2639213127135019, 0.5066062159602731, -0.8207896701628227], 'radius': 2.329471379804092}, 'confidence': 0.9988227954296077, 'timestamp': 35597.783779, 'diameter_3d': 4.658942759608184, 'ellipse': {'center': [119.02901412857642, 184.6168192591648], 'axes': [26.968863095637143, 35.93997532976038], 'angle': -61.89473113094031}, 'location': [119.02901412857642, 184.6168192591648], 'diameter': 35.93997532976038, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.933721499047202, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.102040250478845, 'phi': -1.8819006799563385, 'norm_pos': [0.3719656691518013, 0.23076325308681334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.0504372,"{'circle_3d': {'center': [-5.308264658352118, 8.397347276544997, 80.3763419298219], 'normal': [-0.26250745658602925, 0.5060834302397526, -0.8215652115769627], 'radius': 2.3235423064991387}, 'confidence': 0.99850304485015, 'timestamp': 35597.792179, 'diameter_3d': 4.6470846129982775, 'ellipse': {'center': [119.15422033810276, 184.5768367861184], 'axes': [26.939492619728735, 35.852625821388514], 'angle': -61.990911101323995}, 'location': [119.15422033810276, 184.5768367861184], 'diameter': 35.852625821388514, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9332898922158828, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1014340033669363, 'phi': -1.8800648354157776, 'norm_pos': [0.37235693855657115, 0.23092984672450667], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.057086,"{'circle_3d': {'center': [-5.307086290382143, 8.395740078625963, 80.37497567996445], 'normal': [-0.26240925925519804, 0.505949497079833, -0.8216790657317505], 'radius': 2.329101433854606}, 'confidence': 0.9990168697702755, 'timestamp': 35597.800578, 'diameter_3d': 4.658202867709212, 'ellipse': {'center': [119.1630820661591, 184.56459920700033], 'axes': [27.00972285099753, 35.93903610115679], 'angle': -61.99312017086767}, 'location': [119.1630820661591, 184.56459920700033], 'diameter': 35.93903610115679, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9330164088384385, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1012787228318044, 'phi': -1.8799162186101444, 'norm_pos': [0.3723846314567472, 0.2309808366374987], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.0657978,"{'circle_3d': {'center': [-5.315714691290035, 8.398390509390524, 80.37936833797913], 'normal': [-0.263128292664189, 0.5061703663102132, -0.8213130108971936], 'radius': 2.3280806124326845}, 'confidence': 0.9984723455539581, 'timestamp': 35597.808978, 'diameter_3d': 4.656161224865369, 'ellipse': {'center': [119.09888419782506, 184.58173903091495], 'axes': [26.979262624193588, 35.92131550508494], 'angle': -61.942079499277234}, 'location': [119.09888419782506, 184.58173903091495], 'diameter': 35.92131550508494, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9325748945468892, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1015348036002486, 'phi': -1.8808395522642398, 'norm_pos': [0.3721840131182033, 0.23090942070452103], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582179262.072961,"{'circle_3d': {'center': [-5.319894732786748, 8.390654290929186, 80.37594425111487], 'normal': [-0.26347662945558176, 0.505525681438435, -0.8215983514692151], 'radius': 2.327529650403025}, 'confidence': 0.998592128505129, 'timestamp': 35597.817378, 'diameter_3d': 4.65505930080605, 'ellipse': {'center': [119.06504906233647, 184.5250600012222], 'axes': [26.987010242928417, 35.914323823396224], 'angle': -61.882790370010376}, 'location': [119.06504906233647, 184.5250600012222], 'diameter': 35.914323823396224, 'sphere': {'center': [-2.158175179319767, 2.3243461136679655, 90.23512446874545], 'radius': 12.0}, 'projected_sphere': {'center': [145.171310849782, 135.9704394376193], 'axes': [164.9025264563574, 164.9025264563574], 'angle': 90.0}, 'model_confidence': 0.9321763787516479, 'model_id': 6, 'model_birth_timestamp': 35528.032779, 'theta': 2.1007874490900744, 'phi': -1.8811231262098616, 'norm_pos': [0.37207827831980145, 0.23114558332824087], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
