eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1582185603.1744099,"{'circle_3d': {'center': [-6.098698894971802, 8.709528081831104, 78.77810370606382], 'normal': [-0.10488110738072187, 0.698706133038939, -0.7076790889720891], 'radius': 2.2609078669584797}, 'confidence': 0.9987711284316784, 'timestamp': 41935.37993, 'diameter_3d': 4.521815733916959, 'ellipse': {'center': [112.02015168053745, 188.32137314022816], 'axes': [22.123186016872477, 35.64729916037308], 'angle': -79.0019805160391}, 'location': [112.02015168053745, 188.32137314022816], 'diameter': 35.64729916037308, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9111283657483704, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3443836521936103, 'phi': -1.7179296599625888, 'norm_pos': [0.3500629740016795, 0.21532761191571603], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.182719,"{'circle_3d': {'center': [-6.1159625291738156, 8.681360882147967, 78.75295369775652], 'normal': [-0.10631974356422297, 0.6963588663986775, -0.709774922997697], 'radius': 2.256301723904488}, 'confidence': 0.9989898141765733, 'timestamp': 41935.38833, 'diameter_3d': 4.512603447808976, 'ellipse': {'center': [111.8695363546798, 188.1221365416653], 'axes': [22.171809934134096, 35.585890039508904], 'angle': -78.84396777299898}, 'location': [111.8695363546798, 188.1221365416653], 'diameter': 35.585890039508904, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9110541883327383, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.341107871904857, 'phi': -1.7194844137678285, 'norm_pos': [0.34959230110837436, 0.2161577644097279], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.190938,"{'circle_3d': {'center': [-6.100703542985438, 8.700142357803196, 78.76914423456053], 'normal': [-0.1050481613818582, 0.6979239893699467, -0.7084257115973627], 'radius': 2.2587450185523745}, 'confidence': 0.9987852981634799, 'timestamp': 41935.39673, 'diameter_3d': 4.517490037104749, 'ellipse': {'center': [111.99901611317102, 188.2556021733967], 'axes': [22.13615679290864, 35.61720704201123], 'angle': -78.97372830700469}, 'location': [111.99901611317102, 188.2556021733967], 'diameter': 35.61720704201123, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9109221025565106, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3432909528744887, 'phi': -1.718007562913598, 'norm_pos': [0.34999692535365945, 0.21560165761084704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.198737,"{'circle_3d': {'center': [-6.106439110572069, 8.691344963113007, 78.76133781639837], 'normal': [-0.10552612534741079, 0.6971908731457642, -0.7090762464442096], 'radius': 2.244404255561897}, 'confidence': 0.9991728280508849, 'timestamp': 41935.40513, 'diameter_3d': 4.488808511123794, 'ellipse': {'center': [111.94910001764174, 188.19588822361288], 'axes': [22.024374985692052, 35.3944522491929], 'angle': -78.92218369162747}, 'location': [111.94910001764174, 188.19588822361288], 'diameter': 35.3944522491929, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9109198850260847, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3422678031150497, 'phi': -1.7185339702278517, 'norm_pos': [0.34984093755513046, 0.21585046573494637], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.207062,"{'circle_3d': {'center': [-6.103834575716348, 8.699313549912421, 78.76879261910231], 'normal': [-0.10530908077610071, 0.6978549220457155, -0.7084550128855472], 'radius': 2.265259570119156}, 'confidence': 0.9987731965607739, 'timestamp': 41935.41353, 'diameter_3d': 4.530519140238312, 'ellipse': {'center': [111.97435057269774, 188.24809676322087], 'axes': [22.200852696294476, 35.720123088337566], 'angle': -78.95205882019758}, 'location': [111.97435057269774, 188.24809676322087], 'diameter': 35.720123088337566, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9108435884802368, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3431945178079485, 'phi': -1.7183619129615804, 'norm_pos': [0.3499198455396805, 0.21563293015324636], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.215081,"{'circle_3d': {'center': [-6.1029837996564, 8.70179327351283, 78.77110949579473], 'normal': [-0.10523818277110498, 0.698061565679083, -0.7082619398278456], 'radius': 2.2514213796821223}, 'confidence': 0.9990068820344049, 'timestamp': 41935.421929, 'diameter_3d': 4.502842759364245, 'ellipse': {'center': [111.98219072084834, 188.26837658632093], 'axes': [22.05637446386932, 35.500787730530924], 'angle': -78.96163719983448}, 'location': [111.98219072084834, 188.26837658632093], 'diameter': 35.500787730530924, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9107035618441617, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3434830704391625, 'phi': -1.7183036201809052, 'norm_pos': [0.34994434600265106, 0.2155484308903295], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.224746,"{'circle_3d': {'center': [-6.112514875692961, 8.704948715437549, 78.77564282151958], 'normal': [-0.10603243910748508, 0.6983245191728094, -0.7078841626841089], 'radius': 2.2483039375539247}, 'confidence': 0.998860428603511, 'timestamp': 41935.430329, 'diameter_3d': 4.496607875107849, 'ellipse': {'center': [111.91010236386548, 188.28998920997253], 'axes': [22.006740661582008, 35.44955058347631], 'angle': -78.90500618554472}, 'location': [111.91010236386548, 188.28998920997253], 'diameter': 35.44955058347631, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9106375567697667, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3438503703327656, 'phi': -1.7194787756899181, 'norm_pos': [0.3497190698870796, 0.21545837829178116], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.2300348,"{'circle_3d': {'center': [-6.1159382351552685, 8.697093153108538, 78.76841352083166], 'normal': [-0.1063177190626774, 0.6976698889787252, -0.7084866044081024], 'radius': 2.230611962649356}, 'confidence': 0.9993985755479949, 'timestamp': 41935.438729, 'diameter_3d': 4.461223925298712, 'ellipse': {'center': [111.87860919085021, 188.23783699333373], 'axes': [21.86032813323561, 35.17368455394116], 'angle': -78.86998392430719}, 'location': [111.87860919085021, 188.23783699333373], 'diameter': 35.17368455394116, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9105997156911849, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3429362105234546, 'phi': -1.7197480169305759, 'norm_pos': [0.34962065372140694, 0.21567567919444275], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.241267,"{'circle_3d': {'center': [-6.10077599565812, 8.70752858124969, 78.77643804606535], 'normal': [-0.10505419910458169, 0.6985395079904878, -0.7078178939719609], 'radius': 2.2677775692398567}, 'confidence': 0.9986538145624511, 'timestamp': 41935.447129, 'diameter_3d': 4.5355551384797135, 'ellipse': {'center': [112.00297177731795, 188.30570343602557], 'axes': [22.196530922374567, 35.756402668508265], 'angle': -78.98525971864382}, 'location': [112.00297177731795, 188.30570343602557], 'diameter': 35.756402668508265, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9103902656007579, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.344150769812323, 'phi': -1.7181405016541593, 'norm_pos': [0.3500092868041186, 0.2153929023498935], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.247057,"{'circle_3d': {'center': [-6.097391407953431, 8.698566139522901, 78.76710128255137], 'normal': [-0.10477215012919092, 0.6977926378465887, -0.7085959575981264], 'radius': 2.24005113816511}, 'confidence': 0.9991199121370292, 'timestamp': 41935.455529, 'diameter_3d': 4.48010227633022, 'ellipse': {'center': [112.02347122777277, 188.24862514391754], 'axes': [21.961195517351655, 35.32323336479345], 'angle': -78.99268054006195}, 'location': [112.02347122777277, 188.24862514391754], 'diameter': 35.32323336479345, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9103756411358965, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.34310756143093, 'phi': -1.7175915393289782, 'norm_pos': [0.35007334758678993, 0.21563072856701027], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582185603.256694,"{'circle_3d': {'center': [-6.102545090566897, 8.693975128257794, 78.7633459140679], 'normal': [-0.10520162368031315, 0.6974100535744965, -0.7089089049717485], 'radius': 2.2456217498294713}, 'confidence': 0.998870785462688, 'timestamp': 41935.463929, 'diameter_3d': 4.4912434996589425, 'ellipse': {'center': [111.9808756826789, 188.21462002468417], 'axes': [22.0293273148742, 35.41277455268124], 'angle': -78.95175096341772}, 'location': [111.9808756826789, 188.21462002468417], 'diameter': 35.41277455268124, 'sphere': {'center': [-4.84012560640314, 0.3250544853638365, 87.27025277372888], 'radius': 12.0}, 'projected_sphere': {'center': [125.61396603547703, 122.30930671701053], 'axes': [170.5048344317315, 170.5048344317315], 'angle': 90.0}, 'model_confidence': 0.9101451171592334, 'model_id': 9, 'model_birth_timestamp': 41691.826068, 'theta': 2.3425735883670797, 'phi': -1.7181204842439695, 'norm_pos': [0.3499402365083716, 0.21577241656381596], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
