eye_packets,781
norm_X,norm_Y,phi,theta,confidence,timestamp
1582252943.695476,"{'circle_3d': {'center': [-0.9791212081656063, 8.823099572152055, 62.82716440291843], 'normal': [-0.12370458269278516, 0.719082749514774, -0.6838253984542229], 'radius': 2.3083386012378098}, 'confidence': 0.9988973238732041, 'timestamp': 54388.082799, 'diameter_3d': 4.6166772024756195, 'ellipse': {'center': [150.40159709195322, 206.7201473098556], 'axes': [26.48408596402311, 45.57664226659358], 'angle': -80.54895305704015}, 'location': [150.40159709195322, 206.7201473098556], 'diameter': 45.57664226659358, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8392664145080553, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3732778143792364, 'phi': -1.7497616876280961, 'norm_pos': [0.4700049909123538, 0.13866605287560163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.704277,"{'circle_3d': {'center': [-0.9765743923131377, 8.816964044747115, 62.82025740859665], 'normal': [-0.12349234803841276, 0.7185714555643623, -0.6844009813143704], 'radius': 2.3071818587412887}, 'confidence': 0.9989394088558781, 'timestamp': 54388.091199, 'diameter_3d': 4.614363717482577, 'ellipse': {'center': [150.4255858310038, 206.6692574080432], 'axes': [26.506246809494005, 45.558774585028985], 'angle': -80.55914229174626}, 'location': [150.4255858310038, 206.6692574080432], 'diameter': 45.558774585028985, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8399147501735427, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3725423394540717, 'phi': -1.7493140581314044, 'norm_pos': [0.4700799557218868, 0.13887809413315333], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.715227,"{'circle_3d': {'center': [-0.9783342411007164, 8.820266667283972, 62.82404419327155], 'normal': [-0.12363900210404433, 0.7188466741091004, -0.6840854159247959], 'radius': 2.304006097901254}, 'confidence': 0.9989620605010128, 'timestamp': 54388.099599, 'diameter_3d': 4.608012195802508, 'ellipse': {'center': [150.40864938050908, 206.69771055633169], 'axes': [26.450309878398702, 45.49328851725298], 'angle': -80.55114262299334}, 'location': [150.40864938050908, 206.69771055633169], 'diameter': 45.49328851725298, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8405735013668592, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3729381602919926, 'phi': -1.7496022741168262, 'norm_pos': [0.47002702931409085, 0.13875953934861796], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.723131,"{'circle_3d': {'center': [-0.9896887464157075, 8.829535995947127, 62.835858292832576], 'normal': [-0.12458521088029358, 0.7196191181643634, -0.6831009076280435], 'radius': 2.304622145426524}, 'confidence': 0.9985387493537631, 'timestamp': 54388.107999, 'diameter_3d': 4.609244290853048, 'ellipse': {'center': [150.298781480432, 206.7731109221519], 'axes': [26.39707193429583, 45.49694123815618], 'angle': -80.4873473465062}, 'location': [150.298781480432, 206.7731109221519], 'diameter': 45.49694123815618, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8408557100115455, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.374049960272619, 'phi': -1.7511954083241628, 'norm_pos': [0.46968369212635, 0.1384453711577005], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.731541,"{'circle_3d': {'center': [-0.9932601220890936, 8.827156361256419, 62.8340041313542], 'normal': [-0.12488282551974243, 0.7194208152734711, -0.6832554210845749], 'radius': 2.305808803829179}, 'confidence': 0.9989671827282685, 'timestamp': 54388.116399, 'diameter_3d': 4.611617607658358, 'ellipse': {'center': [150.26348659047557, 206.75180286412944], 'axes': [26.420326423782928, 45.521722597138684], 'angle': -80.46186691366063}, 'location': [150.26348659047557, 206.75180286412944], 'diameter': 45.521722597138684, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8411938380842199, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.373764415335027, 'phi': -1.751577025954106, 'norm_pos': [0.46957339559523614, 0.13853415473279396], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.7389061,"{'circle_3d': {'center': [-0.9974622134308332, 8.838099746866357, 62.846312422023146], 'normal': [-0.12523299979822072, 0.7203327640742991, -0.6822297301954957], 'radius': 2.3213723699953546}, 'confidence': 0.9992037355815497, 'timestamp': 54388.124799, 'diameter_3d': 4.642744739990709, 'ellipse': {'center': [150.2248427205457, 206.83845452126738], 'axes': [26.535404662375115, 45.820266442944806], 'angle': -80.44605208752303}, 'location': [150.2248427205457, 206.83845452126738], 'diameter': 45.820266442944806, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8416525279601461, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3750782701391153, 'phi': -1.7523395153937196, 'norm_pos': [0.4694526335017053, 0.1381731061613859], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.74737,"{'circle_3d': {'center': [-0.9953600691460521, 8.836886763894492, 62.84464634376302], 'normal': [-0.1250578211078223, 0.7202316821599772, -0.6823685700505068], 'radius': 2.2987223374303785}, 'confidence': 0.998764062325489, 'timestamp': 54388.133199, 'diameter_3d': 4.597444674860757, 'ellipse': {'center': [150.2439905562357, 206.8355738405091], 'axes': [26.284582278205363, 45.37406646512036], 'angle': -80.45833973554728}, 'location': [150.2439905562357, 206.8355738405091], 'diameter': 45.37406646512036, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8422768777116452, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3749325520138993, 'phi': -1.7520550156219257, 'norm_pos': [0.4695124704882366, 0.13818510899787873], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.755414,"{'circle_3d': {'center': [-0.9910172724081491, 8.831333919415274, 62.83799521473244], 'normal': [-0.12469592137966372, 0.7197689451200422, -0.6829228308030552], 'radius': 2.303140527323194}, 'confidence': 0.9988235488412566, 'timestamp': 54388.141599, 'diameter_3d': 4.606281054646388, 'ellipse': {'center': [150.28595096603365, 206.78841909501392], 'axes': [26.369154622995406, 45.466130911013884], 'angle': -80.48062545365747}, 'location': [150.28595096603365, 206.78841909501392], 'diameter': 45.466130911013884, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8428445878774338, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3742657586596607, 'phi': -1.7513983211198487, 'norm_pos': [0.46964359676885514, 0.13838158710410864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.763278,"{'circle_3d': {'center': [-1.0036567344922696, 8.839831412901608, 62.84928096048503], 'normal': [-0.12574920988667374, 0.7204770695772368, -0.6819823519903391], 'radius': 2.3214094522127677}, 'confidence': 0.9991374257722324, 'timestamp': 54388.149999, 'diameter_3d': 4.6428189044255355, 'ellipse': {'center': [150.16441826432387, 206.85155798349342], 'axes': [26.520688071040546, 45.81884400529913], 'angle': -80.40794444844394}, 'location': [150.16441826432387, 206.85155798349342], 'diameter': 45.81884400529913, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.843497539179372, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.375286336941853, 'phi': -1.7531360652707635, 'norm_pos': [0.4692638070760121, 0.1381185084021107], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.770862,"{'circle_3d': {'center': [-0.9937128388430131, 8.825820296521048, 62.8326803214456], 'normal': [-0.12492055191590237, 0.7193094765455235, -0.6833657385769581], 'radius': 2.3168116618740786}, 'confidence': 0.9989490654153864, 'timestamp': 54388.158399, 'diameter_3d': 4.633623323748157, 'ellipse': {'center': [150.25946273575548, 206.73707809242183], 'axes': [26.553431196452863, 45.74006006820064], 'angle': -80.45757398732832}, 'location': [150.25946273575548, 206.73707809242183], 'diameter': 45.74006006820064, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.843990459462618, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3736041308841633, 'phi': -1.7516018957197206, 'norm_pos': [0.46956082104923585, 0.13859550794824238], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252943.7792041,"{'circle_3d': {'center': [-0.9906388686166075, 8.846701974458835, 62.854153686155186], 'normal': [-0.12466438773036859, 0.7210496163736724, -0.6815762915178258], 'radius': 2.3093423916093583}, 'confidence': 0.999192353347992, 'timestamp': 54388.166799, 'diameter_3d': 4.618684783218717, 'ellipse': {'center': [150.29233118362993, 206.91630591947757], 'axes': [26.357156471372594, 45.576977723821564], 'angle': -80.49881478320069}, 'location': [150.29233118362993, 206.91630591947757], 'diameter': 45.576977723821564, 'sphere': {'center': [0.5053337841478155, 0.19410657797476616, 71.0330691843691], 'radius': 12.0}, 'projected_sphere': {'center': [164.41071953907053, 121.69422607985574], 'axes': [209.47989677002948, 209.47989677002948], 'angle': 90.0}, 'model_confidence': 0.8445126175129047, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3761123069035044, 'phi': -1.7517026249006598, 'norm_pos': [0.4696635349488435, 0.13784872533551018], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
