eye_packets,711
norm_X,norm_Y,phi,theta,confidence,timestamp
1582251342.648798,"{'circle_3d': {'center': [-1.2931678049702682, 9.17734700458945, 79.33284112889874], 'normal': [-0.12080894344120656, 0.6690546813608657, -0.7333287342888795], 'radius': 2.951806094025056}, 'confidence': 0.9994979879869438, 'timestamp': 52787.051251, 'diameter_3d': 5.903612188050112, 'ellipse': {'center': [149.96328816578225, 191.347089886709], 'axes': [30.19142201709313, 46.15290930016947], 'angle': -79.96574880641768}, 'location': [149.96328816578225, 191.347089886709], 'diameter': 46.15290930016947, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9327291967370477, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.303732450168878, 'phi': -1.7340703141817162, 'norm_pos': [0.4686352755180695, 0.20272045880537914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.65672,"{'circle_3d': {'center': [-1.2635440973267351, 9.167796692146087, 79.31931309057373], 'normal': [-0.11834030113757879, 0.6682588219905855, -0.7344560708159625], 'radius': 2.965663234227081}, 'confidence': 0.999490399401998, 'timestamp': 52787.059651, 'diameter_3d': 5.931326468454162, 'ellipse': {'center': [150.19251500336446, 191.28065437564155], 'axes': [30.402045550240583, 46.37756401290462], 'angle': -80.15754273735254}, 'location': [150.19251500336446, 191.28065437564155], 'diameter': 46.37756401290462, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9328381469908331, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.30266212968474, 'phi': -1.7305497305872768, 'norm_pos': [0.46935160938551396, 0.20299727343482687], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.6654038,"{'circle_3d': {'center': [-1.2843374146441198, 9.171356613222095, 79.32593023741506], 'normal': [-0.12007307758069419, 0.6685554820802527, -0.7339046419125181], 'radius': 2.962482117744405}, 'confidence': 0.9995114650859215, 'timestamp': 52787.068051, 'diameter_3d': 5.92496423548881, 'ellipse': {'center': [150.03159043460064, 191.303603029006], 'axes': [30.335924118939214, 46.323950019696206], 'angle': -80.01914428112912}, 'location': [150.03159043460064, 191.303603029006], 'diameter': 46.323950019696206, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9329501794971495, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.303060975954529, 'phi': -1.7329680761929298, 'norm_pos': [0.468848720108127, 0.2029016540458083], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.6727538,"{'circle_3d': {'center': [-1.295664162612327, 9.179191759459316, 79.33493624462285], 'normal': [-0.12101697324471147, 0.6692084109333545, -0.7331541413118686], 'radius': 2.954965639818098}, 'confidence': 0.9993296098320767, 'timestamp': 52787.076451, 'diameter_3d': 5.909931279636196, 'ellipse': {'center': [149.94428882657695, 191.3588645669368], 'axes': [30.21314514204048, 46.20112991531582], 'angle': -79.95085141473349}, 'location': [149.94428882657695, 191.3588645669368], 'diameter': 46.20112991531582, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9331043958292207, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.303939313949941, 'phi': -1.7343847416220939, 'norm_pos': [0.468575902583053, 0.20267139763776332], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.680895,"{'circle_3d': {'center': [-1.2939629597833862, 9.17303938471577, 79.32904396258692], 'normal': [-0.12087520634229973, 0.6686957130380591, -0.7336451648148635], 'radius': 2.9325274321870896}, 'confidence': 0.9993116963643853, 'timestamp': 52787.084851, 'diameter_3d': 5.865054864374179, 'ellipse': {'center': [149.95576518873403, 191.32169213600255], 'axes': [30.01321036719187, 45.8534689954068], 'angle': -79.9551937914704}, 'location': [149.95576518873403, 191.32169213600255], 'diameter': 45.8534689954068, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9331091178750861, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.303249560010886, 'phi': -1.7340890704999745, 'norm_pos': [0.46861176621479383, 0.20282628276665604], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.698127,"{'circle_3d': {'center': [-1.2916071444661175, 9.16339823037685, 79.31987855929744], 'normal': [-0.120678888399194, 0.6678922835098158, -0.7344089484223205], 'radius': 2.950924362648686}, 'confidence': 0.9991513312092037, 'timestamp': 52787.093251, 'diameter_3d': 5.901848725297372, 'ellipse': {'center': [149.97387535477424, 191.24977636559888], 'axes': [30.248366188883313, 46.146608707006], 'angle': -79.95989353691145}, 'location': [149.97387535477424, 191.24977636559888], 'diameter': 46.146608707006, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9330852576822313, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.3021695322890845, 'phi': -1.733661969663996, 'norm_pos': [0.4686683604836695, 0.2031259318100047], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.7302852,"{'circle_3d': {'center': [-1.284649776172514, 9.162607933255138, 79.31801957605113], 'normal': [-0.12009910770806037, 0.6678264254163397, -0.7345638636928458], 'radius': 2.9540598774643576}, 'confidence': 0.9993866757242464, 'timestamp': 52787.126851, 'diameter_3d': 5.908119754928715, 'ellipse': {'center': [150.0278607996258, 191.24438827794364], 'axes': [30.28990528575477, 46.19674743040164], 'angle': -80.00666910872236}, 'location': [150.0278607996258, 191.24438827794364], 'diameter': 46.19674743040164, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9331431376278454, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.3020810475388376, 'phi': -1.732859586703271, 'norm_pos': [0.46883706499883065, 0.2031483821752348], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.733302,"{'circle_3d': {'center': [-1.2960756691924618, 9.165995917711593, 79.32297730308802], 'normal': [-0.12105126545972268, 0.6681087574543776, -0.7341507197731046], 'radius': 2.9774217355414314}, 'confidence': 0.9995370637780272, 'timestamp': 52787.135251, 'diameter_3d': 5.954843471082863, 'ellipse': {'center': [149.94077891368772, 191.2605955636725], 'axes': [30.504483327043953, 46.559436540937334], 'angle': -79.93235565553161}, 'location': [149.94077891368772, 191.2605955636725], 'diameter': 46.559436540937334, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9331507603387523, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.3024604290220654, 'phi': -1.7342120841624682, 'norm_pos': [0.4685649341052741, 0.20308085181803126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.740757,"{'circle_3d': {'center': [-1.2931931192888868, 9.171205789914529, 79.32724626495342], 'normal': [-0.1208110529677581, 0.6685429134712889, -0.7337949729509887], 'radius': 2.9564090646152845}, 'confidence': 0.9995283850201694, 'timestamp': 52787.143651, 'diameter_3d': 5.912818129230569, 'ellipse': {'center': [149.96266364931932, 191.30288392249906], 'axes': [30.267097500150815, 46.22816577719972], 'angle': -79.95829417946508}, 'location': [149.96266364931932, 191.30288392249906], 'diameter': 46.22816577719972, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.933320423154238, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.303044075119245, 'phi': -1.7339712043007305, 'norm_pos': [0.4686333239041229, 0.2029046503229206], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.748746,"{'circle_3d': {'center': [-1.3039107399460295, 9.168034584846161, 79.32612875601617], 'normal': [-0.12170418802251999, 0.6682786463822583, -0.7338880986957587], 'radius': 2.951248781250321}, 'confidence': 0.9994812012404036, 'timestamp': 52787.152051, 'diameter_3d': 5.902497562500642, 'ellipse': {'center': [149.879032874913, 191.28049677156463], 'axes': [30.220078161565507, 46.14807424978582], 'angle': -79.88110455056395}, 'location': [149.879032874913, 191.28049677156463], 'diameter': 46.14807424978582, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9332936349194854, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.3026887782395358, 'phi': -1.7351355139939861, 'norm_pos': [0.46837197773410316, 0.20299793011848066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251342.7567308,"{'circle_3d': {'center': [-1.3034444165163679, 9.17523307730731, 79.3326117125394], 'normal': [-0.12166532773671486, 0.6688785207540207, -0.7333478523188236], 'radius': 2.956555169590055}, 'confidence': 0.9994932942847977, 'timestamp': 52787.160451, 'diameter_3d': 5.91311033918011, 'ellipse': {'center': [149.88366186568192, 191.32965145028055], 'axes': [30.24140853288226, 46.22734693600424], 'angle': -79.89289832859599}, 'location': [149.88366186568192, 191.32965145028055], 'diameter': 46.22734693600424, 'sphere': {'center': [0.1565395163242105, 1.1486908282590615, 88.13278594036528], 'radius': 12.0}, 'projected_sphere': {'center': [161.10123036603747, 128.08085556267923], 'axes': [168.8361469710999, 168.8361469710999], 'angle': 90.0}, 'model_confidence': 0.9333754198746491, 'model_id': 1, 'model_birth_timestamp': 52754.213839, 'theta': 2.3034954497728695, 'phi': -1.7352028394568773, 'norm_pos': [0.468386443330256, 0.20279311895716434], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
