imu_packets,1176
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1582252447.594063,-0.04089,0.03021,0.99506,0.08521,0.3510
1582252447.5993652,-0.04095,0.03027,0.99506,0.08527,0.3510
1582252447.6058822,-0.04095,0.03033,0.99506,0.08533,0.3510
1582252447.610641,-0.04102,0.03040,0.99506,0.08539,0.3510
1582252447.617355,-0.04102,0.03040,0.99506,0.08545,0.3510
1582252447.622428,-0.04102,0.03046,0.99506,0.08551,0.3510
1582252447.627841,-0.04102,0.03040,0.99500,0.08557,0.3510
1582252447.633322,-0.04102,0.03040,0.99500,0.08563,0.3510
1582252447.638788,-0.04108,0.03040,0.99500,0.08569,0.3510
1582252447.643818,-0.04102,0.03033,0.99500,0.08575,0.3510
1582252447.649083,-0.04102,0.03027,0.99500,0.08582,0.3510
1582252447.65488,-0.04102,0.03027,0.99500,0.08588,0.3510
1582252447.661097,-0.04102,0.03015,0.99500,0.08594,0.3510
1582252447.665653,-0.04102,0.03009,0.99500,0.08600,0.3510
1582252447.6721542,-0.04102,0.03003,0.99500,0.08606,0.3510
1582252447.678668,-0.04102,0.02997,0.99500,0.08612,0.3510
1582252447.682713,-0.04102,0.02997,0.99500,0.08618,0.3510
1582252447.688434,-0.04095,0.02991,0.99500,0.08624,0.3510
1582252447.693595,-0.04095,0.02979,0.99500,0.08624,0.3510
1582252447.699266,-0.04095,0.02972,0.99500,0.08630,0.3510
1582252447.704656,-0.04095,0.02966,0.99500,0.08636,0.3510
1582252447.7098439,-0.04095,0.02960,0.99500,0.08643,0.3510
1582252447.715443,-0.04095,0.02948,0.99500,0.08649,0.3510
1582252447.7207198,-0.04095,0.02942,0.99500,0.08655,0.3510
1582252447.7268941,-0.04095,0.02936,0.99500,0.08655,0.3510
1582252447.732426,-0.04095,0.02930,0.99500,0.08661,0.3510
1582252447.738676,-0.04095,0.02924,0.99500,0.08667,0.3510
1582252447.7430751,-0.04095,0.02917,0.99500,0.08667,0.3510
1582252447.7501922,-0.04095,0.02911,0.99500,0.08673,0.3510
1582252447.7539709,-0.04095,0.02905,0.99500,0.08673,0.3510
1582252447.759705,-0.04095,0.02905,0.99500,0.08673,0.3510
1582252447.7666152,-0.04095,0.02899,0.99500,0.08679,0.3510
1582252447.77092,-0.04095,0.02887,0.99493,0.08679,0.3510
1582252447.778163,-0.04102,0.02881,0.99500,0.08679,0.3510
1582252447.780983,-0.04095,0.02875,0.99500,0.08679,0.3510
1582252447.788024,-0.04095,0.02869,0.99500,0.08679,0.3510
1582252447.792983,-0.04095,0.02869,0.99500,0.08679,0.3510
1582252447.7989619,-0.04095,0.02863,0.99500,0.08679,0.3510
1582252447.80369,-0.04095,0.02863,0.99500,0.08679,0.3510
1582252447.80896,-0.04102,0.02856,0.99500,0.08679,0.3510
1582252447.8148532,-0.04102,0.02856,0.99500,0.08679,0.3510
1582252447.820162,-0.04102,0.02856,0.99500,0.08673,0.3511
1582252447.825408,-0.04108,0.02850,0.99500,0.08673,0.3511
1582252447.831133,-0.04114,0.02850,0.99500,0.08673,0.3511
1582252447.836791,-0.04120,0.02844,0.99500,0.08667,0.3511
1582252447.84244,-0.04120,0.02844,0.99500,0.08667,0.3511
1582252447.848012,-0.04126,0.02844,0.99500,0.08667,0.3511
1582252447.8533702,-0.04126,0.02850,0.99500,0.08661,0.3511
1582252447.859134,-0.04132,0.02850,0.99500,0.08655,0.3511
1582252447.864268,-0.04132,0.02850,0.99500,0.08655,0.3511
1582252447.8697112,-0.04132,0.02856,0.99500,0.08655,0.3511
1582252447.874841,-0.04138,0.02856,0.99500,0.08649,0.3511
1582252447.881235,-0.04144,0.02863,0.99500,0.08643,0.3511
1582252447.885699,-0.04150,0.02869,0.99500,0.08643,0.3511
1582252447.891785,-0.04150,0.02875,0.99500,0.08636,0.3511
1582252447.8974888,-0.04156,0.02875,0.99500,0.08636,0.3511
1582252447.903221,-0.04156,0.02881,0.99500,0.08636,0.3511
1582252447.90858,-0.04163,0.02887,0.99500,0.08630,0.3511
1582252447.914304,-0.04169,0.02893,0.99500,0.08630,0.3511
1582252447.919517,-0.04169,0.02899,0.99500,0.08630,0.3511
1582252447.924621,-0.04169,0.02911,0.99500,0.08630,0.3511
1582252447.930078,-0.04175,0.02936,0.99500,0.08624,0.3511
1582252447.935541,-0.04175,0.02948,0.99493,0.08624,0.3511
1582252447.940489,-0.04181,0.02960,0.99493,0.08624,0.3511
1582252447.946223,-0.04181,0.02972,0.99493,0.08624,0.3511
1582252447.953263,-0.04181,0.02991,0.99493,0.08624,0.3511
1582252447.9588292,-0.04181,0.03003,0.99493,0.08624,0.3511
1582252447.96334,-0.04181,0.03021,0.99493,0.08624,0.3511
1582252447.9687989,-0.04175,0.03040,0.99493,0.08630,0.3511
1582252447.97472,-0.04175,0.03058,0.99493,0.08630,0.3511
1582252447.9802449,-0.04175,0.03082,0.99493,0.08630,0.3511
1582252447.985554,-0.04163,0.03131,0.99493,0.08624,0.3511
1582252447.990377,-0.04163,0.03162,0.99487,0.08624,0.3511
1582252447.996531,-0.04156,0.03192,0.99487,0.08624,0.3511
1582252448.002068,-0.04150,0.03223,0.99487,0.08624,0.3511
1582252448.007732,-0.04144,0.03253,0.99487,0.08618,0.3511
1582252448.012832,-0.04138,0.03290,0.99487,0.08618,0.3511
1582252448.018857,-0.04132,0.03326,0.99487,0.08612,0.3511
1582252448.0238879,-0.04126,0.03363,0.99487,0.08606,0.3511
1582252448.0311098,-0.04120,0.03400,0.99487,0.08606,0.3511
1582252448.035436,-0.04114,0.03436,0.99487,0.08600,0.3511
1582252448.040301,-0.04108,0.03479,0.99487,0.08588,0.3511
1582252448.045233,-0.04095,0.03552,0.99481,0.08575,0.3511
1582252448.051647,-0.04089,0.03589,0.99481,0.08563,0.3511
1582252448.057767,-0.04083,0.03625,0.99481,0.08557,0.3511
1582252448.0628748,-0.04077,0.03656,0.99481,0.08545,0.3511
1582252448.068136,-0.04071,0.03680,0.99481,0.08533,0.3511
1582252448.073637,-0.04065,0.03705,0.99487,0.08521,0.3512
1582252448.07934,-0.04059,0.03717,0.99487,0.08508,0.3512
1582252448.0841532,-0.04053,0.03723,0.99487,0.08496,0.3512
1582252448.090614,-0.04047,0.03723,0.99487,0.08478,0.3512
1582252448.095273,-0.04028,0.03699,0.99493,0.08447,0.3512
1582252448.102613,-0.04022,0.03674,0.99493,0.08429,0.3512
1582252448.106436,-0.04016,0.03644,0.99500,0.08411,0.3512
1582252448.114719,-0.04010,0.03607,0.99500,0.08392,0.3512
1582252448.120224,-0.04010,0.03558,0.99506,0.08374,0.3512
1582252448.122998,-0.04010,0.03503,0.99506,0.08356,0.3512
1582252448.128549,-0.04010,0.03442,0.99512,0.08337,0.3512
1582252448.136327,-0.04010,0.03375,0.99518,0.08319,0.3512
1582252448.138939,-0.04016,0.03290,0.99518,0.08295,0.3512
1582252448.14507,-0.04022,0.03204,0.99524,0.08276,0.3512
1582252448.150479,-0.04034,0.03021,0.99530,0.08234,0.3512
1582252448.156276,-0.04047,0.02899,0.99536,0.08203,0.3512
1582252448.161451,-0.04059,0.02789,0.99542,0.08179,0.3512
1582252448.167525,-0.04071,0.02679,0.99548,0.08154,0.3512
1582252448.173001,-0.04083,0.02545,0.99554,0.08130,0.3512
