imu_packets,1177
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1582268454.5757802,0.04187,-0.00909,-0.88861,0.45660,0.5736
1582268454.581751,0.04193,-0.00916,-0.88861,0.45667,0.5736
1582268454.589537,0.04199,-0.00922,-0.88855,0.45673,0.5736
1582268454.593441,0.04205,-0.00928,-0.88855,0.45679,0.5736
1582268454.600127,0.04211,-0.00934,-0.88849,0.45685,0.5736
1582268454.6051562,0.04224,-0.00940,-0.88843,0.45691,0.5736
1582268454.609856,0.04230,-0.00946,-0.88843,0.45697,0.5736
1582268454.6150799,0.04242,-0.00946,-0.88837,0.45703,0.5736
1582268454.620348,0.04272,-0.00958,-0.88831,0.45721,0.5736
1582268454.625839,0.04291,-0.00964,-0.88824,0.45728,0.5736
1582268454.632156,0.04303,-0.00970,-0.88824,0.45734,0.5736
1582268454.638481,0.04321,-0.00977,-0.88818,0.45734,0.5736
1582268454.644587,0.04333,-0.00983,-0.88818,0.45740,0.5736
1582268454.6484349,0.04346,-0.00989,-0.88812,0.45746,0.5736
1582268454.653832,0.04364,-0.00995,-0.88812,0.45746,0.5736
1582268454.6591702,0.04376,-0.01001,-0.88806,0.45752,0.5736
1582268454.6649249,0.04395,-0.01007,-0.88806,0.45752,0.5736
1582268454.671488,0.04413,-0.01013,-0.88800,0.45758,0.5736
1582268454.676596,0.04425,-0.01019,-0.88800,0.45758,0.5736
1582268454.682143,0.04437,-0.01019,-0.88800,0.45758,0.5736
1582268454.687511,0.04449,-0.01025,-0.88800,0.45752,0.5736
1582268454.693532,0.04462,-0.01031,-0.88800,0.45752,0.5736
1582268454.6990058,0.04474,-0.01038,-0.88806,0.45746,0.5736
1582268454.703682,0.04480,-0.01038,-0.88806,0.45740,0.5736
1582268454.709864,0.04492,-0.01038,-0.88806,0.45740,0.5736
1582268454.715096,0.04498,-0.01044,-0.88812,0.45734,0.5736
1582268454.720052,0.04504,-0.01044,-0.88812,0.45728,0.5736
1582268454.7263842,0.04510,-0.01044,-0.88818,0.45721,0.5736
1582268454.731539,0.04510,-0.01038,-0.88818,0.45715,0.5736
1582268454.737487,0.04510,-0.01038,-0.88818,0.45715,0.5736
1582268454.742862,0.04510,-0.01038,-0.88818,0.45709,0.5736
1582268454.748703,0.04510,-0.01031,-0.88824,0.45709,0.5736
1582268454.7551308,0.04510,-0.01025,-0.88824,0.45703,0.5736
1582268454.7595332,0.04510,-0.01025,-0.88824,0.45703,0.5736
1582268454.764988,0.04504,-0.01019,-0.88831,0.45697,0.5736
1582268454.771067,0.04504,-0.01007,-0.88831,0.45691,0.5736
