#NEXT_T2_EU_PS_B4_C4_S201_0212175350
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
801.6105,0.05676453,0.07859219,0.1751758,0.7397296,-0.4399719,1.477023,-0.007678508,-0.01291036,0.9998872,0.195,-8.52372E-09,2.175176,DwellButton,4.643002,
801.6268,0.05685564,0.07856725,0.1753158,0.7424968,-0.3949585,1.525269,-0.006892753,-0.01295865,0.9998923,0.195,-8.52372E-09,2.175316,MixedRealityCamera,4.596871,
801.6435,0.05691524,0.07852267,0.1754549,0.7506821,-0.361969,1.537906,-0.006316985,-0.0131015,0.9998942,0.195,-8.52372E-09,2.175455,MixedRealityCamera,4.56098,
801.6613,0.05694134,0.07858843,0.1756003,0.7136231,-0.3231812,1.489875,-0.005639999,-0.01245475,0.9999065,0.195,-8.52372E-09,2.1756,MixedRealityCamera,4.536607,
801.6766,0.05694591,0.07867576,0.1758314,0.6637909,-0.2953186,1.488929,-0.005153778,-0.01158508,0.9999196,0.195,-8.52372E-09,2.175831,MixedRealityCamera,4.52844,
801.6936,0.05703294,0.0787623,0.1759932,0.6164848,-0.2628174,1.500022,-0.004586835,-0.01075948,0.9999316,0.195,-8.52372E-09,2.175993,MixedRealityCamera,4.513449,
801.7106,0.05711484,0.07870568,0.1761639,0.610961,-0.2303772,1.536349,-0.004020617,-0.01066308,0.9999351,0.195,-8.52372E-09,2.176164,MixedRealityCamera,4.482531,
801.7269,0.05722889,0.07854644,0.1762675,0.6785933,-0.227356,1.558408,-0.003967804,-0.01184341,0.999922,0.195,-8.52372E-09,2.176267,MixedRealityCamera,4.450739,
801.7429,0.05724811,0.07848234,0.1764141,0.7175548,-0.2154236,1.528208,-0.003759331,-0.01252337,0.9999145,0.195,-8.52372E-09,2.176414,MixedRealityCamera,4.424787,
801.7604,0.05731228,0.07854438,0.1765607,0.6921045,-0.1690369,1.484929,-0.002949903,-0.01207921,0.9999227,0.195,-8.52372E-09,2.176561,MixedRealityCamera,4.389143,
