#NEXT_T2_EU_PW_B0_C3_S202_0213095901
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
2111.965,-0.1282132,0.04309944,-0.1917969,1.141752,0.6372523,-3.321075,0.01111971,-0.01992602,0.9997396,0.195,-8.52372E-09,1.808203,DwellButton,8.541275,
2111.981,-0.1283657,0.04314945,-0.1918058,1.122657,0.6433312,-3.36438,0.01122586,-0.0195928,0.999745,0.195,-8.52372E-09,1.808194,MixedRealityCamera,8.539689,
2111.997,-0.1285419,0.04317357,-0.1918186,1.120831,0.6648711,-3.385162,0.01160171,-0.01956095,0.9997414,0.195,-8.52372E-09,1.808181,MixedRealityCamera,8.523115,
2112.014,-0.1287476,0.04318962,-0.1918937,1.151387,0.6704891,-3.372345,0.01169961,-0.02009414,0.9997296,0.195,-8.52372E-09,1.808106,MixedRealityCamera,8.522907,
2112.031,-0.1289332,0.04313796,-0.1919353,1.187299,0.6823188,-3.332214,0.01190587,-0.02072079,0.9997144,0.195,-8.52372E-09,1.808065,MixedRealityCamera,8.515922,
2112.047,-0.1291998,0.04307592,-0.19199,1.211594,0.6927063,-3.29541,0.01208701,-0.02114473,0.9997033,0.195,-8.52372E-09,1.80801,MixedRealityCamera,8.512946,
2112.066,-0.1293993,0.04301857,-0.1919954,1.215728,0.6943237,-3.280121,0.01211521,-0.02121687,0.9997015,0.195,-8.52372E-09,1.808005,MixedRealityCamera,8.516891,
2112.082,-0.1296206,0.04303921,-0.1920098,1.195412,0.690536,-3.26474,0.01204921,-0.02086237,0.9997097,0.195,-8.52372E-09,1.80799,MixedRealityCamera,8.526893,
2112.096,-0.1298401,0.04305033,-0.1919826,1.162347,0.6824633,-3.254181,0.0119085,-0.02028539,0.9997233,0.195,-8.52372E-09,1.808017,MixedRealityCamera,8.541252,
2112.114,-0.1301003,0.04311435,-0.1919244,1.090062,0.6447542,-3.257782,0.01125081,-0.01902402,0.9997557,0.195,-8.52372E-09,1.808076,MixedRealityCamera,8.587119,
2112.131,-0.1302977,0.04322643,-0.1918462,1.050609,0.6191401,-3.260834,0.01080401,-0.01833556,0.9997735,0.195,-8.52372E-09,1.808154,MixedRealityCamera,8.619058,
2112.147,-0.1304863,0.04332503,-0.1917694,1.025188,0.6069828,-3.265625,0.01059195,-0.01789195,0.9997838,0.195,-8.52372E-09,1.808231,MixedRealityCamera,8.63711,
2112.165,-0.1306518,0.04339311,-0.1916773,1.056459,0.5918041,-3.256439,0.01032699,-0.01843764,0.9997767,0.195,-8.52372E-09,1.808323,MixedRealityCamera,8.656214,
2112.182,-0.1308267,0.0434013,-0.1915697,1.072765,0.5752565,-3.252991,0.01003819,-0.01872219,0.9997743,0.195,-8.52372E-09,1.80843,MixedRealityCamera,8.677313,
2112.197,-0.1310312,0.04338253,-0.1914506,1.080671,0.5833144,-3.269287,0.01017877,-0.01886015,0.9997703,0.195,-8.52372E-09,1.808549,MixedRealityCamera,8.674777,
2112.214,-0.1312042,0.04336992,-0.191293,1.096509,0.5899386,-3.278473,0.01029431,-0.01913651,0.9997639,0.195,-8.52372E-09,1.808707,MixedRealityCamera,8.672716,
2112.231,-0.1313514,0.04331674,-0.191084,1.084819,0.6106885,-3.238739,0.01065641,-0.01893254,0.999764,0.195,-8.52372E-09,1.808916,MixedRealityCamera,8.656281,
2112.248,-0.131493,0.04320371,-0.1908579,1.086519,0.6201601,-3.204529,0.01082168,-0.0189622,0.9997616,0.195,-8.52372E-09,1.809142,MixedRealityCamera,8.650676,
2112.264,-0.131678,0.04305908,-0.1905888,1.104132,0.6129689,-3.197266,0.01069614,-0.01926955,0.9997571,0.195,-8.52372E-09,1.809411,MixedRealityCamera,8.662678,
