#NEXT_T3_EW_PW_B0_C7_S209_0221112610
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1459.899,-0.2259525,-0.01798273,-0.01181927,0.4706274,2.489507,-1.289001,0.04343496,-0.008213905,0.9990225,0.689429,-0.689429,10,DwellButton,4.323139,
1459.916,-0.2263177,-0.01795933,-0.01136408,0.4728372,2.429525,-1.324646,0.04238905,-0.008252472,0.9990671,0.689429,-0.689429,10,MixedRealityCamera,4.361253,
1459.932,-0.2265583,-0.01799276,-0.01093362,0.4808121,2.385112,-1.319336,0.04161457,-0.008391656,0.9990985,0.689429,-0.689429,10,MixedRealityCamera,4.384767,
1459.949,-0.2269733,-0.01800852,-0.01059853,0.5298575,2.279968,-1.337433,0.03978074,-0.009247626,0.9991657,0.689429,-0.689429,10,MixedRealityCamera,4.418541,
1459.965,-0.2272741,-0.0180463,-0.01026643,0.5826042,2.217577,-1.385559,0.03869235,-0.01016819,0.9991995,0.689429,-0.689429,10,MixedRealityCamera,4.42275,
1459.982,-0.2276987,-0.01804382,-0.009959254,0.6201784,2.145646,-1.453796,0.03743764,-0.01082394,0.9992403,0.689429,-0.689429,10,MixedRealityCamera,4.446776,
1459.998,-0.227999,-0.01795729,-0.009658236,0.6051646,2.077854,-1.470428,0.03625542,-0.01056192,0.9992867,0.689429,-0.689429,10,MixedRealityCamera,4.506457,
1460.016,-0.2283442,-0.01786344,-0.009384703,0.5504492,2.001296,-1.43924,0.03492049,-0.009607003,0.9993439,0.689429,-0.689429,10,MixedRealityCamera,4.601045,
1460.032,-0.2286208,-0.01781933,-0.009102844,0.5393122,1.953443,-1.419525,0.0340859,-0.009412635,0.9993746,0.689429,-0.689429,10,MixedRealityCamera,4.644141,
1460.049,-0.2289422,-0.01771485,-0.008862935,0.5214447,1.918355,-1.386383,0.03347396,-0.0091008,0.9993982,0.689429,-0.689429,10,MixedRealityCamera,4.683455,
1460.066,-0.2291964,-0.01767116,-0.008606009,0.4944412,1.892046,-1.363617,0.0330152,-0.00862952,0.9994176,0.689429,-0.689429,10,MixedRealityCamera,4.722483,
1460.082,-0.2294923,-0.01765075,-0.008315191,0.4553757,1.858586,-1.343109,0.03243174,-0.007947722,0.9994423,0.689429,-0.689429,10,MixedRealityCamera,4.775242,
1460.099,-0.2297473,-0.01764548,-0.008038718,0.4291934,1.833091,-1.321625,0.03198712,-0.007490769,0.9994602,0.689429,-0.689429,10,MixedRealityCamera,4.812959,
1460.116,-0.2300444,-0.01769112,-0.007727038,0.4101343,1.793574,-1.294952,0.03129786,-0.007158134,0.9994845,0.689429,-0.689429,10,MixedRealityCamera,4.85567,
1460.133,-0.23029,-0.01775874,-0.007409729,0.4049766,1.759715,-1.272156,0.03070722,-0.007068117,0.9995034,0.689429,-0.689429,10,MixedRealityCamera,4.884312,
1460.149,-0.2306269,-0.01782298,-0.007006891,0.4075903,1.72493,-1.252319,0.0301004,-0.007113732,0.9995216,0.689429,-0.689429,10,MixedRealityCamera,4.908718,
1460.165,-0.2308874,-0.01787781,-0.006599523,0.4107058,1.695244,-1.257751,0.02958251,-0.007168107,0.9995366,0.689429,-0.689429,10,MixedRealityCamera,4.92903,
1460.182,-0.2311754,-0.01801831,-0.006083198,0.3970946,1.660363,-1.248138,0.02897405,-0.006930552,0.9995561,0.689429,-0.689429,10,MixedRealityCamera,4.964555,
1460.198,-0.2313918,-0.01813024,-0.005505178,0.4114392,1.616699,-1.22464,0.02821226,-0.007180906,0.9995762,0.689429,-0.689429,10,MixedRealityCamera,4.987234,
1460.216,-0.2316423,-0.01832673,-0.004760221,0.4421363,1.591681,-1.215668,0.02777568,-0.007716657,0.9995844,0.689429,-0.689429,10,MixedRealityCamera,4.985348,
1460.232,-0.2318406,-0.01872309,-0.004013281,0.5165433,1.55863,-1.248718,0.02719876,-0.009015259,0.9995894,0.689429,-0.689429,10,MixedRealityCamera,4.95962,
1460.249,-0.2320748,-0.01916055,-0.003273748,0.6051776,1.537601,-1.290741,0.02683148,-0.01056215,0.9995842,0.689429,-0.689429,10,MixedRealityCamera,4.916694,
1460.266,-0.2321658,-0.01984177,-0.002132889,0.7726519,1.562395,-1.411682,0.02726307,-0.01348491,0.9995373,0.689429,-0.689429,10,MixedRealityCamera,4.78827,
1460.282,-0.2322666,-0.02043179,-0.001004562,0.9066725,1.584616,-1.517181,0.02764978,-0.01582376,0.9994924,0.689429,-0.689429,10,MixedRealityCamera,4.685921,
1460.299,-0.2321631,-0.02131842,0.0006425008,1.116833,1.682185,-1.647064,0.02934988,-0.01949118,0.9993792,0.689429,-0.689429,10,MixedRealityCamera,4.477766,
1460.315,-0.2321132,-0.02224534,0.002399437,1.346933,1.759236,-1.759521,0.03069115,-0.02350626,0.9992525,0.689429,-0.689429,10,MixedRealityCamera,4.27787,
1460.332,-0.2320205,-0.02337009,0.004333008,1.641573,1.837228,-1.875702,0.03204703,-0.02864693,0.9990758,0.689429,-0.689429,10,MixedRealityCamera,4.04685,
1460.349,-0.2318543,-0.02481512,0.006476853,2.005738,1.912242,-1.925568,0.03334828,-0.03499959,0.9988308,0.689429,-0.689429,10,MixedRealityCamera,3.795347,
1460.366,-0.2315491,-0.02635121,0.008726958,2.496751,1.976604,-1.929382,0.03445867,-0.04356273,0.9984562,0.689429,-0.689429,10,MixedRealityCamera,3.527033,
1460.382,-0.2313036,-0.02765319,0.01096952,2.960588,2.028324,-1.937439,0.0353463,-0.05164902,0.9980396,0.689429,-0.689429,10,MixedRealityCamera,3.333251,
1460.398,-0.2308065,-0.02871974,0.01366835,3.394569,2.085521,-1.945831,0.03632732,-0.05921175,0.9975842,0.689429,-0.689429,10,MixedRealityCamera,3.195186,
1460.415,-0.2302202,-0.02919153,0.01674157,3.660398,2.151179,-1.997375,0.03745976,-0.06384254,0.9972567,0.689429,-0.689429,10,MixedRealityCamera,3.107342,
1460.433,-0.2292782,-0.02912445,0.02038741,3.714568,2.266808,-2.037964,0.03946986,-0.06478604,0.9971183,0.689429,-0.689429,10,MixedRealityCamera,2.987079,
1460.449,-0.2283853,-0.02898737,0.0241849,3.719393,2.412699,-2.092743,0.04200842,-0.06487007,0.9970091,0.689429,-0.689429,10,MixedRealityCamera,2.838418,
1460.465,-0.2274117,-0.02882336,0.02785511,3.771656,2.567534,-2.131012,0.0446999,-0.06578027,0.9968324,0.689429,-0.689429,10,MixedRealityCamera,2.679638,
1460.482,-0.2261075,-0.02811207,0.03271423,3.699823,2.829816,-2.116516,0.04926664,-0.06452923,0.9966989,0.689429,-0.689429,10,MixedRealityCamera,2.414516,
1460.498,-0.2248638,-0.02755202,0.0374716,3.687827,3.098497,-2.093323,0.05394069,-0.06432028,0.9964705,0.689429,-0.689429,10,MixedRealityCamera,2.142562,
1460.516,-0.2236244,-0.02713484,0.04262752,3.702631,3.374273,-2.056244,0.05873528,-0.06457814,0.9961826,0.689429,-0.689429,10,MixedRealityCamera,1.862881,
1460.532,-0.2223655,-0.02693246,0.04807239,3.809684,3.68021,-2.046844,0.06404579,-0.06644254,0.9957327,0.689429,-0.689429,10,MixedRealityCamera,1.551165,
1460.549,-0.2211973,-0.02691431,0.05371972,4.081253,3.98091,-2.035156,0.06924804,-0.07117108,0.9950575,0.689429,-0.689429,10,target_3,1.279472,
1460.565,-0.2200492,-0.02700077,0.05933807,4.347615,4.266498,-2.064514,0.07418156,-0.07580739,0.9943593,0.689429,-0.689429,10,target_3,1.105707,
1460.582,-0.2189764,-0.02717448,0.06581274,4.620978,4.571727,-2.156311,0.07944796,-0.08056387,0.9935781,0.689429,-0.689429,10,target_3,1.049225,
1460.598,-0.2179881,-0.02756278,0.07253327,4.874373,4.87112,-2.301544,0.0846076,-0.08497127,0.9927847,0.689429,-0.689429,10,target_3,1.131596,
1460.615,-0.2171274,-0.02842502,0.08000588,5.207883,5.16006,-2.43454,0.08956707,-0.09076959,0.991836,0.689429,-0.689429,10,target_3,1.412777,
1460.632,-0.2162035,-0.02917476,0.08691058,5.506186,5.426826,-2.499512,0.09413805,-0.09595322,0.9909243,0.689429,-0.689429,10,MixedRealityCamera,1.723742,
1460.649,-0.215518,-0.03001181,0.09513825,5.690286,5.672975,-2.552246,0.0983633,-0.09915104,0.9901989,0.689429,-0.689429,10,MixedRealityCamera,1.950035,
1460.666,-0.2147681,-0.03057966,0.1032226,5.686895,5.900085,-2.526764,0.1022881,-0.09909215,0.989807,0.689429,-0.689429,10,MixedRealityCamera,2.011492,
1460.682,-0.2141428,-0.03110368,0.1116916,5.598769,6.0893,-2.452301,0.1055723,-0.09756152,0.9896142,0.689429,-0.689429,10,MixedRealityCamera,2.002227,
1460.698,-0.2135022,-0.0317917,0.1201712,5.562518,6.210822,-2.309692,0.1076777,-0.09693182,0.9894492,0.689429,-0.689429,10,MixedRealityCamera,2.026034,
1460.715,-0.212859,-0.03258894,0.1285402,5.693478,6.326086,-2.171265,0.1096433,-0.09920647,0.9890078,0.689429,-0.689429,10,MixedRealityCamera,2.1974,
1460.732,-0.2121786,-0.03359548,0.1370923,5.933671,6.393567,-2.032288,0.1107607,-0.1033771,0.988456,0.689429,-0.689429,10,MixedRealityCamera,2.441602,
1460.748,-0.2115342,-0.03441675,0.1459181,6.105795,6.444383,-1.958313,0.111602,-0.1063647,0.9880443,0.689429,-0.689429,10,MixedRealityCamera,2.618008,
1460.766,-0.2107838,-0.0346566,0.155313,5.944942,6.433034,-1.943115,0.1114393,-0.1035727,0.9883592,0.689429,-0.689429,10,MixedRealityCamera,2.468945,
1460.781,-0.2099424,-0.03483289,0.1645764,5.726627,6.460041,-1.907013,0.1119487,-0.09978217,0.9886916,0.689429,-0.689429,10,MixedRealityCamera,2.293199,
1460.798,-0.2089051,-0.03454639,0.1742969,5.231523,6.402167,-1.843872,0.111042,-0.09118048,0.9896241,0.689429,-0.689429,10,MixedRealityCamera,1.853719,
1460.815,-0.2077823,-0.03457759,0.1840593,4.856167,6.371852,-1.785034,0.1105823,-0.08465467,0.9902551,0.689429,-0.689429,10,MixedRealityCamera,1.557962,
1460.832,-0.2066253,-0.03482319,0.193368,4.583613,6.352272,-1.757935,0.1102872,-0.07991383,0.9906818,0.689429,-0.689429,10,target_3,1.37202,
1460.849,-0.2051927,-0.03525358,0.2033093,4.347006,6.307394,-1.749268,0.1095465,-0.07579681,0.9910875,0.689429,-0.689429,10,target_3,1.214665,
1460.865,-0.2038134,-0.03563131,0.2127427,4.134315,6.294849,-1.740753,0.1093596,-0.0720948,0.9913843,0.689429,-0.689429,10,target_3,1.126396,
1460.882,-0.2022344,-0.03607679,0.2228036,3.923053,6.2481,-1.717743,0.1085789,-0.06841671,0.9917307,0.689429,-0.689429,10,target_3,1.041175,
1460.898,-0.2005317,-0.03633777,0.2326615,3.734315,6.153067,-1.627625,0.1069574,-0.06512995,0.9921281,0.689429,-0.689429,10,target_3,0.9479132,
1460.915,-0.1988378,-0.03647197,0.2429383,3.63697,6.027705,-1.518158,0.1047979,-0.06343449,0.9924684,0.689429,-0.689429,10,target_3,0.842791,
1460.931,-0.1972411,-0.0363254,0.2525439,3.526121,5.891107,-1.399017,0.1024438,-0.06150359,0.9928356,0.689429,-0.689429,10,target_3,0.7506924,
1460.948,-0.1954362,-0.03644824,0.2624335,3.404715,5.701576,-1.230194,0.09917178,-0.05938852,0.9932965,0.689429,-0.689429,10,target_3,0.6567059,
1460.965,-0.1935383,-0.03693948,0.271354,3.515409,5.504861,-0.9956055,0.0957497,-0.06131697,0.9935151,0.689429,-0.689429,10,target_3,0.4410186,
1460.981,-0.1915539,-0.03778917,0.2801489,4.017208,5.299551,-0.7998962,0.09213586,-0.07005607,0.993279,0.689429,-0.689429,10,target_3,0.2315465,
1460.997,-0.1896052,-0.03800184,0.2883787,4.604468,5.093061,-0.6928406,0.08848716,-0.08027666,0.9928372,0.689429,-0.689429,10,target_3,0.7863387,
1461.015,-0.1875142,-0.03679917,0.2973238,4.758561,4.903982,-0.6373901,0.08519151,-0.08295709,0.9929051,0.689429,-0.689429,10,target_3,0.9616448,
1461.031,-0.1853838,-0.03342216,0.3064681,4.134617,4.755166,-0.6149902,0.0826823,-0.07210007,0.9939644,0.689429,-0.689429,10,target_3,0.4877876,
1461.048,-0.1833068,-0.02981867,0.3161678,3.372256,4.642611,-0.5592346,0.08080006,-0.05882299,0.9949931,0.689429,-0.689429,10,target_3,0.7173703,
1461.065,-0.1814063,-0.02685632,0.3256019,2.675343,4.550126,-0.568573,0.07924477,-0.04667658,0.9957618,0.689429,-0.689429,10,target_3,1.362431,
1461.082,-0.1794961,-0.02490083,0.3351258,2.419864,4.504055,-0.5916748,0.07845962,-0.04222205,0.9960228,0.689429,-0.689429,10,MixedRealityCamera,1.62558,
1461.1,-0.1778584,-0.02375321,0.3438463,2.605772,4.476752,-0.6100769,0.07797389,-0.04546362,0.9959182,0.689429,-0.689429,10,MixedRealityCamera,1.475119,
1461.114,-0.1760888,-0.02319532,0.3531421,2.758405,4.456384,-0.6217957,0.07761015,-0.04812465,0.9958216,0.689429,-0.689429,10,target_3,1.353641,
1461.131,-0.1744489,-0.02415302,0.3624631,3.034971,4.464406,-0.5826721,0.07773059,-0.05294546,0.9955676,0.689429,-0.689429,10,target_3,1.112411,
1461.148,-0.1729432,-0.02428765,0.3713303,3.187802,4.432009,-0.4644775,0.07715645,-0.05560893,0.995467,0.689429,-0.689429,10,target_3,1.014136,
1461.164,-0.1715538,-0.02424696,0.3805647,3.191144,4.384427,-0.3457947,0.07632948,-0.05566719,0.9955275,0.689429,-0.689429,10,target_3,1.044739,
1461.181,-0.1700952,-0.0241679,0.3906105,2.824423,4.311139,-0.3059387,0.07508127,-0.04927551,0.9959592,0.689429,-0.689429,10,target_3,1.375724,
1461.197,-0.1685883,-0.02412082,0.4006684,2.489867,4.239947,-0.2197266,0.07386371,-0.0434427,0.9963217,0.689429,-0.689429,10,MixedRealityCamera,1.697083,
1461.215,-0.1673857,-0.02403274,0.4104225,2.316683,4.129938,-0.1884766,0.07195975,-0.04042272,0.9965881,0.689429,-0.689429,10,MixedRealityCamera,1.904954,
1461.231,-0.1660003,-0.02378531,0.4207901,2.296412,4.036174,-0.2194824,0.07032976,-0.04006921,0.9967187,0.689429,-0.689429,10,MixedRealityCamera,1.974867,
1461.248,-0.1649641,-0.02344496,0.4306834,2.296883,3.962857,-0.3056641,0.06905425,-0.04007744,0.9968076,0.689429,-0.689429,10,MixedRealityCamera,2.019357,
1461.265,-0.1637672,-0.02348664,0.4412339,2.312052,3.907292,-0.4276123,0.06808679,-0.04034198,0.9968634,0.689429,-0.689429,10,MixedRealityCamera,2.041335,
1461.282,-0.1627342,-0.02385793,0.451502,2.469232,3.859304,-0.4472351,0.06724415,-0.04308289,0.996806,0.689429,-0.689429,10,MixedRealityCamera,1.947022,
1461.298,-0.1615748,-0.02428344,0.4621185,2.72553,3.807105,-0.4533081,0.06632252,-0.04755154,0.9966645,0.689429,-0.689429,10,MixedRealityCamera,1.794278,
1461.314,-0.1606595,-0.02452296,0.4725125,2.902922,3.763613,-0.50177,0.06555597,-0.05064387,0.9965629,0.689429,-0.689429,10,MixedRealityCamera,1.711208,
1461.331,-0.1598806,-0.02474361,0.4832729,3.060045,3.729056,-0.5780029,0.06494562,-0.05338246,0.9964599,0.689429,-0.689429,10,MixedRealityCamera,1.648414,
1461.348,-0.1589694,-0.0251222,0.4949181,3.128047,3.683683,-0.7006836,0.0641524,-0.05456759,0.9964471,0.689429,-0.689429,10,MixedRealityCamera,1.651972,
1461.365,-0.1582462,-0.02547536,0.5059534,3.193253,3.647781,-0.7557373,0.06352401,-0.05570393,0.9964245,0.689429,-0.689429,10,MixedRealityCamera,1.653156,
1461.381,-0.1574388,-0.02597805,0.5175515,3.227654,3.633295,-0.7867126,0.06326994,-0.0563034,0.996407,0.689429,-0.689429,10,MixedRealityCamera,1.651853,
1461.397,-0.1567891,-0.02659495,0.5289761,3.231209,3.652994,-0.8207092,0.0636123,-0.05636534,0.9963816,0.689429,-0.689429,10,MixedRealityCamera,1.635183,
1461.414,-0.1559256,-0.02734699,0.5410397,3.184132,3.757024,-0.8581848,0.0654243,-0.05554498,0.9963104,0.689429,-0.689429,10,MixedRealityCamera,1.568852,
1461.431,-0.1550153,-0.02832239,0.5535519,3.119118,3.961438,-0.8395691,0.06898272,-0.05441199,0.9961329,0.689429,-0.689429,10,target_3,1.436677,
1461.449,-0.1543848,-0.02919354,0.5654449,3.134616,4.152588,-0.8109131,0.07230456,-0.05468209,0.9958825,0.689429,-0.689429,10,target_3,1.281,
1461.464,-0.1537563,-0.02992959,0.5773764,3.156272,4.313292,-0.7867126,0.07509597,-0.05505948,0.9956551,0.689429,-0.689429,10,target_3,1.153009,
1461.482,-0.1531489,-0.03106077,0.590416,3.173381,4.567761,-0.7635498,0.07951593,-0.05535763,0.9952953,0.689429,-0.689429,10,target_3,0.9803861,
1461.497,-0.152688,-0.03237772,0.6031116,3.278621,4.808623,-0.7709961,0.08369061,-0.0571915,0.9948493,0.689429,-0.689429,10,target_3,0.7710097,
1461.514,-0.1523166,-0.03375432,0.6155091,3.431132,5.035189,-0.7852478,0.08761022,-0.05984876,0.9943554,0.689429,-0.689429,10,target_3,0.5567266,
1461.531,-0.1521455,-0.03551056,0.6282734,3.684572,5.28084,-0.7717285,0.09184736,-0.06426359,0.9936973,0.689429,-0.689429,10,target_3,0.3268584,
1461.547,-0.1520858,-0.03755379,0.6413525,3.960802,5.509467,-0.7556763,0.09578091,-0.069074,0.9930029,0.689429,-0.689429,10,target_3,0.3700944,
1461.564,-0.1522137,-0.03952118,0.6542342,4.197622,5.708301,-0.7161865,0.09919709,-0.07319681,0.992372,0.689429,-0.689429,10,target_3,0.6081289,
1461.582,-0.1527501,-0.04107688,0.6678122,4.225024,5.866866,-0.6582947,0.1019395,-0.07367376,0.9920588,0.689429,-0.689429,10,target_3,0.7569224,
1461.598,-0.1532246,-0.04216133,0.6814842,4.095679,5.991446,-0.6249084,0.1041134,-0.07142221,0.9919976,0.689429,-0.689429,10,target_3,0.8339216,
1461.615,-0.1537746,-0.04282757,0.6949458,3.863169,6.099864,-0.5762329,0.1060203,-0.06737394,0.9920788,0.689429,-0.689429,10,target_3,0.9249271,
1461.631,-0.1543694,-0.04368514,0.7088318,3.60962,6.213534,-0.5802002,0.1080195,-0.06295808,0.9921532,0.689429,-0.689429,10,target_3,1.080465,
1461.648,-0.1553541,-0.04400653,0.7229156,3.210972,6.246661,-0.6235657,0.1086381,-0.0560127,0.992502,0.689429,-0.689429,10,target_3,1.284966,
1461.664,-0.1562644,-0.04470242,0.7369395,2.966111,6.30069,-0.6791992,0.1095993,-0.05174529,0.992628,0.689429,-0.689429,10,target_3,1.472596,
1461.682,-0.1571177,-0.04513992,0.7510618,2.883582,6.355864,-0.722229,0.1105632,-0.05030676,0.9925951,0.689429,-0.689429,10,MixedRealityCamera,1.562227,
1461.697,-0.1579686,-0.04533459,0.7651366,2.965302,6.39732,-0.7511292,0.1112733,-0.05173118,0.9924425,0.689429,-0.689429,10,target_3,1.530974,
1461.714,-0.1588748,-0.04444289,0.7792826,3.143977,6.431221,-0.7985535,0.1118418,-0.05484522,0.9922114,0.689429,-0.689429,10,target_3,1.442522,
1461.731,-0.15978,-0.04414358,0.7936919,3.269639,6.465174,-0.7883606,0.112416,-0.05703499,0.992023,0.689429,-0.689429,10,target_3,1.394654,
1461.747,-0.1603808,-0.04351139,0.8078235,3.657904,6.510536,-0.7477417,0.1131549,-0.06379911,0.9915269,0.689429,-0.689429,10,target_3,1.273493,
1461.764,-0.1611414,-0.04118952,0.822181,4.177832,6.492969,-0.7218323,0.1127808,-0.07285233,0.9909455,0.689429,-0.689429,10,target_3,1.20496,
1461.781,-0.1615504,-0.03908098,0.8365254,4.316726,6.514729,-0.7466431,0.1131368,-0.07526983,0.9907243,0.689429,-0.689429,10,target_3,1.236697,
1461.797,-0.1620598,-0.03782169,0.8508014,4.549885,6.522249,-0.7708435,0.1132311,-0.07932705,0.9903969,0.689429,-0.689429,10,target_3,1.299353,
1461.814,-0.1622502,-0.03654475,0.864502,5.056829,6.439274,-0.6968994,0.1117136,-0.08814379,0.9898236,0.689429,-0.689429,10,target_3,1.484772,
1461.832,-0.1626584,-0.03569207,0.8783404,5.514639,6.295879,-0.6847534,0.1091553,-0.09610008,0.9893684,0.689429,-0.689429,10,MixedRealityCamera,1.722606,
1461.848,-0.162893,-0.0345629,0.892202,5.48378,6.105696,-0.8034973,0.1058761,-0.09556397,0.9897766,0.689429,-0.689429,10,MixedRealityCamera,1.581895,
1461.865,-0.1631414,-0.03335661,0.906245,4.96916,5.938465,-1.072388,0.1030715,-0.08661952,0.9908952,0.689429,-0.689429,10,target_3,1.038163,
1461.881,-0.1630466,-0.0318087,0.9206105,4.127315,5.7932,-1.405334,0.1006764,-0.07197295,0.9923126,0.689429,-0.689429,10,target_3,0.4279585,
1461.897,-0.1630113,-0.0302965,0.9354516,3.402095,5.684753,-1.551056,0.09888038,-0.05934288,0.9933283,0.689429,-0.689429,10,target_3,0.8016186,
1461.914,-0.1623912,-0.02929671,0.9500397,2.671678,5.599589,-1.565704,0.0974697,-0.04661268,0.9941463,0.689429,-0.689429,10,target_3,1.498416,
1461.931,-0.1617248,-0.02887467,0.964695,2.29139,5.502493,-1.431702,0.0958124,-0.03998164,0.9945961,0.689429,-0.689429,10,MixedRealityCamera,1.875445,
1461.947,-0.1605789,-0.02916913,0.9791316,2.297674,5.408711,-1.149902,0.0941839,-0.04009124,0.9947472,0.689429,-0.689429,10,MixedRealityCamera,1.870325,
1461.964,-0.1594256,-0.02902441,0.9936284,2.765845,5.255589,-0.7986145,0.09149206,-0.04825436,0.994636,0.689429,-0.689429,10,target_3,1.415269,
