#NEXT_T6_EW_PS_B0_C6_S210_0221155629
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
249.5762,-0.02737831,0.08387722,0.08356449,0.2823827,-0.6753845,-0.1682739,-0.01178715,-0.004928487,0.9999184,-0.975,1.162676E-08,10,DwellButton,4.787288,
249.5919,-0.02739074,0.08388299,0.08356294,0.2731307,-0.6492615,-0.1850891,-0.0113316,-0.004767011,0.9999244,-0.975,1.162676E-08,10,MixedRealityCamera,4.813732,
249.6087,-0.02741286,0.08390832,0.08352597,0.2794651,-0.6407166,-0.1876526,-0.01118243,-0.004877566,0.9999256,-0.975,1.162676E-08,10,MixedRealityCamera,4.821864,
249.6245,-0.02743452,0.08389863,0.08349162,0.2844307,-0.6127625,-0.1970215,-0.01069441,-0.004964232,0.9999305,-0.975,1.162676E-08,10,MixedRealityCamera,4.849453,
249.6415,-0.02743974,0.08388916,0.08344121,0.2629271,-0.578186,-0.1756592,-0.0100909,-0.004588926,0.9999385,-0.975,1.162676E-08,10,MixedRealityCamera,4.884874,
249.6591,-0.02745418,0.08390208,0.08332179,0.2736929,-0.5676575,-0.1505737,-0.009907253,-0.004776824,0.9999395,-0.975,1.162676E-08,10,MixedRealityCamera,4.894769,
249.6753,-0.02752673,0.08392374,0.08321638,0.2819596,-0.5663147,-0.1440125,-0.009883597,-0.004921103,0.999939,-0.975,1.162676E-08,10,MixedRealityCamera,4.89529,
249.6916,-0.02761948,0.08391961,0.08312415,0.2718818,-0.582428,-0.1446533,-0.01016489,-0.004745215,0.9999371,-0.975,1.162676E-08,10,MixedRealityCamera,4.879014,
249.709,-0.02768948,0.0839626,0.08302318,0.2590716,-0.6134644,-0.1355591,-0.01070678,-0.004521637,0.9999325,-0.975,1.162676E-08,10,MixedRealityCamera,4.848201,
249.7242,-0.02777195,0.08399235,0.082945,0.2360674,-0.6457214,-0.1211853,-0.01126959,-0.004120141,0.999928,-0.975,1.162676E-08,10,MixedRealityCamera,4.81658,
