circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-1.1291092540934509'), 6.844525639544601, 64.2229492057209], 'normal': [-0.1741861903957126, 0.6174908148868313, -0.7670490627110013], 'radius': 2.289414810718773}",0.9994583367223481,53629.530481,4.578829621437546,"{'center': [Decimal('149.19934447193293'), 185.7373713226334], 'axes': [30.87621769356671, 44.21755625475971], 'angle': -74.84893744385957}","[Decimal('149.19934447193293'), 185.7373713226334]",44.21755625475971,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.90177743516483,38,53598.123304,2.2363450189506997,-1.7940954725662706,"[0.4662479514747904, Decimal('0.22609428615569416')]",pupil.1,1,3d c++
"{'center': [-1.122831596760152, 6.840818411519075, 64.21854318129726], 'normal': [Decimal('-0.17366305228460435'), 0.6171818792180375, -0.767416231412971], 'radius': Decimal('2.2838954774345117')}",0.9851123824288679,53629.538881,4.567790954869023,"{'center': [Decimal('149.25851210128457'), Decimal('185.70764434103165')], 'axes': [Decimal('30.823965212673723'), 44.11391655764225], 'angle': -74.88761831429622}","[Decimal('149.25851210128457'), Decimal('185.70764434103165')]",44.11391655764225,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9017300699517783,38,53598.123304,2.235952320415226,-1.793343765456533,"[Decimal('0.46643285031651427'), Decimal('0.22621814857903477')]",pupil.1,1,3d c++
"{'center': [-1.125319058184954, Decimal('6.8589734573748835'), 64.23373774736335], 'normal': [Decimal('-0.17387034073667118'), 0.6186947997060215, -0.76615001757413], 'radius': Decimal('2.2989209131179016')}",0.9990310557740357,53629.547281,4.597841826235803,"{'center': [149.2382393761642, Decimal('185.86291352407986')], 'axes': [Decimal('30.948817793075968'), Decimal('44.393835790997706')], 'angle': -74.90386204712537}","[149.2382393761642, Decimal('185.86291352407986')]",44.393835790997706,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9016334051371033,38,53598.123304,2.237876601818149,-1.7939568375858435,"[0.4663694980505131, Decimal('0.22557119364966727')]",pupil.1,1,3d c++
"{'center': [Decimal('-1.1441123777175362'), 6.850732323929375, 64.2313708922699], 'normal': [-0.1754364506977197, 0.6180080385855624, -0.7663472554985844], 'radius': Decimal('2.2971931960751473')}",0.9992407976232831,53629.555681,4.5943863921502945,"{'center': [Decimal('149.05717918553972'), Decimal('185.78654763021507')], 'axes': [Decimal('30.938587943993856'), Decimal('44.362067618983126')], 'angle': -74.75164285624}","[Decimal('149.05717918553972'), Decimal('185.78654763021507')]",44.362067618983126,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9017572081775227,38,53598.123304,2.237002750596752,-1.7958439881360477,"[0.4658036849548116, Decimal('0.22588938487410393')]",pupil.1,1,3d c++
"{'center': [-1.143250649738755, 6.859371001900774, 64.23814673348758], 'normal': [Decimal('-0.17536464003282126'), 0.6187279284165124, -0.7657826020637778], 'radius': Decimal('2.3004486836087983')}",0.9991485638029487,53629.564081,4.600897367217597,"{'center': [Decimal('149.06679627470308'), 185.8620069158033], 'axes': [30.94753233065676, 44.42030731203501], 'angle': -74.77436498376507}","[Decimal('149.06679627470308'), 185.8620069158033]",44.42030731203501,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9017677458067697,38,53598.123304,2.237918770778423,-1.7959152760401018,"[0.4658337383584471, Decimal('0.22557497118415293')]",pupil.1,1,3d c++
"{'center': [Decimal('-1.1318874511496078'), 6.85803024594809, 64.23446912597035], 'normal': [-0.174417706817059, 0.6186161987537887, -0.7660890693568806], 'radius': 2.299624028499791}",0.9991496201328361,53629.57248,4.599248056999582,"{'center': [Decimal('149.17531315861345'), Decimal('185.85293491682086')], 'axes': [Decimal('30.954833599681418'), 44.40691286768741], 'angle': -74.85434527024748}","[Decimal('149.17531315861345'), Decimal('185.85293491682086')]",44.40691286768741,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9017528616911519,38,53598.123304,2.237776557633192,-1.7946533964326628,"[0.466172853620667, Decimal('0.22561277117991307')]",pupil.1,1,3d c++
"{'center': [Decimal('-1.1407973441134591'), 6.84675803904584, 64.22740930987386], 'normal': [Decimal('-0.17516019789737997'), 0.6176768481786011, -0.7666773873649204], 'radius': Decimal('2.2966301762881964')}",0.9993957780469036,53629.58088,4.593260352576393,"{'center': [149.0883632260164, Decimal('185.75236583818526')], 'axes': [30.95122378278251, Decimal('44.353913370954025')], 'angle': -74.76815686166483}","[149.0883632260164, Decimal('185.75236583818526')]",44.353913370954025,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9018773090638366,38,53598.123304,2.2365815505411786,-1.7954078963611697,"[Decimal('0.46590113508130127'), Decimal('0.22603180900756148')]",pupil.1,1,3d c++
"{'center': [Decimal('-1.1418511440936556'), 6.851482100155822, 64.23145819175922], 'normal': [-0.1752480145623963, 0.6180705199377664, -0.7663399805411416], 'radius': Decimal('2.2799749794792232')}",0.9996704583424583,53629.58928,4.5599499589584465,"{'center': [149.0774112115512, Decimal('185.79875989656836')], 'axes': [30.70590050627455, Decimal('44.029327741880955')], 'angle': -74.76949457084679}","[149.0774112115512, Decimal('185.79875989656836')]",44.029327741880955,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9019975442643435,38,53598.123304,2.237082228525025,-1.7956123944999098,"[Decimal('0.46586691003609754'), 0.2258385004309652]",pupil.1,1,3d c++
"{'center': [-1.136833214680645, 6.86472894713188, 64.24101043525512], 'normal': [Decimal('-0.17482985377797877'), 0.6191744238524378, -0.7655439602498163], 'radius': Decimal('2.2796980334366888')}",0.9993914349948475,53629.59768,4.5593960668733775,"{'center': [149.1270755585819, 185.9168417937746], 'axes': [30.65317263788477, Decimal('44.017466693503785')], 'angle': -74.83110941247503}","[149.1270755585819, 185.9168417937746]",44.017466693503785,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.902117433427907,38,53598.123304,2.23848724379108,-1.7953192619451364,"[Decimal('0.46602211112056846'), Decimal('0.22534649252593908')]",pupil.1,1,3d c++
"{'center': [-1.132828495886915, 6.867195285371373, 64.24209191407938], 'normal': [-0.1744961272118346, 0.6193799520390623, -0.7654538370144605], 'radius': Decimal('2.2836286574298614')}",0.9991475798039576,53629.60608,4.567257314859723,"{'center': [Decimal('149.16605355823117'), 185.9383249158011], 'axes': [Decimal('30.700365495986357'), Decimal('44.092664946080035')], 'angle': -74.86484421264595}","[Decimal('149.16605355823117'), 185.9383249158011]",44.092664946080035,"{'center': [0.9611250306551001, -0.5653641390973739, 73.42753795825291], 'radius': 12.0}","{'center': [Decimal('168.11545008284165'), Decimal('115.22623560605201')], 'axes': [202.6487665766486, 202.6487665766486], 'angle': 90.0}",0.9020016631793748,38,53598.123304,2.238749005637493,-1.7949304090866216,"[0.4661439173694724, Decimal('0.22525697951749535')]",pupil.1,1,3d c++
